"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP"
"2133","Alfalfa County, Oklahoma","40003",2000,6105,88.35,4.1,2.9,19.36,25.6,17.4,20.36,15.02,18.56,31.19
"2134","Atoka County, Oklahoma","40005",2000,13879,75.39,5.86,1.41,23.6,23.06,17.27,14.77,11.9,30.61,44.55
"2135","Beaver County, Oklahoma","40007",2000,5857,86.6,0.26,10.76,26.77,22.72,16.87,16.94,8.35,18.8,27.9
"2136","Beckham County, Oklahoma","40009",2000,19799,84.65,5.34,5.45,24.14,23.07,13.91,15.45,9.91,24.1,36.4
"2137","Blaine County, Oklahoma","40011",2000,11976,73.66,6.53,6.62,24.01,22.38,14.59,16.83,9.36,24.49,31.72
"2138","Bryan County, Oklahoma","40013",2000,36534,78.89,1.42,2.65,24.82,19.68,15.91,15.43,10.86,25.14,46.63
"2139","Caddo County, Oklahoma","40015",2000,30150,64.06,2.89,6.28,28.5,21.11,15.47,14.92,9.55,24.15,37.02
"2140","Canadian County, Oklahoma","40017",2000,87697,85.03,2.09,3.86,28.03,25.37,15.76,9.54,10.34,12.72,25.95
"2141","Carter County, Oklahoma","40019",2000,45621,76.84,7.53,2.78,26.19,22.55,15.71,15.99,11.32,23.01,42.62
"2142","Cherokee County, Oklahoma","40021",2000,42521,55.23,1.19,4.14,26.26,19.71,15.32,11.99,10.59,23.31,40.47
"2143","Choctaw County, Oklahoma","40023",2000,15342,67.85,10.89,1.6,25.97,19.92,17.55,17.36,10.85,30.98,49.58
"2144","Cimarron County, Oklahoma","40025",2000,3148,81.04,0.54,15.41,27.6,20.36,16.93,18.58,7.81,23.45,27.92
"2145","Cleveland County, Oklahoma","40027",2000,208016,81.5,3.51,4.04,24.47,23.48,14.36,8.43,10.81,11.87,26.11
"2146","Coal County, Oklahoma","40029",2000,6031,74.47,0.36,2.14,26.63,20.18,16.13,17.87,9.95,31.36,57.49
"2147","Comanche County, Oklahoma","40031",2000,114996,62.01,18.59,8.41,27.77,21.13,11.92,9.76,14.17,14.85,28.14
"2148","Cotton County, Oklahoma","40033",2000,6614,82.78,2.84,4.85,25.4,20.7,16.62,17.75,11.04,23.02,40.2
"2149","Craig County, Oklahoma","40035",2000,14950,68.06,3.07,1.2,23.86,23.32,17.24,16.17,10.64,23.06,39.67
"2150","Creek County, Oklahoma","40037",2000,67367,81.41,2.53,1.9,27.36,22.63,17.18,12.84,11.4,22.39,39.98
"2151","Custer County, Oklahoma","40039",2000,26142,79.35,2.83,9.03,24.3,20.13,13.65,13.74,8.72,18.78,28.32
"2152","Delaware County, Oklahoma","40041",2000,37077,69.44,0.12,1.75,24.46,20.07,20.16,17.53,13.39,24.63,48.66
"2153","Dewey County, Oklahoma","40043",2000,4743,90.64,0.13,2.68,23.32,20.98,19.19,20.98,8.98,20.24,38.65
"2154","Ellis County, Oklahoma","40045",2000,4075,94.82,0.05,2.6,21.77,21.42,20.05,21.96,12.66,18.81,38.77
"2155","Garfield County, Oklahoma","40047",2000,57813,86.95,3.22,4.13,25.05,22.43,15.29,16.02,11.45,17.79,36.34
"2156","Garvin County, Oklahoma","40049",2000,27210,83.44,2.54,3.4,24.84,21.18,16.21,17.95,9.69,26.99,50.62
"2157","Grady County, Oklahoma","40051",2000,45516,86.05,3.03,2.89,26.67,22.94,16.14,13.09,9.71,20.54,38.2
"2158","Grant County, Oklahoma","40053",2000,5144,94.3,0.08,1.85,25.17,21.62,16.06,21.44,10.56,14.26,33.34
"2159","Greer County, Oklahoma","40055",2000,6061,78.68,8.71,7.44,20,21.93,15.46,20.05,11.99,23.29,40.13
"2160","Harmon County, Oklahoma","40057",2000,3283,65.82,9.23,22.78,25.89,20.47,14.62,21.05,9.63,36.82,50.14
"2161","Harper County, Oklahoma","40059",2000,3562,92.93,0.03,5.64,23.33,23.13,16.93,21.7,11.23,17.91,34.5
"2162","Haskell County, Oklahoma","40061",2000,11792,77.46,0.61,1.5,26,19.54,17.85,17.16,10.76,33.15,53.97
"2163","Hughes County, Oklahoma","40063",2000,14154,71.81,4.47,2.49,23.17,21.28,16.43,18.55,11.27,29.16,52.59
"2164","Jackson County, Oklahoma","40065",2000,28439,71.48,7.89,15.63,29.21,21.35,13.55,11.91,13.06,20.93,27.45
"2165","Jefferson County, Oklahoma","40067",2000,6818,83.73,0.56,7.01,23.95,20.48,16.57,20.12,12.23,30.7,49.56
"2166","Johnston County, Oklahoma","40069",2000,10513,75.4,1.66,2.47,25.5,20.91,17.53,15.42,10.53,30.94,55.9
"2167","Kay County, Oklahoma","40071",2000,48080,82.54,1.77,4.25,26.4,21.41,15.79,16.96,11.28,19.09,38.34
"2168","Kingfisher County, Oklahoma","40073",2000,13926,86.11,1.53,6.9,27.24,23.71,15.17,15.36,8.16,18.83,29.1
"2169","Kiowa County, Oklahoma","40075",2000,10227,80.51,4.56,6.74,24.17,21.57,16.76,20.33,11.98,22.63,42.88
"2170","Latimer County, Oklahoma","40077",2000,10692,72.46,0.93,1.53,25.74,19.49,16.82,16.07,10.91,26.24,49.85
"2171","Le Flore County, Oklahoma","40079",2000,48109,78.38,2.2,3.84,26.14,21.13,16.65,13.75,10.59,29.65,45.91
"2172","Lincoln County, Oklahoma","40081",2000,32080,85.72,2.43,1.51,27.44,22.58,17.08,13.91,11.53,22.45,42.09
"2173","Logan County, Oklahoma","40083",2000,33924,80.25,10.91,2.91,25.48,23.11,16.07,12.35,11.01,18.52,38.01
"2174","Love County, Oklahoma","40085",2000,8831,81.29,2.16,7.01,25.69,21.35,18.65,16.17,10.15,26.42,40.39
"2175","McClain County, Oklahoma","40087",2000,27740,85.32,0.63,4.86,26.84,24.04,16.97,11.97,10.23,20.66,33.81
"2176","McCurtain County, Oklahoma","40089",2000,34402,69.54,9.22,3.09,28.18,20.78,16.57,13.98,9.47,30.76,47.29
"2177","McIntosh County, Oklahoma","40091",2000,19456,72.02,3.97,1.27,22.63,19.27,20.56,21.78,14.91,28.41,55.9
"2178","Major County, Oklahoma","40093",2000,7545,93.78,0.19,4.02,24.65,22.69,17.39,19.42,9.46,21.38,29.9
"2179","Marshall County, Oklahoma","40095",2000,13184,76.51,1.78,8.6,23.48,19.83,19.22,19.54,12.8,28.99,49.14
"2180","Mayes County, Oklahoma","40097",2000,38369,71.34,0.29,1.87,26.58,21.35,16.88,14.86,10.98,23.92,39.3
"2181","Murray County, Oklahoma","40099",2000,12623,79.2,1.87,3.15,24.18,20.45,17.67,18.47,12.38,25.72,43.22
"2182","Muskogee County, Oklahoma","40101",2000,69451,62.79,13.07,2.67,25.89,21.82,15.6,15.3,11.33,24.94,46.37
"2183","Noble County, Oklahoma","40103",2000,11411,85.76,1.57,1.8,25.46,22.68,16.79,15.22,9.56,18.48,36.92
"2184","Nowata County, Oklahoma","40105",2000,10569,71.87,2.46,1.23,26.08,21.65,16.82,17.31,11.3,23.77,44.14
"2185","Okfuskee County, Oklahoma","40107",2000,11814,64.87,10.36,1.64,24.63,21.9,17.34,16.29,10.76,30.58,42.63
"2186","Oklahoma County, Oklahoma","40109",2000,660448,67.1,14.87,8.68,25.59,22.33,14.35,12.22,10.86,17.48,35.05
"2187","Okmulgee County, Oklahoma","40111",2000,39685,69.03,10.15,1.95,26.88,20.69,16.7,15.13,11.2,25.26,44.02
"2188","Osage County, Oklahoma","40113",2000,44437,66.12,10.74,2.12,26.39,24.22,17.56,13.07,11.67,19.79,38.8
"2189","Ottawa County, Oklahoma","40115",2000,33194,72.88,0.58,3.2,25.69,19.51,16.53,16.87,12.23,24.28,45.57
"2190","Pawnee County, Oklahoma","40117",2000,16612,81.7,0.68,1.16,26.54,22.17,17.96,14.77,11.53,21.19,40.77
"2191","Payne County, Oklahoma","40119",2000,68190,83.29,3.6,2.15,19.56,18.49,11.74,10.78,8.34,13.27,27.8
"2192","Pittsburg County, Oklahoma","40121",2000,43953,76.28,3.99,2.14,23.51,21.88,17.63,17.15,13.28,23.76,47.03
