GEOID,pop,minDist_OTP
15003009904,5683,24.31470262
15003010306,5974,7.840116342
15003010507,5276,7.515332659
15001021800,6045,57.91375174
15003000901,2631,4.968941337
15003003300,1307,1.443432561
15003006401,2505,1.492755745
15003008406,7052,8.84536204
15003008410,4831,9.864399432
15003008301,4951,7.738271422
15003010508,2382,8.670597425
15003010505,3352,8.730541088
15003008930,2244,12.73105757
15007040900,5524,128.2260237
15009030709,3359,12.59684627
15009030708,2983,11.38557481
15009030710,2069,13.63719786
15009030303,3701,15.41525123
15003001904,2964,2.127762804
15003001903,2925,2.164153527
15003000114,1562,10.08013373
15003000200,5364,8.156982911
15001021101,3359,20.92124559
15003005400,1468,0.750494689
15003008001,2207,7.360911662
15003008606,12017,12.11651278
15003008703,7313,9.794925146
15003008614,10583,13.86676001
15003002003,1813,2.869200209
15003003604,2282,1.710233754
15003003603,2958,1.572415438
15003010303,3965,11.08414215
15003010305,4739,9.326425032
15009031503,2339,10.86772497
15009031502,4947,9.981532466
15009031601,2826,29.08507238
15009030403,4068,13.10407528
15009030301,9776,17.06108127
15009030404,5552,9.625637935
15009030402,8390,11.23624822
15009030202,7760,11.46384971
15003006802,8453,3.732256147
15003011300,6135,8.312389093
15003008923,4695,10.37493743
15003008920,4392,11.20256996
15003008921,2617,9.494801572
15003009502,4722,17.44606649
15003009501,6100,17.02781022
15003002005,1658,2.346409914
15009031101,9373,2.203823657
15009031102,6155,1.436389165
15009031103,10679,2.412267615
15009031900,6401,4.285527803
15009031801,2368,46.38192915
15009031700,4380,29.41917265
15005031900,75,35.19905268
15009030100,1642,25.06782452
15003004600,4018,3.430391333
15003004400,5634,2.274825631
15001021005,11148,10.62301041
15003003200,760,2.564085775
15003008613,931,14.04414203
15003009608,4997,18.23269587
15003009703,6892,21.01535946
15003009704,3538,20.35887791
15003940002,7107,16.84309478
15003008612,6323,14.82616213
15003009603,11375,19.77258572
15003011400,3586,7.890550403
15003010201,5411,16.2786205
15003008925,7078,11.1465699
15003008913,4232,10.61671889
15003009200,8001,15.32905378
15009030501,2426,7.748243184
15003008914,5412,10.32386294
15003010202,8136,21.53251008
15003010100,7191,25.10208045
15009031501,2215,13.09215642
