"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age55_59","age60_64","ageOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP"
"66",500021,58347,34801,3787,8799,5663,5092,26694,2931,2800,7721,18.43,67.32,13.23,99.37,0.14,0.47,0.1,0.19,0.01,0.19,30.01
"67",500025,36933,21989,2560,5518,3082,2938,16941,1806,1683,4889,16.3,67.74,13.24,99.11,0.17,0.72,0.1,0.24,0.01,0.37,27.98
"68",560029,21639,12990,1773,3454,2110,1891,10094,1030,891,2244,18.49,70.8,10.37,97.66,0.07,3.61,0.37,0.28,0.02,1.59,22.11
"69",500027,51030,30312,3367,7683,4262,3919,22718,2812,2629,6825,16.03,66.17,13.37,99.3,0.21,0.38,0.13,0.2,0.01,0.14,26.36
"70",500023,52393,31222,3581,8138,5053,4650,24529,2378,2214,6529,18.52,69.18,12.46,99.1,0.2,1.59,0.12,0.2,0.01,0.38,27.16
"71",500013,4613,2700,366,759,388,330,2044,223,229,533,15.56,68.7,11.55,99.09,0.13,0.35,0.54,0.04,0.02,0.17,33.61
"72",500015,16767,10164,1293,2643,1650,1656,8363,673,633,1773,19.72,73.35,10.57,99.46,0.14,0.6,0.09,0.1,0.01,0.2,27.97
"73",290099,146183,87066,13113,26394,14092,12443,71407,5904,4639,10648,18.15,75.87,7.28,98.81,0.65,0.64,0.19,0.16,0.01,0.17,40.61
"74",290079,11959,6602,802,1591,975,810,4657,650,695,2363,14.93,58.95,19.76,99.5,0.08,0.6,0.18,0.12,0,0.13,36.46
"75",290510,453085,254729,32361,62916,39676,44626,186423,25003,23523,79920,18.61,62.17,17.64,53.54,45.55,1.22,0.14,0.35,0.03,0.39,51.78
"76",290093,11084,5955,842,1856,947,729,4351,578,579,1832,15.12,63.6,16.53,98.94,0.4,0.67,0.23,0.19,0.02,0.23,51.77
"77",290185,8622,4421,497,1280,715,469,2951,492,582,1979,13.73,54.84,22.95,98.94,0.2,0.37,0.67,0.08,0,0.1,47.73
"78",290037,51029,29800,3998,9207,4899,3860,23671,2278,1817,4786,17.16,72.26,9.38,98.26,0.79,0.79,0.34,0.28,0.01,0.32,30.01
"79",290229,16188,8819,1168,2546,1470,1101,6268,902,846,2721,15.88,61.66,16.81,99.1,0.22,0.73,0.41,0.11,0.05,0.11,52.93
"80",290153,7961,4409,551,1144,655,479,2888,531,515,1434,14.24,57.57,18.01,99.32,0.01,0.67,0.52,0.06,0.01,0.08,48.87
"81",290083,19672,10449,1357,2760,1611,1297,7442,1068,1122,4067,14.78,58.76,20.67,98.35,1.15,0.47,0.29,0.08,0,0.12,41.57
"82",170009,5411,2852,382,796,453,345,1980,292,352,1087,14.75,58.36,20.09,99.87,0.02,0.33,0.07,0.04,0,0,43.32
"83",170033,20818,11880,1444,2951,1716,1544,8373,1189,1152,3533,15.66,61.33,16.97,99.28,0.16,0.37,0.13,0.24,0,0.2,35.36
"84",170085,23520,13254,1758,3991,2247,1735,9919,1252,1219,3054,16.93,66.62,12.98,99.56,0.05,0.52,0.08,0.15,0.01,0.14,35.25
"85",170065,9172,5067,598,1225,732,663,3476,534,585,1828,15.21,57.77,19.93,99.72,0.01,0.46,0.13,0.11,0,0.03,52.99
"86",170109,37467,25262,2096,4174,5393,7381,20914,1588,1445,4381,34.09,72.55,11.69,95.83,2.64,0.78,0.08,0.77,0.02,0.66,25.64
"87",170135,31686,17551,2218,4767,2693,2451,12528,1886,1721,5437,16.23,61.58,17.16,99.43,0.17,0.54,0.11,0.15,0,0.14,42.01
"88",170041,19774,11481,1539,3038,1722,1671,8334,1074,987,2623,17.16,65.29,13.26,99.1,0.03,1.06,0.12,0.17,0,0.58,33.64
"89",170181,17765,10203,1004,2298,1297,1100,6813,1166,1301,3426,13.49,56.94,19.29,99.29,0.38,0.51,0.11,0.09,0,0.14,49.97
"90",170115,131375,77883,10380,20721,11693,11680,58625,6932,5782,15324,17.79,68.3,11.66,88.83,10.49,0.57,0.14,0.27,0.01,0.26,31.54
"91",170201,250884,150950,18565,41391,23263,21986,115948,13057,10611,25593,18.04,70.11,10.2,89.7,8.39,2.15,0.2,0.46,0.03,1.22,32.47
"92",170133,20117,11609,1430,3140,1944,1663,8683,1037,931,2675,17.93,65.88,13.3,99.53,0.09,0.64,0.09,0.19,0,0.09,40.23
"93",170129,11700,6577,890,1815,1068,781,5035,571,545,1707,15.8,66.15,14.59,99.68,0.04,0.44,0.03,0.09,0.01,0.15,32.98
"94",170083,20538,12170,1481,3203,2237,2030,9375,1048,924,2418,20.78,68.45,11.77,99.28,0.3,0.48,0.16,0.13,0,0.13,40.74
"95",170171,6142,3436,419,856,579,503,2495,322,340,1064,17.62,61.38,17.32,99.82,0,0.37,0.05,0.1,0,0.03,39.71
"96",170131,19286,10911,1430,3293,1828,1352,8363,968,922,2475,16.49,67.85,12.83,99.43,0.12,0.6,0.07,0.1,0,0.28,32.55
"97",170047,7961,4417,623,1142,601,649,3162,434,482,1410,15.7,61.89,17.71,99.7,0.03,0.31,0.09,0.11,0,0.08,41.08
"98",170035,11062,6156,866,1814,1015,870,4609,537,584,1591,17.04,65.89,14.38,99.74,0.01,0.35,0.03,0.13,0,0.1,43.24
"99",170197,324460,192735,29026,59693,30381,28267,159152,13289,10353,23992,18.08,76.39,7.39,86.94,9.7,4.25,0.15,0.85,0.02,2.34,29.83
"100",60059,1932709,1246208,129531,287845,185196,201086,983208,95659,69008,160913,19.99,72.47,8.33,86.37,1.31,14.82,0.67,4.23,0.27,7.15,19.63
"101",60103,38888,22427,2767,5841,3547,2702,16187,2275,2168,5606,16.07,63.76,14.42,95.47,0.16,5.47,1.55,0.42,0.07,2.32,30.52
"102",60011,12791,7373,1051,1921,1188,943,5367,732,678,1690,16.66,65.19,13.21,80.4,0.58,19.49,1.52,1.81,0.02,15.68,35.37
"103",60083,298694,192374,18502,38742,29516,35431,150946,14890,12338,33774,21.74,69.7,11.31,82.93,2.6,18.53,0.9,2.63,0.16,10.78,20.87
"104",60051,8577,6159,611,1060,763,1161,5281,334,226,365,22.43,81.05,4.26,93.2,0.19,4.72,3.89,0.4,0.1,2.22,11.76
"105",60053,290444,181375,24532,43242,27575,33962,145255,13354,10992,26750,21.19,73.35,9.21,68.87,6.48,25.87,1.01,6.18,0.61,16.86,29.03
"106",490003,33222,16941,4374,6577,3625,2389,13704,1343,1200,2935,18.1,74.21,8.83,92.9,0.03,3.91,3.9,1.09,0.04,2.04,22.18
"107",60061,117247,71891,7636,17874,10887,8715,54403,6339,5413,13097,16.72,68.16,11.17,94.03,0.34,7,0.96,1.39,0.08,3.2,22.55
"108",60005,19314,11707,1099,2448,1633,1265,7750,1438,1429,3129,15,58.49,16.2,95.32,0.79,4.75,1.74,0.34,0.03,1.78,23.22
"109",60009,20710,12303,1181,2793,1676,1205,8315,1425,1493,3326,13.91,59.34,16.06,96.15,0.36,4.4,1.54,0.29,0.06,1.6,23.69
"110",60025,92110,51547,8404,17697,9833,8117,40681,4329,3675,8330,19.49,72.5,9.04,55.88,2.51,55.79,1.49,1.9,0.03,38.2,49.15
"111",370069,30055,17692,1952,4656,3199,2442,13403,1604,1469,3946,18.77,66.58,13.13,58.72,40.93,1.1,0.13,0.14,0,0.08,56.8
"112",370031,41092,25479,2774,5849,3668,3887,18828,2387,2072,4758,18.39,66.8,11.58,89.73,9.39,0.72,0.3,0.32,0.02,0.23,42.93
"113",370057,113162,69604,7306,18851,10327,9119,52281,5898,5159,10986,17.18,69.31,9.71,89.6,10,0.55,0.18,0.12,0.01,0.09,52.81
"114",420021,183263,108747,12252,27697,16305,16481,76100,11643,10969,25039,17.89,63.32,13.66,97.75,1.85,0.52,0.05,0.2,0.01,0.14,38.94
"115",370163,49687,28831,3734,8179,4612,4008,21510,2679,2414,5971,17.35,67.27,12.02,64.13,33.68,0.93,1.78,0.06,0.01,0.34,54.3
"116",370101,70599,42495,4963,11478,6288,5520,31641,3857,3498,7663,16.73,68.11,10.85,79.94,19.71,0.86,0.13,0.11,0.01,0.1,53.37
"117",370027,67746,41261,4528,11681,6328,5630,31506,3434,2781,6369,17.65,70.43,9.4,94.09,5.72,0.39,0.07,0.07,0.01,0.05,55.63
"118",420003,1450085,905033,79326,190602,127350,132244,631348,96190,85825,199566,17.9,62.15,13.76,88.73,10.36,0.56,0.07,0.52,0.01,0.31,30.96
"119",370153,45481,26639,3349,7588,4296,3638,19531,2570,2340,5236,17.44,66.99,11.51,72.14,26.61,0.8,0.97,0.13,0,0.14,53.6
"120",370123,22469,13202,1645,3726,2006,1854,9735,1275,1135,2672,17.18,67.23,11.89,75.01,24.55,0.87,0.28,0.04,0,0.11,57.7
"121",370179,70380,41907,5262,12783,7015,6045,33456,3152,2732,6320,18.56,73.18,8.98,82.62,16.75,0.8,0.25,0.22,0.01,0.15,47.16
"122",370051,247160,159358,22731,40386,27855,39486,139162,7844,5846,11219,27.25,81.84,4.54,64.02,30.64,3.69,1.48,1.39,0.25,2.22,30.39
"123",420001,68292,41114,4691,10855,6941,6509,31590,3497,3109,7748,19.69,69.02,11.35,98.22,1.03,0.9,0.07,0.27,0.01,0.4,40.83
"124",420061,42253,25115,2776,6763,4057,3790,18840,2141,1955,5275,18.57,67.16,12.48,97.33,2.29,0.31,0.09,0.12,0,0.16,38.46
"125",370023,72504,44514,4622,11611,7069,5752,33922,3801,3297,7194,17.68,69.18,9.92,92.34,7.19,0.49,0.13,0.19,0.01,0.14,54.01
"126",370097,82538,49472,5427,13538,7457,6537,36631,4500,3898,9456,16.95,67.36,11.46,82.32,17.28,0.67,0.16,0.14,0,0.1,49.91
"127",370063,152785,98254,9824,21690,14655,18147,78104,7306,6074,15767,21.47,71.75,10.32,62.71,36.28,0.84,0.11,0.63,0.01,0.25,34.91
"128",420039,88869,51607,6310,14624,8376,7405,38439,4735,4464,11481,17.76,66.81,12.92,98.32,1.23,0.37,0.13,0.2,0.01,0.11,33.11
"129",420045,555007,342643,33031,76402,53771,51486,243404,36834,30861,71322,18.96,63.57,12.85,89.81,9.01,0.76,0.07,0.75,0.01,0.36,27.7
"130",370079,16117,9521,1253,2741,1713,1504,7412,815,742,1531,19.96,70.77,9.5,54.51,45.28,0.85,0.01,0.05,0.01,0.14,57.49
"131",420035,38971,23868,2589,5754,4060,3932,17357,2354,1988,4723,20.51,65.95,12.12,99.35,0.33,0.36,0.07,0.15,0.01,0.09,36.34
"132",370143,9486,5360,694,1367,860,787,3832,548,580,1510,17.36,62.12,15.92,62.07,37.75,0.86,0.13,0.04,0.01,0,58.5
"133",370083,55286,31467,4107,9416,5544,4435,23477,3027,2728,6745,18.05,66.92,12.2,49.85,47.12,0.83,2.2,0.13,0.03,0.67,57.35
"134",370037,33415,20753,2096,5019,2768,2708,15561,1771,1611,3801,16.39,67.86,11.38,72.77,26.9,0.8,0.1,0.1,0,0.13,48.47
"135",370171,59449,35555,3882,9385,5177,4672,26057,3237,2940,7344,16.57,66.15,12.35,94.74,4.93,0.74,0.1,0.08,0.01,0.14,59.01
"136",420073,107150,64921,7038,15203,9565,9521,45169,7091,6260,14440,17.81,62.91,13.48,96.8,2.84,0.35,0.04,0.16,0.01,0.16,36.82
"137",420093,16675,9686,1067,2353,1448,1373,7089,946,810,2684,16.92,63.02,16.1,99.17,0.13,0.29,0.08,0.5,0,0.12,39.69
"138",370155,101610,56877,9012,19696,10670,9027,45845,4669,4050,9366,19.38,73.37,9.22,39.36,25.19,1.19,34.97,0.18,0,0.29,55.6
"139",370121,14428,8634,849,2051,1183,1116,6119,789,798,2148,15.93,62.51,14.89,99.47,0.12,0.56,0.15,0.16,0,0.1,56.93
"140",420117,40973,23866,2948,6780,4382,3789,18407,2034,1934,4909,19.94,68.67,11.98,99.24,0.43,0.4,0.07,0.11,0.01,0.14,36.11
"141",420009,46784,27085,3346,7767,4159,3652,19781,2627,2406,5893,16.7,66.04,12.6,99.44,0.33,0.32,0.05,0.11,0,0.06,42
"142",370013,40355,23174,3148,6538,3523,3204,17156,2139,2056,5176,16.67,66.51,12.83,68.15,31.68,0.57,0.04,0.06,0.02,0.05,49.54
"143",420089,69409,42514,4255,10002,6361,5862,31009,3972,3596,9067,17.61,65.22,13.06,97.89,1.41,0.8,0.07,0.34,0.02,0.27,32.15
"144",420131,26433,15048,2118,4803,2299,2015,11710,1266,1193,2959,16.32,70.48,11.19,99.46,0.28,0.38,0.02,0.14,0,0.09,31.4
"145",370127,67153,40290,4821,11028,6420,5484,30648,3509,3152,7059,17.73,69.24,10.51,66.63,32.89,0.87,0.13,0.21,0.01,0.13,49.68
"146",420083,50635,28405,3433,8283,4518,3864,20246,2871,2678,7771,16.55,63.12,15.35,99.34,0.19,0.32,0.18,0.22,0,0.07,35
"147",420133,312963,190574,20279,49235,27439,26093,142422,17204,14377,35944,17.1,67.72,11.49,96.23,2.9,0.86,0.07,0.35,0.01,0.45,38.21
"148",420049,279780,168218,20651,44787,27481,27127,126405,15774,13705,30536,19.52,68.57,10.91,94.7,4.44,0.73,0.12,0.34,0.01,0.39,30.06
"149",370067,243683,154328,14927,36264,22588,23317,117017,12829,10244,25051,18.84,69.03,10.28,74.95,24.38,0.65,0.19,0.26,0.01,0.21,37.29
"150",420051,159417,92535,10598,25074,13606,12468,64406,10260,9258,22693,16.36,62.78,14.23,95.91,3.79,0.38,0.07,0.15,0.01,0.08,42.18
"151",420099,35718,21213,2716,6114,3058,2848,16186,1798,1553,3707,16.54,70.04,10.38,99.69,0.08,0.39,0.04,0.09,0,0.1,38.86
"152",420085,128299,77327,8118,18941,12449,11682,55346,7927,7034,16681,18.81,64.23,13,95.37,4.25,0.3,0.07,0.17,0.01,0.12,33.21
"153",420033,83578,47935,6039,13849,7614,6702,35154,4725,4473,10933,17.13,65.86,13.08,99.5,0.2,0.26,0.07,0.16,0.01,0.06,40.38
"154",390049,869132,557885,63228,129001,82887,103834,443005,40652,32373,75232,21.48,73.09,8.66,83.5,15.07,0.75,0.14,0.74,0.01,0.53,27.03
"155",370107,59819,35789,4355,9913,5590,5123,26720,3290,2838,6210,17.91,68.52,10.38,61.54,38.11,0.79,0.09,0.14,0.02,0.11,47.81
"156",420037,61967,38157,3644,8831,6586,6400,28230,3575,3241,8262,20.96,65.69,13.33,99.24,0.32,0.32,0.03,0.3,0,0.11,36.5
"157",420059,40476,23071,2977,6649,3610,3241,16955,2276,2189,5598,16.93,65.67,13.83,98.89,0.78,0.59,0.13,0.12,0.02,0.06,44.61
"158",420053,5072,2871,274,766,472,329,2024,320,315,842,15.79,60.41,16.6,99.23,0.22,0.3,0.26,0.14,0,0.16,40.92
"159",370119,404270,258039,26898,63651,37099,39460,202273,19794,15144,33844,18.94,72.43,8.37,72.09,26.47,0.98,0.35,0.68,0.01,0.4,30.68
"160",370089,58580,33190,3508,8510,4624,3877,23682,3206,3435,10359,14.51,60.94,17.68,95.98,3.62,0.59,0.12,0.12,0,0.15,38.47
"161",370081,317154,200557,19614,48187,30374,32079,153581,16340,13148,31938,19.69,69.8,10.07,73.96,25.03,0.76,0.43,0.33,0.02,0.24,36.75
"162",420017,479211,298187,33513,80068,46094,41705,226828,26237,19748,38299,18.32,71.04,7.99,96.09,2.49,1.19,0.1,0.73,0.01,0.56,25.27
"163",360053,65150,39381,4495,10764,8636,6364,31382,3054,2801,6590,23.02,71.59,10.12,98.6,0.72,0.52,0.25,0.21,0.02,0.19,31.83
"164",420011,312509,189316,18917,43750,27398,25737,134148,18722,17063,44171,17,62.98,14.13,95.24,2.47,2.88,0.05,0.39,0,1.84,41.46
"165",20240,5676,3527,638,1074,472,712,3248,139,82,142,20.86,87.39,2.5,78.81,5,3.51,12.77,1.43,0.23,1.76,20.38
"166",20070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",20164,4616,2667,450,943,600,494,2456,140,96,169,23.7,83.38,3.66,23.09,0.02,0.5,76.26,0.11,0.04,0.48,43.64
"168",20185,4199,2586,416,741,504,470,2335,112,71,148,23.2,83.16,3.52,21.77,0.52,0.76,76.8,0.5,0.07,0.33,43.57
"169",20105,1105.81,659.41,122.09,197.76,103.01,87.43,569.75,42.92,27.98,61.05,17.22,80.45,5.52,55.81,0.14,1.18,42.04,0.29,0.32,1.41,29.1
"170",20150,9939,6636,985,1586,879,1265,5892,291,197,255,21.57,85.15,2.57,70.89,0.72,3.06,18.96,7.52,0.48,1.43,21.65
"171",20230,548.32,341.07,44.71,93.35,57.77,39.17,289.18,26.11,21.21,25.46,17.68,77.92,4.64,85.12,0.18,0.77,12.74,0.3,0,1.67,22.08
"172",20188,4831,2559,571,1066,608,510,2347,127,94,249,23.14,82.47,5.15,14.14,0.14,0.31,85.14,0.08,0.04,0.46,51.76
"173",20130,12649,7960.94,1133.42,2126.49,1185.55,1166.6,6524.75,556.34,381.13,694.66,18.6,77.36,5.49,80.67,0.39,1.71,15.67,2.15,0.16,0.96,19.03
"174",20270,4665,2373,559,1194,579,465,2127,163,89,178,22.38,83.17,3.82,6.35,0.06,0.21,93.18,0.13,0.04,0.24,65.42
"175",280145,21741,12099,1662,3602,1852,1565,8877,1078,1101,3229,15.72,65.04,14.85,86.02,13.8,0.64,0.08,0.04,0,0.06,53.61
"176",280053,13931,6706,1429,2894,1617,1160,5490,536,629,1828,19.93,70.44,13.12,33.87,65.64,1.38,0.07,0.36,0.01,0.04,61.29
"177",280141,18434,10825,1271,2813,1631,1379,7933,948,927,2508,16.33,65.19,13.61,95.89,3.71,0.43,0.31,0.05,0,0.04,54.59
