ZCTA,GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
96786,096786,0,0,0
83244,083244,0,0,0
83544,083544,0,0,0
83218,083218,0,0,0
83467,083467,0,0,0
62089,062089,0,0,0
61243,061243,0,0,0
62987,062987,0,0,0
60171,060171,0,0,0
60643,060643,46,41,46
62865,062865,0,0,0
61936,061936,0,0,0
61039,061039,0,0,0
47457,047457,0,0,0
47337,047337,0,0,0
46183,046183,0,0,0
46068,046068,0,0,0
47836,047836,0,0,0
47683,047683,0,0,0
47969,047969,0,0,0
52060,052060,0,0,0
51244,051244,0,0,0
50603,050603,0,0,0
52647,052647,0,0,0
51036,051036,0,0,0
66216,066216,2,2,2
66728,066728,0,0,0
67520,067520,0,0,0
40380,040380,0,0,0
42431,042431,15,15,15
41260,041260,0,0,0
40404,040404,0,0,0
42210,042210,0,0,0
42411,042411,0,0,0
40049,040049,0,0,0
70549,070549,0,0,0
70582,070582,0,0,0
95441,095441,0,0,0
94574,094574,0,0,0
90621,090621,71,52,71
95485,095485,0,0,0
93664,093664,0,0,0
37338,037338,0,0,0
37374,037374,0,0,0
76597,076597,0,0,0
37132,037132,0,0,0
37246,037246,0,0,0
75752,075752,0,0,0
78076,078076,0,0,0
79781,079781,0,0,0
78653,078653,0,0,0
77880,077880,0,0,0
75779,075779,0,0,0
78014,078014,0,0,0
76305,076305,0,0,0
75652,075652,0,0,0
77575,077575,0,0,0
76801,076801,38,19,38
78058,078058,0,0,0
76877,076877,0,0,0
78881,078881,0,0,0
75844,075844,0,0,0
77954,077954,0,0,0
78620,078620,0,0,0
79731,079731,0,0,0
76148,076148,0,0,0
75929,075929,0,0,0
75831,075831,0,0,0
79081,079081,0,0,0
76676,076676,0,0,0
24153,024153,143,131,141
84648,084648,0,0,0
84751,084751,0,0,0
05056,05056,0,0,0
05079,05079,0,0,0
05405,05405,21,21,21
22514,022514,0,0,0
24483,024483,0,0,0
24013,024013,323,197,323
22845,022845,0,0,0
17885,017885,0,0,0
98045,098045,0,0,0
99203,099203,0,0,0
26562,026562,0,0,0
26763,026763,0,0,0
15027,015027,0,0,0
54143,054143,14,12,13
97838,097838,20,20,20
36766,036766,0,0,0
35650,035650,0,0,0
36784,036784,0,0,0
35579,035579,0,0,0
36268,036268,0,0,0
99833,099833,0,0,0
99701,099701,0,0,0
99654,099654,0,0,0
86520,086520,0,0,0
86326,086326,29,29,15
85924,085924,184,184,184
29670,029670,0,0,0
57346,057346,0,0,0
37324,037324,0,0,0
57236,057236,0,0,0
37377,037377,0,0,0
37315,037315,0,0,0
37725,037725,17,17,17
38029,038029,0,0,0
38047,038047,0,0,0
37770,037770,0,0,0
70772,070772,0,0,0
70128,070128,0,0,0
70648,070648,0,0,0
04450,04450,0,0,0
04472,04472,64,42,64
33432,033432,0,0,0
83823,083823,0,0,0
46327,046327,0,0,0
61112,061112,0,0,0
04851,04851,0,0,0
60958,060958,0,0,0
46799,046799,0,0,0
20818,020818,0,0,0
50314,050314,345,326,333
70517,070517,0,0,0
40383,040383,10,4,0
49878,049878,0,0,0
04739,04739,0,0,0
38844,038844,0,0,0
63775,063775,16,6,16
01340,01340,0,0,0
49248,049248,0,0,0
02343,02343,148,148,148
49780,049780,0,0,0
07720,07720,0,0,0
87830,087830,0,0,0
49722,049722,0,0,0
27053,027053,0,0,0
65802,065802,224,159,165
65742,065742,0,0,0
58801,058801,1,1,1
07079,07079,0,0,0
07870,07870,0,0,0
03447,03447,0,0,0
07723,07723,0,0,0
02873,02873,0,0,0
57754,057754,0,0,0
10605,010605,21,18,21
37738,037738,0,0,0
11207,011207,3221,3052,3221
37620,037620,164,87,154
79346,079346,0,0,0
75488,075488,0,0,0
05488,05488,0,0,0
57641,057641,0,0,0
24605,024605,0,0,0
23310,023310,0,0,0
24426,024426,16,7,16
98422,098422,0,0,0
99114,099114,126,61,126
25514,025514,0,0,0
28533,028533,0,0,0
28032,028032,0,0,0
45142,045142,0,0,0
58368,058368,0,0,0
58622,058622,0,0,0
58007,058007,0,0,0
43467,043467,0,0,0
43008,043008,0,0,0
44615,044615,16,0,16
45745,045745,0,0,0
44682,044682,0,0,0
44507,044507,13,18,13
43142,043142,0,0,0
43736,043736,0,0,0
43750,043750,0,0,0
44011,044011,0,0,0
74016,074016,0,0,0
74003,074003,0,0,0
74464,074464,13,6,13
73441,073441,0,0,0
97525,097525,0,0,0
97064,097064,0,0,0
97355,097355,0,0,0
97434,097434,0,0,0
16617,016617,0,0,0
97886,097886,0,0,0
16340,016340,0,0,0
17097,017097,0,0,0
15557,015557,0,0,0
15420,015420,0,0,0
16652,016652,30,21,30
19559,019559,0,0,0
18430,018430,0,0,0
15301,015301,240,219,240
17965,017965,0,0,0
15901,015901,34,4,34
17829,017829,0,0,0
19564,019564,0,0,0
15077,015077,0,0,0
17920,017920,0,0,0
17822,017822,0,0,0
19107,019107,854,686,714
02876,02876,0,0,0
29646,029646,112,83,102
29003,029003,0,0,0
29014,029014,0,0,0
29135,029135,0,0,0
10456,010456,3294,3081,3294
13343,013343,0,0,0
14456,014456,3,3,3
11417,011417,0,0,0
13440,013440,30,13,30
13856,013856,0,0,0
11104,011104,0,0,0
10024,010024,865,824,865
12456,012456,0,0,0
10535,010535,0,0,0
11212,011212,3784,3697,3784
11694,011694,88,88,88
11415,011415,46,43,46
28777,028777,0,0,0
27827,027827,0,0,0
27891,027891,0,0,0
28465,028465,0,0,0
38053,038053,0,0,0
37727,037727,0,0,0
11209,011209,0,0,0
37148,037148,0,0,0
10703,010703,35,31,35
79714,079714,0,0,0
75551,075551,0,0,0
78851,078851,0,0,0
28607,028607,159,141,114
58239,058239,0,0,0
98244,098244,0,0,0
99141,099141,0,0,0
26836,026836,6,6,6
86054,086054,0,0,0
82835,082835,0,0,0
35654,035654,0,0,0
35242,035242,0,0,0
02139,02139,711,706,642
63853,063853,0,0,0
70139,070139,0,0,0
47654,047654,0,0,0
50673,050673,0,0,0
02180,02180,0,0,0
04952,04952,0,0,0
01199,01199,0,0,0
92662,092662,0,0,0
99174,099174,0,0,0
24577,024577,0,0,0
07662,07662,18,18,0
88028,088028,0,0,0
11360,011360,0,0,0
14854,014854,0,0,0
87025,087025,0,0,0
16253,016253,0,0,0
84329,084329,0,0,0
15715,015715,0,0,0
38562,038562,0,0,0
04068,04068,0,0,0
04750,04750,0,0,0
03579,03579,0,0,0
50272,050272,0,0,0
21871,021871,117,124,117
46814,046814,0,0,0
02647,02647,0,0,0
48081,048081,0,0,0
04654,04654,0,0,0
55605,055605,0,0,0
20812,020812,0,0,0
59917,059917,0,0,0
59761,059761,0,0,0
59313,059313,0,0,0
59724,059724,0,0,0
03832,03832,0,0,0
08751,08751,0,0,0
07756,07756,0,0,0
88256,088256,0,0,0
48440,048440,0,0,0
13064,013064,0,0,0
55041,055041,0,0,0
27983,027983,0,0,0
45898,045898,0,0,0
73560,073560,0,0,0
73932,073932,0,0,0
07846,07846,0,0,0
29720,029720,0,0,0
29512,029512,0,0,0
20762,020762,0,0,0
01532,01532,0,0,0
01719,01719,0,0,0
48322,048322,0,0,0
48014,048014,0,0,0
48614,048614,0,0,0
48034,048034,0,0,0
49938,049938,1,1,1
49879,049879,0,0,0
56470,056470,16,18,16
56162,056162,0,0,0
56082,056082,38,27,38
55723,055723,0,0,0
55055,055055,0,0,0
56676,056676,0,0,0
56369,056369,0,0,0
38632,038632,0,0,0
39116,039116,0,0,0
39090,039090,0,0,0
39094,039094,0,0,0
39633,039633,0,0,0
63650,063650,0,0,0
65706,065706,0,0,0
65041,065041,0,0,0
63041,063041,0,0,0
64109,064109,502,408,502
63084,063084,0,0,0
63117,063117,9,9,9
65254,065254,0,0,0
59101,059101,273,231,273
59405,059405,179,160,175
59032,059032,0,0,0
68844,068844,0,0,0
69163,069163,0,0,0
68068,068068,0,0,0
69357,069357,0,0,0
89143,089143,0,0,0
03835,03835,0,0,0
03242,03242,0,0,0
07031,07031,0,0,0
08738,08738,0,0,0
87499,087499,0,0,0
87827,087827,0,0,0
87325,087325,0,0,0
87711,087711,0,0,0
88355,088355,0,0,0
87053,087053,0,0,0
11451,011451,0,0,0
01029,01029,0,0,0
48312,048312,0,0,0
48667,048667,0,0,0
48743,048743,0,0,0
48066,048066,84,90,84
55744,055744,143,142,141
55786,055786,0,0,0
