ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
92504,6.18,10.0,4,1.23,1.28,0.0,221.0,1.0,1.51,0.0,44,2.6
92505,9.64,16.0,3,0.8,1.53,4.0,186.0,0.87,2.15,4.0,38,2.17
92506,4.36,9.0,4,1.3,0.57,0.0,202.0,1.0,0.57,0.0,42,3.0
92507,2.1,5.0,4,1.7,0.59,0.0,232.0,1.0,2.0,5.0,51,2.5
92508,7.89,16.0,2,0.73,2.17,9.0,155.0,0.7,2.33,0.0,35,2.33
92509,5.55,10.0,5,1.3,3.75,10.0,241.0,0.67,1.3,0.0,49,3.0
92518,9.29,18.0,2,0.6,1.79,0.0,142.0,1.0,4.63,12.0,29,1.4
92530,23.22,41.0,0,0.0,3.01,0.0,31.0,1.0,1.31,0.0,11,1.83
92532,19.06,34.0,0,0.0,1.25,0.0,46.0,1.0,4.38,10.0,18,1.67
92536,19.72,45.0,0,0.0,10.65,29.0,4.0,0.03,9.99,29.0,2,0.07
92539,21.88,64.0,0,0.0,18.21,45.0,0.0,0.0,16.83,48.0,0,0.0
92543,0.61,0.0,1,1.0,0.81,0.0,38.0,1.0,0.76,0.0,11,2.73
92544,2.62,8.0,1,0.73,1.13,0.0,27.0,1.0,2.45,8.0,5,2.1
92545,2.81,7.0,1,0.77,0.32,0.0,38.0,1.0,2.6,7.0,11,2.13
92548,8.5,17.0,1,0.43,5.01,10.0,59.0,0.67,3.68,13.0,15,1.63
92549,12.07,39.0,0,0.0,11.24,37.0,0.0,0.0,11.14,39.0,0,0.0
92551,11.0,20.0,3,0.53,2.2,6.0,128.0,0.8,7.33,16.0,27,1.13
92553,8.51,14.0,3,1.0,0.8,0.0,171.0,1.0,7.16,13.0,36,1.63
92555,10.35,22.0,3,0.53,0.52,0.0,144.0,1.0,9.47,19.0,31,0.9
92557,6.8,14.0,3,0.93,1.39,5.0,171.0,0.83,6.25,14.0,35,1.6
92561,15.57,63.0,0,0.0,11.35,42.0,0.0,0.0,12.23,49.0,0,0.0
92562,18.4,35.0,0,0.0,0.62,0.0,40.0,1.0,0.97,0.0,20,3.0
92563,16.21,32.0,0,0.0,0.28,0.0,42.0,1.0,0.96,0.0,18,2.33
92567,10.32,26.0,1,0.13,6.03,21.0,57.0,0.3,6.45,21.0,8,0.9
92570,15.03,31.0,0,0.0,2.61,0.0,59.0,1.0,6.42,21.0,12,0.87
92571,14.92,26.0,1,0.13,2.7,16.0,94.0,0.47,7.29,16.0,23,1.3
92582,3.29,9.0,1,0.7,2.09,7.0,48.0,0.77,2.91,7.0,11,2.17
92583,2.62,8.0,1,0.73,0.23,0.0,34.0,1.0,1.42,0.0,8,2.47
92584,12.86,27.0,1,0.1,0.94,0.0,57.0,1.0,1.28,13.0,18,1.7
92585,11.75,28.0,1,0.07,1.9,13.0,44.0,0.57,1.09,0.0,12,2.13
92586,13.59,27.0,1,0.1,0.61,0.0,82.0,1.0,0.57,0.0,20,2.57
92587,16.86,30.0,1,0.0,2.69,10.0,42.0,0.67,3.68,11.0,16,1.73
92590,21.22,40.0,0,0.0,2.55,0.0,37.0,1.0,2.83,0.0,17,2.13
92591,17.85,37.0,0,0.0,1.45,0.0,39.0,1.0,1.49,0.0,18,2.7
