ZCTA,ZIPCODE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
03882,3882,38.64,1537,0,0.0,0.0
03883,3883,12.69,117,0,0.0,0.0
03884,3884,48.41,3896,0,0.0,0.0
03885,3885,15.15,7387,2,0.13,0.0
03886,3886,38.13,2070,0,0.0,0.0
03887,3887,20.1,2097,0,0.0,0.0
03890,3890,4.57,149,0,0.0,0.0
03894,3894,49.03,6212,0,0.0,0.0
03896,3896,0.0,,1,inf,
03901,3901,37.65,7620,0,0.0,0.0
03902,3902,19.59,2593,0,0.0,0.0
03903,3903,19.79,6484,0,0.0,0.0
03904,3904,11.24,7860,0,0.0,0.0
03905,3905,6.56,1866,0,0.0,0.0
03906,3906,38.25,4712,0,0.0,0.0
03907,3907,4.09,1163,1,0.24,0.0
03908,3908,32.17,7420,0,0.0,0.0
03909,3909,34.4,9997,0,0.0,0.0
03910,3910,0.35,294,0,0.0,0.0
03911,3911,0.35,52,0,0.0,0.0
04001,4001,35.98,2565,0,0.0,0.0
04002,4002,66.03,7530,0,0.0,0.0
04003,4003,1.04,324,0,0.0,0.0
04005,4005,47.91,23345,0,0.0,0.0
04006,4006,0.08,154,0,0.0,0.0
04008,4008,35.75,2844,0,0.0,0.0
04009,4009,56.64,5306,0,0.0,0.0
04010,4010,44.47,1410,0,0.0,0.0
04011,4011,46.76,20534,1,0.02,0.0
04015,4015,31.77,3824,0,0.0,0.0
04017,4017,3.57,415,0,0.0,0.0
04019,4019,0.83,23,0,0.0,0.0
04020,4020,22.18,1278,0,0.0,0.0
04021,4021,20.63,6483,0,0.0,0.0
04022,4022,46.12,1257,0,0.0,0.0
04024,4024,15.85,563,0,0.0,0.0
04027,4027,55.0,6230,0,0.0,0.0
04029,4029,32.86,1598,0,0.0,0.0
04030,4030,16.65,2654,0,0.0,0.0
04032,4032,34.72,8387,1,0.03,0.0
04037,4037,82.5,3814,1,0.01,0.0
04038,4038,50.6,17307,0,0.0,0.0
04039,4039,40.65,7562,0,0.0,0.0
04040,4040,61.61,3191,0,0.0,0.0
04041,4041,37.42,1739,0,0.0,0.0
04042,4042,32.04,4553,0,0.0,0.0
04043,4043,35.34,11343,1,0.03,0.0
04046,4046,44.42,7818,0,0.0,0.0
04047,4047,58.24,1899,0,0.0,0.0
04048,4048,28.19,3005,0,0.0,0.0
04049,4049,40.99,3727,0,0.0,0.0
04050,4050,1.44,282,0,0.0,0.0
