ZIP,ZCTA,SVIS,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4
29329,29329,0.75,0.68,0.97,0.32,0.69
29324,29324,0.92,0.88,0.91,0.53,0.89
29330,29330,0.67,0.76,0.69,0.44,0.56
29323,29323,0.46,0.59,0.5,0.36,0.36
29349,29349,0.56,0.53,0.66,0.46,0.54
29356,29356,0.45,0.54,0.69,0.21,0.37
29322,29322,0.53,0.53,0.82,0.26,0.47
29385,29385,0.68,0.67,0.73,0.63,0.5
29334,29334,0.51,0.55,0.52,0.4,0.5
29365,29365,0.41,0.52,0.44,0.41,0.32
29377,29377,0.87,0.87,0.91,0.7,0.62
29375,29375,0.24,0.42,0.18,0.48,0.17
29388,29388,0.65,0.7,0.7,0.35,0.58
29374,29374,0.53,0.57,0.31,0.39,0.67
29372,29372,0.66,0.78,0.76,0.2,0.57
29373,29373,0.67,0.79,0.82,0.17,0.58
29386,29386,0.67,0.79,0.82,0.17,0.58
29040,29040,0.64,0.69,0.67,0.54,0.43
29128,29128,0.73,0.83,0.71,0.5,0.57
29154,29154,0.6,0.62,0.74,0.47,0.48
29150,29150,0.78,0.8,0.89,0.55,0.64
29153,29153,0.75,0.84,0.76,0.58,0.5
29151,29151,0.84,0.81,0.83,0.57,0.77
29379,29379,0.78,0.77,0.92,0.31,0.73
29732,29732,0.45,0.42,0.46,0.49,0.5
29734,29734,0.39,0.63,0.09,0.34,0.45
29745,29745,0.51,0.56,0.63,0.29,0.5
29708,29708,0.14,0.12,0.33,0.27,0.23
29716,29716,0.51,0.44,0.74,0.45,0.45
29712,29712,0.53,0.71,0.71,0.19,0.34
29726,29726,0.48,0.71,0.58,0.25,0.26
29710,29710,0.38,0.45,0.55,0.37,0.29
29743,29743,0.53,0.75,0.62,0.13,0.41
57312,57312,0.29,0.27,0.43,0.16,0.52
57348,57348,0.16,0.23,0.46,0.11,0.2
57350,57350,0.62,0.51,0.63,0.52,0.72
57379,57379,0.13,0.21,0.49,0.1,0.14
57381,57381,0.1,0.2,0.56,0.06,0.1
57382,57382,0.31,0.24,0.45,0.16,0.61
57384,57384,0.13,0.21,0.49,0.1,0.14
57399,57399,0.55,0.43,0.35,0.69,0.65
57551,57551,0.81,0.83,0.83,0.55,0.63
57566,57566,0.96,0.95,0.71,0.61,0.99
57040,57040,0.13,0.21,0.46,0.11,0.16
57059,57059,0.46,0.44,0.67,0.13,0.64
57062,57062,0.47,0.42,0.21,0.33,0.83
57063,57063,0.42,0.41,0.65,0.13,0.57
57066,57066,0.47,0.44,0.64,0.15,0.66
57002,57002,0.39,0.32,0.47,0.4,0.5
57006,57006,0.33,0.42,0.11,0.3,0.64
57026,57026,0.37,0.32,0.44,0.38,0.48
57213,57213,0.21,0.38,0.52,0.15,0.16
57268,57268,0.2,0.37,0.52,0.15,0.15
57276,57276,0.39,0.32,0.47,0.4,0.5
57061,57061,0.16,0.13,0.44,0.15,0.29
57071,57071,0.16,0.13,0.43,0.15,0.29
57212,57212,0.3,0.24,0.48,0.13,0.58
57220,57220,0.16,0.13,0.44,0.15,0.29
57234,57234,0.43,0.28,0.7,0.39,0.53
57401,57401,0.48,0.36,0.53,0.32,0.71
57474,57474,0.31,0.13,0.67,0.19,0.57
57422,57422,0.18,0.32,0.2,0.05,0.4
57427,57427,0.14,0.1,0.49,0.12,0.25
57434,57434,0.35,0.32,0.52,0.22,0.5
57439,57439,0.3,0.12,0.68,0.18,0.57
57445,57445,0.28,0.12,0.65,0.18,0.53
57460,57460,0.25,0.15,0.59,0.14,0.48
57461,57461,0.14,0.22,0.41,0.07,0.22
57479,57479,0.3,0.12,0.68,0.18,0.57
57426,57426,0.1,0.09,0.45,0.1,0.18
57432,57432,0.17,0.12,0.51,0.16,0.27
57433,57433,0.1,0.09,0.45,0.1,0.18
57441,57441,0.1,0.09,0.45,0.1,0.18
57446,57446,0.1,0.09,0.45,0.1,0.18
57449,57449,0.1,0.09,0.45,0.1,0.18
57451,57451,0.23,0.2,0.26,0.1,0.61
57481,57481,0.22,0.26,0.48,0.1,0.3
57325,57325,0.6,0.38,0.91,0.2,0.81
57355,57355,0.51,0.56,0.62,0.04,0.73
57369,57369,0.31,0.29,0.58,0.02,0.57
57370,57370,0.58,0.63,0.67,0.12,0.76
57383,57383,0.53,0.31,0.84,0.43,0.6
57523,57523,0.44,0.38,0.73,0.1,0.62
57717,57717,0.57,0.43,0.88,0.08,0.8
57779,57779,0.3,0.17,0.42,0.13,0.71
57783,57783,0.46,0.29,0.48,0.13,0.89
57437,57437,0.49,0.63,0.59,0.1,0.5
57452,57452,0.37,0.25,0.64,0.24,0.56
57472,57472,0.43,0.28,0.71,0.3,0.59
57601,57601,0.62,0.4,0.66,0.34,0.91
57631,57631,0.38,0.25,0.65,0.24,0.57
57632,57632,0.17,0.16,0.38,0.0,0.46
57646,57646,0.17,0.16,0.38,0.0,0.46
57648,57648,0.17,0.16,0.38,0.0,0.46
57313,57313,0.47,0.38,0.55,0.15,0.79
57342,57342,0.38,0.37,0.63,0.07,0.61
57356,57356,0.88,0.88,0.9,0.35,0.87
57367,57367,0.88,0.88,0.9,0.35,0.87
57380,57380,0.86,0.78,0.91,0.4,0.91
57315,57315,0.48,0.42,0.17,0.35,0.85
57329,57329,0.86,0.77,0.91,0.4,0.92
57330,57330,0.48,0.38,0.57,0.16,0.79
57361,57361,0.86,0.77,0.91,0.4,0.92
57376,57376,0.38,0.38,0.78,0.02,0.5
57217,57217,0.5,0.41,0.73,0.19,0.67
57221,57221,0.41,0.3,0.49,0.17,0.76
57225,57225,0.5,0.41,0.73,0.19,0.67
57236,57236,0.5,0.41,0.73,0.19,0.67
57243,57243,0.14,0.22,0.61,0.05,0.17
57258,57258,0.49,0.41,0.72,0.2,0.66
57271,57271,0.48,0.39,0.68,0.19,0.69
57272,57272,0.15,0.22,0.61,0.05,0.17
57274,57274,0.42,0.49,0.66,0.06,0.53
57278,57278,0.5,0.41,0.73,0.19,0.67
57322,57322,0.44,0.46,0.46,0.26,0.58
57353,57353,0.32,0.34,0.57,0.1,0.45
57004,57004,0.24,0.24,0.41,0.06,0.53
57010,57010,0.28,0.2,0.5,0.14,0.54
57014,57014,0.45,0.33,0.73,0.21,0.62
57031,57031,0.13,0.2,0.46,0.12,0.17
57037,57037,0.26,0.24,0.56,0.16,0.36
57069,57069,0.46,0.55,0.41,0.26,0.67
57072,57072,0.14,0.19,0.45,0.13,0.22
57073,57073,0.21,0.14,0.41,0.17,0.46
57201,57201,0.46,0.4,0.63,0.14,0.64
57238,57238,0.18,0.35,0.46,0.15,0.15
57245,57245,0.17,0.23,0.21,0.24,0.29
57263,57263,0.17,0.23,0.34,0.21,0.25
57264,57264,0.23,0.26,0.79,0.22,0.13
57265,57265,0.22,0.27,0.74,0.21,0.14
57235,57235,0.13,0.22,0.61,0.04,0.14
57242,57242,0.29,0.25,0.52,0.11,0.51
57256,57256,0.54,0.55,0.84,0.29,0.49
57621,57621,0.77,0.91,0.8,0.34,0.56
57634,57634,0.77,0.91,0.8,0.34,0.56
57638,57638,0.39,0.32,0.59,0.04,0.76
57639,57639,0.77,0.91,0.8,0.34,0.56
57641,57641,0.77,0.91,0.8,0.34,0.56
57642,57642,0.89,0.96,0.8,0.43,0.84
57644,57644,0.44,0.39,0.62,0.08,0.73
57645,57645,0.77,0.91,0.8,0.34,0.56
57657,57657,0.78,0.91,0.78,0.35,0.61
57659,57659,0.77,0.91,0.8,0.34,0.56
57660,57660,0.77,0.91,0.8,0.34,0.56
57658,57658,0.91,0.97,0.8,0.45,0.88
57722,57722,0.47,0.39,0.55,0.29,0.66
57730,57730,0.46,0.34,0.48,0.29,0.75
57735,57735,0.53,0.46,0.77,0.16,0.68
57738,57738,0.46,0.38,0.51,0.32,0.66
57744,57744,0.44,0.35,0.5,0.31,0.66
57747,57747,0.51,0.33,0.67,0.36,0.73
57751,57751,0.28,0.16,0.35,0.23,0.65
57773,57773,0.46,0.38,0.51,0.32,0.66
57301,57301,0.47,0.41,0.61,0.08,0.73
57328,57328,0.41,0.32,0.51,0.12,0.77
57331,57331,0.33,0.31,0.61,0.08,0.54
57334,57334,0.12,0.26,0.49,0.12,0.1
57359,57359,0.34,0.32,0.54,0.24,0.44
57363,57363,0.12,0.25,0.47,0.14,0.09
57375,57375,0.52,0.31,0.84,0.44,0.6
57219,57219,0.18,0.33,0.18,0.04,0.39
57261,57261,0.23,0.37,0.33,0.08,0.35
57454,57454,0.46,0.26,0.72,0.37,0.64
57468,57468,0.18,0.33,0.18,0.04,0.39
57232,57232,0.5,0.25,0.79,0.42,0.66
57239,57239,0.46,0.53,0.95,0.24,0.18
57273,57273,0.47,0.53,0.95,0.25,0.19
57218,57218,0.18,0.39,0.53,0.11,0.1
57223,57223,0.47,0.26,0.73,0.43,0.61
57226,57226,0.39,0.3,0.66,0.26,0.55
57237,57237,0.18,0.39,0.53,0.11,0.1
57259,57259,0.22,0.28,0.74,0.19,0.13
57630,57630,0.79,0.85,0.61,0.39,0.82
57633,57633,0.79,0.85,0.61,0.39,0.82
57636,57636,0.79,0.85,0.61,0.39,0.82
57652,57652,0.79,0.85,0.61,0.39,0.82
57656,57656,0.79,0.85,0.61,0.39,0.82
57661,57661,0.79,0.85,0.61,0.39,0.82
57344,57344,0.41,0.32,0.5,0.12,0.78
57364,57364,0.41,0.32,0.5,0.12,0.78
57366,57366,0.37,0.34,0.69,0.06,0.58
57435,57435,0.31,0.3,0.57,0.05,0.54
57456,57456,0.54,0.7,0.62,0.11,0.51
57471,57471,0.3,0.32,0.62,0.13,0.38
57428,57428,0.32,0.32,0.67,0.15,0.38
57448,57448,0.34,0.39,0.66,0.13,0.38
57466,57466,0.31,0.32,0.62,0.07,0.48
57475,57475,0.26,0.27,0.62,0.09,0.38
57216,57216,0.28,0.24,0.55,0.21,0.41
57227,57227,0.26,0.21,0.48,0.34,0.32
57251,57251,0.3,0.26,0.57,0.14,0.47
57252,57252,0.29,0.26,0.58,0.15,0.45
57269,57269,0.25,0.26,0.72,0.19,0.25
57279,57279,0.29,0.24,0.5,0.35,0.35
57246,57246,0.23,0.26,0.79,0.22,0.13
57266,57266,0.6,0.6,0.84,0.31,0.57
57529,57529,0.43,0.4,0.71,0.13,0.52
57533,57533,0.59,0.42,0.92,0.11,0.78
57317,57317,0.4,0.37,0.68,0.1,0.58
57335,57335,0.4,0.37,0.68,0.1,0.58
57538,57538,0.4,0.37,0.68,0.1,0.58
57571,57571,0.4,0.37,0.68,0.1,0.58
57241,57241,0.4,0.29,0.46,0.17,0.77
57248,57248,0.42,0.28,0.55,0.26,0.71
57233,57233,0.34,0.27,0.48,0.11,0.66
57345,57345,0.37,0.34,0.31,0.25,0.65
