COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
18113,10,1.0,41.07,0.1
18115,2,0.0,53.3,0.0
18117,6,6.0,14.92,1.0
18119,5,4.0,20.54,0.8
18121,4,4.0,10.86,1.0
18123,5,1.0,38.98,0.2
18125,4,0.0,39.93,0.0
18127,33,33.0,9.21,1.0
18129,7,5.0,27.79,0.71
18131,4,2.0,31.43,0.5
18133,7,6.0,15.73,0.86
18135,8,4.0,29.06,0.5
18137,6,0.0,52.48,0.0
18139,5,4.0,14.83,0.8
18141,75,75.0,7.04,1.0
18143,5,5.0,9.74,1.0
18145,10,10.0,8.77,1.0
18147,5,2.0,34.65,0.4
18149,7,7.0,12.58,1.0
18151,9,0.0,53.14,0.0
18153,5,2.0,29.11,0.4
18155,3,1.0,37.97,0.33
18157,37,37.0,8.25,1.0
18159,4,4.0,9.77,1.0
18161,2,2.0,9.73,1.0
18163,49,49.0,6.76,1.0
18165,5,5.0,9.78,1.0
18167,28,28.0,7.7,1.0
18169,8,5.0,31.06,0.62
18171,2,1.0,40.15,0.5
18173,11,9.0,23.69,0.82
18175,6,5.0,20.37,0.83
18177,17,17.0,10.12,1.0
18179,7,7.0,11.89,1.0
18181,8,8.0,17.77,1.0
18183,7,2.0,34.25,0.29
19001,3,0.0,70.7,0.0
19003,2,0.0,76.75,0.0
19005,5,0.0,71.23,0.0
19007,5,5.0,12.38,1.0
19009,3,0.0,88.85,0.0
19011,7,5.0,23.88,0.71
19013,38,38.0,8.91,1.0
19015,7,5.0,26.91,0.71
19017,8,5.0,28.59,0.62
19019,6,1.0,39.28,0.17
19021,6,4.0,18.17,0.67
19023,5,4.0,21.1,0.8
19025,4,1.0,43.44,0.25
19027,6,0.0,88.71,0.0
19029,5,0.0,76.44,0.0
19031,5,3.0,33.07,0.6
19033,11,10.0,11.48,0.91
19035,4,0.0,41.93,0.0
19037,4,0.0,48.97,0.0
19039,3,3.0,9.38,1.0
19041,4,0.0,62.42,0.0
19043,6,0.0,76.4,0.0
19045,12,10.0,14.84,0.83
19047,5,0.0,85.27,0.0
19049,15,9.0,27.39,0.6
19051,2,0.0,38.98,0.0
19053,3,3.0,0.74,1.0
19055,4,0.0,58.28,0.0
19057,11,11.0,10.46,1.0
