ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1522","1240","92.74","7.26","0","37.19","13.65",75.70284122
"1523","2486","92.68","7.32","0","38.32","17.58",98.64273514
"1524","2599","96.84","3.16","1.15","41.56","26.7",162.6241371
"1525","163","100","0","0","5.5","74.85",363.1791705
"1527","5668","92.34","7.66","0.39","31.33","26.84",363.8498589
"1529","1278","95.93","4.07","0.78","35.06","25.86",262.7640227
"1531","484","95.04","4.96","0","51.16","12.83",23.3119675
"1532","5637","96.31","3.69","0.11","35.13","18.82",305.1753854
"1534","2478","93.1","6.9","1.37","35.5","25.1",282.9309955
"1535","2084","87.38","12.62","0","30.79","29.6",97.98717251
"1536","2908","96.39","3.61","1.55","33.44","20.26",348.8661429
"1537","1020","93.53","6.47","3.82","21.58","29.04",146.0805103
"1540","4531","95.25","4.75","0","32.72","26.88",234.217695
"1541","1301","95.31","4.69","0","39.61","6.77",36.71797995
"1542","859","91.73","8.27","0","36.33","23.1",213.3482853
"1543","3241","91.21","8.79","2.84","33.29","17.22",92.2956169
"1545","14186","92.63","7.37","0.6","29.24","25.44",683.802013
"1550","7538","92.11","7.89","0.52","22.67","57.83",372.4518606
"1560","1844","93.98","6.02","0.38","14.54","36.64",517.6956152
"1561","108","100","0","0","47.96","60.19",876.1099366
"1562","5565","87.42","12.58","0.32","35.28","30.01",169.4790614
"1564","2890","95.33","4.67","0","40.05","12.05",94.39675892
"1566","2406","89.19","10.81","8.77","27.76","10.81",84.87381531
"1568","2833","92.06","7.94","1.31","32","14.84",132.0398017
"1569","5215","92.14","7.86","0.21","35.14","20.81",179.3490816
"1570","7832","87.9","12.1","1.76","26.05","42.26",633.7996066
"1571","4154","93.36","6.64","0","34.93","30.61",199.4094556
"1581","7447","91.23","8.77","0","25.17","37.71",361.4804842
"1583","2205","94.06","5.94","0","37.58","16.2",174.7462126
"1585","2013","93.09","6.91","2.19","32.51","28.23",78.79452167
"1588","3782","93.44","6.56","0","28.64","42.78",439.3289216
"1590","3636","94.64","5.36","0","44.92","5.61",113.5604591
"1602","10136","95.65","4.35","0","27.32","41.07",1757.278848
