ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
720,2018,4315,13.6,29.59,9.73,13.81
723,2018,4071,10.29,26.65,10.22,13.78
725,2018,26870,10.06,13.74,14.75,13.27
727,2018,21098,9.33,13.18,15.25,13.94
728,2018,11308,14.37,16.18,14.02,14.95
729,2018,16184,9.45,14.9,11.13,16.04
730,2018,7709,12.17,15.53,15.75,14.13
731,2018,3657,14.93,20.78,14.38,13.67
735,2018,3668,8.94,18.24,11.1,14.59
736,2018,14769,11.89,20.72,15.66,13.75
738,2018,9424,11.04,14.28,10.61,11.95
739,2018,11297,9.52,21.26,11.91,15.8
740,2018,403,1.99,16.87,9.68,3.72
741,2018,1353,6.28,27.35,7.54,12.86
745,2018,16941,8,15.84,10.98,14.5
751,2018,5738,10.54,23.84,9.27,13.61
754,2018,11335,11.94,24.61,10.74,16.83
757,2018,7671,11.17,28.8,14.67,8.96
765,2018,2440,7.21,11.31,8.48,5.53
766,2018,6722,12.21,25.96,10.76,10.46
767,2018,8044,11.96,27.65,13.94,9.65
769,2018,11633,10.51,30.75,9.59,10.99
771,2018,10254,9.33,30.62,9.37,12.57
772,2018,5151,12.06,11.22,17.98,13.63
773,2018,5636,7.93,16,8.29,14.43
775,2018,584,9.42,13.01,12.16,2.05
777,2018,11456,7.78,21.97,12.03,13.49
778,2018,18000,9.25,19,14.89,11.66
780,2018,3956,15.29,16.66,21.51,8.14
782,2018,4320,12.99,19,16.37,17.96
783,2018,7673,12.42,21.76,12.79,13.66
784,2018,9470,15.66,21.83,11.58,11.95
786,2018,147,0,0,27.21,0
791,2018,13414,13.52,24.31,11.83,11.74
794,2018,6545,14.3,28.02,12.99,12.01
795,2018,13895,9.41,27.13,14.98,13
901,2018,2253,15.49,9.5,8.3,8.92
906,2018,149,0,0,32.89,4.7
907,2018,7773,10.64,10.19,10.68,8.95
909,2018,1803,11.04,10.32,8.43,6.21
911,2018,3479,10.46,8.62,9.77,7.96
912,2018,2400,9.71,14.38,11.17,6.42
913,2018,1589,3.02,4.22,14.85,9.75
915,2018,8932,6.48,16.03,7.61,13.71
917,2018,6342,7.62,11.08,12.38,12.36
918,2018,6069,13.15,6.46,11.06,8.88
920,2018,6738,9.28,11.38,8.31,10.31
921,2018,11583,9.52,10.64,13.19,12.17
923,2018,7273,12.26,10.86,14.08,9.93
924,2018,15644,11.01,10.55,12.38,13.25
925,2018,2647,15.6,17.87,9.78,7.74
926,2018,38179,10.72,9.43,15.96,11.76
927,2018,5255,16.84,7.94,10.62,12.33
934,2018,34,0,0,0,0
936,2018,0,NA,NA,NA,NA
949,2018,26724,9.03,10.69,10.77,14.7
950,2018,0,NA,NA,NA,NA
951,2018,0,NA,NA,NA,NA
952,2018,2483,6.24,9.18,14.26,11.72
953,2018,26455,10.63,12.03,13,14.06
956,2018,22832,10.64,10.92,12.32,14.7
957,2018,13319,9.23,9.71,15.2,17.78
959,2018,19604,11.42,9.23,13.19,13.07
960,2018,0,NA,NA,NA,NA
961,2018,10814,9.84,11.44,12.64,13.94
962,2018,5724,5.85,11.25,10.06,15.86
965,2018,2145,6.34,12.21,12.21,10.68
966,2018,6269,8.41,9.46,13.32,7.96
968,2018,1463,8.41,8.48,13.67,4.78
969,2018,18440,9.93,10.01,10.77,11.44
971,2018,9908,12.25,10.7,14.42,11.68
976,2018,23370,11.47,11.04,13.68,14.27
979,2018,8017,8.46,9.99,11.15,8.91
982,2018,4936,8.51,14.04,9.64,13.68
983,2018,13286,7.49,9.01,11.34,11.97
985,2018,10832,9.83,9.18,12.08,16.21
987,2018,22035,11.89,10.71,10,13.72
1001,2018,8867,13.43,16.17,14.5,13.54
1002,2018,15647,37.1,5.76,11.18,11.45
1003,2018,4101,42.62,4.24,5.61,12.44
1005,2018,2650,14.75,20.08,12.98,8.6
1007,2018,8642,22.45,15.46,13.21,10.33
1008,2018,655,13.89,26.56,9.31,11.3
1009,2018,155,0,21.29,7.1,20.65
1010,2018,1890,11.75,22.49,17.78,9.84
1011,2018,762,4.72,24.93,12.6,19.55
1012,2018,299,16.72,33.78,11.71,6.69
1013,2018,10433,8.57,18.79,22.85,13.47
1020,2018,15224,7.61,21.36,19.8,13.56
1022,2018,854,12.53,9.37,23.42,9.72
1026,2018,448,11.16,25.67,13.84,17.86
1027,2018,10086,16.25,15.31,20.21,11.74
1028,2018,7768,12.67,13.62,15.02,8.38
1029,2018,365,14.25,19.45,6.3,3.56
1030,2018,5905,11.4,15.17,14.14,11.52
1031,2018,555,3.78,19.82,21.26,10.81
1032,2018,309,11.65,21.36,24.27,14.24
1033,2018,3747,21.24,18.07,12.22,7.95
1034,2018,1184,9.63,23.4,16.39,6.5
1035,2018,2704,25.37,9.13,23.52,4.84
1036,2018,2601,13.92,23.41,19.65,10.61
1037,2018,311,25.72,18.33,20.9,3.86
1038,2018,1670,14.43,21.38,20.06,11.08
1039,2018,648,16.36,10.8,31.02,4.63
1040,2018,16814,12.33,15.21,21.63,12.85
1050,2018,1335,8.84,29.06,18.65,11.09
1053,2018,722,23.13,10.94,20.36,10.39
1054,2018,1048,27.48,14.31,20.9,7.35
1056,2018,10430,7.44,20.85,13.69,13.23
1057,2018,4806,8.01,24.09,14.75,11.55
1060,2018,8599,33.11,7.06,13.34,7.49
1062,2018,4997,20.05,11.93,21.61,9.95
1063,2018,350,66.29,0,2,6.57
1066,2018,0,NA,NA,NA,NA
1068,2018,1025,13.66,20.88,15.12,7.61
1069,2018,4828,7.5,25.52,12.57,10.54
1070,2018,332,16.27,18.98,15.96,6.63
1071,2018,676,18.79,20.71,17.16,6.51
1072,2018,811,32.43,7.77,15.91,7.15
1073,2018,3421,15.26,19.94,20.26,7.48
1074,2018,346,5.2,11.27,15.9,0
1075,2018,9305,24.66,10.12,18.31,10.5
1077,2018,4637,11.45,20.68,13.31,11.52
1079,2018,334,9.88,20.66,6.59,42.22
1080,2018,1103,10.15,18.04,11.7,8.16
1081,2018,983,10.38,24.31,16.58,10.48
1082,2018,4817,11.56,25.64,16.42,12.71
1083,2018,1618,8.96,26.45,17.92,11.43
1084,2018,91,41.76,29.67,3.3,9.89
1085,2018,21572,11.34,19.48,17.39,12.88
1086,2018,73,41.1,12.33,21.92,0
1088,2018,224,23.66,22.32,10.71,5.8
1089,2018,14450,11.46,17,17.33,13.88
1092,2018,698,0,26.36,17.91,29.08
1093,2018,183,28.42,26.23,8.2,7.1
1094,2018,93,13.98,33.33,24.73,0
1095,2018,7903,11.84,16.13,17.87,11.14
1096,2018,1522,14.19,18.92,15.57,7.82
1097,2018,14,21.43,35.71,0,0
1098,2018,709,7.33,30.18,17.63,11
1103,2018,971,10.09,7.42,33.99,6.18
1104,2018,9355,7.24,17.25,20.91,12.74
1105,2018,3720,10,12.12,26.37,12.39
1106,2018,7483,15.74,13.52,18.8,7.68
1107,2018,3732,3.7,21.7,28.24,10.5
1108,2018,11646,7.63,20.52,20.93,11
1109,2018,11141,10.83,13.35,25.01,11.27
1118,2018,7511,15.58,14.78,16.79,10.5
1119,2018,5591,12.61,11.2,26.88,9.52
1128,2018,1370,10.8,14.45,14.96,13.5
1129,2018,3500,7.4,18.89,27.09,11.34
1151,2018,3707,7.15,16.78,22.88,15.46
1199,2018,0,NA,NA,NA,NA
1201,2018,22586,10.48,15.53,20.75,11.49
1220,2018,4111,11.63,24.81,14.33,16.25
1222,2018,435,2.76,37.47,9.66,11.26
1223,2018,1328,9.86,18.52,14.91,11.9
1224,2018,94,0,27.66,0,43.62
1225,2018,1583,12.57,15.79,22.43,11.37
1226,2018,3608,13.72,17.18,18.63,17.6
1229,2018,29,0,75.86,0,0
1230,2018,4365,14.02,17.57,10.61,8.96
1235,2018,1535,6.84,25.6,21.5,7.36
1236,2018,681,12.63,15.42,13.51,12.19
1237,2018,1307,13.01,17.44,19.74,14.15
1238,2018,2961,13.04,20.03,19.66,14.15
1240,2018,1897,11.07,12.6,18.4,11.97
1242,2018,273,0,42.12,13.92,18.68
1243,2018,169,7.69,28.99,10.06,3.55
1244,2018,35,37.14,28.57,0,0
1245,2018,455,10.77,20.22,13.19,4.18
1247,2018,7185,17.94,17.45,16.1,11.13
1253,2018,318,8.18,15.72,13.52,9.12
1254,2018,516,11.05,12.6,19.77,5.04
1255,2018,480,8.33,20.21,18.96,7.92
1256,2018,393,7.89,28.5,17.56,11.45
1257,2018,1104,11.23,17.75,11.05,16.21
1258,2018,252,12.3,23.41,8.33,6.75
1259,2018,270,11.48,18.89,10.74,12.96
1260,2018,264,0,31.06,7.95,7.95
1262,2018,553,3.98,9.58,23.51,7.41
1264,2018,96,16.67,23.96,16.67,5.21
1266,2018,747,13.25,19.01,16.06,11.91
1267,2018,3931,43.83,4.48,9.97,5.77
1270,2018,459,8.93,22,17.43,12.64
1301,2018,9031,13.43,15.31,17.71,12.96
1330,2018,816,17.03,16.18,13.97,11.89
1331,2018,6262,10,26.54,19.31,11.55
1337,2018,1300,9.77,23.77,19.54,10.69
1338,2018,73,6.85,20.55,30.14,12.33
1339,2018,623,14.61,19.9,14.45,10.11
1340,2018,942,10.72,25.8,16.24,11.46
1341,2018,1054,16.79,19.26,19.26,6.07
1342,2018,708,41.95,13.98,18.36,2.54
1343,2018,17,0,52.94,23.53,0
1344,2018,699,14.31,28.9,13.73,10.44
1346,2018,217,13.36,25.35,15.21,9.68
1347,2018,137,27.01,32.12,29.93,5.84
1349,2018,745,4.56,15.03,17.05,15.17
1350,2018,40,0,27.5,22.5,7.5
1351,2018,1227,18.01,18.74,25.92,3.99
1354,2018,1016,32.38,23.72,10.24,10.04
1355,2018,469,20.26,20.68,10.45,9.81
1360,2018,1633,24.49,20.02,15.43,4.04
1364,2018,3605,11.15,26.52,17.95,13.54
1366,2018,666,15.92,22.22,9.61,14.71
1367,2018,270,11.85,24.81,5.56,10
1368,2018,621,12.4,19,12.56,9.34
1370,2018,2029,14.29,20.6,16.71,10.3
1373,2018,2471,24.08,20.03,16.23,8.62
1375,2018,2368,39.78,13.3,8.45,15.2
1376,2018,2409,9.46,24.57,18.85,8.43
1378,2018,388,14.95,29.64,18.3,6.19
1379,2018,408,15.69,22.06,14.46,8.58
1420,2018,19371,9.12,21.42,15.97,14.68
1430,2018,3497,16.79,15.93,15.9,14.67
1431,2018,1722,11.56,30.78,11.27,8.01
1432,2018,4676,13.49,24.94,12.43,8.4
1434,2018,299,28.76,26.76,31.44,0
1436,2018,1746,2.81,23.71,20.1,12.83
1438,2018,260,6.54,46.15,18.08,6.92
1440,2018,9799,7.26,23.83,19.5,12.43
1450,2018,5720,8.95,20.05,10.47,8.18
1451,2018,2338,11.42,18.91,14.03,9.15
1452,2018,2690,9.63,26.25,15.43,8.03
1453,2018,21356,9.69,21.98,16.23,11.96
1460,2018,5251,11.05,20.82,9.46,11.69
1462,2018,5913,9.37,22.36,15.42,10.76
1463,2018,6460,9.55,22.94,14.32,11.49
1464,2018,3120,10.38,23.33,11.86,9.26
1467,2018,187,16.04,38.5,4.81,0
1468,2018,2409,8.47,20.22,20.34,15.03
1469,2018,4115,7.61,24.79,11.25,15.43
1473,2018,4135,13.16,26.53,16.47,7.47
1474,2018,963,7.48,30.32,6.75,12.77
1475,2018,5693,11.1,23.56,16.63,11.98
1501,2018,8655,14.03,17.84,17.83,10.71
1503,2018,1667,9.6,26.45,11.94,9.24
1504,2018,5589,9.32,20.83,12.18,11.15
1505,2018,2531,11.66,19.4,17.31,6.6
1506,2018,1804,9.53,27.61,14.19,15.69
1507,2018,7093,11.41,17.89,20.51,11.19
1510,2018,7823,10.32,23.33,14.57,12.41
1515,2018,1267,15.63,18.86,13.1,10.58
1516,2018,5048,7.88,25.71,11.75,10.9
1518,2018,1865,3.38,16.89,26.7,12.6
1519,2018,3670,6.59,16.73,18.07,10.74
1520,2018,8536,17.53,17.75,15.09,9.48
1521,2018,1338,10.01,25.49,12.56,9.49
1522,2018,1582,22.5,14.1,11.69,12.83
1523,2018,3507,8.53,34.1,11.69,9.32
1524,2018,3953,10.75,19.55,18.11,7.36
1525,2018,179,6.7,40.78,0,21.23
1527,2018,7498,9.52,17.88,18.97,12.78
1529,2018,1768,6.9,27.21,19.34,8.31
1531,2018,641,12.79,29.17,13.73,6.08
1532,2018,8440,11.97,17.48,13.2,8.85
1534,2018,3561,14.69,15.81,12.69,12.92
1535,2018,2580,9.73,26.94,13.8,12.87
1536,2018,4158,12.43,19.19,10.13,13.59
1537,2018,1256,7.01,33.44,20.7,4.3
1540,2018,6168,7.64,23.78,18.74,15.01
1541,2018,1924,11.43,19.07,13.77,9.15
1542,2018,1295,10.58,19.61,19.23,10.97
1543,2018,4871,20.28,18.95,14.76,9.61
1545,2018,19208,14.6,17.92,16.68,10.09
1550,2018,8288,7.29,26.24,18.57,11.32
1560,2018,2294,11.99,17.61,16.3,12.38
1561,2018,164,90.24,0,0,0
1562,2018,6494,10.58,27.12,14.04,10.06
1564,2018,4237,11.61,24.73,12.2,8.07
1566,2018,2869,11.61,13.59,16.31,7.95
1568,2018,4225,11.79,17.42,15.34,10.22
1569,2018,7648,7.81,24.97,16.83,12.93
1570,2018,8535,6.96,19.68,20.05,12.64
1571,2018,5869,13.17,20.36,16,9.2
1581,2018,9664,11.78,17.14,12.12,9
1583,2018,2853,7.78,17.95,17.03,11.46
1585,2018,2375,8.08,21.73,15.83,8.25
1588,2018,5081,8.34,21.67,17.48,13.97
1590,2018,5280,13.48,17.01,13.77,12.37
1602,2018,12589,17.59,10.26,17.36,12.44
1603,2018,8447,6.84,20.43,16.73,13.69
1604,2018,18155,9.29,15.52,22.3,11.4
1605,2018,12172,10.92,16.24,22.7,11.76
1606,2018,10128,11.05,13.98,24.36,9.78
1607,2018,4213,6.17,16.02,30.98,9.02
1608,2018,1378,11.54,10.74,25.62,14.3
1609,2018,8710,16.04,12.94,19.04,10.18
1610,2018,9873,16,14.83,13.93,14.98
1611,2018,1262,11.73,12.92,20.52,11.89
1612,2018,2546,12.45,14.57,17.16,9.51
1701,2018,18963,12.22,14.67,15.79,11.81
1702,2018,21967,9.24,16.8,13.42,13.37
1718,2018,500,8.2,16.4,18.2,0
1719,2018,3222,13.9,19.12,6.92,9.53
1720,2018,11784,13.38,16.51,11.2,5.61
1721,2018,10170,10.13,15.3,13.46,11.13
1730,2018,7041,10.64,15.96,16.89,4.22
1731,2018,359,14.48,5.01,17.55,10.58
1740,2018,2772,9.31,22.58,11.29,11.76
1741,2018,2438,16.78,20.02,12.22,4.88
1742,2018,8183,16.3,12.72,17.06,5.84
1745,2018,300,15.67,15,15.33,6
1746,2018,7974,12.59,15,14.11,7.78
1747,2018,3112,7.74,18.32,11.15,11.38
1748,2018,9066,9.4,19.46,16.8,7.18
1749,2018,11237,11.79,20.47,12.73,11.49
1752,2018,23210,7.61,20.87,14.22,11.66
1754,2018,6199,13.29,15.92,12.2,12.37
1756,2018,3501,9.48,20.59,12.08,15.48
1757,2018,15811,8.41,18.49,14.5,11.85
1760,2018,19729,14.12,11.87,15.06,8.2
1770,2018,2259,18.55,9.65,11.6,3.1
1772,2018,4985,8.75,17.79,11.35,6.28
1773,2018,2352,21.81,5.87,15.82,3.74
1775,2018,3808,15.49,20.67,12.45,9.4
1776,2018,9077,10.45,16.29,11.23,6.58
1778,2018,7173,12.81,12,13.98,7.82
1801,2018,22883,10.34,14.26,17.69,10
1803,2018,13936,9.27,16.42,15.59,11.01
1810,2018,18240,14.05,20.07,14.23,7.06
1821,2018,18734,8.3,20.58,12.93,11.4
1824,2018,13829,11.27,20.96,12.38,8.35
1826,2018,16795,9.28,20.79,17.19,9.48
1827,2018,1833,12.49,26.08,8.35,8.67
1830,2018,13552,7.97,18.12,15.73,11.98
1832,2018,12238,10.84,19.15,15.01,13.51
1833,2018,4892,7.73,16.15,18.13,10.26
1834,2018,3697,7.71,19.61,14.12,7.3
1835,2018,7364,10.89,19.54,21.03,11.37
1840,2018,2073,4.78,13.94,18.72,17.27
1841,2018,21964,2.9,24.67,17.98,12.43
1843,2018,12327,6.18,18.59,20.39,13.05
1844,2018,27369,7.42,19.79,15.63,12.27
1845,2018,15968,10.53,17.8,17.55,8.94
1850,2018,7979,8.97,19.2,16.86,12.58
1851,2018,15728,8.2,26.39,17.83,11.23
1852,2018,17104,8.26,23.91,14.94,10.17
1854,2018,13578,12.92,20.92,15.97,11.51
1860,2018,3661,12.92,15.82,19.91,8.55
1862,2018,5393,9.64,20.23,12.91,7.75
1863,2018,4786,16.15,20.64,13.94,6.6
1864,2018,8778,9.32,19.46,14.8,9.27
1867,2018,13539,11.85,17.08,16.99,8.03
1876,2018,17096,8.95,21.22,14.63,10.78
1879,2018,7300,9.15,20.12,16.66,10.45
1880,2018,15016,12.13,14.05,16.05,9.77
1886,2018,12676,12.97,20.21,12.91,6.78
1887,2018,13680,11.12,17.02,15.32,12.15
1890,2018,11118,12.48,14.57,14.45,5.22
1901,2018,707,2.12,21.78,30.83,4.95
1902,2018,24035,5.09,16.25,18.78,12.5
1904,2018,9325,9.36,18.67,17.38,11.67
1905,2018,12751,6.54,19.21,16.19,14.18
1906,2018,14901,9.6,15.87,16.35,11.62
1907,2018,7788,11.33,10.98,15.97,7.16
1908,2018,1978,11.68,10.21,21.69,8.44
1913,2018,9909,11.18,19.7,16.89,7.34
1915,2018,22922,13.38,14.01,16.39,9.75
1921,2018,4223,4.71,18.71,13.85,9.07
1922,2018,1625,18.4,11.38,12.25,10.4
1923,2018,14526,11.03,15.59,15.83,11.05
1929,2018,1915,11.07,23.03,11.49,6.74
1930,2018,15251,9.72,21.15,15.69,9.3
1937,2018,19,0,52.63,0,0
1938,2018,7363,13.98,15.28,12.35,8.24
1940,2018,7077,10.1,11.49,13.58,11.71
1944,2018,2555,12.37,13.39,17.93,6.03
1945,2018,10126,10.62,9.77,15.2,7.98
1949,2018,4325,8.05,17.99,12.42,14.08
1950,2018,9834,9.33,16.73,16.07,7.34
1951,2018,2156,11.69,18.41,10.95,8.3
1952,2018,4687,7.23,17.9,18.58,9.3
1960,2018,27272,8.02,16.57,16.65,14.29
1966,2018,3655,9.99,15.95,13.16,10.53
1969,2018,3447,10.3,22.74,10.1,10.56
1970,2018,24106,11.2,11.93,16.66,11.71
1982,2018,3865,13.2,14.64,13.82,7.35
1983,2018,2981,10.97,13.52,14.96,11.74
1984,2018,2578,19.86,7.02,11.87,7.95
1985,2018,2410,6.18,17.3,13.4,4.69
2019,2018,10052,6.72,19.31,11.16,12.79
2021,2018,12273,9.38,12.82,16.83,8.27
2025,2018,3922,10.89,10.89,11.22,11.96
2026,2018,13505,13.97,12.17,17.99,7.88
2030,2018,2688,11.31,10.23,15.07,3.01
2032,2018,2519,10.24,17.67,15.52,8.5
2035,2018,9174,7.79,15.74,16.13,7.79
2038,2018,18030,11.61,17.64,13.01,13.22
2043,2018,10643,10.31,10.68,10.69,9.38
2045,2018,5921,11.16,15.03,11.67,13.49
2047,2018,27,0,44.44,0,55.56
2048,2018,13797,11.81,14.55,13.25,12.26
2050,2018,13437,9.53,15.44,15.41,10.55
2052,2018,6075,13.76,10.88,12.43,8.33
2053,2018,7610,10.68,17.53,14.72,9.03
2054,2018,4295,9.94,18.81,13.41,11.9
2056,2018,5055,12.32,15.07,13.04,8.9
2061,2018,5575,9.35,14.44,15.37,7.96
2062,2018,16538,8.86,13.88,15.95,12.19
2066,2018,9393,9.92,8.38,13.96,10.68
2067,2018,9667,13.56,7.83,17.54,5.97
2071,2018,512,7.62,12.7,15.43,11.72
2072,2018,15743,9.16,13.12,17.7,13.24
2081,2018,9726,11.42,12.72,15.97,11.48
2090,2018,7739,10.05,12.43,12.48,8.93
2093,2018,6224,8.69,19.28,14.11,11.58
2108,2018,2212,13.83,6.6,7.23,4.66
2109,2018,2655,7.57,8.06,8.29,2.71
2110,2018,1362,7.2,7.56,11.38,8.37
2111,2018,3788,10.9,7.15,15.68,3.48
2113,2018,5899,7.14,6.26,8.43,5.53
2114,2018,8937,10.6,6.36,21.1,5.8
2115,2018,13563,23.38,6.73,14.77,8.4
2116,2018,14301,12.04,6.68,15.36,5.87
2118,2018,14943,10.81,8.02,18.87,8.41
2119,2018,12551,11.58,6.73,20.41,10.39
2120,2018,6946,16.83,5.04,20.04,9.72
2121,2018,12597,9.49,8.03,26.45,10.75
2122,2018,13533,9.48,14.18,13.83,11.9
2124,2018,27168,8.7,8.6,24.81,9.06
2125,2018,17802,8.93,11.07,19.14,9.44
2126,2018,14476,9.4,8.21,26.6,11.34
2127,2018,24055,8.55,9,14.46,5.48
2128,2018,26402,5.25,14.15,9.44,6.67
2129,2018,11593,10.89,9.16,12.71,5.49
2130,2018,23820,19.96,7.46,20.77,5.86
2131,2018,18598,12.96,7.81,20.18,10.05
2132,2018,15314,15.46,10.99,20.91,7.5
2134,2018,12598,20.24,6.92,16.72,11.04
2135,2018,29006,18.5,8.19,16.47,7.41
2136,2018,17606,8.13,7.98,29.78,11.94
2138,2018,20728,37.72,5.37,11.26,4.74
2139,2018,24281,29.58,7.52,13.33,4.54
2140,2018,12891,20.03,8.23,12.61,5.71
2141,2018,8664,17.95,10.34,14.92,5.48
2142,2018,2002,27.97,15.68,10.29,3.45
2143,2018,18883,21.17,8.45,10.39,5.53
2144,2018,18429,19.23,9.47,13.93,6.75
2145,2018,16096,9.97,12.33,16.46,7.34
2148,2018,32501,8.91,13.35,20.39,9.1
2149,2018,24084,6.29,15.29,15.08,11.71
2150,2018,20616,5.5,18.25,12.65,11.65
2151,2018,27782,7.06,13.68,13.11,10.41
2152,2018,10268,10.5,9.82,13.25,12.06
2155,2018,35454,15.68,12.17,16.8,7.76
2163,2018,518,45.75,3.28,4.44,1.54
2169,2018,31776,10.3,10.88,15.49,11.63
2170,2018,11248,10.49,11.9,13.1,9.9
2171,2018,10855,9.75,10.94,13.36,7.08
2176,2018,16259,11.9,11.03,16.54,9.53
2180,2018,12406,10.71,14.61,15.54,10.43
2184,2018,19651,9.68,14.03,17.12,9.19
2186,2018,14014,16.39,8.48,18.36,7.74
2188,2018,8584,9.13,15.83,18.21,9.76
2189,2018,8675,8.83,19.95,18.69,13.04
2190,2018,9594,9.02,15.19,20.34,8.13
2191,2018,4522,9.95,12.14,15.79,10.84
2199,2018,609,11.66,15.11,21.35,3.78
2203,2018,0,NA,NA,NA,NA
2210,2018,2479,11.09,8.27,9.4,1.77
2215,2018,12710,32.01,3.96,15.86,5.81
2301,2018,29879,5.71,12.5,27.32,12.59
2302,2018,16584,7.79,15.68,21.79,11.31
2322,2018,2569,8.1,18.14,18.41,11.76
2324,2018,14571,11.12,15.02,15.36,15.63
2330,2018,5725,7.79,19.07,18.36,12.47
2332,2018,7220,9.03,16.16,13.88,7.31
2333,2018,7397,7.75,17.56,15.52,11.46
2338,2018,4441,10.34,25.71,15.94,12.52
2339,2018,7293,5.77,15.07,17.11,11.57
2341,2018,6212,7.05,16.48,16.63,15
2343,2018,5249,8,14.73,14,7.98
2346,2018,12829,7.9,20.06,14.01,11.55
2347,2018,6311,9.17,15.8,14.96,13.66
2351,2018,9649,6.85,12.19,19.31,8.31
2356,2018,7095,14.04,14.81,16.19,11.36
2357,2018,567,49.74,0,4.23,18.34
2359,2018,10351,8.62,19.99,16.16,12.87
2360,2018,30590,8.35,17.99,15.72,11.77
2364,2018,7066,11.94,17.68,12.37,7.6
2366,2018,0,NA,NA,NA,NA
2367,2018,1549,9.1,20.34,12.2,10.91
2368,2018,18154,9.12,13.04,21.65,11.53
2370,2018,9979,7.21,16.23,13.59,13.11
2375,2018,5677,13.4,13.76,16.82,13.6
2379,2018,3704,9.48,18.14,15.23,13.53
2382,2018,8333,8.15,15.61,18.1,14.05
2420,2018,6932,14.2,15.97,14.86,3.48
2421,2018,9004,13.13,14.06,17.08,6.03
2445,2018,12210,17.02,4.58,26.82,5
2446,2018,17116,22.14,6.25,19.29,5.69
2451,2018,10980,12.11,13.61,17.13,9.95
2452,2018,8007,16.3,13.26,13.53,10.9
2453,2018,17342,14.91,13.14,13.16,11.72
2457,2018,698,49.43,0.14,5.87,14.47
2458,2018,6878,13.84,13.84,15.16,6.35
2459,2018,9812,15.86,7.52,17.45,7.68
2460,2018,5282,18.91,10.19,17.15,5.68
2461,2018,4010,17.28,7.48,17.36,9.23
2462,2018,751,20.24,5.86,16.11,6.26
2464,2018,1796,13.92,12.81,19.21,10.36
2465,2018,6434,15.22,10.02,15.88,6.95
2466,2018,4449,22.5,9.1,12.88,8
2467,2018,9855,25.77,5.96,19.07,5.75
2468,2018,2968,16.27,10.85,24.02,5.12
2472,2018,21960,18.41,9.94,15.38,8.28
2474,2018,16054,17.16,12.56,12.53,7.39
2476,2018,9090,16.84,12.01,13.7,4.31
2478,2018,13011,17.32,12.14,14.63,5.71
2481,2018,6913,14.57,7.35,11.54,7.35
2482,2018,5116,17.26,8.31,13.94,6.8
2492,2018,9793,16.09,11.66,15.87,7.85
2493,2018,4992,12.5,9.09,19.29,3.17
2494,2018,5084,15.05,7.67,15.76,8.65
2532,2018,7023,10.05,19.14,16.47,9.9
2534,2018,518,0,15.25,15.25,27.41
2535,2018,662,13.44,24.02,12.54,7.25
