COUNTYFP,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
01039,2018,37351,84.67,12.92,0.16,0.43,0.03,1.8,1.62,17.13,2142,4634,2086,2051,12529,2266,2629,2642,2859,7650,29161,21511,11.08,51.69,20.48,20.9
01041,2018,13865,71.68,23.07,0.79,1.36,0.0,3.12,1.98,21.61,787,1793,862,748,4919,815,1011,1070,928,2542,10749,8207,11.61,54.09,18.33,21.1
01043,2018,82313,95.24,1.21,0.42,0.41,0.0,2.72,4.3,18.19,4979,10332,5009,4781,30134,5257,5756,5716,5336,14803,63741,48938,11.89,55.21,17.98,17.6
01045,2018,49255,72.86,19.79,0.77,1.29,0.01,5.28,6.23,14.18,3231,6310,3023,3309,19274,3036,3117,3629,2719,7939,37749,29810,12.86,58.5,16.12,21.3
01047,2018,40029,28.12,70.47,0.02,0.56,0.06,0.76,1.03,19.3,2477,5524,2906,2522,14557,2247,2688,3068,2763,6705,30249,23544,13.56,56.35,16.75,17.8
01049,2018,71200,85.63,1.41,1.31,0.2,0.87,10.57,14.35,25.89,4251,10067,4805,4201,26615,4769,4627,4919,4333,11619,53720,42101,12.65,57.49,16.32,15.5
01051,2018,81212,74.9,21.43,0.26,0.48,0.0,2.94,2.89,13.62,4736,10221,5243,5253,32794,5525,5757,5750,4659,11770,62973,51203,12.92,58.8,14.49,17.9
01053,2018,37328,61.87,31.93,3.85,0.36,0.19,1.79,2.24,18.46,2122,4781,2212,2248,14244,2389,2508,2453,2355,6476,29000,22524,11.95,56.65,17.35,18.8
01055,2018,102939,80.35,15.75,0.73,0.72,0.06,2.39,3.77,15.48,5793,12358,6484,6309,37830,7054,6994,7243,6790,18877,80658,61781,12.43,54.38,18.34,19.6
01057,2018,16585,84.99,11.93,0.0,0.65,0.04,2.4,1.72,17.58,925,1950,1076,917,5767,1082,1097,1135,1237,3392,13023,9631,12.02,52.11,20.45,25.7
01059,2018,31542,83.91,4.4,1.55,0.38,0.0,9.76,16.91,23.23,2165,4267,2021,2277,12263,1901,2138,1662,2046,5100,23736,18636,13.63,59.27,16.17,15.5
01061,2018,26491,86.33,9.55,0.79,0.41,0.02,2.9,3.88,20.92,1445,3384,1661,1403,9153,1695,1905,2049,1708,5152,20635,15483,11.57,52.78,19.45,21.5
01063,2018,8426,17.15,79.67,0.57,0.0,0.0,2.61,1.7,24.1,490,1025,493,585,2850,411,586,688,660,1716,6564,4848,12.79,51.8,20.37,25.1
01065,2018,14887,39.62,58.76,0.19,0.26,0.0,1.16,0.87,16.35,971,1873,1128,844,5289,822,1065,970,1180,2717,11406,8689,13.25,54.63,18.25,21.1
01067,2018,17124,71.12,27.73,0.02,0.0,0.0,1.12,2.62,19.82,933,2007,1013,1004,5812,1084,1135,1307,1150,3696,13537,9841,11.78,51.11,21.58,18.7
01069,2018,104352,69.37,26.91,0.29,0.84,0.02,2.58,3.29,14.31,6340,13703,6478,6133,39176,6640,7103,7431,6344,17615,79966,62351,12.09,56.75,16.88,17.8
01071,2018,52094,91.01,3.45,1.18,0.41,0.15,3.79,2.89,17.53,2793,6323,3035,2718,18229,3507,3622,4034,3614,9972,40935,30963,11.04,52.49,19.14,18.8
01073,2018,659892,51.92,42.69,0.24,1.55,0.03,3.57,3.8,10.26,42537,84079,41417,43127,263276,40493,42860,45223,42278,99146,508234,409088,12.81,59.08,15.02,15.5
01075,2018,13933,87.47,11.18,0.0,0.0,0.0,1.35,1.56,17.6,699,1813,867,661,4562,906,975,1065,975,2938,10868,7930,10.97,50.77,21.09,24.4
01077,2018,92585,87.01,10.11,0.45,0.66,0.07,1.7,2.61,12.58,4736,10415,6149,7856,35164,5730,6154,6240,6270,17876,74063,56187,15.13,54.34,19.31,14.7
01079,2018,33171,78.21,10.93,5.66,0.13,0.07,4.99,2.13,21.03,1855,4196,1953,1772,11699,2255,2590,2559,2230,5787,25939,20152,11.23,53.51,17.45,20.5
01081,2018,159287,70.3,23.02,0.14,4.13,0.01,2.39,3.68,9.53,9431,19050,13411,22407,77921,9442,9212,8453,8039,17739,125085,107346,22.49,66.8,11.14,13.2
01083,2018,93052,80.75,13.4,0.92,1.26,0.03,3.64,5.89,15.74,5223,12128,6304,5103,36186,6754,7134,6605,5299,13723,71640,57917,12.26,57.53,14.75,16.3
01085,2018,10236,24.87,74.26,0.13,0.0,0.0,0.74,0.68,22.51,634,1299,579,668,3596,653,737,822,667,1828,7906,6078,12.18,54.02,17.86,25.0
01087,2018,19054,15.88,82.61,0.33,0.26,0.0,0.92,1.72,18.25,936,1859,1858,2266,7927,990,1182,1295,1323,3542,15643,12101,21.64,56.27,18.59,17.3
01089,2018,357560,68.19,24.06,0.55,2.54,0.09,4.57,4.84,8.87,20902,44167,24006,24700,141563,23828,27873,26834,21085,51308,278365,227057,13.62,57.79,14.35,13.1
01091,2018,19538,45.32,53.83,0.26,0.0,0.0,0.58,0.59,16.21,969,2706,1447,893,6889,1211,1327,1278,1468,3690,15070,11380,11.98,54.07,18.89,25.0
01093,2018,29965,93.06,3.66,0.41,0.16,0.0,2.71,2.51,20.34,1539,3570,1897,1605,10271,2033,2223,2036,2074,6219,23649,17430,11.69,51.33,20.75,25.9
01095,2018,95145,92.37,2.58,0.41,0.6,0.05,3.99,13.62,19.09,6536,13139,6167,5659,35078,6158,6326,5987,5980,15941,71491,55550,12.43,57.55,16.75,15.5
01097,2018,414659,58.76,35.56,0.7,1.96,0.01,3.01,2.89,13.77,26969,54440,27066,28485,162327,25050,27633,28094,26496,63650,316322,252672,13.4,58.78,15.35,14.0
01099,2018,21512,54.92,41.5,1.61,0.56,0.0,1.42,1.4,16.33,1266,2701,1450,1339,7462,1408,1485,1608,1522,4060,16592,12532,12.96,53.13,18.87,13.8
01101,2018,226941,36.51,57.67,0.18,2.69,0.02,2.93,3.41,14.43,15315,29538,15037,17009,93564,13566,14484,14899,13392,32183,173272,141089,14.12,60.99,14.18,16.2
01103,2018,119122,80.56,12.78,0.62,0.65,0.04,5.34,8.14,16.66,7059,15345,7610,6847,44091,7964,8763,8293,7742,19865,91738,71873,12.14,55.82,16.68,16.8
01105,2018,9486,29.92,69.45,0.06,0.22,0.0,0.35,0.94,21.93,514,1164,1007,986,3922,338,544,625,615,1764,7417,5653,21.01,59.03,18.6,25.2
01107,2018,20298,55.98,41.22,0.12,0.06,0.04,2.58,4.59,19.42,1034,2183,1294,1222,7534,1438,1564,1545,1271,3729,16296,12567,12.4,52.97,18.37,24.5
01109,2018,33403,56.76,38.01,0.63,2.14,0.01,2.45,0.79,19.01,1861,3608,2875,5801,15987,1678,1775,1913,1695,4886,26864,21978,25.97,64.23,14.63,17.1
01111,2018,22574,77.27,20.14,0.23,0.3,0.23,1.83,2.95,21.22,1290,2732,1542,1272,7856,1374,1569,1408,1833,4512,17660,13148,12.47,52.62,19.99,14.3
01113,2018,58213,50.26,42.87,0.28,0.89,0.12,5.57,5.36,16.68,4258,7831,3421,3753,23529,3618,3949,3899,3353,7776,43855,36079,12.32,61.19,13.36,18.8
01115,2018,87306,87.31,9.45,0.36,0.84,0.01,2.03,2.39,15.25,5241,11337,5144,4886,32709,6375,6098,6314,5341,13891,67308,53417,11.49,56.45,15.91,16.5
01117,2018,211261,80.28,12.05,0.22,2.01,0.02,5.42,5.74,7.85,12500,28904,14336,12099,82532,15293,14900,13510,13497,30125,160650,130525,12.51,58.66,14.26,11.2
01119,2018,12985,24.65,71.98,0.06,2.6,0.0,0.71,0.1,15.75,702,1354,1385,1686,5442,682,771,993,843,2198,10463,8265,23.65,57.74,16.93,21.8
01121,2018,80565,64.2,32.28,0.43,0.58,0.03,2.47,2.26,19.01,4301,9836,5044,5262,30213,5477,5569,5609,5803,13757,63217,49460,12.79,55.05,17.08,19.3
01123,2018,40636,69.52,27.43,0.32,0.38,0.0,2.35,2.35,19.53,2211,4867,2712,2264,13608,2593,2882,3055,3146,8274,32062,23788,12.25,50.91,20.36,19.0
01125,2018,206213,64.44,31.65,0.19,1.6,0.04,2.09,3.61,11.56,12348,23669,19497,23145,97630,11393,11674,11711,12103,25685,163037,137352,20.68,64.81,12.46,12.0
01127,2018,64493,90.78,6.21,0.17,0.49,0.0,2.34,2.4,19.14,3986,7839,4003,3691,22894,4181,4524,4749,4296,12024,50140,38116,11.93,53.83,18.64,24.1
01129,2018,16643,66.11,24.55,7.37,0.37,0.0,1.59,1.09,19.56,616,2311,1203,1044,5705,1044,1431,1109,1389,3038,12940,9902,13.5,51.87,18.25,24.5
01131,2018,10809,26.86,69.49,0.2,0.0,0.0,3.45,0.65,23.07,666,1427,847,665,3976,604,641,733,777,1985,8167,6182,13.99,56.15,18.36,18.4
01133,2018,23875,96.34,0.38,0.39,0.13,0.04,2.73,3.07,21.85,1246,2846,1368,1231,7858,1583,1760,1874,1681,5027,18883,13856,10.89,50.05,21.06,25.2
02013,2018,3425,17.66,4.2,39.39,25.64,0.73,12.38,10.1,13.58,108,272,170,238,1407,382,445,263,246,302,2937,2635,11.91,52.18,8.82,8.5
02016,2018,5750,29.55,4.28,11.32,40.0,2.57,12.28,13.88,11.18,240,599,275,529,2656,482,633,424,382,334,4787,4453,13.98,60.78,5.81,7.7
02020,2018,296112,62.99,5.55,7.39,9.61,2.33,12.14,9.07,6.18,21766,39757,18426,24169,132079,18171,19192,19614,16041,29492,222915,193423,14.38,65.38,9.96,11.1
02050,2018,18040,11.01,0.66,82.74,1.04,0.02,4.53,2.38,18.58,1863,3557,1594,1349,7648,913,1006,856,913,1284,11593,10309,16.31,72.44,7.12,10.6
02060,2018,890,56.29,0.45,32.7,0.34,0.22,10.0,3.6,5.58,52,110,45,38,309,65,90,104,75,85,696,611,9.33,52.92,9.55,14.2
02068,2018,2232,81.09,0.81,1.97,4.53,0.0,11.6,0.4,1.56,66,140,125,300,986,192,199,169,318,162,1975,1813,19.04,53.41,7.26,13.7
02070,2018,4975,17.59,1.35,72.1,1.53,0.06,7.38,3.48,12.75,478,824,379,392,2056,254,288,312,333,430,3439,3009,15.5,67.5,8.64,12.5
02090,2018,99653,75.54,4.51,7.26,3.08,0.56,9.05,7.98,5.47,7897,12876,6192,10850,47589,5456,5574,5948,5189,9124,75498,66374,17.1,68.6,9.16,11.3
02100,2018,2518,81.02,0.04,8.62,2.94,0.16,7.23,3.85,3.04,159,326,123,38,779,161,182,202,95,614,1960,1346,6.39,50.2,24.38,11.3
02105,2018,2132,45.54,3.19,38.51,2.81,0.14,9.8,6.66,8.51,102,194,52,104,600,163,176,240,242,415,1802,1387,7.32,42.03,19.47,15.5
02110,2018,32330,68.61,1.01,10.92,7.16,0.99,11.31,6.57,3.91,1901,3841,1992,2117,13327,2184,2421,2587,2192,3877,25348,21471,12.71,58.98,11.99,11.8
02122,2018,58220,83.29,0.64,7.72,1.52,0.33,6.51,4.08,7.21,3652,7351,3643,3297,21083,3544,4062,4749,4687,9092,44941,35849,11.92,55.11,15.62,14.6
02130,2018,13804,66.78,0.75,14.58,7.69,0.04,10.16,5.08,7.32,840,1713,801,870,5244,894,1011,991,1161,1950,10724,8774,12.11,56.48,14.13,14.6
02150,2018,13649,53.37,0.26,13.64,23.03,0.66,9.03,8.93,10.12,1077,1939,1032,817,5916,828,828,972,841,1248,10075,8827,13.55,65.44,9.14,12.8
02158,2018,8198,3.89,0.73,91.24,0.39,0.02,3.72,0.99,22.3,1086,1761,750,654,3390,366,422,448,269,456,4878,4422,17.13,76.08,5.56,11.0
02164,2018,1375,22.84,0.65,67.35,2.47,0.36,6.33,1.38,14.47,97,204,92,132,585,69,95,114,102,109,1002,893,16.29,64.44,7.93,13.9
02170,2018,103464,83.05,1.08,5.69,1.39,0.22,8.57,4.78,7.63,7526,15905,7089,6523,41963,6408,6943,7385,6304,11030,75362,64332,13.16,63.2,10.66,13.2
02180,2018,9925,16.13,0.9,74.52,1.61,0.43,6.41,2.55,15.93,957,1926,799,768,4174,501,562,670,393,742,6521,5779,15.79,71.1,7.48,10.0
02185,2018,9797,31.63,0.86,51.99,5.59,1.79,8.15,2.11,10.23,813,1375,534,565,3988,701,822,946,525,627,7257,6630,11.22,63.04,6.4,10.1
02188,2018,7734,11.11,1.12,82.52,0.98,0.0,4.27,1.15,18.13,810,1516,624,598,3255,397,458,395,307,596,5014,4418,15.8,72.16,7.71,10.1
02195,2018,3255,72.07,0.71,7.28,9.28,0.52,10.14,10.35,10.26,206,414,198,302,1154,184,150,259,187,701,2521,1820,15.36,54.5,21.54,18.5
02198,2018,6474,47.16,0.37,39.9,1.17,0.63,10.77,3.77,9.84,394,894,387,327,2218,415,535,540,518,960,4936,3976,11.03,54.16,14.83,21.4
02220,2018,8738,64.72,1.18,12.79,7.23,0.09,13.98,6.48,6.04,412,1187,509,488,3468,542,585,708,568,1268,6799,5531,11.41,57.99,14.51,12.2
02230,2018,1061,86.43,1.23,5.18,1.79,0.0,5.37,5.18,6.3,66,85,60,41,472,71,67,121,59,120,876,756,9.52,58.72,11.31,11.0
02240,2018,6876,76.63,0.68,13.19,2.27,0.03,7.2,5.54,9.79,509,1074,539,299,2566,440,442,549,410,886,5010,4124,12.19,60.34,12.89,17.1
02261,2018,9301,73.14,0.27,12.77,3.52,0.61,9.69,5.01,4.01,582,1312,432,510,3454,638,710,605,848,1152,7102,5950,10.13,57.5,12.39,12.2
02275,2018,2484,67.23,0.08,19.97,2.78,0.36,9.58,4.87,11.68,116,260,165,68,704,190,155,300,211,548,1991,1443,9.38,43.48,22.06,17.9
02282,2018,689,44.85,0.29,28.3,8.27,2.32,15.97,7.26,8.2,62,92,41,43,264,37,67,41,41,85,502,417,12.19,60.67,12.34,8.7
02290,2018,5415,22.7,0.13,70.54,0.61,0.0,6.02,2.42,14.33,403,845,383,323,2064,226,350,392,396,739,3917,3178,13.04,61.16,13.65,14.9
04001,2018,71522,22.88,0.72,73.69,0.4,0.03,2.29,6.21,20.45,4908,11361,5845,4982,27395,3999,4677,4424,4338,10420,51691,41271,15.14,61.05,14.57,14.7
04003,2018,126279,84.93,3.75,1.3,1.87,0.37,7.79,35.32,12.82,7645,15529,7942,7696,45314,6772,7520,7370,9579,26550,98483,71933,12.38,54.24,21.02,17.1
04005,2018,140217,63.83,1.33,26.66,2.07,0.13,5.97,14.03,10.37,7860,16618,16137,17483,68041,7145,7831,8520,7943,16259,110570,94311,23.98,65.98,11.6,11.9
04007,2018,53400,76.96,0.59,16.03,0.91,0.04,5.47,18.71,14.68,3039,6075,2573,2758,15031,2698,3262,4023,4489,14783,42551,27768,9.98,45.22,27.68,22.2
04009,2018,37879,78.98,1.99,12.69,0.65,0.13,5.56,32.88,14.36,2819,5746,2957,2826,16256,2190,1971,1814,2071,5012,27546,22534,15.27,65.53,13.23,13.0
04011,2018,9504,90.93,2.24,4.59,0.31,0.0,1.94,46.44,11.05,697,1495,717,640,4042,443,592,537,543,1155,6865,5710,14.28,65.59,12.15,13.0
04012,2018,20701,76.88,0.82,14.12,0.76,0.04,7.38,27.12,22.66,961,1906,1015,909,5292,951,1018,1236,1490,7847,17288,9441,9.29,39.41,37.91,22.5
04013,2018,4253913,77.62,5.47,1.94,4.15,0.22,10.59,30.82,12.61,279161,586522,288250,288489,1749968,274317,267522,251853,229293,615277,3211668,2596391,13.56,61.49,14.46,11.1
04015,2018,206064,90.51,1.1,2.36,1.22,0.25,4.57,16.25,14.73,9137,21222,10146,9671,59515,10695,13172,16181,16805,59337,169180,109843,9.62,43.61,28.8,22.5
04017,2018,108705,47.78,0.89,44.46,0.63,0.08,6.17,11.34,17.18,7889,16743,7903,6517,39360,5833,6545,7120,6864,18351,79025,60674,13.27,58.87,16.88,17.9
04019,2018,1019722,76.24,3.53,3.75,2.89,0.16,13.44,36.95,11.68,59040,121889,68894,91472,404092,56432,59915,63608,64494,190252,801274,611022,15.73,57.37,18.66,15.2
04021,2018,419721,80.2,4.47,4.95,1.81,0.34,8.23,29.87,14.56,24845,57107,25465,24054,160264,23828,23183,23737,25850,80907,321617,240710,11.8,57.71,19.28,15.2
04023,2018,46584,85.13,0.53,0.78,0.92,0.0,12.64,83.5,24.38,3342,7186,3793,3035,16956,2660,2840,2784,2925,7891,33712,25821,14.66,59.0,16.94,12.4
04025,2018,224645,91.54,0.57,1.43,1.0,0.1,5.36,14.45,9.68,9547,21380,11708,10197,62241,11207,14211,17332,21877,66850,186874,120024,9.75,41.47,29.76,18.3
04027,2018,207829,74.99,2.16,1.29,1.32,0.06,20.18,63.35,27.86,15212,29320,14852,17626,83816,10918,10916,9951,10267,37429,154558,117129,15.63,61.76,18.01,12.0
05001,2018,18124,72.53,25.81,0.1,0.0,0.0,1.56,3.06,17.0,1207,2191,1238,1010,6457,1094,1190,1218,1425,3342,13948,10606,12.4,54.38,18.44,24.4
05003,2018,20537,71.76,25.68,0.24,0.23,0.0,2.09,5.34,17.69,1247,2758,1350,1250,7008,1321,1434,1507,1282,3980,15756,11776,12.66,53.63,19.38,23.1
05005,2018,41219,96.59,0.18,0.32,0.42,0.03,2.46,2.25,11.84,1721,4215,1969,1668,11405,2175,2598,2944,3511,12650,33993,21343,8.82,42.07,30.69,21.2
05007,2018,258980,87.89,1.68,1.43,3.81,0.56,4.63,16.44,11.92,18379,39608,17318,14837,107087,16899,15812,14756,12514,33925,189692,155767,12.42,63.74,13.1,9.5
05009,2018,37288,96.12,0.42,0.78,0.51,0.1,2.07,2.41,13.01,2288,4769,2178,2102,12904,2178,2668,2630,2360,7491,28775,21284,11.48,53.53,20.09,18.8
05011,2018,10948,65.38,29.01,1.16,0.0,0.0,4.45,15.11,18.04,682,1505,737,530,3899,654,776,662,756,2014,8350,6336,11.57,55.59,18.4,21.4
05013,2018,5202,76.16,21.63,0.13,0.0,0.19,1.88,3.96,17.31,305,542,326,279,1742,299,454,321,457,1082,4165,3083,11.63,49.77,20.8,24.6
05015,2018,27887,92.61,1.2,0.67,1.2,0.75,3.57,15.0,14.19,1557,3486,1733,1465,8953,1607,1905,2248,2029,6102,21755,15653,11.47,50.19,21.88,15.7
05017,2018,10826,43.72,54.14,0.22,0.4,0.0,1.52,5.36,19.28,651,1406,722,520,3664,662,708,913,710,2112,8370,6258,11.47,52.85,19.51,24.4
05019,2018,22385,71.2,24.01,0.38,0.7,0.04,3.67,4.69,10.79,1186,2352,2610,3062,10084,1287,1306,1283,1294,3593,18119,14526,25.34,60.85,16.05,19.6
05021,2018,15061,95.9,0.62,0.44,0.0,0.0,3.05,1.99,19.34,841,1886,910,842,5149,948,1027,1053,1018,3139,11745,8606,11.63,52.29,20.84,23.5
05023,2018,25230,97.0,0.55,1.08,0.6,0.0,0.76,2.45,15.28,1159,2769,1341,1206,7591,1399,1794,1914,1907,6697,20431,13734,10.1,45.66,26.54,17.8
05025,2018,8226,86.38,11.23,0.16,0.04,0.0,2.19,1.87,11.39,437,1100,573,420,2769,523,602,577,568,1650,6364,4714,12.07,52.35,20.06,20.4
05027,2018,23892,60.59,34.95,0.36,1.12,0.0,2.98,2.72,15.01,1428,2731,2306,2707,10137,1273,1394,1417,1477,4035,18827,14792,20.98,59.84,16.89,18.5
05029,2018,20906,85.17,10.92,0.31,0.09,0.0,3.52,3.88,14.11,1238,2725,1230,1121,7255,1270,1591,1512,1384,3931,16122,12191,11.25,53.66,18.8,23.3
05031,2018,105701,79.45,13.83,0.45,1.26,0.19,4.82,4.97,10.88,7387,14480,7831,8291,46078,6023,6081,5962,5586,14104,79506,65402,15.25,64.28,13.34,17.5
05033,2018,62472,88.35,1.57,1.98,1.87,0.01,6.21,7.55,14.84,3877,8851,4212,3577,23239,4054,4240,4545,3598,10068,46986,36918,12.47,57.57,16.12,20.2
05035,2018,49013,44.4,48.54,0.32,0.72,0.16,5.87,2.47,17.57,3743,7394,3452,3334,19069,2987,3316,2966,3043,6495,35566,29071,13.85,61.63,13.25,17.0
05037,2018,16998,74.69,19.46,0.14,0.06,0.0,5.65,1.94,17.2,1118,2250,1152,1001,6094,1076,1162,1180,1066,3052,12915,9863,12.67,55.67,17.96,19.9
05039,2018,7432,55.48,41.62,0.42,0.35,0.2,1.94,3.08,16.36,368,914,582,300,2507,428,490,515,630,1580,5736,4156,11.87,50.98,21.26,23.2
05041,2018,11887,49.26,47.08,0.25,0.33,0.0,3.09,5.87,21.17,758,1768,858,583,4074,642,760,797,932,2156,8833,6677,12.12,55.52,18.14,20.7
05043,2018,18502,68.65,28.82,0.1,0.23,0.0,2.2,3.29,14.87,1122,2188,1644,1820,7596,1114,1067,1188,1136,3091,14479,11388,18.72,58.94,16.71,20.4
05045,2018,122416,82.22,11.36,0.4,1.33,0.13,4.55,4.05,8.67,7728,16152,10067,13682,56584,7253,7283,6813,6115,14488,93690,79202,19.4,65.73,11.84,14.6
05047,2018,17780,94.17,0.97,1.54,0.59,0.21,2.53,3.07,17.44,1001,2329,1246,1130,6378,1083,1250,1092,1286,3361,13608,10247,13.36,54.6,18.9,21.0
05049,2018,12139,96.27,0.58,0.45,0.05,0.04,2.6,1.51,15.45,577,1446,696,591,3598,744,830,694,1179,3071,9652,6581,10.6,46.31,25.3,24.1
05051,2018,98296,86.22,8.17,0.8,0.53,0.01,4.27,5.53,11.62,5295,11195,5647,5191,32760,5935,6335,7396,6938,22442,78233,55791,11.03,50.1,22.83,20.5
05053,2018,18086,95.0,2.99,0.18,0.05,0.0,1.77,2.66,8.52,973,2377,1238,1004,6609,1233,1372,1417,989,3116,13937,10821,12.4,55.06,17.23,19.7
05055,2018,44623,95.39,1.61,0.24,0.29,0.09,2.38,2.79,12.68,2895,6196,2945,2882,17357,2902,2975,3246,2106,6946,33632,26686,13.06,59.27,15.57,23.0
05057,2018,22018,59.35,30.49,0.23,0.08,0.23,9.63,12.65,19.0,1609,3198,1425,1396,7630,1280,1515,1348,1565,3873,16303,12430,12.81,56.49,17.59,17.9
05059,2018,33520,84.56,12.03,0.07,0.42,0.03,2.89,3.42,14.58,1674,4102,1884,1886,12342,2147,2458,2307,2342,6148,26513,20365,11.25,54.05,18.34,23.7
05061,2018,13389,66.95,20.62,0.2,0.25,0.1,11.87,12.18,17.08,930,1943,966,682,4730,757,988,825,878,2338,9938,7600,12.31,56.79,17.46,18.4
05063,2018,37264,91.92,1.86,0.2,0.63,0.02,5.37,6.19,14.22,2405,5009,2494,2205,13751,2359,2437,2573,2332,6398,28367,21969,12.61,56.8,17.17,19.7
05065,2018,13559,94.66,1.87,1.44,0.13,0.0,1.9,2.23,14.92,665,1386,733,649,4186,892,967,1216,867,3380,11098,7718,10.19,46.0,24.93,24.5
05067,2018,17225,78.47,12.44,0.1,0.04,0.04,8.91,2.82,21.1,973,1963,874,1092,6729,1022,1236,1253,1064,2985,13752,10767,11.41,56.11,17.33,22.2
05069,2018,70424,40.09,56.64,0.3,0.94,0.0,2.03,2.03,13.97,4273,8686,4916,5153,27329,4160,4777,5329,4402,11468,54652,43184,14.3,57.21,16.28,18.0
05071,2018,26291,91.41,1.61,0.17,1.86,0.13,4.81,13.8,20.63,1702,3637,1887,1781,9996,1548,1830,1755,1614,4209,19903,15694,13.95,58.33,16.01,20.3
05073,2018,6915,60.68,36.63,0.3,0.51,0.0,1.88,2.49,18.26,374,718,416,430,2239,386,523,594,503,1578,5551,3973,12.23,48.17,22.82,22.7
05075,2018,16669,96.75,1.04,0.28,0.1,0.01,1.83,1.44,14.51,916,2109,1228,1140,6103,972,1177,1016,1170,3206,12939,9733,14.21,54.76,19.23,23.7
05077,2018,9398,42.33,56.53,0.29,0.14,0.0,0.71,1.78,26.98,486,964,478,684,3786,600,588,646,597,1731,7625,5894,12.36,55.71,18.42,23.9
05079,2018,13695,66.48,31.34,0.36,0.0,0.0,1.83,3.77,18.73,546,1381,630,939,6023,1093,1062,768,820,2002,11321,9319,11.46,58.05,14.62,23.5
05081,2018,12417,73.51,22.24,1.15,0.35,0.0,2.74,0.86,11.84,724,1542,612,748,4362,695,857,874,828,2535,9669,7134,10.95,53.38,20.42,21.6
