ZCTA,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
98364,95,95,72,0,0.0,23,0,0.0,23,24.21
98367,29137,28996,24861,878,3.53,4135,1448,35.02,1457,5.0
98370,31206,31042,26780,538,2.01,4262,819,19.22,1497,4.8
98374,39985,39851,35338,996,2.82,4513,932,20.65,1344,3.36
98403,8146,8011,4833,208,4.3,3178,528,16.61,1216,14.93
98407,21240,21143,16443,491,2.99,4700,1018,21.66,1595,7.51
98433,18909,14345,14037,129,0.92,308,73,23.7,181,0.96
98439,5357,5357,4532,255,5.63,825,69,8.36,417,7.78
98466,28465,28167,22484,641,2.85,5683,1257,22.12,2148,7.55
98499,31234,30991,24163,1220,5.05,6828,1420,20.8,2664,8.53
98501,41669,41367,33115,1078,3.26,8252,2113,25.61,2711,6.51
98502,34800,33812,25463,1231,4.83,8349,2599,31.13,2589,7.44
98512,29679,28854,23224,870,3.75,5630,1495,26.55,2115,7.13
98520,24116,21413,17459,969,5.55,3954,908,22.96,1508,6.25
98568,2743,2743,2291,85,3.71,452,112,24.78,177,6.45
98588,1390,1390,1024,0,0.0,366,72,19.67,169,12.16
98592,1570,1570,1331,0,0.0,239,49,20.5,94,5.99
98811,102,102,29,0,0.0,73,33,45.21,24,23.53
98827,396,261,120,0,0.0,141,46,32.62,95,23.99
98832,211,187,155,0,0.0,32,9,28.12,17,8.06
98840,4385,4107,3194,68,2.13,913,209,22.89,323,7.37
98852,15,15,12,0,0.0,3,0,0.0,0,0.0
98857,3637,3637,3278,111,3.39,359,68,18.94,236,6.49
98903,14312,14156,12148,440,3.62,2008,304,15.14,934,6.53
95811,6050,5602,2722,125,4.59,2880,568,19.72,1204,19.9
95915,0,0,0,0,,0,0,,0,
95054,24264,23682,19199,430,2.24,4483,1632,36.4,1676,6.91
95219,29668,29646,25487,532,2.09,4159,699,16.81,1670,5.63
99216,26107,25842,20250,820,4.05,5592,992,17.74,2054,7.87
99224,21241,20851,17365,432,2.49,3486,661,18.96,1381,6.5
99322,201,201,179,3,1.68,22,1,4.55,6,2.99
28679,1740,1740,1381,29,2.1,359,79,22.01,62,3.56
21228,48133,46570,37852,763,2.02,8718,2136,24.5,2781,5.78
21522,164,164,164,0,0.0,0,0,,0,0.0
