"FIPS","SVIth1","SVIth2","SVIth3","SVIth4","SVIS"
31061,0.2022,0.3575,0.1579,0.0481,0.0768
31063,0.1344,0.4075,0.0341,0.2222,0.0994
31069,0.0328,0.3359,0.0519,0.0287,0.0143
31071,0.0624,0.5049,0.0131,0.086,0.043
31073,0.0096,0.1121,0.0812,0.0315,0.0051
31077,0.1299,0.5377,0.0764,0.0175,0.0411
31083,0.2124,0.525,0.2257,0.0662,0.1239
31087,0.2691,0.8188,0.0863,0.1372,0.1943
31097,0.3414,0.4263,0.7141,0.8287,0.5777
31101,0.2341,0.4362,0.3021,0.2932,0.2268
31105,0.529,0.9672,0.4524,0.2423,0.5611
31109,0.1573,0.0774,0.6988,0.6925,0.3025
31113,0.1494,0.2442,0.3677,0.1009,0.1073
31115,0.0439,0.2429,0.0048,0.0067,0.0045
31117,0.3682,0.1646,0.0417,0.0643,0.0838
31119,0.3331,0.2993,0.7896,0.6848,0.5105
31129,0.1994,0.4556,0.326,0.1598,0.1736
31141,0.2067,0.1847,0.8032,0.3442,0.2994
31149,0.0076,0.0926,0.1592,0.0713,0.0092
31151,0.501,0.3438,0.8784,0.5339,0.5978
31159,0.0347,0.1098,0.155,0.2394,0.0468
31161,0.3525,0.8571,0.49,0.7736,0.5968
31163,0.1529,0.3403,0.1764,0.0627,0.0739
31169,0.0796,0.4578,0.1334,0.0608,0.058
31175,0.1258,0.5766,0.2194,0.1859,0.1484
31179,0.1914,0.0108,0.3932,0.3645,0.0847
32005,0.1239,0.2658,0.667,0.1452,0.1793
32007,0.3283,0.3961,0.8434,0.5893,0.5178
32011,0.0156,0.3757,0.1722,0.1824,0.0675
32033,0.3691,0.1544,0.6364,0.4935,0.3742
32510,0.4615,0.872,0.843,0.9605,0.8443
33003,0.0605,0.2496,0.0408,0.2111,0.0583
33011,0.0927,0.0599,0.6492,0.4998,0.1911
34009,0.3127,0.1665,0.5798,0.5202,0.3398
34025,0.0924,0.0436,0.7864,0.3126,0.1605
34027,0.0389,0.0261,0.8281,0.2881,0.1201
34035,0.0318,0.0293,0.8914,0.1777,0.1
35027,0.385,0.3865,0.8812,0.3301,0.4796
35043,0.5264,0.361,0.8749,0.1847,0.4818
35055,0.7331,0.8243,0.9074,0.6606,0.8586
35059,0.5096,0.6415,0.9249,0.5014,0.6793
36003,0.614,0.4215,0.2397,0.829,0.5818
36007,0.5217,0.2951,0.6116,0.8303,0.6166
36009,0.6111,0.6835,0.4117,0.8968,0.7283
36011,0.3834,0.4731,0.3327,0.8329,0.5025
36013,0.6602,0.5466,0.5584,0.7921,0.7248
36015,0.3866,0.6737,0.3158,0.6899,0.485
36019,0.4736,0.2006,0.3983,0.9061,0.5312
36029,0.2806,0.2149,0.723,0.6355,0.414
36033,0.6873,0.3556,0.447,0.8908,0.7073
36043,0.5433,0.5193,0.2693,0.7106,0.5322
36051,0.3503,0.0761,0.3203,0.8278,0.3424
36055,0.3621,0.2884,0.8039,0.6574,0.5204
36057,0.7414,0.8504,0.6667,0.7138,0.8306
36059,0.0764,0.0392,0.9105,0.5546,0.243
36065,0.472,0.554,0.7179,0.8679,0.6946
36071,0.2646,0.2044,0.8777,0.9004,0.5538
36077,0.4596,0.1025,0.3457,0.8153,0.4236
36089,0.678,0.4499,0.4244,0.943,0.7475
36093,0.3385,0.1162,0.7042,0.6135,0.3943
36099,0.3745,0.4034,0.4091,0.6832,0.449
36105,0.5678,0.6543,0.7841,0.8962,0.7939
36123,0.3971,0.2222,0.2869,0.8691,0.4392
37003,0.7029,0.3505,0.5807,0.5696,0.6341
37011,0.6475,0.2636,0.538,0.8071,0.6446
37013,0.7137,0.744,0.717,0.3996,0.7156
37019,0.3592,0.348,0.5603,0.3419,0.3583
37029,0.585,0.4253,0.5234,0.0341,0.307
37033,0.8261,0.2792,0.7316,0.8981,0.836
37039,0.7,0.4276,0.3457,0.2884,0.4869
37043,0.3707,0.3375,0.2311,0.2044,0.2191
37045,0.864,0.7039,0.5174,0.7654,0.835
37047,0.8637,0.907,0.8115,0.9007,0.9481
37067,0.522,0.2798,0.8895,0.7835,0.6834
37073,0.5449,0.5129,0.4161,0.1372,0.3567
37081,0.4631,0.2474,0.9064,0.7619,0.6369
37085,0.7497,0.5654,0.8144,0.5982,0.7869
37089,0.193,0.2916,0.7144,0.4167,0.321
37099,0.5841,0.1305,0.6409,0.8733,0.6236
37105,0.7545,0.7237,0.9156,0.6447,0.8481
37111,0.715,0.8103,0.5365,0.7539,0.7895
37113,0.4338,0.4002,0.5575,0.2232,0.3548
37117,0.8373,0.9258,0.6441,0.1955,0.7541
37129,0.3726,0.0707,0.6628,0.6205,0.3771
37135,0.1701,0.014,0.8278,0.8367,0.2959
37137,0.5774,0.433,0.6909,0.8551,0.7162
37143,0.6232,0.2935,0.6549,0.2961,0.5048
37149,0.2395,0.348,0.4623,0.7338,0.3825
37173,0.8459,0.717,0.5151,0.5498,0.7774
37175,0.4866,0.2744,0.4604,0.3992,0.3975
37179,0.2217,0.1598,0.7969,0.0888,0.1873
37183,0.1019,0.1359,0.8596,0.4384,0.2774
37191,0.8016,0.8402,0.923,0.9427,0.9503
37193,0.7812,0.5759,0.5584,0.4578,0.6924
37195,0.8462,0.8373,0.8793,0.8644,0.936
37199,0.7997,0.4534,0.4683,0.2601,0.5736
38013,0.0153,0.0949,0.0697,0.0707,0.007
38015,0.0137,0.1652,0.3101,0.7227,0.1739
38017,0.0475,0.0427,0.5438,0.5323,0.1427
38019,0.0481,0.1191,0.2512,0.0366,0.0172
38023,0.0599,0.1353,0.1146,0.1391,0.0334
38029,0.2194,0.304,0.043,0.1531,0.0955
38035,0.2439,0.0382,0.4591,0.8816,0.3029
38037,0.1089,0.2248,0.0538,0.2124,0.071
38039,0.0592,0.4097,0.1334,0.135,0.0732
38045,0.2223,0.1111,0.298,0.0213,0.0443
38047,0.1328,0.092,0.0914,0.1344,0.0382
38051,0.2309,0.3515,0.1111,0.1127,0.1061
38063,0.0739,0.1859,0.014,0.1694,0.035
38071,0.0828,0.7256,0.2302,0.8695,0.3532
38077,0.136,0.0551,0.2407,0.4865,0.1217
38083,0.2946,0.1334,0.1538,0.0592,0.0742
38087,0.058,0.5091,0.0755,0.0045,0.0137
38089,0.0688,0.0974,0.4062,0.7635,0.214
38093,0.1685,0.1496,0.177,0.8134,0.2424
38101,0.0424,0.0452,0.4311,0.7361,0.1678
