"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","agOver65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP","DisbP"
"35",48277,48499,28258,3422,7123,3516,2781,19295,3137,2988,2669,2292,7573,12.98,61.53,15.61,82.46,13.47,3.33,1.08,0.4,0.02,126100,23.67,43
"36",48099,74978,51034,5871,11016,5954,10290,43482,3693,2765,2168,1712,4271,21.67,80.52,5.7,65.28,21.8,12.57,0.88,1.75,0.49,771600,18.88,21
"37",48165,14467,7912,1208,2898,1454,885,6209,848,717,572,525,1490,16.17,71.3,10.3,80.28,2.28,35.77,0.76,0.15,0.01,239100,43.83,30
"38",48259,23743,13985,1501,3820,1708,896,8869,1957,1764,1425,1115,3292,10.97,59.76,13.87,92.86,0.35,17.89,0.56,0.23,0.05,142500,14.59,27
"39",48347,59203,37828,3872,7928,6177,8076,28879,3643,3220,2472,2022,7167,24.07,68.71,12.11,75,16.74,11.25,0.39,0.7,0.07,424900,26.35,35
"40",48331,24238,13409,1654,3731,1882,1264,9127,1573,1505,1332,1143,4173,12.98,59.87,17.22,78.89,11.05,18.63,0.5,0.22,0.01,226400,29.12,37
"41",48209,97589,66198,6158,13207,9887,14675,52130,6767,5369,3675,2798,7485,25.17,73.26,7.67,78.92,3.68,29.57,0.69,0.79,0.07,1553700,15.31,25
"42",48489,20082,11402,1645,3590,1864,1645,8853,1153,1007,801,705,2328,17.47,70.15,11.59,70.37,2.19,85.69,0.5,0.11,0.03,538800,51.25,39
"43",34017,608853,402125.42,38748.24,76684.63,37375.51,48019.38,302151.46,38575.27,33789.23,26696.65,22950.4,69257.12,14.03,68.59,11.38,55.58,13.48,39.76,0.42,9.35,0.06,12890517.04,29.47,42
"44",34011,146438,90148,9161,21710,10058,8752,64460,10147,9178,7056,5639,19087,12.85,65.1,13.03,65.88,20.2,19,0.97,0.95,0.06,1755900,31.49,41
"45",23019,144919,92899,7768,19109,11579,10962,64569,11273,9900,7315,6065,18920,15.55,63.1,13.06,96.6,0.49,0.61,1,0.7,0.03,175900,14.3,36
"46",50009,6459,3825,349,1000,455,269,2482,481,456,414,296,981,11.21,59.31,15.19,96.56,0.17,0.5,0.63,0.26,0,15300,25.05,37
"47",50011,45417,27654,3215,7375,3222,2129,19620,3482,2890,2223,1608,5004,11.78,66.52,11.02,96.06,0.3,0.59,1.51,0.26,0.02,85000,17.43,33
"48",56001,32014,23474,1630,3189,3634,6463,18438,2140,1805,1218,948,2646,31.54,72.65,8.27,91.32,1.11,7.49,0.95,1.7,0.06,157500,6.55,22
"49",56015,12538,7332,727,1727,1055,701,4802,916,837,730,627,2172,14.01,57.87,17.32,93.83,0.2,8.83,0.86,0.2,0.12,61600,15.26,40
"50",56045,6644,4010,348,868,579,296,2621,575,484,367,345,1036,13.17,57.75,15.59,95.94,0.12,2.06,1.26,0.2,0.02,16500,14.8,34
"51",56017,4882,2828,235,614,346,170,1654,401,334,344,322,978,10.57,51.27,20.03,95.96,0.35,2.38,1.52,0.25,0,9400,15.82,36
"52",56039,18251,13355,941,2044,997,1440,9431,1691,1348,910,622,1264,13.35,68.03,6.93,93.59,0.15,6.49,0.53,0.54,0.03,94700,5.29,14
"53",56003,11461,6249,781,1878,965,495,4052,837,762,645,581,1925,12.74,58.56,16.8,94.03,0.11,6.17,0.75,0.21,0.07,56100,16.82,34
"54",56027,2407,1412,115,315,172,88,885,196,150,154,141,451,10.8,54.63,18.74,98.05,0.12,1.5,0.5,0.12,0,2900,12.71,33
"55",56033,26560,16027,1407,3559,2186,1383,10280,2388,2039,1580,1186,4121,13.44,57.4,15.52,95.88,0.18,2.43,1.27,0.38,0.12,60600,11.6,32
"56",56043,8289,4715,488,1276,704,322,3113,669,558,475,394,1316,12.38,58.84,15.88,90.22,0.11,11.47,0.55,0.74,0,69500,14.38,26
"57",56005,33698,21471,2484,5862,3140,2156,16185,3106,2163,1258,869,1771,15.72,72.8,5.26,96.06,0.15,3.53,0.93,0.32,0.09,85700,11.65,26
"58",56025,66533,40809,4302,9728,5525,4464,28551,5433,4361,3147,2587,8424,15.01,64,12.66,94.15,0.76,4.9,1.03,0.42,0.04,242100,11.74,33
"59",50005,29702,17921,1628,4422,2386,1678,11867,2541,2228,1542,1202,4272,13.68,60.32,14.38,97.48,0.29,0.68,0.55,0.37,0.01,38700,17.35,34
"60",56031,8807,5116,454,1297,698,362,3196,728,662,549,463,1458,12.04,56.17,16.56,96.18,0.16,5.28,0.5,0.17,0.02,26300,15.13,33
"61",56009,12052,7293,770,1950,1008,547,4947,1054,889,627,486,1329,12.9,63.62,11.03,94.72,0.15,5.48,0.91,0.27,0.02,47600,13.6,27
"62",56011,5887,3438,306,898,522,245,2215,484,432,374,310,868,13.03,58.08,14.74,97.86,0.05,0.92,1.02,0.07,0,5900,14.22,30
"63",50001,35974,22960,2057,5186,3381,2835,15910,3009,2574,1869,1304,4065,17.28,64.36,11.3,96.86,0.54,1.1,0.26,0.73,0.03,57700,13.61,26
"64",56019,7075,4088,366,980,530,229,2425,645,505,476,403,1275,10.73,53.3,18.02,97.03,0.08,2.09,0.64,0.11,0,15100,9.88,36
"65",56021,81607,51233,5384,11983,5927,5533,36354,6111,5378,3929,3117,9351,14.04,65.83,11.46,88.92,2.6,10.9,0.85,0.95,0.11,545000,10.87,29
"66",50021,63400,39181,3273,8711,4540,3502,25575,5257,4679,3661,2764,9480,12.68,59.24,14.95,98.13,0.33,0.7,0.23,0.39,0.03,58800,15.71,34
"67",50025,44216,27631,2340,6078,3104,2050,17583,3986,3527,2605,1924,6173,11.66,58.8,13.96,96.72,0.5,1.11,0.22,0.79,0.04,78400,12.74,33
"68",56029,25786,15744,1426,3536,2283,1398,10191,2221,1895,1584,1193,3740,14.28,58.76,14.5,96.46,0.09,3.72,0.47,0.44,0.05,65500,12.39,26
"69",50027,57418,34944,2854,7930,3763,2241,21701,5069,4542,3561,2688,9073,10.46,56.58,15.8,97.72,0.33,0.82,0.23,0.63,0.03,62400,11.89,29
"70",50023,58039,36940,3121,7961,4224,3512,24399,5084,4528,3108,2375,7463,13.33,61.13,12.86,97.05,0.47,1.26,0.3,0.57,0.01,93400,11.59,31
"71",50013,6901,4339,383,1012,440,266,2690,636,536,449,345,850,10.23,59.19,12.32,97.41,0.14,0.42,0.87,0.23,0.04,9300,15.76,30
"72",50015,23233,14950,1284,3371,1696,1609,10253,1845,1646,1245,951,2638,14.23,64.17,11.35,97.31,0.33,0.77,0.45,0.37,0.03,35800,13.04,27
"73",29099,198099,124630,14257,31437,15150,11362,89587,14828,12489,9881,7421,18199,13.38,68.29,9.19,97.48,0.68,1.01,0.29,0.36,0.01,235800,20.64,32
"74",29079,10432,5859,636,1354,786,510,3766,704,645,625,553,2149,12.42,55.18,20.6,97.61,0.4,1.58,0.35,0.15,0.01,15500,21.04,44
"75",29510,348189,210690,23477,51723,24729,26541,158809,23018,18242,13466,11612,47842,14.72,67.21,13.74,43.85,51.2,2.02,0.27,1.98,0.03,941600,28.71,45
"76",29093,10697,6197,634,1511,814,544,4067,755,689,651,563,1827,12.7,58.07,17.08,96.74,1.56,0.58,0.34,0.09,0,13600,34.84,55
"77",29185,9652,5377,530,1268,595,369,3172,617,672,701,636,2056,9.99,51.49,21.3,97.36,0.23,0.98,0.75,0.15,0.02,14700,26.95,48
"78",29037,82092,49149,6041,13436,5791,4053,34642,5786,4992,4295,3264,9636,11.99,65.92,11.74,95.62,1.42,2.21,0.58,0.48,0.04,155400,13.28,27
"79",29229,17955,10110,1256,2719,1399,979,6915,1181,1028,982,906,2968,13.24,60.65,16.53,97.61,0.28,0.77,0.66,0.14,0.01,23600,28.87,46
"80",29153,9542,5575,511,1165,659,432,3269,681,667,690,699,1860,11.43,51.82,19.49,97.57,0.15,0.94,0.65,0.08,0,14800,26.98,52
"81",29083,21997,12754,1312,2987,1468,1169,8305,1506,1405,1302,1157,4023,11.99,57.3,18.29,96.61,1.02,0.91,0.7,0.25,0.02,31200,22.74,41
"82",17009,6950,4834,280,695,450,683,3742,465,347,276,263,882,16.3,67.87,12.69,80.29,18.2,3.93,0.09,0.13,0.07,9000,36.75,24
"83",17033,20452,12391,1116,2657,1449,1206,8568,1434,1276,1038,966,3397,12.98,60.34,16.61,93.58,4.53,1.72,0.27,0.35,0.01,25900,20.68,33
"84",17085,22289,13129,1246,2924,1502,990,8142,1663,1614,1413,1289,3998,11.18,55.24,17.94,98.66,0.2,1.53,0.1,0.16,0,19500,16.36,30
"85",17065,8621,4899,512,1151,634,453,3213,590,573,468,459,1655,12.61,56.56,19.2,98.25,0.67,0.64,0.26,0.13,0.01,6000,25.71,39
"86",17109,32913,22443,1449,3299,3778,6378,17241,1931,1752,1392,1197,4652,30.86,66.81,14.13,92.88,3.46,1.48,0.14,2.02,0.04,49600,13.06,29
"87",17135,30652,18162,1763,4145,2163,1745,12891,2147,1768,1425,1298,5215,12.75,61.33,17.01,94.88,3.73,1.06,0.21,0.23,0.03,29300,22.95,32
"88",17041,19922,11354,1379,2988,1518,1106,7969,1359,1174,932,941,3180,13.17,61.92,15.96,97.25,0.3,3.46,0.16,0.26,0.01,40400,20.69,29
"89",17181,18293,10854,957,2502,1253,892,7034,1327,1190,1139,942,3202,11.73,57.36,17.5,96.28,0.82,2.63,0.37,0.28,0.02,41200,25.21,53
"90",17115,114706,69054,7301,16087,8355,7642,46309,8745,7788,6058,4937,17481,13.95,60.76,15.24,83.48,14.06,0.98,0.17,0.57,0.02,196000,16.83,33
"91",17201,278418,169442,19752,41785,19141,16132,118355,20427,17944,13991,10714,35450,12.67,64.61,12.73,82.46,10.53,6.9,0.29,1.72,0.04,1392900,18.57,31
"92",17133,27619,16614,1809,4198,2049,1281,11782,2107,1626,1281,1115,3701,12.06,64.41,13.4,98.77,0.05,0.74,0.19,0.31,0,18800,12.76,23
"93",17129,12486,7527,722,1965,940,532,5082,932,892,660,588,1645,11.79,62.22,13.17,98.59,0.38,0.75,0.22,0.17,0,8000,11.67,25
"94",17083,21668,13046,1289,3114,1869,1378,9221,1514,1320,1141,955,3114,14.99,62.88,14.37,98.13,0.53,0.75,0.2,0.25,0.03,19200,17.51,27
"95",17171,5537,3230,351,771,417,284,2212,382,339,285,282,915,12.66,60.21,16.53,99.46,0.04,0.18,0.14,0.13,0,1300,16.94,27
"96",17131,16957,10049,960,2432,1270,779,6553,1279,1181,1029,821,2702,12.08,58.65,15.93,98.37,0.29,1.27,0.12,0.17,0.01,17700,15.09,28
"97",17047,6971,4074,394,924,452,397,2671,506,464,363,359,1290,12.18,57.22,18.51,98.87,0.14,0.46,0.09,0.4,0.04,3500,17.69,39
"98",17035,11253,6495,712,1692,893,583,4566,766,683,569,483,1782,13.12,61.94,15.84,98.84,0.11,0.6,0.2,0.15,0.02,7900,19.82,31
"99",17197,502266,309945,42028,85544,36271,27713,229402,36066,30220,21996,15400,41610,12.74,71.07,8.28,81.83,10.45,8.71,0.21,2.21,0.03,2656700,13.13,22
"100",6059,2846289,1797107,216014,436047,194543,189996,1328152,191974,168765,128152,96422,280763,13.51,69.57,9.86,64.81,1.67,30.76,0.7,13.59,0.31,54729700,20.54,29
"101",6103,56039,31742,3534,8993,4378,2817,21583,3805,3488,2948,2765,8923,12.84,60.87,15.92,84.79,0.57,15.83,2.1,0.79,0.1,658500,24.34,43
"102",6011,18804,10732,1517,3310,1795,1250,8111,1266,999,814,652,2135,16.19,68.8,11.35,64.29,0.55,46.54,2.33,1.21,0.39,594400,35.99,34
"103",6083,399347,249080,26008,57449,32050,37121,184934,26244,22737,17053,14157,50765,17.32,67.21,12.71,72.72,2.3,34.22,1.2,4.09,0.18,7860600,20.76,30
"104",6051,12853,8924,727,1733,825,998,6121,1146,918,678,554,976,14.18,66.76,7.59,84.17,0.47,17.69,2.4,1.11,0.09,152200,12.06,22
"105",6053,401762,247413,31248,64608,30933,30982,187916,26413,22838,16125,12315,40299,15.41,70.63,10.03,55.92,3.75,46.79,1.05,6.03,0.45,13358300,31.57,33
"106",49003,42745,22876,3963,8595,4404,2953,18194,2558,1888,1617,1487,4443,17.21,71.94,10.39,92.87,0.17,6.53,0.88,0.96,0.08,219100,12.22,26
"107",6061,248399,150081,15924,38485,17394,11141,100678,20134,17571,12908,10139,32560,11.49,62.43,13.11,88.59,0.82,9.67,0.89,2.95,0.16,1679900,9.55,28
"108",6005,35100,21548,1478,4037,2689,1457,13339,2882,2796,2204,2035,6329,11.81,53.72,18.03,85.79,3.87,8.91,1.78,1,0.1,265200,16.03,34
"109",6009,40554,23933,1791,5634,2660,1390,13124,3443,3422,2958,2809,7373,9.99,50.67,18.18,91.19,0.75,6.82,1.74,0.85,0.09,221800,14.3,40
"110",6025,142361,83310,10902,25992,12320,9645,65266,9056,7094,5138,4608,14305,15.43,71.76,10.05,49.37,3.95,72.22,1.87,1.99,0.08,6094500,40.96,34
"111",37069,47260,30108,3295,6786,3147,2707,21173,3497,3094,2332,1889,5194,12.39,66.13,10.99,66,30.03,4.44,0.44,0.3,0.04,152900,26.38,40
"112",37031,59383,36859,2913,7024,3491,2693,22335,4716,4630,4041,3497,10227,10.41,54.35,17.22,90.28,6.99,1.74,0.43,0.54,0.06,104000,17.94,41
"113",37057,147246,92694,9639,20267,9190,7922,63047,10469,10260,8158,6632,18774,11.62,63.13,12.75,87.05,9.14,3.24,0.37,0.82,0.01,385000,27.96,39
"114",42021,152598,90436,7669,18350,10556,9204,59693,11919,10239,7844,6797,30087,12.95,56.17,19.72,95.8,2.83,0.89,0.09,0.38,0.02,138800,19.95,38
"115",37163,60161,36927,4406,8635,4083,4071,26024,4173,3589,3039,2589,7706,13.55,64.93,12.81,59.76,29.95,10.77,1.81,0.31,0.09,491600,30.86,55
"116",37101,121965,78168,9573,17573,7322,7287,56367,8368,7571,5875,4665,11973,11.98,68.47,9.82,78.09,15.65,7.74,0.41,0.3,0.04,677600,24.07,39
"117",37027,77415,49007,4968,10314,4538,4343,32460,5688,5437,4522,3767,10259,11.47,61.67,13.25,91.74,5.46,2.49,0.21,0.39,0.03,171200,33.78,45
"118",42003,1281666,772074,71081,162073,81721,75792,520764,98284,83258,63512,54278,228416,12.29,58.82,17.82,84.33,12.41,0.87,0.12,1.69,0.03,1849900,13.67,32
"119",37153,46564,28218,3161,6818,3511,3221,19621,3174,3037,2373,2031,6349,14.46,63.57,13.63,64.84,30.53,2.83,1.65,0.68,0.03,107000,30.77,51
"120",37123,26822,16397,1835,3684,1801,1761,11216,1901,1763,1484,1194,3745,13.28,62.39,13.96,69.07,21.84,10.43,0.4,1.61,0.04,189900,35.79,46
"121",37179,123677,77775,10040,19698,8116,7035,56219,8571,7614,5956,4431,11148,12.25,69.5,9.01,82.83,12.52,6.17,0.38,0.58,0.02,456100,19.76,32
"122",37051,302963,194966,24835,47265,22778,31196,153660,18261,14897,11209,9441,23395,17.82,74.52,7.72,55.15,34.9,6.9,1.55,1.88,0.3,1975400,15.01,35
"123",42001,91292,55872,5405,13417,6810,5573,38810,6750,5872,4620,3762,12656,13.56,63.13,13.86,95.39,1.21,3.64,0.2,0.49,0.02,246700,20.29,29
"124",42061,45586,28945,2481,5590,3178,3243,19808,3289,3100,2489,2081,6748,14.09,61.16,14.8,93.33,5.14,1.15,0.11,0.21,0.01,55800,25.4,32
"125",37023,89148,55790,5509,12289,6216,5317,37941,6268,6075,4936,4144,11986,12.94,62.52,13.45,86.01,6.71,3.57,0.3,3.48,0.21,311000,32.39,44
"126",37097,122660,76188,8441,18160,7360,6590,52327,8837,8044,6476,5225,15150,11.37,64.35,12.35,82.17,13.67,3.41,0.27,1.27,0.02,323200,21.63,36
"127",37063,223314,150531,15492,28355,14926,21076,113693,15289,13087,9099,6725,21574,16.12,70.55,9.66,50.91,39.46,7.63,0.3,3.29,0.04,1349700,17.04,32
"128",42039,90366,53994,5366,12775,7123,5399,36565,6685,6059,4897,3967,14052,13.86,60.54,15.55,97,1.59,0.59,0.2,0.28,0.03,83800,18.45,34
"129",42045,550864,328362,34394,78836,40349,32347,231296,40153,33926,25971,20619,85669,13.2,62.54,15.55,80.32,14.52,1.52,0.11,3.29,0.02,972200,13.48,30
"130",37079,18974,11888,1321,2642,1327,1282,8477,1371,1168,913,788,2294,13.75,65.56,12.09,51.83,41.21,7.96,0.3,0.09,0.01,124500,34.6,41
"131",42035,37914,23408,2055,4627,3157,3446,16264,2542,2336,1976,1751,6363,17.42,60.52,16.78,98.29,0.52,0.54,0.11,0.4,0.02,26000,19.63,36
"132",37143,11368,6566,587,1516,760,516,4048,764,785,780,696,2192,11.22,54.11,19.28,70.82,27.99,0.6,0.18,0.21,0.03,9100,28.06,47
"133",37083,57370,33794,3573,8786,4084,3175,23148,4046,3754,2930,2562,8571,12.65,61.89,14.94,42.57,52.56,1.01,3.14,0.54,0.02,68200,34.62,57
"134",37037,49329,30715,3095,6232,2750,2584,20330,3879,3448,2745,2070,7530,10.81,60.12,15.26,74.94,17.07,9.62,0.41,0.59,0.04,344500,22.06,33
"135",37171,71219,43466,4508,9582,4341,3972,28993,4926,4762,3997,3478,10973,11.67,60.49,15.41,90.4,4.16,6.49,0.23,0.57,0.04,330300,32.97,44
"136",42073,94643,54540,5305,12535,6686,5247,36265,7177,6063,4827,4248,18223,12.61,57.17,19.25,94.98,3.61,0.56,0.1,0.27,0.01,98000,18.42,34
"137",42093,18236,10670,1036,2582,1248,744,7129,1398,1178,940,853,3120,10.92,58.93,17.11,96.67,1.01,0.92,0.07,1.28,0,17700,17.7,32
"138",37155,123339,75223,9825,20210,9614,9296,54996,8308,7539,5582,4588,12291,15.33,68.94,9.97,32.8,25.11,4.86,38.02,0.33,0.06,460600,35.13,50
"139",37121,15687,9449,794,1926,929,743,5806,1175,1118,1065,886,2917,10.66,54.35,18.6,97.87,0.22,1.98,0.45,0.2,0,19800,31.41,55
"140",42117,41373,24953,2234,5602,3536,2842,16905,2917,2609,2391,2107,6608,15.42,59.8,15.97,98.11,0.6,0.52,0.23,0.3,0.01,31400,19.52,36
"141",42009,49984,29967,3004,6735,3154,2498,19687,3575,3219,2945,2576,8243,11.31,58.87,16.49,98.54,0.36,0.53,0.11,0.29,0.01,35600,21.74,37
"142",37013,44958,27308,2704,5979,2872,2436,17041,3402,3506,2809,2389,7128,11.81,57.22,15.85,68.44,29.03,3.24,0.16,0.22,0.02,96600,24.96,45
"143",42089,138687,84523,8280,22430,10574,7777,58315,10735,9123,7057,5711,17036,13.23,64.19,12.28,88.21,6.02,6.63,0.21,1.11,0.03,615900,16.17,34
"144",42131,28080,17199,1627,4149,2210,1416,11509,2164,2034,1668,1212,3717,12.91,61.56,13.24,98.28,0.53,0.67,0.17,0.27,0.01,20900,16.31,34
"145",37127,87420,54334,5773,12818,5874,5155,37364,6669,6091,4345,3478,10882,12.62,64.01,12.45,61.94,33.93,3.36,0.45,0.57,0.02,271200,24.37,42
"146",42083,45936,27375,2620,6262,3146,2492,18730,3316,2893,2372,2080,7663,12.27,60.11,16.68,96.46,1.87,1.06,0.32,0.3,0.02,47600,17.76,35
"147",42133,381751,236276,23220,54844,25228,19464,160393,29601,26183,20284,15734,51492,11.71,62.46,13.49,92.76,3.69,2.96,0.18,0.86,0.03,960100,19.3,29
"148",42049,280843,170276,17440,40248,22404,20419,120555,21003,17185,13454,10702,40256,15.25,63.47,14.33,90.9,6.13,2.18,0.17,0.69,0.02,596600,15.35,30
"149",37067,306067,194296,20494,41476,19707,20856,135804,22416,20115,14970,12243,38549,13.25,64.62,12.59,68.47,25.61,6.4,0.3,1.04,0.03,1403200,18.01,31
"150",42051,148644,87980,8454,19258,9546,7994,57965,11465,9936,7931,6705,26930,11.8,57.64,18.12,95.3,3.51,0.38,0.11,0.22,0.01,127300,23.97,47
"151",42099,43602,27127,2664,6421,3107,2157,18242,3596,3175,2383,1776,5345,12.07,62.67,12.26,98.54,0.43,0.69,0.12,0.15,0.01,33100,20.11,30
"152",42085,120293,70369,6915,15954,8976,7097,47435,8935,7602,6285,5427,21740,13.36,58.44,18.07,93.13,5.25,0.67,0.11,0.4,0.02,133100,17.05,33
"153",42033,83382,50366,4563,10937,5512,4305,33859,6018,5471,4496,3944,14094,11.77,59.2,16.9,97.4,1.49,0.56,0.12,0.26,0.01,60800,20.9,36
"154",39049,1068978,696351,77363,150168,74374,91706,522144,73662,63125,43865,34345,104306,15.54,70.13,9.76,75.48,17.89,2.27,0.27,3.07,0.04,3524800,14.26,30
"155",37107,59648,35835,3913,8520,4059,3283,23821,4491,4141,3213,2815,8734,12.31,60.78,14.64,56.47,40.43,3.17,0.18,0.34,0.05,154000,28.05,47
"156",42037,64151,40597,3154,7739,5666,5955,28265,4613,4023,3360,2795,10202,18.12,61.04,15.9,97.59,0.8,0.95,0.15,0.52,0.03,60500,19.38,31
"157",42059,40672,25500,2098,5237,2759,2830,17399,3276,2824,2031,1614,6193,13.74,60.81,15.23,95.07,3.9,0.88,0.15,0.21,0.02,27400,24.28,41
"158",42053,4946,2840,178,563,533,140,1793,349,340,362,376,985,13.61,51.23,19.92,95.94,2.22,1.21,0.4,0.14,0,6400,20.56,42
"159",37119,695454,461481,50750,97889,43491,49455,345749,49041,42150,29435,20716,59724,13.36,71.09,8.59,64.02,27.87,6.45,0.35,3.15,0.05,3203800,13.77,28
"160",37089,89173,51280,5007,10499,4709,4006,31961,6072,5991,5497,4805,19341,9.77,53.23,21.69,92.52,3.06,5.47,0.27,0.61,0.02,315200,16.84,38
"161",37081,421048,271733,27646,57066,28989,32405,193670,30083,27192,20168,15747,49476,14.58,66.12,11.75,64.53,29.27,3.8,0.46,2.44,0.03,1387100,17.03,33
"162",42017,597635,370055,38288,88909,39683,28321,251286,48166,41783,31590,23519,74094,11.38,63.33,12.4,92.46,3.26,2.34,0.13,2.28,0.03,1116000,11.41,26
