COUNTYFP,year,unempP,povP,pciE
06085,2018,4.8,7.9,52451.0
06087,2018,6.3,14.3,39001.0
06089,2018,6.2,17.1,27983.0
06091,2018,4.6,8.3,31972.0
06093,2018,7.9,19.4,28130.0
06095,2018,7.0,10.4,33700.0
06097,2018,5.1,10.3,39929.0
06099,2018,10.5,16.1,25101.0
06101,2018,9.7,16.0,26070.0
06103,2018,9.3,21.5,23126.0
06105,2018,8.6,19.7,25964.0
06107,2018,9.4,25.5,20421.0
06109,2018,6.8,13.3,33685.0
06111,2018,5.9,9.6,36891.0
06113,2018,6.5,19.6,32598.0
06115,2018,8.4,18.0,23867.0
08001,2018,4.4,11.5,28897.0
08003,2018,9.3,23.7,21328.0
08005,2018,4.4,9.0,38972.0
08007,2018,5.8,10.7,31035.0
08009,2018,2.5,19.2,23862.0
08011,2018,7.2,22.9,14777.0
08013,2018,4.8,12.5,43831.0
08014,2018,3.6,5.0,47016.0
08015,2018,2.8,10.1,29365.0
08017,2018,7.5,11.5,25234.0
08019,2018,1.9,5.5,40655.0
08021,2018,11.5,22.4,19545.0
08023,2018,11.1,30.1,20715.0
08025,2018,16.1,28.4,14988.0
08027,2018,6.5,15.3,26976.0
08029,2018,8.5,17.6,24886.0
08031,2018,4.0,13.8,41196.0
08033,2018,1.0,13.6,24505.0
08035,2018,3.0,3.5,51017.0
08037,2018,2.2,7.0,41064.0
08039,2018,2.7,4.4,43349.0
08041,2018,6.2,10.9,32348.0
08043,2018,6.0,15.3,21965.0
08045,2018,4.3,8.1,32491.0
08047,2018,2.4,4.1,48460.0
08049,2018,5.2,11.3,34717.0
08051,2018,5.8,13.2,30127.0
08053,2018,3.8,13.0,34644.0
08055,2018,4.1,16.0,25636.0
08057,2018,2.2,15.7,25467.0
08059,2018,3.7,7.4,41930.0
08061,2018,2.9,11.3,24012.0
08063,2018,4.9,10.1,27471.0
08065,2018,5.5,16.5,28062.0
08067,2018,4.1,8.7,37864.0
08069,2018,5.0,12.0,35390.0
08071,2018,7.7,18.2,25118.0
08073,2018,3.0,13.4,16219.0
08075,2018,4.1,15.0,25776.0
08077,2018,7.8,15.7,28518.0
08079,2018,1.6,12.0,35229.0
08081,2018,4.1,13.9,27845.0
08083,2018,5.1,16.1,25161.0
08085,2018,7.0,16.7,25803.0
08087,2018,4.4,10.0,24189.0
08089,2018,8.4,24.7,20109.0
08091,2018,4.9,9.9,36138.0
