COUNTYFP,year,totWrkE,eduP,hghRskP,hltCrP,retailP
05141,2018,5675.0,7.7,27.51,15.17,12.51
05143,2018,110021.0,12.95,23.62,12.04,12.14
05145,2018,32028.0,14.03,20.67,15.94,13.76
05147,2018,2526.0,5.74,28.23,19.4,11.64
05149,2018,8983.0,6.49,38.58,12.11,14.22
06001,2018,847170.0,9.32,16.41,12.39,8.96
06003,2018,366.0,6.28,9.84,9.56,16.67
06005,2018,13289.0,8.55,17.74,11.25,11.86
06007,2018,94908.0,10.14,17.63,17.3,13.51
06009,2018,17114.0,7.56,23.95,13.18,11.18
06011,2018,9663.0,6.11,43.89,6.25,9.46
06013,2018,547323.0,8.23,15.48,13.76,10.33
06015,2018,8823.0,9.57,12.68,18.57,11.58
06017,2018,83049.0,8.17,17.51,11.88,11.22
06019,2018,400175.0,9.77,23.75,14.13,10.45
06021,2018,10994.0,6.95,38.78,10.78,12.74
06023,2018,60970.0,10.09,16.75,15.56,13.64
06025,2018,59919.0,10.33,22.03,15.96,14.04
06027,2018,8090.0,9.58,21.8,16.0,11.47
06029,2018,339384.0,8.73,29.51,11.36,10.74
06031,2018,53217.0,7.94,26.63,13.35,9.63
06033,2018,23589.0,8.0,20.96,17.0,11.7
06035,2018,8788.0,10.62,16.4,11.52,8.02
06037,2018,4869658.0,8.12,16.5,12.5,10.4
06039,2018,57799.0,8.16,33.26,12.43,10.18
06041,2018,131425.0,8.45,11.92,13.21,9.24
06043,2018,7051.0,9.56,14.01,7.76,11.57
06045,2018,37712.0,9.3,23.4,12.91,12.39
06047,2018,102638.0,11.54,31.46,11.03,11.16
06049,2018,3125.0,9.92,25.15,15.23,7.74
06051,2018,8278.0,5.57,16.83,6.37,9.41
06053,2018,185025.0,8.8,29.86,11.0,9.41
06055,2018,70888.0,7.71,25.45,13.5,9.93
06057,2018,43368.0,7.9,17.24,15.0,11.12
06059,2018,1578079.0,8.05,19.39,11.24,10.51
06061,2018,173493.0,7.81,15.32,15.16,11.66
06063,2018,7536.0,8.56,21.27,15.72,10.44
06065,2018,1007795.0,8.52,19.67,12.18,12.89
06067,2018,686019.0,8.04,13.82,14.33,10.95
06069,2018,28831.0,8.31,31.18,11.5,12.1
06071,2018,892435.0,8.9,18.05,13.18,12.92
06073,2018,1564930.0,8.75,16.69,12.52,10.47
06075,2018,515382.0,7.18,9.15,11.13,9.18
06077,2018,305509.0,7.9,23.73,12.4,11.92
06079,2018,129358.0,10.87,20.91,12.26,11.19
06081,2018,409911.0,7.75,13.99,12.38,9.18
06083,2018,211751.0,11.36,21.94,11.79,9.77
06085,2018,985838.0,8.1,22.79,10.77,8.57
06087,2018,134904.0,12.68,20.74,12.4,10.52
06089,2018,72392.0,7.6,16.46,18.79,13.14
06091,2018,1251.0,6.95,26.86,13.91,4.88
06093,2018,16725.0,10.03,22.84,14.64,11.38
06095,2018,202713.0,7.26,19.45,15.82,11.4
06097,2018,253421.0,8.28,21.55,12.75,11.47
06099,2018,222532.0,8.74,26.39,12.56,12.86
06101,2018,38664.0,8.95,26.69,12.81,12.34
06103,2018,24265.0,7.97,24.61,13.01,13.67
06105,2018,4758.0,10.0,23.08,12.23,8.83
06107,2018,177236.0,9.06,31.88,11.75,11.32
06109,2018,20930.0,7.08,17.13,15.95,9.31
06111,2018,412228.0,8.55,22.1,11.06,10.58
06113,2018,97374.0,18.55,15.61,10.59,9.99
06115,2018,28954.0,7.57,20.2,13.8,12.97
08001,2018,255711.0,6.48,23.08,10.91,11.83
08003,2018,6894.0,12.59,15.25,13.98,11.91
08005,2018,339873.0,7.75,14.37,12.64,10.99
08007,2018,5823.0,9.77,22.58,8.83,15.49
08009,2018,1627.0,13.4,37.12,16.66,6.52
08011,2018,1526.0,10.22,37.02,9.83,5.57
08013,2018,173653.0,13.31,15.94,10.95,9.56
08014,2018,36792.0,9.65,17.54,11.53,9.74
08015,2018,8674.0,6.89,20.59,11.49,13.65
08017,2018,835.0,11.02,34.49,9.1,7.66
08019,2018,5287.0,6.9,24.99,10.59,10.4
08021,2018,2882.0,12.07,26.3,14.75,11.24
08023,2018,1287.0,8.78,33.8,8.78,11.81
08025,2018,1821.0,5.71,18.67,17.24,15.38
08027,2018,1405.0,10.11,35.73,7.47,7.19
08029,2018,10912.0,7.68,29.5,13.13,11.87
08031,2018,389034.0,8.42,14.76,12.05,8.83
08033,2018,855.0,6.43,25.85,8.19,10.29
08035,2018,176575.0,7.57,14.11,10.96,10.78
08037,2018,33571.0,4.58,15.39,7.03,10.58
08039,2018,13449.0,8.46,20.79,10.84,10.78
08041,2018,314102.0,9.17,14.76,13.47,11.25
08043,2018,14196.0,8.5,17.13,17.81,10.6
08045,2018,31397.0,7.7,24.55,11.28,11.26
08047,2018,3645.0,7.98,22.06,8.37,5.65
08049,2018,8630.0,6.16,20.01,7.72,9.21
08051,2018,9560.0,8.09,19.41,8.06,14.13
08053,2018,404.0,10.4,27.97,3.96,10.4
08055,2018,2593.0,9.22,25.14,10.8,11.15
08057,2018,672.0,6.85,41.67,4.76,11.01
08059,2018,312767.0,8.43,17.41,11.64,10.81
08061,2018,673.0,12.18,26.15,18.13,9.81
08063,2018,3587.0,11.04,34.51,11.37,11.74
08065,2018,4129.0,10.8,23.83,7.27,11.02
08067,2018,29546.0,9.22,19.02,11.29,12.28
08069,2018,177391.0,13.16,19.34,11.66,11.32
08071,2018,6021.0,7.41,20.88,17.17,9.08
08073,2018,1529.0,9.88,21.32,17.85,11.9
08075,2018,10690.0,8.44,24.38,13.51,11.93
08077,2018,69681.0,8.41,21.17,16.14,11.74
08079,2018,422.0,7.58,22.51,3.08,7.35
08081,2018,6266.0,8.89,30.21,11.01,10.8
08083,2018,11183.0,8.5,21.04,16.78,13.13
08085,2018,17337.0,6.19,27.4,13.85,12.34
08087,2018,13191.0,7.77,36.64,12.92,8.18
08089,2018,6993.0,10.12,22.15,15.99,8.87
08091,2018,2346.0,7.93,17.09,10.14,6.99
08093,2018,9038.0,7.05,22.32,7.19,12.64
08095,2018,2028.0,7.99,32.35,12.28,11.39
08097,2018,11742.0,7.29,12.49,5.72,9.65
08099,2018,5350.0,12.24,26.26,16.47,13.25
08101,2018,67809.0,8.66,17.03,19.75,13.27
08103,2018,2935.0,10.43,37.75,9.74,7.22
08105,2018,4481.0,8.81,29.55,13.9,11.09
08107,2018,14631.0,6.49,19.01,10.37,10.4
08109,2018,2510.0,7.37,44.38,6.81,12.67
08111,2018,310.0,10.32,18.71,5.48,18.06
08113,2018,5075.0,6.23,16.02,6.94,8.93
08115,2018,970.0,14.12,26.08,9.69,13.4
08117,2018,19827.0,4.96,14.03,6.06,14.46
08119,2018,11679.0,7.81,18.51,12.59,10.26
08121,2018,2297.0,10.01,40.49,9.4,8.88
08123,2018,146177.0,8.54,27.0,10.54,12.1
08125,2018,5078.0,7.84,39.29,7.96,8.74
09001,2018,475513.0,9.26,15.35,13.69,10.14
09003,2018,447893.0,9.65,16.83,16.59,10.51
09005,2018,97390.0,11.43,22.21,14.19,11.79
09007,2018,89022.0,11.24,19.23,15.44,9.77
09009,2018,427791.0,13.12,17.7,17.85,10.78
09011,2018,133036.0,10.41,20.71,13.9,11.3
09013,2018,80396.0,14.56,18.87,14.03,9.76
09015,2018,59404.0,12.61,22.12,15.19,12.57
10001,2018,79233.0,9.32,16.54,15.78,14.01
10003,2018,274190.0,10.4,15.01,15.06,11.0
10005,2018,97523.0,8.07,22.47,14.68,13.92
11001,2018,369194.0,9.54,4.46,9.0,4.68
12001,2018,123777.0,19.62,9.0,19.16,10.72
12003,2018,10762.0,9.2,13.14,16.07,13.85
12005,2018,81102.0,6.73,15.04,12.66,14.96
12007,2018,9324.0,6.1,14.86,20.55,12.67
12009,2018,245287.0,7.69,18.23,13.8,12.55
12011,2018,949870.0,7.32,12.19,13.32,12.96
12013,2018,4799.0,7.02,25.69,16.55,11.96
12015,2018,60875.0,6.6,15.39,14.4,18.15
12017,2018,45771.0,6.89,17.64,17.24,15.55
12019,2018,93396.0,7.92,14.16,14.21,13.89
12021,2018,154513.0,5.0,18.95,10.74,12.53
12023,2018,25965.0,6.4,15.46,17.38,14.79
12027,2018,13309.0,5.18,40.69,7.12,11.87
12029,2018,4768.0,6.48,30.31,12.35,9.44
12031,2018,440797.0,6.78,12.73,13.7,12.22
12033,2018,134938.0,9.45,11.86,12.82,16.56
12035,2018,40662.0,8.18,14.79,14.8,14.17
12037,2018,4158.0,6.4,17.2,9.76,12.0
12039,2018,16386.0,11.25,18.72,14.31,10.84
12041,2018,6775.0,9.76,21.51,13.3,15.53
12043,2018,3763.0,6.46,25.86,7.65,16.58
12045,2018,5654.0,6.03,15.44,13.65,9.04
12047,2018,3658.0,11.56,29.14,12.82,9.68
