COUNTYFP,dissim.b,inter.bw,iso.b,dissim.h,inter.hw,iso.h,dissim.a,inter.aw,iso.a
40095,0.49,0.55,0.03,0.49,0.53,0.31,0.74,0.47,0.01
40097,0.49,0.64,0.01,0.11,0.66,0.04,0.5,0.67,0.01
40099,0.45,0.73,0.03,0.1,0.72,0.07,0.16,0.72,0.01
40101,0.44,0.48,0.23,0.31,0.53,0.1,0.39,0.57,0.01
40103,0.6,0.79,0.01,0.21,0.8,0.04,0.76,0.68,0.0
40105,0.32,0.65,0.03,0.2,0.65,0.03,0.4,0.64,0.0
40107,0.34,0.62,0.12,0.12,0.6,0.04,0.55,0.62,0.0
40109,0.46,0.43,0.34,0.53,0.41,0.39,0.41,0.61,0.08
40111,0.49,0.49,0.22,0.23,0.61,0.05,0.63,0.48,0.01
40113,0.75,0.24,0.58,0.26,0.58,0.04,0.74,0.71,0.02
40115,0.43,0.65,0.02,0.29,0.64,0.09,0.3,0.65,0.01
40117,0.55,0.65,0.03,0.12,0.75,0.03,0.59,0.72,0.01
40119,0.33,0.73,0.06,0.16,0.77,0.06,0.51,0.69,0.12
40121,0.37,0.62,0.07,0.26,0.66,0.07,0.4,0.69,0.01
40123,0.35,0.64,0.03,0.16,0.65,0.06,0.51,0.61,0.02
40125,0.26,0.69,0.05,0.19,0.7,0.06,0.29,0.74,0.01
40127,0.18,0.72,0.01,0.13,0.72,0.04,0.35,0.73,0.01
40129,0.0,0.84,0.0,0.0,0.84,0.07,0.0,0.0,0.0
40131,0.38,0.72,0.02,0.25,0.71,0.06,0.4,0.74,0.03
40133,0.31,0.61,0.07,0.2,0.64,0.06,0.42,0.69,0.01
40135,0.43,0.61,0.04,0.18,0.63,0.05,0.45,0.62,0.01
40137,0.55,0.7,0.07,0.34,0.76,0.11,0.47,0.81,0.02
40139,0.32,0.41,0.06,0.28,0.39,0.51,0.49,0.39,0.05
40141,0.14,0.59,0.09,0.19,0.58,0.29,0.82,0.71,0.0
40143,0.55,0.41,0.29,0.48,0.49,0.25,0.42,0.61,0.08
40145,0.33,0.69,0.06,0.35,0.68,0.11,0.47,0.69,0.04
40147,0.43,0.68,0.06,0.2,0.72,0.07,0.47,0.72,0.04
40149,0.53,0.81,0.02,0.04,0.83,0.1,0.39,0.85,0.0
40151,0.21,0.82,0.03,0.26,0.82,0.09,0.38,0.85,0.02
40153,0.38,0.78,0.02,0.15,0.78,0.14,0.67,0.76,0.01
41001,0.25,0.91,0.01,0.19,0.9,0.05,0.32,0.9,0.01
41003,0.5,0.76,0.03,0.27,0.78,0.11,0.31,0.78,0.1
41005,0.47,0.79,0.02,0.26,0.79,0.12,0.43,0.77,0.09
41007,0.4,0.87,0.01,0.25,0.83,0.11,0.38,0.86,0.02
41009,0.34,0.9,0.01,0.24,0.87,0.06,0.35,0.87,0.02
41011,0.33,0.84,0.01,0.25,0.83,0.08,0.37,0.83,0.02
41013,0.69,0.9,0.0,0.24,0.86,0.1,0.49,0.88,0.01
41015,0.53,0.86,0.01,0.26,0.84,0.1,0.52,0.87,0.01
41017,0.41,0.86,0.01,0.28,0.84,0.12,0.34,0.87,0.02
41019,0.44,0.88,0.01,0.19,0.87,0.07,0.5,0.88,0.03
41021,0.0,0.0,0.0,0.0,0.88,0.06,0.0,0.88,0.0
41023,0.24,0.92,0.0,0.03,0.92,0.04,0.11,0.92,0.0
41025,0.32,0.86,0.01,0.17,0.86,0.06,0.0,0.0,0.0
41027,0.3,0.69,0.01,0.32,0.56,0.39,0.32,0.69,0.02
41029,0.48,0.8,0.02,0.28,0.76,0.17,0.37,0.8,0.03
41031,0.53,0.66,0.02,0.28,0.61,0.27,0.39,0.64,0.01
41033,0.48,0.85,0.01,0.16,0.86,0.09,0.48,0.87,0.02
41035,0.59,0.78,0.03,0.29,0.72,0.19,0.4,0.78,0.02
41037,0.37,0.83,0.0,0.02,0.85,0.08,0.12,0.84,0.01
41039,0.46,0.78,0.02,0.28,0.78,0.12,0.42,0.79,0.06
41041,0.59,0.8,0.02,0.29,0.78,0.13,0.45,0.83,0.03
41043,0.39,0.82,0.01,0.29,0.81,0.13,0.36,0.83,0.02
41045,0.54,0.68,0.03,0.29,0.55,0.41,0.15,0.64,0.01
41047,0.53,0.57,0.03,0.4,0.54,0.37,0.35,0.63,0.03
41049,0.13,0.59,0.0,0.31,0.53,0.43,0.27,0.54,0.01
41051,0.42,0.63,0.1,0.33,0.64,0.17,0.34,0.65,0.11
41053,0.59,0.73,0.04,0.28,0.73,0.2,0.26,0.79,0.03
41055,0.0,0.92,0.01,0.0,0.92,0.04,0.0,0.92,0.0
41057,0.38,0.84,0.01,0.36,0.8,0.15,0.27,0.85,0.01
41059,0.41,0.71,0.02,0.36,0.6,0.36,0.48,0.68,0.02
41061,0.32,0.88,0.01,0.24,0.87,0.06,0.42,0.86,0.02
41063,0.11,0.93,0.0,0.04,0.93,0.03,0.44,0.94,0.01
41065,0.48,0.76,0.01,0.25,0.73,0.22,0.33,0.75,0.01
41067,0.4,0.62,0.04,0.34,0.6,0.26,0.38,0.61,0.19
41069,0.0,0.0,0.0,0.0,0.85,0.1,0.0,0.85,0.0
41071,0.61,0.7,0.03,0.25,0.73,0.2,0.24,0.75,0.02
42001,0.37,0.84,0.04,0.3,0.86,0.1,0.47,0.85,0.02
42003,0.63,0.49,0.42,0.36,0.74,0.04,0.5,0.76,0.11
42005,0.59,0.94,0.03,0.42,0.96,0.02,0.44,0.97,0.01
42007,0.62,0.65,0.26,0.47,0.82,0.03,0.61,0.81,0.02
42009,0.35,0.96,0.01,0.15,0.96,0.01,0.53,0.95,0.01
42011,0.54,0.53,0.09,0.66,0.37,0.53,0.38,0.76,0.03
42013,0.52,0.9,0.05,0.46,0.92,0.03,0.51,0.94,0.03
42015,0.34,0.96,0.01,0.24,0.96,0.02,0.26,0.96,0.01
42017,0.47,0.72,0.1,0.39,0.75,0.1,0.36,0.79,0.08
42019,0.49,0.92,0.02,0.33,0.92,0.03,0.59,0.91,0.05
42021,0.63,0.78,0.13,0.42,0.87,0.03,0.49,0.92,0.01
42023,0.58,0.96,0.0,0.06,0.96,0.01,0.18,0.96,0.01
42025,0.51,0.85,0.06,0.24,0.89,0.06,0.36,0.92,0.01
42027,0.49,0.68,0.15,0.38,0.75,0.05,0.51,0.75,0.15
42029,0.46,0.64,0.18,0.46,0.66,0.2,0.43,0.77,0.13
42031,0.41,0.94,0.02,0.43,0.94,0.02,0.49,0.95,0.01
42033,0.7,0.78,0.12,0.47,0.83,0.08,0.48,0.86,0.01
42035,0.37,0.94,0.02,0.21,0.94,0.02,0.24,0.95,0.01
42037,0.51,0.87,0.05,0.44,0.89,0.05,0.56,0.89,0.03
42039,0.5,0.9,0.05,0.27,0.93,0.02,0.32,0.94,0.01
42041,0.47,0.77,0.11,0.35,0.81,0.06,0.44,0.82,0.09
42043,0.59,0.4,0.36,0.52,0.43,0.19,0.51,0.58,0.09
42045,0.69,0.32,0.55,0.48,0.51,0.07,0.43,0.6,0.16
42047,0.57,0.96,0.02,0.55,0.96,0.02,0.65,0.97,0.02
42049,0.65,0.59,0.24,0.48,0.68,0.1,0.5,0.71,0.04
42051,0.56,0.76,0.16,0.45,0.9,0.03,0.59,0.92,0.01
42053,0.44,0.48,0.41,0.37,0.51,0.08,0.17,0.78,0.0
42055,0.45,0.77,0.09,0.44,0.78,0.12,0.45,0.85,0.02
42057,0.57,0.93,0.05,0.33,0.96,0.01,0.15,0.97,0.0
42059,0.73,0.75,0.17,0.47,0.83,0.04,0.44,0.93,0.01
42061,0.71,0.73,0.19,0.42,0.81,0.04,0.5,0.9,0.01
42063,0.68,0.8,0.11,0.55,0.86,0.04,0.62,0.88,0.04
42065,0.48,0.96,0.01,0.32,0.96,0.02,0.44,0.97,0.01
42067,0.34,0.93,0.02,0.27,0.93,0.05,0.47,0.95,0.01
42069,0.54,0.72,0.08,0.5,0.73,0.16,0.52,0.73,0.08
42071,0.56,0.58,0.11,0.47,0.6,0.26,0.48,0.75,0.05
42073,0.61,0.76,0.18,0.45,0.89,0.04,0.57,0.94,0.02
42075,0.38,0.75,0.04,0.59,0.58,0.36,0.38,0.81,0.03
42077,0.54,0.45,0.09,0.6,0.39,0.47,0.41,0.69,0.07
42079,0.58,0.66,0.12,0.6,0.55,0.37,0.55,0.81,0.04
42081,0.52,0.76,0.17,0.41,0.87,0.05,0.56,0.86,0.03
42083,0.77,0.79,0.14,0.43,0.88,0.04,0.53,0.92,0.01
42085,0.63,0.68,0.22,0.4,0.81,0.03,0.43,0.89,0.02
42087,0.38,0.95,0.01,0.43,0.94,0.03,0.55,0.94,0.0
42089,0.35,0.58,0.19,0.31,0.6,0.2,0.43,0.63,0.05
42091,0.48,0.58,0.23,0.4,0.62,0.12,0.36,0.72,0.13
42093,0.48,0.85,0.04,0.2,0.89,0.01,0.48,0.85,0.09
42095,0.46,0.64,0.1,0.46,0.59,0.27,0.42,0.72,0.05
42097,0.64,0.76,0.15,0.4,0.87,0.07,0.5,0.91,0.01
42099,0.36,0.95,0.01,0.26,0.95,0.02,0.37,0.95,0.01
42101,0.72,0.14,0.69,0.6,0.25,0.37,0.44,0.42,0.17
42103,0.6,0.63,0.16,0.32,0.72,0.15,0.36,0.8,0.02
42105,0.42,0.96,0.01,0.2,0.96,0.02,0.44,0.96,0.01
42107,0.68,0.7,0.18,0.42,0.82,0.1,0.45,0.92,0.01
42109,0.45,0.91,0.02,0.34,0.92,0.04,0.47,0.91,0.02
42111,0.79,0.78,0.15,0.41,0.87,0.03,0.54,0.92,0.02
42113,0.42,0.92,0.05,0.09,0.93,0.02,0.19,0.94,0.0
42115,0.38,0.95,0.02,0.2,0.96,0.02,0.35,0.96,0.01
42117,0.32,0.95,0.01,0.2,0.96,0.02,0.27,0.96,0.01
42119,0.75,0.39,0.34,0.5,0.61,0.13,0.57,0.83,0.06
42121,0.46,0.94,0.02,0.2,0.95,0.01,0.52,0.96,0.01
42123,0.5,0.96,0.01,0.3,0.96,0.02,0.52,0.97,0.01
42125,0.51,0.83,0.1,0.38,0.89,0.03,0.59,0.9,0.03
42127,0.7,0.74,0.15,0.32,0.86,0.06,0.3,0.9,0.01
42129,0.6,0.8,0.13,0.41,0.91,0.03,0.55,0.91,0.04
42131,0.45,0.95,0.02,0.25,0.95,0.03,0.3,0.96,0.0
42133,0.51,0.63,0.14,0.51,0.61,0.21,0.42,0.82,0.03
44001,0.5,0.91,0.03,0.19,0.92,0.04,0.29,0.92,0.03
44003,0.35,0.88,0.03,0.23,0.87,0.06,0.36,0.87,0.04
44005,0.52,0.73,0.08,0.4,0.74,0.11,0.5,0.78,0.05
44007,0.57,0.4,0.16,0.62,0.35,0.44,0.46,0.59,0.08
44009,0.41,0.87,0.03,0.4,0.86,0.06,0.28,0.89,0.03
45001,0.27,0.62,0.34,0.36,0.71,0.02,0.81,0.78,0.02
45003,0.28,0.59,0.32,0.41,0.6,0.11,0.51,0.67,0.03
45005,0.22,0.21,0.76,0.09,0.23,0.02,0.7,0.14,0.0
45007,0.44,0.61,0.32,0.41,0.74,0.07,0.59,0.8,0.03
45009,0.3,0.31,0.66,0.08,0.45,0.03,0.58,0.49,0.02
45011,0.3,0.44,0.52,0.28,0.52,0.04,0.66,0.75,0.0
45013,0.54,0.48,0.4,0.39,0.58,0.23,0.32,0.7,0.02
