"ZCTA","minDisMH","timeDrive","countDrive"
1827,7.38,18.59,16
1830,2.15,0,24
1832,3.82,5.04,29
1833,5.8,13.84,17
1834,2.4,7.55,15
1835,1.75,0,24
1840,0.38,0,30
1841,0.83,2.26,26
1843,1.65,0,32
1844,1.52,0,26
1845,4.39,9.53,27
1850,1.05,5.07,27
1851,0.85,0,34
1852,1.12,0,37
1854,1.61,4.81,29
1860,7.08,10.05,16
1862,4.13,9.16,42
1863,2.87,7.31,28
1864,6.11,15.19,49
1867,2.18,7.94,81
1876,0.73,0,36
1879,6.73,12.21,26
1880,1.91,0,74
1886,6.38,12.28,29
1887,5.01,9.42,60
1890,2.74,6.4,75
1901,0.22,0,64
1902,0.59,0,64
1904,1.01,0,53
1905,0.85,0,65
1906,3.3,4.95,70
1907,1.99,5.29,49
1908,3.39,8.06,41
1913,5.15,10.98,18
1915,1.83,0,23
1921,8.05,19.32,19
1922,3,11.12,11
1923,4.45,8.19,33
1929,6.72,11.49,10
1930,0.63,0,7
1937,6.19,12.6,37
1938,5.77,12.36,10
1940,2.36,0,63
1944,7.32,10.84,16
1945,1.81,0,31
1949,8.55,13.2,35
1950,0.34,0,11
1951,2.81,6.95,7
1952,3.64,11.18,13
1960,1.26,0,33
1966,3.48,9,4
1969,1.79,0,14
1970,0.81,0,40
1982,6.51,11.29,20
1983,8.13,11.68,32
1984,3.76,8.75,19
1985,5.71,12.94,13
2019,3.54,9.56,35
2021,5.13,6.68,53
2025,7.61,19.4,8
2026,1.07,0,76
2030,5.41,15.43,37
2032,3.4,5.25,40
2035,10.3,17.05,37
2038,1.18,0,17
2043,5.54,12.64,21
2045,7.98,21.3,8
2047,12.24,19.13,2
2048,6.74,19.81,31
2050,10.9,21.06,2
2052,7.39,12.35,22
2053,5.76,9.78,21
2054,8.48,12.83,19
2056,7.09,11.32,22
2061,2.92,0,20
2062,0.36,0,55
2066,7.79,14.01,2
2067,6.92,11.25,29
2071,9.53,14.15,18
2072,2.22,0,46
2081,5.77,8.39,34
2090,0.93,0,58
2093,6.21,12.58,23
2108,0.54,2.7,79
2109,0.05,3.36,78
2110,0.62,0,77
2111,0.29,0,79
2113,0.13,0,77
2114,0.95,3.89,77
2115,0.65,0,80
2116,0.86,2.03,78
2118,0.16,0,80
2119,0.97,0,77
2120,0.62,0,79
2121,1.23,3.27,79
2122,2.85,3.53,83
2124,0.35,0,78
2125,1.94,4.55,77
2126,1.61,5.28,77
2127,1.16,0,80
2128,1.5,0,79
2129,0.84,0,77
2130,0.56,0,77
2131,0.85,0,68
2132,2.42,5.86,72
2134,0.58,0,86
2135,0.43,0,83
2136,2.58,6.16,71
2138,1.13,0,76
2139,0.74,0,79
2140,0.66,0,77
2141,1.43,4.14,80
2142,1.67,4.44,77
2143,0.72,0,79
2144,0.58,3.45,80
2145,1.32,4.62,83
2148,2.33,3.8,82
2149,0.46,0,81
2150,0.54,0,77
2151,2.63,4.97,75
2152,4.16,7.19,71
2155,2,0,84
2163,0.62,4.47,83
2169,0.16,0,69
2170,1.34,4.64,80
2171,3.02,6.85,77
2176,0.47,0,82
2180,1.71,5.29,88
2184,3.1,7.3,50
2186,3.21,8.27,69
2188,1.92,6.44,55
2189,2.58,8.39,44
2190,1.98,0,49
2191,2.71,11.17,45
2199,0.9,7.04,75
2203,0.54,1.36,78
2210,1.51,6.16,72
2215,0.98,2.49,83
2301,1.64,0,31
2302,0.5,0,30
2322,2.82,8.73,46
2324,7.73,16.3,19
2330,8.31,16.18,11
2332,8.18,21.43,6
2333,3.12,9.83,19
2338,9.04,19.36,15
2339,3.56,8.48,22
2341,5.4,11.15,11
2343,3.63,7.8,45
2346,3.51,0,13
2347,6.17,14.79,18
2351,3.26,6.96,22
2356,5.02,11.58,20
2357,3.97,11.41,26
2359,9.74,16.95,14
2360,4.48,0,5
2364,4.07,17.12,7
2366,6.71,18.28,4
2367,7.37,15.82,11
2368,0.75,0,52
2370,4.54,9.39,22
2375,7.6,16.61,21
2379,4.41,10.51,18
2382,1.24,0,20
2420,1.66,0,73
2421,1.56,0,77
2445,1.71,3.83,75
2446,0.68,0,76
2451,2.74,5.27,69
2452,1.74,5.2,71
2453,0.63,0,72
2457,3.38,9.09,63
2458,2.78,6.04,83
2459,4.06,8.68,79
2460,2.71,4.75,79
2461,2.93,6.96,79
2462,0.67,0,73
2464,2.49,7.35,78
2465,2.21,4.42,71
2466,1.27,3.37,71
2467,2.63,8.36,74
2468,1.13,4.08,80
2472,1.48,3.38,84
2474,0.41,0,80
2476,1.58,3.82,71
2478,0.79,0,79
2481,2.54,7.61,65
2482,2.74,7.54,63
2492,5.1,8.91,76
2493,3.64,9,70
2494,3.06,7.28,78
2532,5.86,12.71,7
2534,2.34,7.64,3
2535,12.46,29.59,1
2536,5,10.1,3
2537,10.09,15.12,11
2538,2.78,9.22,7
2539,5.58,15.95,1
2540,0.54,0,2
2542,4.03,7.77,3
2543,9.87,11.92,2
2553,2.58,5.15,3
2554,1.74,0,1
2556,4.83,11.18,4
2557,1.79,0,1
2558,2.74,6.85,3
2559,0.96,0,3
2561,8.84,16.64,13
2562,10.52,16.8,7
2563,9.05,20.2,11
2564,6.8,15.14,1
2568,3.48,7.55,1
2571,0.92,0,7
2575,4.64,14.61,1
2576,5.64,7.3,7
2584,5.26,12.72,1
2601,0.85,0,6
2630,3,10.15,6
2632,1.22,0,6
2635,8.26,12.64,8
2637,3.57,11.28,6
2638,9.12,20.37,6
2639,9.6,20.39,6
2641,12.28,23.43,6
2644,6.36,20.64,7
2645,15.41,25.88,6
2646,14,28.05,5
2647,1.74,5.79,6
2648,6.08,11.73,7
2649,10.12,15.4,8
2655,5.03,7.73,7
2660,9.52,19.88,6
2664,5.76,13.25,6
2668,5.32,10.48,6
2670,7.04,16.54,6
2671,11.34,23.33,6
2672,1.42,6.86,6
2673,1.86,8.47,6
2675,5.56,13.38,6
2702,8.92,12.53,28
2703,1.53,0,51
2715,6.75,16.13,20
2717,3.36,0,21
2718,6.05,11.75,21
2719,3.72,5.11,20
2720,2.88,0,38
2721,1.6,0,45
2723,1.19,4.63,45
2724,1.33,0,49
2725,2.1,5.58,56
2726,2.87,11.32,33
2738,7.4,9.1,8
2739,7.59,11.75,16
2740,0.8,0,20
2743,5.44,13.58,16
2744,1.38,5.26,19
2745,3.44,9.55,26
2746,1.47,4.93,21
2747,2.22,0,20
2748,6.91,9.24,15
2760,4.32,11.6,43
2762,7.4,16.14,41
2763,2.62,8.71,45
2764,5.92,11.23,38
2766,5.76,11.49,41
2767,4.19,10.17,28
2769,7.99,16.41,53
2770,5.94,24.2,2
2771,4.54,11.62,60
2777,1.76,0,63
2779,6.13,13.6,18
2780,1.24,0,31
2790,7.62,14.66,20
2791,10.8,20.62,18
2802,5.65,9.77,42
2804,17.65,26.22,1
2806,1.23,0,52
2808,16.92,28.8,1
2809,4.42,7.68,30
2812,8.74,26.76,1
2813,12.93,25.05,1
2814,5.22,0,34
2815,11.95,22.58,16
2816,9.82,13.32,16
2817,14.87,22.14,5
2818,6.02,12.23,26
2822,10.19,27.56,3
2825,10.65,16.82,17
2826,5.44,13.6,28
2827,10.79,18.88,4
2828,1.91,8.23,45
2830,6.36,11.54,22
2831,8.66,19,14
2832,13.75,24.98,5
2833,17.25,27.47,1
2835,5.74,16.71,6
2836,7.18,14.73,1
2837,8.34,24.17,3
2838,3.93,5.86,45
2839,2.76,9.54,22
2840,3.16,8.22,5
2841,2.13,9.58,6
2842,1.15,0,8
2852,10.26,20.31,10
2857,8.07,9.81,44
2858,4.67,9.46,25
2859,9.51,11.46,18
2860,0.47,0,47
2861,1.21,7.23,49
2863,0.58,0,48
2864,5.81,11.02,41
2865,4.39,7.13,50
2871,1.63,0,22
2873,15.59,19.69,1
2874,4.82,11.45,7
2875,8.16,19.42,1
2876,5.46,12.64,34
2878,1.32,0,26
2879,5.77,11.38,1
2881,1,0,1
2882,7.24,11.77,1
2885,1.29,0,54
2886,0.68,0,34
2888,2.98,9.97,42
2889,4,7.78,32
2891,16.09,24.31,4
2892,4.75,16.04,1
2893,2.61,7.61,32
2894,12.48,27.33,1
2895,0.42,0,42
2896,4.1,11.06,33
2898,10.44,24.98,3
2903,0.79,0,56
2904,1.75,0,50
2905,2.31,5.94,55
2906,0.68,0,56
2907,1.59,4.22,56
2908,0.38,0,56
2909,1.58,4.66,56
2910,2.14,6.14,47
2911,0.72,0,48
2912,0.7,3.26,56
2914,1.94,7.58,61
2915,1.56,0,56
2916,2.4,6.92,60
2917,2.35,0,42
2919,1.38,0,51
2920,1.59,0,47
2921,4.36,10.69,32
3031,10.01,25.4,4
3032,4.11,17.37,10
3033,11.4,23.86,2
3034,9.99,19.48,8
3036,8.24,17.85,6
3038,3.13,0,13
3042,11.45,19.03,2
3043,11.46,19.96,2
3044,11.53,20.2,6
3045,7.58,14.45,8
3046,9.64,25.34,6
3047,5.27,14,2
3048,15.52,26.02,5
3049,5.93,13.99,5
3051,3.7,10.6,18
3052,6.65,21.54,15
3053,4.72,17.13,15
3054,6.25,19.68,7
3055,11.22,24.31,3
3060,0.91,0,16
3062,3.42,8.94,15
3063,0.87,0,12
3064,1.42,0,12
3070,15.47,26.62,2
3071,16.06,21.38,1
3076,6.1,13.26,28
3077,14.92,23.7,9
3079,2.93,0,27
3082,11.32,29.43,1
3084,9.8,13.57,1
3086,13.94,20.17,1
3087,2.45,0,30
3101,0.51,0,18
3102,2.03,5.7,17
3103,2.29,0,17
3104,0.3,0,16
3106,5.56,12.09,15
3109,1.41,0,9
3110,6.83,11.64,10
3215,16.37,23.39,1
3216,10.53,23.96,3
3217,8.96,16.38,3
3218,14.43,29.62,1
3220,5.75,15.82,6
3221,13.74,29.85,1
3222,4.93,0,1
3223,2.18,0,3
3224,4.51,0,10
3226,16.76,23.5,5
3229,9.31,20.46,7
3230,9.88,21.94,1
3231,8.02,16.12,3
3233,17.78,29.54,1
3234,9.65,16.62,7
3235,1.96,0,13
3237,9.48,21.86,6
3241,7.12,24.99,3
3242,14.33,13.94,7
3243,5.48,19.98,4
3244,6.44,0,1
3245,10.4,13.35,3
3246,4.31,0,6
3249,6.08,8.78,6
3251,23.15,26.03,1
3253,10.05,15.97,3
3255,11.56,23.93,1
3256,9.09,21.71,10
3257,13.77,24.86,1
3258,9,15.4,8
3259,17.66,26.42,1
3260,17.72,29.38,1
3261,16.64,29.48,1
3262,15.45,22.59,1
3263,14.44,25.75,7
3264,4.08,0,3
3266,11.1,18.96,4
3268,9.77,17.8,9
3269,7.95,15.53,6
3275,2.47,0,11
3276,1.41,0,13
3280,8.64,23.61,2
3281,15.67,29.93,1
3284,15.71,24.36,2
3285,7.02,16.79,3
3291,15.44,27.11,2
3293,11.57,17.51,3
3301,1.99,0,17
3303,12.13,12.72,11
3304,6.25,11.85,15
3307,5.42,17.28,8
3431,2.89,0,4
3440,5.82,18.65,2
3441,10.14,25.09,2
3442,9.59,17.98,2
3443,8.02,22.04,6
3444,9.52,18.08,1
3445,8.74,18.48,4
3446,6.16,16.34,4
3447,16.36,23.09,5
3448,9.9,14.5,4
3449,7.17,11.91,2
3450,11,23.18,5
3451,5.26,19.51,2
3452,11.61,12.57,1
3455,4.88,14.36,5
3456,14.2,26.65,4
3457,11.63,21.05,4
3458,4.16,0,1
3461,15.7,21.99,2
3462,9.48,17.4,6
3464,7.74,25.87,5
3465,9.31,14.39,5
3466,6.51,16.15,6
3467,11.12,21.53,6
3470,14.45,28.57,4
3561,14.85,25.15,1
3576,6.84,0,1
3582,19.86,20.94,1
3583,9.46,15.97,1
3584,6.83,0,1
3595,12.39,24.79,1
3597,17.52,16.66,1
3598,4.99,18.16,1
3602,7.94,21.61,5
3603,8.7,14.01,4
3604,4.49,12.79,1
3605,13.26,21.63,1
3607,13.78,27.67,1
3608,5.99,14.96,1
3609,1.63,4.47,3
3741,16.93,28.7,1
3743,1.4,0,4
3745,9.71,18.51,1
3746,13.3,19.24,2
3748,10.81,20.91,1
3750,7.48,17.82,2
3751,9.93,17.62,2
3752,8.54,16.77,1
3753,13.86,20.08,2
3754,2.87,5.59,2
3755,8.79,14.64,2
3765,5.06,18.36,4
3766,1.42,0,2
3768,15.7,25.63,6
3770,10.12,18.74,2
3771,14.22,25.07,1
3773,2.33,0,2
3774,11.52,24.02,4
3777,7.77,23.98,4
3779,6.04,13.1,4
3780,9.78,26.39,4
3782,6.28,10.15,2
3784,1.71,7.76,2
3801,1.29,0,5
3810,12.58,24.36,3
3811,3.01,9.64,17
3813,13.18,23.8,1
3814,3.22,0,1
3816,10.32,27.36,1
3817,11.01,13.77,2
3818,8.42,0,1
3819,6.05,13.27,10
3820,5.17,11.77,7
3823,7.22,19.41,7
3824,7.58,19.03,7
3825,8.38,17.67,3
3826,2.06,9.84,14
3827,7.97,13.17,10
3832,8.82,19.13,1
3833,3.67,0,3
3835,10,14.14,3
3836,8.38,15.93,1
3837,12.29,29.82,3
3839,2.44,8.13,3
3840,3.74,0,5
3841,2.57,0,14
3842,6.81,20.48,11
3844,6.35,17.87,11
3845,12.74,23.63,1
3847,9.27,20.69,1
3848,7.33,15.28,10
3849,7.11,11.86,2
3851,13.7,24.52,2
3852,12.68,23.51,4
3854,2.28,12.2,4
3855,20.15,26.62,2
3856,5.71,15.2,5
3857,8.24,16.09,5
3858,7.37,11.77,14
3860,6.54,13.88,1
3861,13.45,24.06,8
3862,3.14,13.91,7
3864,6.54,11.01,1
3865,4.56,7.5,16
3867,1.73,0,5
3868,2.5,7.29,6
3869,4.46,10.2,6
3870,3.56,15.36,4
3871,3.6,17.95,5
3872,18.98,24.34,1
3873,6.62,18.21,6
3874,7.15,13.08,13
3875,8.56,19.01,2
3878,1.37,0,6
3882,7,22.94,1
3883,12.48,16.07,1
3884,11.96,29.63,2
3885,4.02,8.94,5
3886,14.32,17,2
3887,18.42,27.67,2
3890,6.29,6.2,2
3894,13.84,23.41,1
3901,6.73,11.6,3
3902,14.66,27.4,4
3903,6.01,15.68,5
3904,5.55,11.84,4
3905,5.3,22.12,4
3906,3.6,19.32,4
3907,12.98,20.62,4
3908,10.47,19.55,4
3909,11.75,14.89,5
3910,14.54,22.6,4
3911,11.02,18.96,4
4001,10.36,17.97,3
4002,8.58,17.44,9
4005,1.04,0,29
4006,8.84,16.05,7
4008,5.84,0,5
4009,1.4,0,2
4010,15.17,29.07,3
4011,0.36,0,7
4015,15.49,24.7,3
4021,6.42,12.03,19
4022,9.53,22.98,2
4027,9.85,16.73,6
4030,11.09,27.27,3
4032,6.97,11.31,25
4037,16.63,20.21,3
4038,7.34,12.89,21
4039,14.16,20.68,36
4040,5.21,13.34,3
4042,5.14,18,6
4043,2.93,0,9
4046,3.36,13.24,6
4051,17.45,27.4,2
4055,10.62,14.3,3
4057,4.35,7.78,3
4062,9.38,16.23,21
4063,4.03,9.42,27
4064,5.4,9.87,27
4066,12,24.98,3
4069,9.08,17.76,6
4072,4.34,5,27
4073,5.12,0,4
4074,3.32,0,27
4076,8.74,16.99,3
4079,9.27,20.41,3
4083,1.12,0,10
4084,8.91,22.2,4
4085,10.11,24.92,1
4086,4.04,7.74,7
4087,10,22.92,3
4088,12.39,22.45,3
4090,7.37,13.35,10
4092,1.93,0,27
4093,4.27,0,26
4095,18.15,26.9,2
4096,0.67,0,24
4097,6.26,11.52,16
4101,0.25,0,27
4102,2.21,0,27
4103,0.63,0,27
4105,3.79,15.66,21
4106,1,0,27
4107,5.51,7.38,21
4110,4.81,6.54,24
4210,1.02,0,19
4219,13.52,24.99,1
4220,13.88,23.06,2
4221,13.09,27.81,4
4222,6.27,18.01,21
4224,9.82,24.37,5
4227,5.32,14.95,3
4234,2.04,10.92,3
4236,8.11,12.48,18
4237,12.97,26.85,3
4238,2.1,0,7
4239,5.65,17.56,3
4240,1.56,0,17
4250,0.9,0,20
4252,2.76,10,22
4253,17.35,29.68,1
4254,16.17,24.02,2
4256,9.23,13.8,18
4257,2.38,0,4
4258,6.75,9.52,18
4259,6.83,17.54,1
4260,12.93,16.84,23
4263,10.12,22.48,12
4265,4.46,10.87,24
4268,6.15,9.51,3
4270,7.49,0,7
4271,4.79,5.91,3
4274,11.13,15.82,18
4275,14.54,20.25,4
4276,4.55,0,4
4280,0.52,0,22
4281,3.46,0,3
4282,13.13,24.88,16
4284,7.72,15.57,1
4285,15.59,25.5,1
4287,7.3,19.02,6
4289,10.16,11.97,2
4290,9.54,23.1,4
4294,4.86,0,3
4330,0.55,0,22
4342,14.95,19.23,4
4343,6.43,8.99,11
4344,3.95,9.16,12
4345,3.89,6.96,12
4346,0.91,0,13
4347,0.88,0,12
4348,10.25,15.83,2
4349,14.78,25.3,1
4350,8.88,25.9,2
4351,4.8,10.43,13
4353,10.43,17.93,10
4354,12.47,19.99,9
4355,8.6,16.53,9
4357,11.7,20.46,2
4358,5.89,0,18
4359,5.62,10.29,11
4360,13.21,19.79,2
4363,0.65,0,11
4364,2.08,0,10
4401,2.37,0,16
4406,22.15,29.37,3
4410,11.43,22.67,1
4412,2.85,11.48,15
4419,8.72,22.62,17
4422,6.34,12.45,4
4426,4.73,0,4
4427,2.72,0,19
4428,12.78,25.56,15
4429,12.39,23.8,18
4431,12.22,29.73,3
4434,9.64,14.31,2
4435,8.68,18.49,2
4443,10.57,18.39,3
4444,12.25,21.7,15
4448,13.18,23.05,3
4449,9.79,21.84,16
4450,10.89,10.13,17
4455,16.28,16.17,3
4456,6.08,19.59,17
4457,5.6,0,3
4460,32.85,29.64,3
4461,17.26,25.1,15
4463,23.89,27.3,3
4468,18.28,23.54,15
4469,8.08,21.95,15
4471,23.13,28.71,3
4472,12.92,29.83,3
4473,5.16,19.37,15
4474,7.96,22.42,15
4475,16.6,27.72,3
4479,6.32,23.34,3
4481,10.63,20.06,3
4488,1.86,0,1
4489,8.03,16.31,15
4493,10.49,19.44,3
4495,15.06,21.46,3
4530,4.37,12.53,7
4535,9.36,24.7,1
4537,13.91,23.53,1
4538,17.62,28.32,1
4539,6.1,13.84,1
4541,13,27.75,1
4543,2.81,0,1
4547,14.36,23.35,3
4548,13.17,29.95,3
4551,7.4,21.82,1
4553,3.56,9.73,1
4554,15.42,25.61,1
4555,8.62,13.63,4
4556,8.39,15.19,1
4558,12.2,25.21,1
4562,12.16,26.81,3
4563,13.04,21.04,3
4564,9.8,24.11,1
4568,13.54,25.63,1
4572,13.81,15.59,5
4573,7.28,14.8,1
4574,12.78,21.77,1
4578,11.96,16.85,4
4579,10,25.8,4
4605,8.33,0,3
4607,13.27,19.47,1
4619,5.62,0,1
4622,22.68,15.58,1
4623,17.6,26.94,1
4626,16.34,29.08,3
4630,10.6,12.15,3
4631,1.28,0,1
4640,9.66,21,3
4643,6.62,10.23,1
4648,9.72,13.58,3
4654,6.87,0,3
4655,6.65,23.99,3
4658,0.6,0,1
4666,17.03,24.8,1
4667,9.71,11.86,1
4669,14.98,27.95,1
4671,13.5,29.08,1
4680,5.32,9.35,1
4684,4.99,18.7,3
4691,14.65,24.57,3
4694,15.9,17.82,1
4730,4.9,0,3
4734,20.4,26.23,4
4736,3.76,0,9
4739,25.94,26.67,3
4740,10.48,15.58,5
4742,1.26,0,9
4743,6.51,0,3
4745,7.73,15.63,4
4746,18.79,18.5,1
4750,13.4,22.22,5
4756,4.44,0,1
4757,10.28,13.22,5
4758,16.17,25.96,5
4760,22.95,24.98,3
4761,8.88,19.72,3
4763,18.56,29.94,3
4766,15.57,22.25,4
4769,1.25,0,9
4772,13.04,23.05,4
4773,11.68,26.34,1
4779,22.55,28.24,3
4781,11.36,10.65,3
4783,20.1,28.67,4
4786,13.17,20.7,8
4787,12.31,15.31,5
4841,2.95,0,4
4843,8.23,10.16,4
4847,12.63,20.62,4
4849,10.83,24.52,6
4854,3.61,8.2,4
4856,4.1,0,4
4858,5.78,12.41,4
4859,10.97,18.08,4
4860,15.07,21.55,3
4861,4.47,7.04,5
4862,17.53,23.14,4
4864,9.63,14.45,5
4901,2.75,0,18
4910,12.08,15.43,12
4911,16.51,27.67,3
4912,10.59,26.38,3
4915,3.87,0,3
4917,10.93,19.78,8
4918,12.93,21.83,8
4921,15.83,25.36,2
4924,9.73,16.47,6
4926,8.84,8.96,19
4927,9,18.56,10
4928,8.61,20.97,1
4929,10.07,15.58,1
4930,15.3,24.76,4
4933,5.9,10.6,2
4937,6.32,0,17
4938,3.3,0,3
4939,10.36,17.96,1
4940,5.49,8.23,3
4943,11.72,23.65,1
4944,7.9,15.43,13
4949,16.81,27.18,1
4950,8.78,20.04,3
4952,9.15,16.04,3
4953,3.57,0,1
4955,10.23,13.89,6
4956,13.67,21.8,2
4957,11,15.23,7
4962,3.94,8.85,19
4963,11.03,15.32,17
4965,5.7,10.33,4
4967,13.93,16.31,3
4969,10.01,15.88,1
4973,14.08,23.21,2
4974,5.49,0,3
4975,3.42,8.01,20
4976,3.81,0,3
4978,12.38,27.91,13
4981,11.39,16.59,3
4984,8.43,15.79,3
4989,4.92,21.04,17
4992,1.06,5.9,3
5001,4.59,0,2
5032,10.87,20.86,3
5033,3.1,0,4
5036,8.91,14.46,3
5037,12.96,21.84,1
5038,14.42,24.9,1
5039,13.06,29.1,4
5040,8.57,27.08,4
5041,8.49,19.24,4
5043,16.46,23.28,6
5045,7.58,21.94,4
5048,9.57,26.62,1
5050,16.87,17.85,1
5051,9.45,26.29,4
5052,5.45,12.11,3
5053,13.23,23.46,1
5055,9.97,16.24,2
5058,13.32,27.28,4
5059,7.25,14.93,2
5060,3.23,0,3
5061,5.16,13.13,4
5065,14.63,28.03,1
5068,14.88,24.76,2
5069,17.95,27.68,4
5081,13.02,28.89,4
5084,11.5,15.58,2
5086,15.42,28.06,6
5089,13.91,15.03,3
5101,5.98,0,3
5141,8.8,19.08,1
5142,9.19,25.28,3
5143,9.86,18.5,3
