IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
118,1,6,125,94.4,0.8,4.8,2019,17355
11712,638,2541,14891,78.65,4.28,17.06,2019,17403
1538,43,304,1885,81.59,2.28,16.13,2019,17516
2062,111,295,2468,83.55,4.5,11.95,2019,17538
2440,266,330,3036,80.37,8.76,10.87,2019,17554
3881,299,1048,5228,74.23,5.72,20.05,2019,17557
761,32,133,926,82.18,3.46,14.36,2019,17565
1480,128,344,1952,75.82,6.56,17.62,2019,17569
17771,1206,2021,20998,84.63,5.74,9.62,2019,17601
15270,953,2786,19009,80.33,5.01,14.66,2019,17602
526,23,121,670,78.51,3.43,18.06,2019,17721
15,0,2,17,88.24,0.0,11.76,2019,17739
322,31,71,424,75.94,7.31,16.75,2019,17758
517,21,187,725,71.31,2.9,25.79,2019,17810
379,17,91,487,77.82,3.49,18.69,2019,17823
75,0,64,139,53.96,0.0,46.04,2019,17887
2183,18,490,2691,81.12,0.67,18.21,2019,17921
132,0,47,179,73.74,0.0,26.26,2019,17923
46,0,0,46,100.0,0.0,0.0,2019,17933
544,3,146,693,78.5,0.43,21.07,2019,17935
400,11,186,597,67.0,1.84,31.16,2019,17959
1471,5,235,1711,85.97,0.29,13.73,2019,17960
3792,126,816,4734,80.1,2.66,17.24,2019,17972
698,31,166,895,77.99,3.46,18.55,2019,17965
89,2,24,115,77.39,1.74,20.87,2019,17978
1796,56,444,2296,78.22,2.44,19.34,2019,17820
101,3,37,141,71.63,2.13,26.24,2019,17776
398,13,98,509,78.19,2.55,19.25,2019,17812
52,0,51,103,50.49,0.0,49.51,2019,17311
1657,93,313,2063,80.32,4.51,15.17,2019,17314
5284,130,856,6270,84.27,2.07,13.65,2019,20012
2059,28,321,2408,85.51,1.16,13.33,2019,17090
230,3,37,270,85.19,1.11,13.7,2019,17265
1297,4,249,1550,83.68,0.26,16.06,2019,17028
4510,179,1093,5782,78.0,3.1,18.9,2019,17067
330,15,77,422,78.2,3.55,18.25,2019,17228
266,0,313,579,45.94,0.0,54.06,2019,17886
220,8,88,316,69.62,2.53,27.85,2019,17964
24,0,0,24,100.0,0.0,0.0,2019,17083
132,41,69,242,54.55,16.94,28.51,2019,17221
2350,69,413,2832,82.98,2.44,14.58,2019,17327
826,50,428,1304,63.34,3.83,32.82,2019,17509
154,0,22,176,87.5,0.0,12.5,2019,17762
820,5,170,995,82.41,0.5,17.09,2019,17860
695,44,191,930,74.73,4.73,20.54,2019,17764
1531,13,376,1920,79.74,0.68,19.58,2019,17814
589,8,197,794,74.18,1.01,24.81,2019,17830
734,2,187,923,79.52,0.22,20.26,2019,17938
415,30,100,545,76.15,5.5,18.35,2019,17985
931,31,276,1238,75.2,2.5,22.29,2019,17744
474,0,63,537,88.27,0.0,11.73,2019,17868
1029,19,223,1271,80.96,1.49,17.55,2019,17980
7196,131,952,8279,86.92,1.58,11.5,2019,17015
199,5,106,310,64.19,1.61,34.19,2019,17030
9,29,0,38,23.68,76.32,0.0,2019,17039
13774,505,1082,15361,89.67,3.29,7.04,2019,17050
13,0,10,23,56.52,0.0,43.48,2019,17056
40,0,12,52,76.92,0.0,23.08,2019,17071
0,0,0,0,,,,2019,17120
9385,280,1369,11034,85.06,2.54,12.41,2019,17202
85,0,0,85,100.0,0.0,0.0,2019,17210
69,0,15,84,82.14,0.0,17.86,2019,17217
39,0,55,94,41.49,0.0,58.51,2019,17246
101,0,132,233,43.35,0.0,56.65,2019,17247
0,0,34,34,0.0,0.0,100.0,2019,17250
40,0,2,42,95.24,0.0,4.76,2019,17251
49,0,0,49,100.0,0.0,0.0,2019,17256
0,0,0,0,,,,2019,17261
213,0,0,213,100.0,0.0,0.0,2019,17263
178,0,35,213,83.57,0.0,16.43,2019,17272
54,5,30,89,60.67,5.62,33.71,2019,17371
7662,307,1670,9639,79.49,3.18,17.33,2019,17408
51,0,14,65,78.46,0.0,21.54,2019,17507
163,0,144,307,53.09,0.0,46.91,2019,17550
31,110,80,221,14.03,49.77,36.2,2019,17606
17,0,6,23,73.91,0.0,26.09,2019,17723
38,0,5,43,88.37,0.0,11.63,2019,17727
97,0,14,111,87.39,0.0,12.61,2019,17779
0,0,0,0,,,,2019,17822
621,20,204,845,73.49,2.37,24.14,2019,17876
38,0,7,45,84.44,0.0,15.56,2019,17880
10039,222,1678,11939,84.09,1.86,14.05,2019,17268
85,0,14,99,85.86,0.0,14.14,2019,17271
718,33,283,1034,69.44,3.19,27.37,2019,17094
3107,292,675,4074,76.26,7.17,16.57,2019,17102
83,0,35,118,70.34,0.0,29.66,2019,17223
474,51,103,628,75.48,8.12,16.4,2019,17224
2590,100,567,3257,79.52,3.07,17.41,2019,17236
919,27,315,1261,72.88,2.14,24.98,2019,17240
0,0,0,0,,,,2019,20427
2485,113,233,2831,87.78,3.99,8.23,2019,19333
6551,96,356,7003,93.55,1.37,5.08,2019,19341
3094,190,1003,4287,72.17,4.43,23.4,2019,19344
3953,19,149,4121,95.92,0.46,3.62,2019,19350
16288,206,1496,17990,90.54,1.15,8.32,2019,19403
47,0,0,47,100.0,0.0,0.0,2019,19435
22,23,0,45,48.89,51.11,0.0,2019,19457
2544,98,449,3091,82.3,3.17,14.53,2019,19137
6410,201,663,7274,88.12,2.76,9.11,2019,19046
11456,286,1084,12826,89.32,2.23,8.45,2019,19047
13332,176,1509,15017,88.78,1.17,10.05,2019,19063
2556,16,206,2778,92.01,0.58,7.42,2019,19075
2245,9,434,2688,83.52,0.33,16.15,2019,19076
5698,52,746,6496,87.72,0.8,11.48,2019,19015
3908,98,673,4679,83.52,2.09,14.38,2019,19030
10335,201,711,11247,91.89,1.79,6.32,2019,19038
283,0,18,301,94.02,0.0,5.98,2019,19730
26,0,0,26,100.0,0.0,0.0,2019,19732
4572,146,474,5192,88.06,2.81,9.13,2019,19806
494,2,54,550,89.82,0.36,9.82,2019,19954
1856,58,602,2516,73.77,2.31,23.93,2019,19960
10134,94,2083,12311,82.32,0.76,16.92,2019,19966
9825,275,2232,12332,79.67,2.23,18.1,2019,19136
3110,104,162,3376,92.12,3.08,4.8,2019,19081
3984,44,192,4220,94.41,1.04,4.55,2019,19086
6535,43,158,6736,97.02,0.64,2.35,2019,19106
8549,659,3315,12523,68.27,5.26,26.47,2019,19141
13596,638,4145,18379,73.98,3.47,22.55,2019,19145
17,0,0,17,100.0,0.0,0.0,2019,19367
296,0,84,380,77.89,0.0,22.11,2019,19374
376,14,0,390,96.41,3.59,0.0,2019,19437
3940,66,307,4313,91.35,1.53,7.12,2019,19444
19673,606,1933,22212,88.57,2.73,8.7,2019,19446
787,0,29,816,96.45,0.0,3.55,2019,19453
5915,83,625,6623,89.31,1.25,9.44,2019,19465
67,0,0,67,100.0,0.0,0.0,2019,19519
5414,72,846,6332,85.5,1.14,13.36,2019,19610
18182,343,1055,19580,92.86,1.75,5.39,2019,19702
4915,239,893,6047,81.28,3.95,14.77,2019,19703
3512,76,428,4016,87.45,1.89,10.66,2019,19609
10279,357,786,11422,89.99,3.13,6.88,2019,19454
5483,167,426,6076,90.24,2.75,7.01,2019,19462
14977,402,2819,18198,82.3,2.21,15.49,2019,19464
17968,689,1026,19683,91.29,3.5,5.21,2019,19711
17933,992,2522,21447,83.62,4.63,11.76,2019,19720
11136,201,845,12182,91.41,1.65,6.94,2019,19002
2977,0,298,3275,90.9,0.0,9.1,2019,19510
2296,44,431,2771,82.86,1.59,15.55,2019,19506
912,4,176,1092,83.52,0.37,16.12,2019,19507
4578,152,613,5343,85.68,2.84,11.47,2019,19522
3612,102,891,4605,78.44,2.21,19.35,2019,19526
1567,34,262,1863,84.11,1.83,14.06,2019,19551
136,0,36,172,79.07,0.0,20.93,2019,19554
6467,144,1627,8238,78.5,1.75,19.75,2019,19604
15331,451,1608,17390,88.16,2.59,9.25,2019,19147
13049,305,1056,14410,90.56,2.12,7.33,2019,19701
0,0,0,0,,,,2019,19710
10216,402,1011,11629,87.85,3.46,8.69,2019,19713
109,6,86,201,54.23,2.99,42.79,2019,24292
5785,53,545,6383,90.63,0.83,8.54,2019,20015
12888,263,1286,14437,89.27,1.82,8.91,2019,20110
9119,70,372,9561,95.38,0.73,3.89,2019,20121
4805,26,65,4896,98.14,0.53,1.33,2019,20124
2572,6,195,2773,92.75,0.22,7.03,2019,20181
218,0,98,316,68.99,0.0,31.01,2019,20184
8946,71,1149,10166,88.0,0.7,11.3,2019,20602
10586,207,467,11260,94.01,1.84,4.15,2019,20603
96,7,34,137,70.07,5.11,24.82,2019,20606
3690,61,131,3882,95.05,1.57,3.37,2019,20607
156,25,98,279,55.91,8.96,35.13,2019,20608
265,0,115,380,69.74,0.0,30.26,2019,20621
844,43,8,895,94.3,4.8,0.89,2019,20623
469,0,50,519,90.37,0.0,9.63,2019,20624
8054,463,1174,9691,83.11,4.78,12.11,2019,20653
6735,119,1077,7931,84.92,1.5,13.58,2019,20659
268,11,137,416,64.42,2.64,32.93,2019,20684
174,0,45,219,79.45,0.0,20.55,2019,20687
557,21,66,644,86.49,3.26,10.25,2019,20689
395,20,47,462,85.5,4.33,10.17,2019,20144
8406,146,251,8803,95.49,1.66,2.85,2019,20832
1058,45,148,1251,84.57,3.6,11.83,2019,20135
11122,255,942,12319,90.28,2.07,7.65,2019,20164
2346,36,151,2533,92.62,1.42,5.96,2019,20180
258,43,126,427,60.42,10.07,29.51,2019,20609
254,7,35,296,85.81,2.36,11.82,2019,20617
147,10,34,191,76.96,5.24,17.8,2019,20618
3270,189,337,3796,86.14,4.98,8.88,2019,20636
1783,0,111,1894,94.14,0.0,5.86,2019,20637
248,0,52,300,82.67,0.0,17.33,2019,20645
257,12,39,308,83.44,3.9,12.66,2019,20674
2203,65,203,2471,89.15,2.63,8.22,2019,20754
173,0,0,173,100.0,0.0,0.0,2019,20758
173,10,57,240,72.08,4.17,23.75,2019,20625
2648,191,36,2875,92.1,6.64,1.25,2019,20755
809,0,79,888,91.1,0.0,8.9,2019,20860
1174,33,64,1271,92.37,2.6,5.04,2019,20676
1132,0,40,1172,96.59,0.0,3.41,2019,20777
2193,3,159,2355,93.12,0.13,6.75,2019,20833
8012,311,1038,9361,85.59,3.32,11.09,2019,20912
0,0,0,0,,,,2019,20045
0,0,0,0,,,,2019,20052
0,0,0,0,,,,2019,20053
0,0,0,0,,,,2019,20057
0,0,0,0,,,,2019,20064
0,0,0,0,,,,2019,20202
0,0,0,0,,,,2019,20204
0,0,0,0,,,,2019,20228
0,0,0,0,,,,2019,20230
0,0,0,0,,,,2019,20240
0,0,0,0,,,,2019,20245
0,0,0,0,,,,2019,20260
0,0,0,0,,,,2019,20307
25,7,294,326,7.67,2.15,90.18,2019,20317
0,0,0,0,,,,2019,20373
0,0,0,0,,,,2019,20390
0,0,0,0,,,,2019,20405
0,0,0,0,,,,2019,20418
7134,413,2639,10186,70.04,4.05,25.91,2019,24501
0,0,0,0,,,,2019,20506
0,0,0,0,,,,2019,20510
0,0,0,0,,,,2019,20520
0,0,0,0,,,,2019,20535
0,0,0,0,,,,2019,20540
0,0,0,0,,,,2019,20551
0,0,0,0,,,,2019,20553
0,0,0,0,,,,2019,20560
0,0,0,0,,,,2019,20565
0,0,0,0,,,,2019,20566
0,0,0,0,,,,2019,20593
0,0,0,0,,,,2019,20660
40,69,0,109,36.7,63.3,0.0,2019,20686
0,0,0,0,,,,2019,20742
118,0,72,190,62.11,0.0,37.89,2019,20899
76,0,62,138,55.07,0.0,44.93,2019,20612
11074,168,959,12201,90.76,1.38,7.86,2019,20707
15075,397,1258,16730,90.11,2.37,7.52,2019,20902
1994,65,380,2439,81.75,2.67,15.58,2019,20711
8898,194,725,9817,90.64,1.98,7.39,2019,20770
3882,175,167,4224,91.9,4.14,3.95,2019,20872
342,3,0,345,99.13,0.87,0.0,2019,20670
7316,91,150,7557,96.81,1.2,1.98,2019,20720
5593,56,252,5901,94.78,0.95,4.27,2019,20905
10789,138,736,11663,92.51,1.18,6.31,2019,21009
2665,50,62,2777,95.97,1.8,2.23,2019,21017
894,25,130,1049,85.22,2.38,12.39,2019,21028
2876,0,190,3066,93.8,0.0,6.2,2019,21032
654,0,55,709,92.24,0.0,7.76,2019,21036
16481,525,951,17957,91.78,2.92,5.3,2019,21044
3231,52,399,3682,87.75,1.41,10.84,2019,21048
52,0,0,52,100.0,0.0,0.0,2019,21130
8925,53,480,9458,94.36,0.56,5.08,2019,21146
1871,51,191,2113,88.55,2.41,9.04,2019,21154
682,55,223,960,71.04,5.73,23.23,2019,21160
10152,390,962,11504,88.25,3.39,8.36,2019,21209
10825,303,1265,12393,87.35,2.44,10.21,2019,21212
5760,1403,3446,10609,54.29,13.22,32.48,2019,21216
782,23,118,923,84.72,2.49,12.78,2019,21520
512,28,234,774,66.15,3.62,30.23,2019,21545
421,20,178,619,68.01,3.23,28.76,2019,21555
8185,220,1357,9762,83.85,2.25,13.9,2019,21001
1529,9,144,1682,90.9,0.54,8.56,2019,21013
3274,36,102,3412,95.96,1.06,2.99,2019,21029
14213,190,723,15126,93.96,1.26,4.78,2019,21045
1312,104,200,1616,81.19,6.44,12.38,2019,21057
11709,261,1468,13438,87.13,1.94,10.92,2019,21060
624,4,259,887,70.35,0.45,29.2,2019,21531
7342,141,241,7724,95.05,1.83,3.12,2019,21012
9132,96,813,10041,90.95,0.96,8.1,2019,21030
5905,96,209,6210,95.09,1.55,3.37,2019,21046
89,0,0,89,100.0,0.0,0.0,2019,21056
0,0,0,0,,,,2019,21105
1770,0,64,1834,96.51,0.0,3.49,2019,21111
