COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
12045,9460,56.65,43.35,20.36,25.55,24.67,17.09375347
12047,5805,77.26,22.74,43.38,34.37,29.99,11.29861567
12049,9730,79.88,20.12,28.39,28.06,33.83,15.2608523
12051,14728,81.66,18.34,39.69,21.08,33.79,12.73801989
12053,86209,85.31,14.69,16.81,18.23,22.22,182.3471011
12055,55578,73.82,26.18,25.48,20.48,24.65,54.63364187
12057,571869,90.31,9.69,7.05,17.12,41.95,559.6443642
12059,8687,80.76,19.24,33.12,30.24,23.5,18.14121351
12061,79216,72.46,27.54,7.75,19.52,21.89,157.5555517
12063,21058,80.23,19.77,29.84,30.05,28.69,22.93469387
12065,6694,86.21,13.79,36.78,37.62,22.27,11.19258553
12067,3181,65.86,34.14,45.99,33.86,21.1,5.854202506
12069,153983,84.55,15.45,19.13,15.71,25.68,161.9691285
12071,388044,70.06,29.94,9.48,13.73,29.39,496.2117615
12073,128876,87.62,12.38,7.92,18.8,46.94,193.2670616
12075,20424,80.46,19.54,49.23,23.78,22.81,18.26460822
12077,3586,66.4,33.6,46.82,30.97,24.7,4.291735083
12079,8581,77.87,22.13,41.18,34.63,23.11,12.31971824
12081,187302,76.7,23.3,15.66,16.46,28.41,252.0448113
12083,167450,81.53,18.47,20.75,19.82,24.16,105.4205666
12085,79801,80.03,19.97,9.72,21.46,21.86,146.7516518
12086,1016653,85.58,14.42,1.29,22.8,48.39,535.4345336
12087,53423,57.99,42.01,12.82,21.85,40.4,54.34565971
12089,37991,82.23,17.77,18.24,19.63,21.52,58.5668558
12091,96376,80.31,19.69,5.4,21.84,37,103.6046005
12093,18640,73.81,26.19,37.38,23.96,28.24,24.24391833
12095,526428,87.12,12.88,3.75,15.46,45.33,583.2770073
12097,144054,68.83,31.17,7.76,10.21,38.89,108.4985001
12099,682671,80.3,19.7,2.78,19.45,31.39,347.3068896
12101,240220,82.94,17.06,19.48,16.47,27.99,321.7238958
12103,507692,80.31,19.69,9.26,23.82,34.26,1854.597951
12105,291796,79.25,20.75,21.29,19,31.47,162.3657667
12107,37284,75.81,24.19,43.39,26.4,26.97,51.22387356
12109,103522,83.33,16.67,7.23,16.28,21.5,172.3324422
12111,139960,80.65,19.35,8.47,17.04,26.81,244.8215257
12113,70389,87.15,12.85,10.89,18.92,24.58,69.52860032
12115,237131,76.14,23.86,9.2,19.73,26.21,425.8313709
12117,188529,88.74,11.26,2.82,21.03,34.81,609.3385648
12119,69130,79.03,20.97,15.67,12.66,10.24,124.0867768
12121,19264,78.3,21.7,51.76,22.95,28.12,27.9776715
12123,11074,66.43,33.57,32.13,32.19,18.5,10.61426448
12125,4567,85.22,14.78,46.51,22.73,30.88,18.75142785
12127,259323,82.13,17.87,8.73,21.99,29.89,235.48315
12129,13319,83.1,16.9,27.58,23.49,19.34,21.96348953
12131,50699,52.14,47.86,13.58,19.21,26.03,48.85532513
12133,10863,78.1,21.9,38.36,27.89,22.55,18.57959067
13001,8543,78.22,21.78,37.16,32.48,26.95,16.80794501
