COUNTYFP,cntT,cntBupT,cntMetT,cntNalT,avBupTime,avMetTime,avNalTime,pctBupT,pctMetT,pctNalT
05063,8,8.0,0.0,8.0,14.72,93.58,14.75,1.0,0.0,1.0
05065,4,0.0,0.0,2.0,48.95,86.88,23.67,0.0,0.0,0.5
05067,5,4.0,0.0,4.0,18.58,59.04,18.58,0.8,0.0,0.8
05069,24,22.0,0.0,0.0,10.62,55.86,55.87,0.92,0.0,0.0
05071,6,6.0,0.0,6.0,15.92,79.8,13.17,1.0,0.0,1.0
05073,2,0.0,0.0,0.0,49.52,58.32,58.42,0.0,0.0,0.0
05075,6,0.0,0.0,4.0,43.1,47.3,16.82,0.0,0.0,0.67
05077,4,1.0,0.0,4.0,37.72,100.54,16.36,0.25,0.0,1.0
05079,4,3.0,0.0,0.0,16.54,88.95,49.18,0.75,0.0,0.0
05081,4,2.0,0.0,2.0,38.88,45.72,40.7,0.5,0.0,0.5
05083,6,0.0,0.0,2.0,42.6,78.23,23.34,0.0,0.0,0.33
05085,16,14.0,8.0,11.0,20.73,33.2,23.62,0.88,0.5,0.69
05087,4,3.0,0.0,0.0,22.11,56.8,55.02,0.75,0.0,0.0
05089,4,1.0,0.0,0.0,46.3,123.86,61.15,0.25,0.0,0.0
05091,12,11.0,11.0,11.0,9.46,11.16,11.44,0.92,0.92,0.92
05093,12,11.0,0.0,7.0,14.79,65.54,20.48,0.92,0.0,0.58
05095,3,3.0,0.0,2.0,16.35,87.32,19.37,1.0,0.0,0.67
05097,3,0.0,0.0,0.0,59.74,112.4,68.5,0.0,0.0,0.0
05099,3,0.0,0.0,1.0,46.06,69.62,30.46,0.0,0.0,0.33
05101,2,1.0,0.0,1.0,45.02,136.16,49.92,0.5,0.0,0.5
05103,6,6.0,,0.0,11.68,,48.02,1.0,,0.0
05105,3,0.0,0.0,1.0,51.23,81.05,40.08,0.0,0.0,0.33
05107,6,0.0,0.0,5.0,45.93,106.42,15.68,0.0,0.0,0.83
05109,3,0.0,0.0,0.0,73.32,114.21,75.6,0.0,0.0,0.0
05111,7,2.0,2.0,5.0,32.97,35.31,20.76,0.29,0.29,0.71
05113,6,1.0,0.0,0.0,56.12,139.24,120.81,0.17,0.0,0.0
05115,11,10.0,0.0,9.0,13.66,91.76,15.26,0.91,0.0,0.82
05117,3,0.0,0.0,0.0,39.86,58.63,37.64,0.0,0.0,0.0
05119,95,95.0,92.0,94.0,6.54,13.86,10.93,1.0,0.97,0.99
05121,4,0.0,0.0,4.0,46.53,63.87,12.74,0.0,0.0,1.0
05123,6,5.0,0.0,5.0,14.1,74.64,14.07,0.83,0.0,0.83
05125,21,19.0,19.0,18.0,18.22,19.68,19.63,0.9,0.9,0.86
05127,3,3.0,0.0,0.0,9.59,84.16,71.75,1.0,0.0,0.0
05129,3,2.0,0.0,2.0,12.3,173.12,17.77,0.67,0.0,0.67
05131,26,24.0,20.0,24.0,7.7,21.99,13.08,0.92,0.77,0.92
05133,4,3.0,0.0,0.0,15.56,77.96,72.94,0.75,0.0,0.0
05135,4,0.0,0.0,3.0,56.38,85.98,20.56,0.0,0.0,0.75
05137,3,0.0,0.0,2.0,49.07,139.16,18.46,0.0,0.0,0.67
05139,10,9.0,,9.0,9.7,,12.67,0.9,,0.9
05141,5,1.0,0.0,2.0,43.77,100.49,28.99,0.2,0.0,0.4
05143,32,30.0,27.0,27.0,7.76,17.6,13.42,0.94,0.84,0.84
05145,13,13.0,0.0,12.0,12.68,59.0,15.98,1.0,0.0,0.92
05147,2,2.0,0.0,2.0,14.16,89.6,14.16,1.0,0.0,1.0
05149,6,3.0,0.0,3.0,35.97,110.84,34.33,0.5,0.0,0.5
06001,361,361.0,354.0,361.0,3.28,9.92,5.51,1.0,0.98,1.0
06003,1,0.0,0.0,0.0,41.47,63.2,58.3,0.0,0.0,0.0
06005,9,7.0,0.0,4.0,15.93,71.03,36.57,0.78,0.0,0.44
06007,51,49.0,28.0,44.0,7.92,23.15,14.94,0.96,0.55,0.86
06009,10,3.0,0.0,1.0,31.83,81.7,49.95,0.3,0.0,0.1
06011,5,3.0,0.0,0.0,23.62,56.21,57.07,0.6,0.0,0.0
06013,208,208.0,202.0,208.0,5.17,17.77,7.49,1.0,0.97,1.0
06015,8,6.0,,6.0,12.51,,13.9,0.75,,0.75
06017,43,38.0,2.0,39.0,11.75,51.95,15.83,0.88,0.05,0.91
06019,199,192.0,179.0,177.0,7.18,15.76,13.46,0.96,0.9,0.89
06021,6,5.0,2.0,2.0,18.4,39.69,39.69,0.83,0.33,0.33
06023,31,30.0,,24.0,6.19,,24.98,0.97,,0.77
06025,31,29.0,26.0,27.0,8.97,20.19,16.03,0.94,0.84,0.87
06027,6,5.0,,5.0,9.01,,9.01,0.83,,0.83
06029,151,136.0,,105.0,9.52,,23.65,0.9,,0.7
06031,27,26.0,0.0,4.0,7.18,40.78,41.48,0.96,0.0,0.15
06033,15,15.0,0.0,6.0,7.33,90.58,28.79,1.0,0.0,0.4
06035,9,7.0,,0.0,19.95,,103.02,0.78,,0.0
06037,2347,,,,,,,,,
06039,23,20.0,9.0,14.0,13.82,40.2,29.83,0.87,0.39,0.61
06041,56,54.0,53.0,53.0,5.57,16.68,8.89,0.96,0.95,0.95
06043,6,2.0,0.0,0.0,36.12,79.08,58.92,0.33,0.0,0.0
06045,21,19.0,,16.0,10.84,,21.45,0.9,,0.76
06047,49,49.0,39.0,12.0,7.64,19.7,37.41,1.0,0.8,0.24
06049,4,0.0,,2.0,107.19,,44.45,0.0,,0.5
06051,3,2.0,,1.0,14.53,,40.31,0.67,,0.33
06053,94,92.0,68.0,91.0,6.14,20.67,9.23,0.98,0.72,0.97
06055,40,39.0,31.0,39.0,6.5,22.94,8.85,0.98,0.78,0.98
06057,20,20.0,14.0,18.0,8.15,25.44,18.1,1.0,0.7,0.9
06059,583,583.0,554.0,583.0,3.52,12.75,5.04,1.0,0.95,1.0
06061,85,83.0,68.0,81.0,7.85,23.06,8.79,0.98,0.8,0.95
06063,7,6.0,0.0,0.0,17.24,99.61,95.78,0.86,0.0,0.0
06065,453,441.0,,439.0,6.36,,9.51,0.97,,0.97
