ZCTA,pop,minDist_SUT
19564,181,4.82
15077,150,5.08
17920,353,2.51
17822,0,0.22
19107,13696,0.16
02876,291,3.59
29646,28182,3.78
29003,6510,4.46
29014,1763,12.01
29135,8387,10.85
10456,94218,0.23
13343,1772,32.99
14456,19201,1.75
11417,31927,0.38
13440,41243,0.12
13856,6009,1.98
11104,26119,0.85
10024,59001,0.52
12456,851,6.39
10535,427,4.03
11212,76527,0.66
11694,21354,5.15
11415,19372,0.43
28777,10314,1.69
27827,58,7.81
27891,5356,9.12
28465,7252,12.5
38053,26545,9.82
37727,2390,11.42
11209,67809,1.02
37148,23982,8.49
10703,21854,1.48
79714,17818,36.24
75551,10679,23.45
78851,33,124.37
28607,35523,1.49
58239,14,28.68
98244,2783,19.06
99141,5081,17.19
26836,6986,5.96
86054,1718,19.85
82835,253,28.94
35654,8006,5.74
35242,55122,8.02
02139,38272,0.55
63853,203,9.66
70139,0,1.18
47654,82,12.91
50673,171,16.36
02180,22144,1.91
04952,1886,5.92
01199,0,0.5
92662,2606,1.34
99174,50,20.79
24577,4808,15.76
07662,5613,1.5
88028,272,62.09
11360,19621,2.48
14854,13,4.05
87025,1082,18.95
16253,72,12.91
84329,88,56.06
15715,451,4.77
38562,6661,15.08
04068,1548,7.41
04750,2228,5.16
03579,344,22.42
50272,143,6.12
21871,1978,7.13
46814,12438,5.48
02647,90,1.28
48081,20626,1.27
04654,3209,4.9
55605,722,31.03
20812,325,1.19
59917,4811,36.18
59761,293,35.87
59313,2319,4.06
59724,67,35.28
03832,323,6.61
08751,4379,3.14
07756,3133,0.48
88256,1693,25.23
48440,252,7.03
13064,161,7.29
55041,7800,15.9
27983,8631,1.3
45898,873,9.24
73560,839,23.51
73932,2304,32.26
07846,35,2.99
29720,47797,2.45
29512,18182,16.62
20762,2964,2.17
01532,14985,2.73
01719,5794,4.37
48322,32681,1.02
48014,4152,13.62
48614,1510,17.42
48034,13819,0.52
49938,7514,4.85
49879,936,19.7
56470,10592,7.25
56162,223,16.25
56082,14502,3.52
55723,2226,26.65
55055,3506,2.15
56676,1564,9.35
56369,667,9.05
38632,27317,11.63
39116,2075,7.18
39090,12809,4.03
39094,3988,13.99
39633,1236,36.98
63650,4120,1.16
65706,15690,1.74
65041,5429,19.48
63041,584,6.32
64109,9647,1.15
63084,19212,1.9
63117,8978,1.39
65254,2074,17.56
59101,41440,12.06
59405,31337,12.92
59032,474,32.56
68844,309,24.15
69163,990,30.89
68068,78,11.09
69357,3596,15.33
89143,13159,7.21
03835,6884,6.69
03242,4950,11.58
07031,15724,1.73
08738,1164,4.39
87499,516,25.53
87827,110,34.27
87325,3089,30.97
87711,655,28.1
88355,0,2.54
87053,1331,32.99
11451,0,0.23
01029,651,10.43
48312,34798,1.24
48667,0,1.58
48743,105,29.0
48066,47710,0.52
55744,20343,0.97
55786,358,7.95
55075,20274,1.6
56647,848,17.15
55431,18337,1.91
55155,0,0.35
39365,7432,10.73
39439,4245,20.89
39565,19704,2.9
35545,122,4.25
36051,2106,9.56
36471,1057,35.93
36067,28727,20.15
35446,2081,9.55
35580,3708,12.21
35034,6030,6.48
35960,9668,6.2
35254,1574,1.33
36280,3875,22.37
86556,2073,37.53
85932,378,13.16
71646,6121,0.73
36524,1255,22.05
84536,1869,29.46
90742,699,0.51
93560,20929,2.0
96108,56,20.15
19944,647,10.1
92553,75830,3.23
06377,2898,4.11
32577,4321,12.35
31601,32084,8.52
31821,263,18.4
83285,120,31.53
32132,7514,1.76
33142,58574,0.9
66118,0,0.96
83120,778,17.85
79601,27379,10.95
76433,1517,12.89
77445,13524,0.56
77859,6822,18.91
75975,3703,14.35
76446,7686,10.25
76951,1141,38.09
78358,561,21.85
78873,1908,31.75
75926,1103,13.32
75760,2392,18.16
78147,2151,26.97
76661,8060,22.88
78339,330,20.7
75555,1672,31.53
77474,12825,13.72
