GEOID,pop,minDist_SUT
15003010601,3361,0.492105279
15003010503,1767,0.300871225
15003010308,3386,1.339185053
15003010504,4561,0.48133146
15003010602,5324,0.497951913
15003010701,4067,0.996208792
15003010702,3615,1.076180383
15003010901,2896,0.55537714
15003010904,2934,0.479598646
15003010903,3706,0.358979253
15003010801,3779,2.065449838
15003010802,7296,1.517985041
15003011000,4087,1.537973183
15003011201,4319,0.822467059
15003011202,1500,1.511102856
15003981100,27,2.369295598
15003010905,2428,0.315516316
15007040400,11060,0.307550621
15007940000,3338,4.352407799
15007040800,4049,6.851769217
15007040700,9246,7.549164936
15007040104,782,13.75690994
15007040205,4087,1.57331891
15007040500,7212,0.801906706
15007040204,6129,3.07856791
15007040604,3469,7.287459235
15007040603,3105,5.938116684
15007040103,5450,9.254164059
15007040300,7926,0.756810932
15003009400,4905,0.451620046
15003009503,4116,1.571222954
15003009507,3563,2.134271865
15003009100,5083,2.231643598
15003009504,1295,1.144264254
15003009300,4530,0.284751886
15003009902,3884,0.701819527
15003010000,3875,5.185907074
15003009904,5683,2.497319375
15003010306,5974,1.330531379
15003010507,5276,0.54457943
15001021800,6045,4.862669939
15003000901,2631,0.909728224
15003003300,1307,0.187380171
15003006401,2505,0.281738838
15003008406,7052,0.945144098
15003008410,4831,0.254740453
15003008301,4951,1.688898854
15003010508,2382,0.797161945
15003010505,3352,0.377168267
15003008930,2244,1.453127913
15007040900,5524,6.71714656
15009030709,3359,1.813551846
15009030708,2983,0.701999559
15009030710,2069,2.837575496
15009030303,3701,4.682276474
15003001904,2964,0.409484407
15003001903,2925,0.414436093
15003000114,1562,4.359744544
15003000200,5364,3.165433175
15001021101,3359,2.615745196
15003005400,1468,0.346735609
15003008001,2207,0.467450316
15003008606,12017,1.060182806
15003008703,7313,0.821823067
15003008614,10583,4.023792777
15003002003,1813,1.118189752
15003003604,2282,0.063686035
15003003603,2958,0.263645106
15003010303,3965,4.647908245
15003010305,4739,1.647520136
15009031503,2339,9.805855173
15009031502,4947,9.405367039
15009031601,2826,24.02966426
15009030403,4068,4.737496055
15009030301,9776,9.206933809
15009030404,5552,0.507035933
15009030402,8390,4.197408403
15009030202,7760,2.941684858
15003006802,8453,0.690933831
15003011300,6135,2.892643192
15003008923,4695,1.782081239
15003008920,4392,1.563061149
15003008921,2617,1.098428877
15003009502,4722,2.479561773
15003009501,6100,2.435366329
15003002005,1658,0.59892526
15009031101,9373,1.170958598
15009031102,6155,0.198395862
15009031103,10679,1.171403813
15009031900,6401,3.587682356
15009031801,2368,6.790977674
15009031700,4380,11.45950221
15005031900,75,6.513134431
15009030100,1642,10.09349113
15003004600,4018,0.62698973
15003004400,5634,1.069712858
15001021005,11148,2.742261951
15003003200,760,1.425977134
15003008613,931,2.093393944
15003009608,4997,3.451448791
15003009703,6892,1.02247837
15003009704,3538,1.550883087
15003940002,7107,0.759920539
15003008612,6323,2.498141962
15003009603,11375,2.679173469
15003011400,3586,1.395997326
15003010201,5411,8.485314674
15003008925,7078,1.308887858
15003008913,4232,0.781005872
15003009200,8001,0.564766175
15009030501,2426,2.132727059
15003008914,5412,0.554501275
15003010202,8136,3.59058417
15003010100,7191,2.837905298
15009031501,2215,12.51722539
