ZCTA,year,unempP,povP,pciE
01832,2018,5.6,13.9,32485.0
01833,2018,2.9,2.4,52277.0
01834,2018,2.8,2.5,40346.0
01835,2018,3.5,9.8,36886.0
01840,2018,12.4,33.0,18315.0
01841,2018,9.8,25.2,17408.0
01843,2018,8.6,18.7,22281.0
01844,2018,6.6,9.3,34390.0
01845,2018,3.8,4.8,54587.0
01850,2018,6.3,21.1,21355.0
01851,2018,6.2,17.0,25587.0
01852,2018,8.0,19.7,29089.0
01854,2018,7.4,26.0,21273.0
01860,2018,6.6,5.7,44838.0
01862,2018,5.6,4.3,36545.0
01863,2018,5.0,5.0,47154.0
01864,2018,3.1,2.9,53748.0
01867,2018,3.1,3.2,50776.0
01876,2018,4.1,5.9,43480.0
01879,2018,4.6,6.5,46319.0
01880,2018,3.3,4.0,47970.0
01886,2018,3.0,2.5,53692.0
01887,2018,3.8,2.5,47330.0
01890,2018,2.5,2.5,77433.0
01901,2018,5.4,30.6,18532.0
01902,2018,6.4,20.3,23167.0
01904,2018,5.7,6.6,35302.0
01905,2018,5.9,17.9,25769.0
01906,2018,6.4,9.5,37950.0
01907,2018,3.6,3.0,57652.0
01908,2018,1.4,3.2,59385.0
01913,2018,3.4,6.2,40713.0
01915,2018,4.1,8.2,45358.0
01921,2018,5.1,2.0,72832.0
01922,2018,2.8,9.8,48117.0
01923,2018,3.1,5.6,41545.0
01929,2018,4.7,6.2,52604.0
01930,2018,5.9,9.0,41201.0
01937,2018,34.5,69.5,12007.0
01938,2018,4.1,6.8,48927.0
01940,2018,6.0,2.0,59658.0
01944,2018,5.9,3.9,70012.0
01945,2018,5.5,4.8,69202.0
01949,2018,5.2,3.8,45456.0
01950,2018,4.4,5.2,61503.0
01951,2018,4.9,4.3,59562.0
01952,2018,4.7,7.5,39622.0
01960,2018,4.9,10.0,37306.0
01966,2018,5.0,7.4,47105.0
01969,2018,3.6,4.3,58904.0
01970,2018,4.4,15.1,36176.0
01982,2018,2.5,10.3,49763.0
01983,2018,5.4,4.9,50449.0
01984,2018,2.2,1.7,48324.0
01985,2018,5.5,6.8,59600.0
02019,2018,6.0,3.4,47005.0
02021,2018,3.8,5.1,53620.0
02025,2018,5.8,4.3,76882.0
02026,2018,4.4,4.8,51354.0
02030,2018,1.7,0.9,115686.0
02032,2018,5.0,7.7,58558.0
02035,2018,5.7,5.6,48318.0
02038,2018,4.9,4.0,50626.0
02043,2018,3.7,4.6,73963.0
02045,2018,6.8,4.2,52000.0
02047,2018,34.1,0.0,30982.0
02048,2018,6.0,3.0,48743.0
02050,2018,4.8,7.8,43855.0
02052,2018,4.0,3.3,67029.0
02053,2018,3.4,5.7,53330.0
02054,2018,2.9,2.1,47497.0
02056,2018,3.3,1.9,47853.0
02061,2018,4.0,3.3,61522.0
02062,2018,4.4,8.0,45020.0
02066,2018,4.1,3.6,60371.0
02067,2018,4.5,1.9,66261.0
02071,2018,11.0,3.4,24449.0
02072,2018,5.5,7.3,37006.0
02081,2018,4.4,3.6,51652.0
02090,2018,5.1,2.4,71327.0
02093,2018,5.0,3.7,50810.0
02108,2018,8.3,10.8,99533.0
02109,2018,6.2,13.7,108280.0
02110,2018,0.8,9.1,154315.0
02111,2018,8.9,24.4,52233.0
02113,2018,1.5,9.5,72526.0
02114,2018,3.2,11.6,80949.0
02115,2018,14.2,37.2,25763.0
02116,2018,4.7,11.0,106606.0
02118,2018,7.3,24.8,65635.0
02119,2018,10.7,33.2,22636.0
02120,2018,14.6,40.2,19313.0
02121,2018,13.0,34.7,19430.0
02122,2018,9.6,18.5,28906.0
02124,2018,9.2,21.7,27545.0
02125,2018,9.5,23.0,31525.0
02126,2018,10.4,20.1,25865.0
02127,2018,4.4,15.3,58978.0
02128,2018,5.4,19.3,28154.0
02129,2018,2.8,18.0,71606.0
02130,2018,4.6,15.3,49466.0
02131,2018,6.0,12.1,37554.0
02132,2018,5.1,6.1,48843.0
02134,2018,4.9,26.9,35551.0
02135,2018,4.9,17.4,41417.0
02136,2018,8.2,14.4,30178.0
02138,2018,5.1,11.1,55695.0
02139,2018,3.7,11.6,50114.0
02140,2018,5.9,15.4,59174.0
02141,2018,3.1,17.8,50469.0
02142,2018,2.7,12.6,84892.0
02143,2018,2.8,12.8,49679.0
02144,2018,3.6,11.3,57270.0
02145,2018,5.6,11.8,38727.0
02148,2018,5.6,16.3,31052.0
02149,2018,5.5,13.3,26611.0
02150,2018,5.2,18.8,24336.0
02151,2018,5.8,13.1,28384.0
02152,2018,4.5,9.9,41953.0
02155,2018,3.3,9.2,46129.0
02163,2018,8.3,27.5,36694.0
02169,2018,5.6,11.8,38832.0
02170,2018,6.6,8.9,39024.0
02171,2018,3.3,9.8,45911.0
02176,2018,2.8,4.1,52682.0
02180,2018,4.0,5.3,48185.0
02184,2018,4.9,4.7,44077.0
02186,2018,4.2,4.4,54831.0
02188,2018,6.9,4.5,41083.0
02189,2018,7.9,8.1,37097.0
02190,2018,5.4,5.9,44097.0
02191,2018,6.7,6.2,39853.0
02199,2018,1.6,20.4,104149.0
02203,2018,,52.0,
02210,2018,4.5,2.3,131200.0
02215,2018,8.7,39.2,27998.0
02301,2018,9.3,17.7,24544.0
02302,2018,8.3,11.7,29005.0
02322,2018,3.3,10.2,31901.0
02324,2018,6.9,9.3,33138.0
02330,2018,5.1,5.6,34029.0
02332,2018,4.8,4.1,60165.0
02333,2018,5.1,6.7,34751.0
02338,2018,5.3,4.3,36914.0
02339,2018,4.1,2.8,51907.0
02341,2018,2.7,3.3,40618.0
02343,2018,4.2,6.9,33004.0
02346,2018,4.5,6.6,38733.0
02347,2018,3.0,3.5,44807.0
02351,2018,5.3,3.7,40150.0
02356,2018,3.8,4.9,51274.0
02357,2018,9.7,46.4,7121.0
02359,2018,4.6,3.0,43339.0
02360,2018,4.1,6.6,43887.0
02364,2018,4.2,6.1,40974.0
02366,2018,,,1872.0
02367,2018,4.9,4.3,41304.0
02368,2018,8.8,10.7,33522.0
02370,2018,3.6,7.2,37755.0
02375,2018,5.7,2.5,45064.0
02379,2018,3.8,5.0,37417.0
02382,2018,4.4,6.0,36032.0
02420,2018,3.1,2.7,79195.0
02421,2018,5.4,4.3,76328.0
02445,2018,3.0,8.7,72692.0
02446,2018,3.0,15.5,62525.0
02451,2018,5.1,8.5,47260.0
02452,2018,4.0,10.4,37099.0
02453,2018,4.0,13.0,39250.0
02457,2018,3.2,,3947.0
02458,2018,4.6,3.7,68298.0
02459,2018,1.9,5.1,84409.0
02460,2018,2.4,4.7,63959.0
02461,2018,2.6,2.3,72614.0
02462,2018,5.8,5.0,66389.0
02464,2018,3.1,2.4,51345.0
02465,2018,2.3,2.5,72607.0
02466,2018,4.1,7.8,50304.0
02467,2018,4.3,6.2,53597.0
02468,2018,1.4,1.4,99863.0
02472,2018,3.9,7.9,53953.0
02474,2018,3.8,5.0,56762.0
02476,2018,3.5,6.1,61040.0
02478,2018,4.5,5.6,62595.0
02481,2018,6.1,4.7,91788.0
02482,2018,4.5,3.2,82619.0
02492,2018,3.9,1.6,78587.0
02493,2018,3.4,7.0,87978.0
02494,2018,6.0,4.5,66359.0
02532,2018,4.1,4.6,40209.0
02534,2018,0.0,17.6,34881.0
02535,2018,4.7,14.1,59395.0
02536,2018,5.3,6.0,37606.0
02537,2018,5.5,5.0,49940.0
02538,2018,4.2,15.3,30474.0
02539,2018,1.6,3.7,41636.0
02540,2018,3.1,6.7,50386.0
02542,2018,2.6,7.0,20951.0
02543,2018,2.4,8.1,97845.0
02553,2018,,0.0,74720.0
02554,2018,2.8,8.4,51690.0
02556,2018,6.1,2.7,61401.0
02557,2018,1.0,10.5,40124.0
02558,2018,19.2,25.4,29498.0
02559,2018,2.6,3.9,40634.0
02561,2018,0.0,0.0,48632.0
02562,2018,5.8,5.7,47278.0
02563,2018,3.0,3.6,46069.0
02564,2018,0.0,19.3,32951.0
02568,2018,7.1,9.6,39482.0
02571,2018,4.2,12.6,30296.0
02575,2018,1.8,4.6,51035.0
02576,2018,6.1,5.8,40768.0
02584,2018,0.0,0.0,
02601,2018,6.1,15.7,26552.0
02630,2018,3.1,2.0,66680.0
02631,2018,3.3,5.1,44788.0
02632,2018,4.2,5.5,42170.0
02633,2018,4.6,11.0,69334.0
02635,2018,5.9,5.9,47412.0
02637,2018,0.0,0.0,73472.0
02638,2018,9.1,9.6,49724.0
02639,2018,6.1,14.3,34948.0
02641,2018,0.0,8.5,81525.0
02642,2018,5.8,7.2,43693.0
02643,2018,,,
02644,2018,3.4,2.9,37603.0
02645,2018,4.4,5.5,44335.0
02646,2018,3.3,10.6,41875.0
02647,2018,0.0,0.0,41003.0
02648,2018,2.6,5.6,40230.0
02649,2018,5.6,6.4,39721.0
02650,2018,3.4,4.1,37913.0
02651,2018,,,
02652,2018,1.5,1.6,34257.0
02653,2018,4.4,6.7,46675.0
02655,2018,6.6,6.6,60233.0
02657,2018,6.9,11.0,47429.0
02659,2018,2.8,5.6,49907.0
02660,2018,6.6,11.2,38564.0
02663,2018,0.0,0.0,44099.0
02664,2018,5.1,7.2,35895.0
02666,2018,11.8,11.4,39326.0
02667,2018,6.0,10.8,38014.0
02668,2018,3.1,2.6,53967.0
02669,2018,0.0,0.0,52268.0
02670,2018,6.9,7.2,56280.0
02671,2018,4.1,3.3,38443.0
02672,2018,0.0,0.0,60269.0
02673,2018,6.8,7.1,33681.0
02675,2018,3.1,6.8,45942.0
02702,2018,3.7,5.6,38914.0
02703,2018,5.6,8.9,37018.0
02713,2018,0.0,0.0,90503.0
02715,2018,2.8,2.9,41691.0
02717,2018,5.5,5.5,38332.0
02718,2018,5.7,8.9,40013.0
02719,2018,5.1,7.6,34589.0
02720,2018,7.8,17.2,27178.0
02721,2018,7.8,20.8,21432.0
02723,2018,10.5,19.2,25422.0
02724,2018,10.2,21.6,23792.0
02725,2018,3.1,9.9,32939.0
02726,2018,6.6,4.1,36023.0
02738,2018,3.8,4.8,53363.0
02739,2018,4.5,3.9,57769.0
02740,2018,6.6,20.2,25267.0
02743,2018,5.0,4.9,33656.0
02744,2018,8.0,26.2,22560.0
02745,2018,6.9,14.9,29903.0
02746,2018,8.7,30.1,18523.0
02747,2018,5.2,8.0,31168.0
02748,2018,6.8,6.6,49557.0
02760,2018,3.9,8.6,42153.0
02762,2018,3.5,5.1,43304.0
02763,2018,4.4,2.3,47445.0
02764,2018,4.6,3.4,35515.0
02766,2018,4.6,6.3,41701.0
02767,2018,4.0,4.8,43121.0
02769,2018,2.3,2.3,43968.0
02770,2018,5.5,5.2,44054.0
02771,2018,4.0,4.8,43788.0
02777,2018,4.0,4.7,36205.0
02779,2018,1.3,1.9,39874.0
02780,2018,6.1,14.5,29760.0
02790,2018,4.0,5.1,40570.0
02791,2018,0.0,17.5,45702.0
02802,2018,6.4,23.0,24925.0
02804,2018,1.0,6.5,39065.0
02806,2018,2.9,3.2,61534.0
02807,2018,4.6,8.8,39287.0
02808,2018,11.4,6.4,29356.0
02809,2018,3.6,8.6,34252.0
02812,2018,6.7,2.6,41718.0
02813,2018,7.4,7.8,42612.0
02814,2018,3.8,9.5,37750.0
02815,2018,0.0,6.3,71975.0
02816,2018,5.5,8.0,35968.0
02817,2018,3.3,2.4,42252.0
02818,2018,4.7,5.3,59031.0
02822,2018,6.8,5.6,41687.0
02825,2018,2.2,4.8,39224.0
02826,2018,13.2,9.8,52588.0
02827,2018,1.3,3.2,39832.0
02828,2018,4.4,3.2,42415.0
02830,2018,4.3,9.9,36547.0
02831,2018,6.1,1.6,43981.0
02832,2018,4.6,6.9,42720.0
02833,2018,8.4,10.2,29175.0
02835,2018,5.4,3.8,62153.0
02836,2018,0.0,0.0,36039.0
02837,2018,2.7,6.2,51447.0
02838,2018,11.0,15.9,37823.0
02839,2018,5.7,18.4,27584.0
02840,2018,4.7,14.4,42925.0
02841,2018,0.0,,46140.0
02842,2018,5.0,8.8,39077.0
02852,2018,5.2,10.0,42230.0
02857,2018,5.7,3.0,46055.0
02858,2018,3.6,11.7,35342.0
02859,2018,5.2,10.4,31547.0
02860,2018,9.0,22.5,23314.0
02861,2018,6.0,11.1,30437.0
02863,2018,7.4,32.7,15604.0
02864,2018,2.9,7.6,43152.0
02865,2018,3.9,8.5,42215.0
02871,2018,3.1,5.5,52880.0
02872,2018,0.0,0.0,27959.0
02873,2018,0.0,0.0,56459.0
02874,2018,3.4,2.9,58094.0
02875,2018,10.2,0.0,41227.0
02876,2018,0.0,32.6,18020.0
02878,2018,5.9,5.9,40609.0
02879,2018,6.8,8.7,42396.0
02881,2018,11.1,17.9,17055.0
02882,2018,5.2,18.4,48851.0
02885,2018,4.1,12.6,35809.0
02886,2018,4.1,7.1,37671.0
02888,2018,4.4,6.0,38595.0
02889,2018,7.2,6.3,34294.0
02891,2018,7.0,10.2,39799.0
02892,2018,2.0,2.9,38444.0
02893,2018,6.7,14.9,29794.0
02894,2018,0.0,5.9,34534.0
02895,2018,8.7,24.1,23563.0
02896,2018,5.3,3.8,40082.0
02898,2018,0.7,0.7,31601.0
02903,2018,10.3,34.3,39537.0
02904,2018,5.2,18.1,27434.0
02905,2018,11.9,25.0,23098.0
02906,2018,4.0,16.8,52188.0
02907,2018,12.9,27.7,17570.0
02908,2018,6.8,22.1,22752.0
02909,2018,10.4,29.5,18529.0
02910,2018,5.0,9.4,29224.0
02911,2018,6.7,11.3,32714.0
02912,2018,6.0,,4357.0
02914,2018,7.8,11.2,28480.0
02915,2018,4.8,10.3,32684.0
