ZCTA,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
35042,2018,5961,86.31,11.81,0.0,0.62,0.0,1.26,1.44,11.42,228,713,359,223,2009,417,555,357,352,1330,4843,3513,9.76,49.49,22.31,12.4
35043,2018,11461,90.45,5.59,0.18,1.99,0.0,1.79,1.72,3.48,731,2139,766,443,4521,755,747,657,431,1480,8086,6606,10.55,64.49,12.91,8.2
35044,2018,7351,66.24,29.07,0.86,0.37,0.0,3.47,2.64,19.28,491,1001,561,403,2916,515,342,412,426,1248,5417,4169,13.11,59.96,16.98,24.3
35045,2018,14778,81.26,13.87,0.16,1.23,0.0,3.48,4.09,16.67,801,1814,990,756,5849,1120,718,1013,1152,2311,11483,9172,11.81,57.27,15.64,16.5
35046,2018,4641,98.21,0.17,0.17,0.0,0.0,1.44,2.33,17.44,304,625,160,244,1510,209,353,501,266,873,3593,2720,8.71,52.55,18.81,17.6
35049,2018,3366,98.19,0.09,0.0,0.18,0.0,1.54,13.31,20.96,210,398,201,219,1252,238,372,183,152,561,2605,2044,12.48,55.26,16.67,13.6
35051,2018,9000,77.57,17.03,0.06,0.0,0.0,5.34,4.21,18.26,445,1169,543,562,3372,565,598,608,729,1514,7079,5565,12.28,55.4,16.82,18.3
35052,2018,275,77.82,22.18,0.0,0.0,0.0,0.0,0.0,31.27,0,0,0,0,59,20,10,10,10,166,275,109,0.0,21.45,60.36,78.2
35053,2018,2519,97.26,0.0,0.0,0.0,0.0,2.74,1.27,20.29,48,271,48,195,739,154,279,231,231,566,2157,1591,9.65,42.0,22.47,18.6
35054,2018,3777,93.25,2.01,1.46,0.29,0.0,2.99,2.83,17.83,217,383,159,253,1058,239,225,228,434,993,3069,2076,10.91,43.9,26.29,16.3
35055,2018,20884,92.87,1.05,0.41,0.57,0.0,5.1,8.51,17.87,1440,2774,1534,1265,8142,1154,1416,1272,1012,3674,15774,12100,13.4,59.16,17.59,15.4
35057,2018,13542,96.98,0.27,0.35,0.76,0.02,1.61,1.0,17.94,877,1864,867,775,4995,931,939,924,790,2222,10183,7961,12.13,57.13,16.41,16.2
35058,2018,9234,96.94,0.12,0.0,0.4,0.0,2.54,4.45,17.89,734,899,422,381,3111,710,680,780,657,1663,7309,5646,8.7,51.38,18.01,20.6
35060,2018,332,56.33,32.23,0.0,0.0,0.0,11.45,0.0,31.14,0,38,21,0,109,39,0,16,30,100,294,194,6.33,44.28,30.12,55.4
35061,2018,1212,7.1,92.9,0.0,0.0,0.0,0.0,0.0,22.31,77,122,49,117,442,62,71,98,121,219,971,752,13.7,52.89,18.07,19.6
35062,2018,7631,93.17,3.75,0.0,0.22,0.0,2.86,0.0,16.53,352,1089,458,510,2830,461,315,599,575,1410,5865,4455,12.69,55.97,18.48,18.5
35063,2018,3671,95.18,0.0,0.0,0.0,0.0,4.82,0.0,23.43,204,487,208,139,1176,206,291,280,292,735,2892,2157,9.45,50.86,20.02,30.1
35064,2018,11171,4.72,92.87,0.15,0.0,0.0,2.26,1.07,11.56,688,1124,1107,923,4768,524,553,793,944,1777,8910,7133,18.17,58.9,15.91,17.5
35068,2018,8072,69.57,18.01,0.43,4.44,0.05,7.5,9.99,11.13,748,876,461,580,3303,488,460,481,508,1208,6292,5084,12.9,61.04,14.97,13.8
35070,2018,258,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.63,50,16,17,23,110,3,20,23,6,30,182,152,15.5,68.22,11.63,15.9
35071,2018,16181,83.04,11.01,1.32,2.14,0.0,2.49,2.26,6.02,1070,1882,1203,857,5757,1359,1240,911,1068,2894,12359,9465,12.73,53.82,17.89,14.7
35072,2018,4901,59.56,39.13,0.61,0.27,0.0,0.43,0.61,20.77,241,648,174,328,1516,376,299,549,380,892,3866,2974,10.24,49.07,18.2,18.9
35073,2018,2396,67.15,24.37,0.0,0.0,0.0,8.47,0.0,17.74,91,302,132,146,703,173,160,276,181,510,1929,1419,11.6,45.74,21.29,23.0
35074,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
35077,2018,13547,92.52,4.97,0.88,0.0,0.0,1.63,3.12,18.85,667,1599,735,1027,4983,859,1013,1002,915,2509,10843,8334,13.01,53.51,18.52,18.0
35078,2018,1919,72.95,24.44,0.0,0.0,0.0,2.61,0.16,19.45,59,241,131,79,561,140,209,197,160,352,1535,1183,10.94,44.87,18.34,19.4
35079,2018,9267,97.31,0.71,0.21,0.3,0.0,1.47,1.33,12.71,579,1156,575,551,3638,441,606,700,585,1562,7127,5565,12.15,57.98,16.86,14.1
35080,2018,17889,79.97,11.17,0.22,1.82,0.06,6.76,3.01,3.98,1226,2968,1559,680,7654,1533,1055,1036,700,1717,12646,10929,12.52,66.23,9.6,7.8
35082,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
35083,2018,3353,97.7,0.12,0.3,0.0,0.0,1.88,1.25,22.56,171,590,181,150,1074,194,274,189,106,755,2477,1722,9.87,54.73,22.52,22.6
35085,2018,9116,80.56,7.81,0.0,0.0,0.0,11.63,15.53,19.09,606,1233,705,636,3853,582,728,593,416,1105,6812,5707,14.71,62.44,12.12,15.9
35087,2018,2253,97.03,0.8,0.62,0.0,0.0,1.55,1.55,19.43,26,329,65,191,922,157,87,214,199,319,1864,1545,11.36,56.68,14.16,20.3
35089,2018,2034,43.22,56.78,0.0,0.0,0.0,0.0,0.0,22.01,25,138,167,73,690,267,160,163,140,451,1783,1332,11.8,41.94,22.17,28.5
35091,2018,3072,90.49,5.79,0.59,0.33,0.0,2.8,0.0,6.98,191,554,273,133,1315,189,174,251,114,284,2122,1838,13.22,67.06,9.24,11.9
35094,2018,14438,83.28,14.35,0.57,0.22,0.04,1.53,5.35,12.82,958,1858,899,684,5562,1211,837,709,808,2495,10899,8404,10.96,58.03,17.28,14.4
35096,2018,7610,68.08,25.8,0.0,2.14,0.0,3.98,0.74,17.09,316,702,501,450,2842,741,581,737,602,1089,6329,5240,12.5,50.72,14.31,18.3
35097,2018,2004,99.05,0.7,0.0,0.0,0.0,0.25,0.4,20.22,61,371,152,45,660,165,159,93,133,362,1453,1091,9.83,54.49,18.06,10.0
35098,2018,1068,92.79,0.0,0.0,0.0,0.0,7.21,10.3,20.45,95,128,18,74,347,16,75,30,122,255,827,572,8.61,53.37,23.88,15.3
35111,2018,16893,82.98,15.34,0.28,0.85,0.0,0.54,1.02,8.67,618,2085,1165,1206,7371,946,891,1381,1292,2309,13496,11187,14.04,59.63,13.67,13.3
35112,2018,280,16.43,83.57,0.0,0.0,0.0,0.0,0.0,4.17,15,14,11,0,66,41,34,0,110,0,240,240,3.93,33.93,0.0,0.0
35114,2018,8624,72.83,13.79,1.18,1.07,0.0,11.13,7.54,7.44,453,1302,690,509,3700,842,601,481,364,881,6516,5635,13.9,63.25,10.22,10.5
35115,2018,15105,74.56,14.99,0.66,0.36,0.03,9.41,9.85,15.73,673,1669,1571,2036,6980,900,936,766,867,2314,12260,9946,23.88,61.71,15.32,21.0
35116,2018,4372,93.94,2.88,0.34,0.94,0.0,1.9,1.9,8.53,234,508,360,103,1442,321,449,333,326,759,3431,2672,10.59,49.95,17.36,16.8
35117,2018,5235,98.38,0.78,0.0,0.15,0.0,0.69,0.88,8.12,271,681,248,389,1858,332,502,388,225,978,4097,3119,12.17,53.68,18.68,12.2
35118,2018,3040,84.21,10.49,0.16,0.3,0.0,4.84,2.11,16.55,146,410,136,154,1105,208,188,177,207,599,2386,1787,9.54,54.64,19.7,24.4
35119,2018,259,0.0,100.0,0.0,0.0,0.0,0.0,0.0,53.81,0,62,0,0,91,40,0,39,0,27,197,170,0.0,59.07,10.42,25.9
35120,2018,14055,82.62,12.11,0.0,0.51,0.0,4.76,5.24,15.93,1030,1960,1049,957,6137,910,818,1064,618,1518,10449,8931,14.27,64.94,10.8,11.8
35121,2018,15426,92.64,3.53,0.11,0.23,0.0,3.5,16.71,24.01,1005,1813,920,1138,5760,1235,957,809,893,2954,11959,9005,13.34,55.61,19.15,10.9
35124,2018,24438,78.3,9.04,0.37,2.64,0.0,9.66,12.98,8.09,1398,3090,1727,1374,9746,1657,1639,1530,1930,3448,18805,15357,12.69,58.25,14.11,9.3
35125,2018,10941,93.19,6.37,0.0,0.19,0.0,0.25,0.05,21.19,689,1119,282,666,3608,975,968,868,624,2090,8986,6896,8.66,49.5,19.1,23.0
35126,2018,20825,78.06,19.8,0.05,0.16,0.0,1.93,1.7,9.31,1023,2751,1137,1606,7558,1275,1927,1692,1470,3129,16452,13323,13.17,54.42,15.03,16.1
35127,2018,10185,39.03,59.73,0.0,0.09,0.0,1.15,0.47,7.06,330,1413,724,581,3496,923,792,792,765,1674,8067,6393,12.81,51.44,16.44,16.0
35128,2018,10651,87.48,8.45,0.0,2.8,0.08,1.2,1.22,12.37,505,1181,742,642,4379,777,715,592,687,1815,8375,6560,12.99,56.94,17.04,15.6
35130,2018,2892,90.32,8.78,0.21,0.0,0.0,0.69,0.0,23.07,180,341,215,127,924,191,209,294,198,555,2205,1650,11.83,49.97,19.19,27.4
35131,2018,4332,92.34,5.96,0.14,0.07,0.0,1.5,0.18,21.13,376,513,274,306,1364,394,356,495,184,650,3266,2616,13.39,52.01,15.0,22.9
35133,2018,3690,95.83,0.57,0.79,1.38,0.0,1.44,0.0,11.05,260,542,218,73,1158,312,215,201,314,688,2741,2053,7.89,53.12,18.64,18.5
35135,2018,2128,76.88,11.84,0.0,7.47,0.0,3.81,3.95,7.98,206,331,66,71,750,91,209,181,141,219,1531,1312,6.44,60.48,10.29,13.9
35136,2018,2076,82.95,16.62,0.43,0.0,0.0,0.0,1.16,16.6,105,230,112,105,658,111,150,211,154,457,1676,1219,10.45,47.83,22.01,16.5
35139,2018,170,80.59,0.0,0.0,0.0,0.0,19.41,0.0,69.59,0,0,22,0,81,0,6,22,0,61,148,87,12.94,47.65,35.88,47.6
35143,2018,3183,85.61,13.04,0.97,0.38,0.0,0.0,2.76,15.42,126,459,144,94,1040,67,186,266,458,581,2474,1893,7.48,51.05,18.25,21.9
35146,2018,11870,89.44,7.52,1.06,0.0,0.0,1.97,2.76,14.9,467,1669,749,327,3954,861,921,1270,745,1983,9214,7231,9.06,51.31,16.71,14.7
35147,2018,6094,87.43,7.35,0.03,1.02,0.0,4.17,2.69,10.64,630,772,319,285,2352,315,348,386,519,772,4536,3764,9.91,61.6,12.67,9.7
35148,2018,2444,87.44,11.37,0.0,0.0,0.0,1.19,0.61,13.64,130,347,159,122,837,96,217,134,147,536,1897,1361,11.5,53.76,21.93,26.7
35149,2018,413,45.28,54.72,0.0,0.0,0.0,0.0,0.0,35.06,0,0,0,142,283,22,0,0,0,108,413,305,34.38,68.52,26.15,23.2
35150,2018,17448,66.65,30.65,0.57,0.0,0.03,2.11,2.58,18.75,1148,2450,994,1088,6405,1054,1101,1241,1197,2852,13113,10261,11.93,57.33,16.35,19.5
35151,2018,7516,85.24,13.04,0.03,0.0,0.0,1.69,0.08,21.1,370,939,508,518,2424,507,483,473,516,1804,5865,4061,13.65,49.67,24.0,19.6
35160,2018,26312,55.72,41.91,0.43,0.13,0.07,1.73,2.76,20.9,1234,2982,1687,1764,9858,1676,1879,1817,2135,4731,21345,16614,13.12,53.49,17.98,20.7
35171,2018,3679,86.11,6.63,0.22,0.22,0.0,6.82,7.61,21.48,261,532,250,285,1362,232,311,256,255,470,2700,2230,14.54,58.58,12.78,17.3
35172,2018,3177,96.25,2.05,0.09,0.06,0.0,1.54,6.61,26.7,218,297,159,110,1086,239,161,365,292,519,2612,2093,8.47,50.39,16.34,19.9
35173,2018,27371,88.05,7.03,0.04,1.25,0.0,3.64,2.36,6.65,2026,4092,1710,1044,9348,2239,2143,1533,1914,4076,20007,15931,10.06,56.51,14.89,11.4
35175,2018,5714,95.64,0.04,0.75,0.0,0.0,3.57,1.17,21.92,259,933,406,229,1734,325,624,480,369,990,4270,3280,11.11,51.21,17.33,15.4
35176,2018,902,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.66,23,139,66,111,411,91,49,52,55,82,711,629,19.62,63.53,9.09,16.0
35178,2018,3814,73.75,24.07,1.28,0.6,0.0,0.29,0.16,17.52,178,661,433,225,1405,201,244,192,191,742,2692,1950,17.25,58.84,19.45,15.6
35179,2018,8929,96.74,0.2,0.88,0.07,0.0,2.11,5.48,18.64,536,1128,565,460,3331,560,694,457,720,1503,6852,5349,11.48,55.94,16.83,16.7
35180,2018,14092,90.65,6.51,0.8,0.36,0.0,1.67,0.96,11.74,551,2197,915,701,5092,730,782,1572,910,2258,10794,8536,11.47,55.63,16.02,17.4
35183,2018,1062,98.68,1.32,0.0,0.0,0.0,0.0,0.0,14.23,0,170,13,78,537,15,63,70,65,142,892,750,8.57,66.57,13.37,7.0
35184,2018,4356,92.72,6.96,0.0,0.0,0.0,0.32,0.87,21.32,234,534,271,113,1433,350,307,371,311,816,3417,2601,8.82,50.53,18.73,19.6
35186,2018,5092,91.18,6.7,0.0,0.0,0.0,2.12,2.89,11.16,208,544,296,315,1558,372,483,454,381,1092,4099,3007,12.0,45.37,21.45,18.1
35187,2018,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,5,0,0.0,0.0,100.0,100.0
35188,2018,4001,97.55,1.6,0.0,0.0,0.0,0.85,5.02,8.19,268,552,249,342,1788,336,188,193,206,470,2980,2510,14.77,65.18,11.75,17.0
35203,2018,2996,39.45,57.81,0.0,0.0,0.0,2.74,1.4,24.32,58,37,126,246,1624,106,213,176,344,438,2846,2408,12.42,57.38,14.62,33.2
35204,2018,9399,3.11,91.85,0.04,0.0,0.0,5.0,4.9,22.64,477,871,566,591,3308,658,851,914,607,1713,7715,6002,12.31,49.54,18.23,24.4
35205,2018,20109,61.11,30.36,0.45,3.41,0.0,4.66,6.6,6.85,906,1061,1763,3011,12268,852,649,976,1055,2342,17874,15532,23.74,70.79,11.65,12.3
35206,2018,17350,28.09,66.41,0.05,0.44,0.0,5.01,6.14,17.05,987,2421,829,1117,6685,1086,1377,1418,1037,2339,13287,10948,11.22,58.17,13.48,21.4
35207,2018,9102,4.87,93.33,0.18,0.0,0.0,1.63,2.63,21.37,758,1558,464,571,2892,476,378,588,797,1655,6431,4776,11.37,57.22,18.18,25.5
35208,2018,13864,4.05,93.08,0.0,0.18,0.0,2.7,3.02,12.22,1098,2024,790,862,5063,965,866,873,856,2119,10258,8139,11.92,59.04,15.28,20.4
35209,2018,27768,70.52,23.12,0.25,2.61,0.0,3.5,4.63,4.29,1996,3098,2007,3218,14284,1616,1550,1258,942,3024,21772,18748,18.82,69.79,10.89,8.5
35210,2018,13484,56.69,35.31,0.07,0.6,0.0,7.33,6.85,11.88,414,1626,863,580,5399,655,765,1160,1003,2462,10949,8487,10.7,55.17,18.26,14.7
35211,2018,24594,10.19,86.24,0.39,1.31,0.0,1.87,1.4,15.97,1675,2276,1108,2043,9677,1458,1534,1724,1741,4509,19988,15479,12.81,55.41,18.33,20.3
35212,2018,11896,24.18,71.23,0.58,0.35,0.08,3.58,5.87,15.1,1112,1462,779,655,4861,639,642,652,1115,1413,8823,7410,12.05,62.5,11.88,15.1
35213,2018,13516,95.84,2.98,0.09,0.3,0.0,0.79,2.01,0.43,1193,1635,911,499,5396,843,860,796,601,2192,10008,7816,10.43,60.85,16.22,7.2
35214,2018,18264,18.47,79.28,0.28,0.57,0.0,1.4,1.77,8.46,904,2169,1072,945,6205,1108,1151,1709,1764,3254,14452,11198,11.04,50.8,17.82,19.1
35215,2018,48483,22.93,72.05,0.02,0.12,0.02,4.85,5.3,12.36,4299,8092,3413,3073,19220,2891,3084,3156,2537,5204,33731,28527,13.38,65.2,10.73,13.6
35216,2018,37546,65.33,21.77,0.19,3.5,0.0,9.21,9.67,5.29,3041,5643,1966,2051,16490,2402,1834,1879,1902,4355,27347,22992,10.7,67.05,11.6,9.4
35217,2018,13286,28.59,63.55,0.6,0.41,0.44,6.41,5.36,18.4,696,1776,482,1086,4978,669,1077,955,962,2173,10519,8346,11.8,56.07,16.36,24.3
35218,2018,7178,4.99,93.56,0.0,0.0,0.0,1.45,0.84,13.1,629,1005,319,410,2619,517,384,572,600,852,5357,4505,10.16,59.25,11.87,22.2
35221,2018,4803,1.52,95.17,0.0,0.0,0.0,3.31,3.31,14.09,147,650,283,352,2016,185,175,257,465,908,3797,2889,13.22,58.57,18.9,19.1
35222,2018,9033,65.03,32.22,0.12,0.41,0.0,2.23,3.31,9.06,593,981,391,423,3883,429,710,611,467,1359,7210,5851,9.01,60.41,15.04,12.8
35223,2018,11251,93.17,1.85,0.06,3.21,0.26,1.46,0.16,0.53,593,1578,853,425,3726,756,753,786,808,2251,8463,6212,11.36,52.41,20.01,8.5
35224,2018,5168,37.04,61.76,0.21,0.37,0.0,0.62,0.37,11.5,383,572,256,445,2135,276,350,352,484,616,4037,3421,13.56,59.79,11.92,23.1
35226,2018,35542,82.0,10.78,0.07,4.46,0.05,2.63,2.48,2.1,2776,5202,1913,1122,13063,2423,2209,2240,2213,5416,26130,20714,8.54,59.2,15.24,8.7
35228,2018,10349,7.26,88.95,0.0,0.06,0.0,3.74,4.3,15.46,371,1214,657,718,4185,532,868,860,823,1496,8291,6795,13.29,55.75,14.46,18.2
35229,2018,1219,66.78,23.79,0.0,0.66,0.0,8.78,5.33,,0,0,797,422,1219,0,0,0,0,0,1211,1211,100.0,100.0,0.0,12.0
35233,2018,1715,57.96,24.37,1.05,12.83,0.0,3.79,2.86,4.81,25,36,142,515,1373,82,56,74,27,42,1631,1589,38.31,83.62,2.45,7.2
35234,2018,5450,10.57,87.91,0.37,0.09,0.0,1.06,1.54,23.63,296,387,158,289,1844,370,399,619,499,1036,4696,3660,8.2,46.37,19.01,28.2
35235,2018,20926,39.64,55.17,0.65,0.63,0.13,3.78,6.48,10.41,1112,2966,1271,1027,8023,1113,1475,1773,1169,3295,15965,12670,10.98,57.83,15.75,16.0
35242,2018,55122,85.22,7.97,0.17,3.87,0.05,2.73,4.33,3.02,2892,7239,3145,3341,20368,3845,4651,3691,3898,8538,42572,34034,11.77,55.33,15.49,8.1
35243,2018,17259,92.77,3.44,0.0,2.61,0.14,1.04,2.13,1.24,1063,1887,781,895,7010,1020,1021,1171,1079,3008,13874,10866,9.71,57.71,17.43,9.9
35244,2018,31930,72.38,18.17,0.15,7.13,0.0,2.17,5.03,3.8,1903,3889,2034,1642,12436,2477,2349,2294,2048,4534,24586,20052,11.51,57.09,14.2,8.1
35254,2018,1574,49.43,43.58,0.32,3.05,0.0,3.62,3.37,18.07,0,21,691,613,1396,0,26,42,22,67,1525,1458,82.85,90.03,4.26,10.9
35401,2018,37194,45.04,49.95,0.59,2.11,0.06,2.24,2.07,19.27,1499,2731,9415,7263,23617,1337,1522,1110,1752,3626,31933,28307,44.84,74.87,9.75,11.5
35404,2018,22783,53.22,39.7,0.05,3.05,0.0,3.99,10.71,12.26,1380,2187,1235,4431,11880,1042,1353,1565,1109,2267,18619,16352,24.87,67.8,9.95,11.9
35405,2018,45473,46.45,51.04,0.07,1.41,0.11,0.93,2.08,7.88,2861,5631,2939,4674,21574,2772,2277,2638,2540,5180,35083,29903,16.74,66.12,11.39,9.9
35406,2018,17190,85.38,7.84,0.1,5.01,0.0,1.68,3.04,3.56,1055,2847,895,761,5933,1065,1178,1023,1118,2971,12677,9706,9.63,57.21,17.28,8.6
35441,2018,1089,54.82,45.18,0.0,0.0,0.0,0.0,0.0,16.27,93,157,67,59,404,94,93,46,87,115,812,697,11.57,60.06,10.56,17.9
35442,2018,6237,30.56,65.06,0.4,0.18,0.0,3.8,9.8,24.98,239,709,339,359,2760,432,540,455,365,737,5119,4382,11.19,59.45,11.82,23.1
35443,2018,2157,2.78,89.94,0.0,0.0,0.0,7.28,6.35,16.96,151,437,155,400,1031,89,148,85,96,120,1459,1339,25.73,75.06,5.56,15.5
35444,2018,3962,93.97,5.6,0.0,0.0,0.0,0.43,1.14,19.31,197,459,310,324,1816,342,241,233,257,417,3129,2712,16.0,62.39,10.52,17.2
35446,2018,2081,83.47,10.0,0.24,0.0,0.0,6.3,4.04,18.69,80,311,131,136,787,126,108,199,237,233,1575,1342,12.83,56.61,11.2,22.5
35447,2018,2898,45.55,52.62,0.0,0.07,0.0,1.76,2.1,20.21,220,290,158,285,1132,129,200,289,147,491,2279,1788,15.29,56.66,16.94,24.5
35452,2018,3061,89.45,4.08,0.07,0.0,0.0,6.4,9.51,16.1,146,368,115,183,959,177,144,251,253,763,2504,1741,9.74,48.12,24.93,21.6
35453,2018,10863,79.68,15.98,0.15,0.0,0.0,4.19,6.07,19.53,626,1766,554,734,4156,743,770,702,698,1402,8150,6748,11.86,60.28,12.91,15.5
35456,2018,3461,81.31,16.87,0.23,0.0,0.0,1.59,0.61,19.22,165,393,256,264,1186,285,506,281,66,579,2799,2220,15.02,50.39,16.73,15.1
35457,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
35458,2018,595,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,54,43,34,52,265,22,37,33,48,93,478,385,14.45,60.84,15.63,8.6
35459,2018,1304,32.67,66.41,0.0,0.0,0.0,0.92,0.92,22.55,117,120,90,121,455,54,88,43,145,282,1057,775,16.18,53.07,21.63,16.3
35460,2018,864,4.98,95.02,0.0,0.0,0.0,0.0,0.0,10.4,0,58,160,50,482,29,3,142,122,28,765,737,24.31,62.5,3.24,13.2
35461,2018,2120,75.75,23.92,0.0,0.0,0.0,0.33,0.52,13.19,145,220,114,102,727,108,161,93,135,531,1683,1152,10.19,51.51,25.05,24.6
35462,2018,4258,20.85,78.18,0.0,0.0,0.0,0.96,0.07,29.87,210,313,232,98,1277,126,226,363,428,1315,3580,2265,7.75,42.27,30.88,28.8
35463,2018,1794,67.61,32.39,0.0,0.0,0.0,0.0,0.0,9.15,136,207,129,21,618,70,188,109,172,294,1360,1066,8.36,53.57,16.39,13.8
35464,2018,690,8.84,89.71,0.0,0.0,0.0,1.45,0.0,16.83,42,172,55,17,153,83,70,65,48,57,445,388,10.43,53.19,8.26,26.1
35466,2018,5567,82.25,15.27,0.0,0.0,0.14,2.34,0.0,12.39,253,756,397,237,1947,463,403,453,338,954,4324,3370,11.39,53.1,17.14,19.0
35469,2018,188,28.19,60.11,0.0,0.0,0.0,11.7,0.0,19.28,0,22,0,0,0,0,55,48,15,48,166,118,0.0,11.7,25.53,49.5
35470,2018,4676,36.53,56.07,0.0,7.23,0.0,0.17,0.0,12.35,270,432,726,1053,2533,186,100,200,200,755,3781,3026,38.05,69.18,16.15,21.2
35473,2018,16305,78.5,18.76,0.0,0.56,0.0,2.18,4.48,9.17,1337,1846,1045,1282,7128,729,922,932,1106,2305,12549,10244,14.27,63.24,14.14,14.2
35474,2018,6454,59.85,36.12,0.45,0.54,0.0,3.04,0.99,14.95,421,817,419,457,2563,320,435,500,466,932,4868,3936,13.57,58.89,14.44,19.1
35475,2018,15583,92.82,5.05,0.0,0.81,0.0,1.32,1.84,7.91,1090,1865,788,1189,6030,1179,1070,1050,1082,2217,12072,9855,12.69,57.66,14.23,11.2
35476,2018,7473,51.14,47.52,0.45,0.29,0.0,0.59,5.27,12.5,620,818,427,456,3215,333,434,353,368,1332,5750,4418,11.82,62.26,17.82,14.0
35477,2018,171,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24,13,9,16,101,0,0,26,0,7,125,118,14.62,80.7,4.09,18.7
35480,2018,1330,75.49,24.36,0.0,0.0,0.0,0.15,0.45,9.77,31,165,37,12,526,113,59,100,98,238,1097,859,3.68,54.29,17.89,25.3
35481,2018,3669,58.65,38.68,0.0,0.0,0.0,2.67,6.79,23.32,238,300,268,239,1158,271,250,240,304,908,2949,2041,13.82,46.23,24.75,33.3
35490,2018,4206,89.21,7.73,0.0,0.0,0.0,3.07,2.92,20.34,367,592,386,157,1954,215,271,214,151,442,2892,2450,12.91,69.26,10.51,9.9
