"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","agOver65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP"
"68",56029,23178,13593,1682,3798,1817,1262,10202,1385,1069,997,969,3076,13.28,67.66,13.27,97.42,0.08,3.56,0.56,0.44,1.5,0,17.39
"69",50027,54055,32695,3755,7585,3163,2788,23918,3390,2546,2374,2520,7967,11.01,65.23,14.74,98.86,0.25,0.47,0.23,0.51,0.15,0,18.68
"70",50023,54928,34095,3898,7895,3796,3885,25911,3251,2578,2314,2188,6893,13.98,68.64,12.55,98.92,0.32,1.21,0.19,0.42,0.14,0,18.68
"71",50013,5318,3313,420,796,316,278,2427,334,247,244,260,590,11.17,68.5,11.09,99.06,0.28,0.38,0.43,0.11,0.11,0,21.01
"72",50015,19735,12502,1488,2852,1580,1530,9792,1117,866,754,705,2161,15.76,71.61,10.95,99.1,0.14,0.45,0.24,0.35,0.17,0,19.78
"73",29099,171380,106141,14396,29015,12496,11243,83019,10178,7965,6694,5872,14241,13.85,73.77,8.31,98.6,0.7,0.67,0.25,0.3,0.15,0,28.36
"74",29079,10536,5709,653,1389,745,469,3901,599,552,557,557,2328,11.52,56.41,22.1,99.18,0.1,0.73,0.41,0.23,0.08,0,28.68
"75",29510,397043,230867.09,31379.98,53820.33,26172.99,30209.09,179906.39,16525.7,15418.88,16046.92,17896.96,66047.84,14.2,66.77,16.63,50.97,47.47,1.29,0.24,0.93,0.4,0,37.21
"76",29093,10726,5840,671,1659,811,551,4112,617,534,546,565,2022,12.7,60.06,18.85,99.12,0.46,0.41,0.13,0.11,0.18,0,43.72
"77",29185,8457,4515,512,1102,555,365,2888,445,437,506,601,1966,10.88,53.23,23.25,99.08,0.26,0.39,0.48,0.12,0.06,0,39.2
"78",29037,63808,38431,5127,10486,4713,3741,28980,4057,3143,2795,2395,6825,13.25,69.89,10.7,97.51,1.07,1.3,0.6,0.38,0.45,0,20
"79",29229,16758,9187,1200,2742,1169,910,6477,894,837,844,901,2863,12.41,62.17,17.08,98.91,0.21,0.36,0.71,0.07,0.1,0,40.35
"80",29153,8598,4799,431,1173,554,368,3029,481,509,606,556,1813,10.72,53.88,21.09,99.19,0.02,0.65,0.45,0.14,0.2,0,39.13
"81",29083,20044,11009,1274,2786,1375,1010,7660,1163,991,969,1084,4117,11.9,58.47,20.54,98.06,1.13,0.72,0.41,0.18,0.21,0,32.44
"82",17009,5836,3573,325,760,362,467,2776,280,250,231,232,982,14.2,66.16,16.83,90.2,9.37,1.78,0.24,0.09,0.1,0,31.14
"83",17033,19464,11080,1247,2773,1305,984,7796,1040,1008,945,1094,3561,11.76,60.71,18.3,99.16,0.32,0.41,0.17,0.25,0.1,0,23.97
"84",17085,21821,12463,1386,3316,1544,1181,8865,1258,1115,1077,1162,3642,12.49,62.17,16.69,99.59,0.06,0.43,0.09,0.13,0.12,0,25.91
"85",17065,8499,4610,502,1203,545,390,3165,464,439,410,470,1846,11,57.3,21.72,99.56,0.04,0.34,0.13,0.24,0.04,0,40.01
"86",17109,35244,23914,1750,3664,4692,6410,19522,1502,1342,1283,1338,4843,31.5,70.75,13.74,93.61,3.56,1.02,0.18,2.26,0.39,0,19.7
"87",17135,30728,17302,2042,4534,1954,1830,12810,1498,1401,1342,1496,5605,12.31,63.09,18.24,97.49,1.82,0.76,0.16,0.21,0.33,0,27.81
"88",17041,19464,11006,1414,3188,1351,1009,7928,983,991,973,1017,2970,12.12,64.38,15.26,99.05,0.08,1.5,0.1,0.21,0.55,0,25.97
"89",17181,17619,10199,1082,2276,1196,978,7159,1084,950,885,850,3333,12.34,59.69,18.92,98.26,0.69,1.03,0.19,0.3,0.55,0,35.78
"90",17115,117206,69717,8003,17375,8552,7359,50798,6887,5767,5597,5697,17082,13.58,64.99,14.57,87.19,12.06,0.46,0.13,0.42,0.19,0,23.79
"91",17201,252913,154561,19215,36411,17775,17015,116420,14799,11886,11016,11118,32048,13.76,68.03,12.67,87.95,9.2,3.07,0.26,1.17,1.43,0,23.7
"92",17133,22422,13425,1648,3481,1411,1340,9754,1235,1165,1095,1037,3007,12.27,66.38,13.41,99.29,0.06,0.74,0.24,0.25,0.17,0,24.14
"93",17129,11164,6416,770,1793,762,525,4691,669,568,491,501,1681,11.53,64.98,15.06,99.44,0.08,0.33,0.26,0.11,0.12,0,22.69
"94",17083,20539,12198,1418,3162,1636,1497,9100,1119,1027,948,932,2833,15.25,66.6,13.79,99.06,0.47,0.5,0.21,0.15,0.11,0,28.08
"95",17171,5644,3156,367,862,379,305,2265,295,299,263,284,1009,12.12,61.91,17.88,99.82,0.02,0.27,0.11,0.05,0,0,26.39
"96",17131,17290,9894,1137,2672,1263,873,7070,1089,915,821,793,2793,12.35,62.92,16.15,99.22,0.17,0.63,0.19,0.19,0.23,0,22.65
"97",17047,7440,4133,466,1090,479,386,2955,378,379,355,340,1477,11.63,60.63,19.85,99.48,0.08,0.4,0.11,0.24,0.09,0,30.32
"98",17035,10670,6011,805,1709,753,676,4412,569,501,455,550,1669,13.39,64.91,15.64,99.6,0.05,0.37,0.06,0.22,0.07,0,27.75
"99",17197,357313,220027,29446,60263,27794,24741,174731,21745,15861,12871,11557,30839,14.7,74.01,8.63,84.92,10.74,5.59,0.19,1.33,2.83,0,19.57
"100",6059,2410556,1600140,184873,310647,169752,224420,1256734,142579,113022,96284,85304,221113,16.35,72.69,9.17,78.6,1.77,23.43,0.5,9.99,9.14,0,18.75
"101",6103,49625,27770,3618,7857,3135,2560,19441,2795,2517,2445,2612,8340,11.48,62.3,16.81,91.88,0.52,10.33,1.95,0.62,5.05,0,27.83
"102",6011,16275,9177,1327,2902,1216,990,7007,834,690,699,721,2095,13.55,69.04,12.87,76.45,0.59,33.33,2.11,1.83,19.02,0,37.07
"103",6083,369608,238106,26989,46400,27680,38880,187556,18518,15752,14438,14340,45615,18.01,70.6,12.34,77.23,2.81,26.57,0.91,4.27,14.77,0,19.95
"104",6051,9956,6906,814,1301,523,744,5466,595,436,362,366,616,12.73,76.15,6.19,92.7,0.43,11.31,3.7,1.19,1.99,0,12.21
"105",6053,355660,223012,31297,52929,26175,34294,182103,16734,13051,12366,12483,34697,17,74.88,9.76,63.83,6.42,33.62,0.85,7.13,21.77,0,27.13
"106",49003,36485,18105,3791,9020,2872,1716,14236,1567,1557,1497,1244,3573,12.58,74.13,9.79,95.2,0.05,4.41,1.07,1.06,2.62,0,16.41
"107",6061,172796,106945,12563,25925,10997,9131,78955,11571,8566,7500,7091,20625,11.65,67.97,11.94,93.72,0.6,8.03,1.08,2.07,2.53,0,14.86
"108",6005,30039,19078,1472,3301,1782,2187,13543,1726,1449,1447,1796,5305,13.21,60.97,17.66,89.53,5.6,8.39,1.64,0.65,2.58,0,17.53
"109",6009,31998,18404,2079,4607,1779,1098,12060,2021,1755,1794,2025,5657,8.99,58.58,17.68,95.66,0.58,5.36,2.13,0.54,1.1,0,18.45
"110",6025,109303,60736,9986,21271,9841,7456,48631,4916,4505,4291,4595,11108,15.82,73.09,10.16,67.35,2.4,65.81,1.7,1.9,26.65,0,46.81
"111",37069,36414,22711,2436,4866,2913,2606,17197,2057,1802,1528,1662,4866,15.16,67.28,13.36,63.95,35.27,0.8,0.2,0.16,0.41,0,37.6
"112",37031,52556,33234,3319,6551,3290,3527,23536,3080,2761,2765,3029,7515,12.97,63.56,14.3,90.28,8.34,0.86,0.51,0.5,0.37,0,24.49
"113",37057,126677,81131,8252,16582,9218,9012,59321,8298,6860,6238,5900,15226,14.39,66.43,12.02,89.44,9.72,0.48,0.31,0.37,0.16,0,35.82
"114",42021,163029,94477,9316,21652,12158,10065,68094,8354,7424,7922,9685,30582,13.63,60.76,18.76,97.27,2.29,0.6,0.07,0.22,0.15,0,28.76
"115",37163,47297,28075,3094,7050,3712,3014,20580,2698,2482,2296,2320,6777,14.22,64.96,14.33,64.01,33.16,1.54,1.85,0.15,0.82,0,38.74
"116",37101,81306,50928,5569,10964,5888,5557,37730,5093,4296,3707,3672,10275,14.08,66.74,12.64,80.9,17.7,1.55,0.22,0.18,1.01,0,35.38
"117",37027,70709,45473,4551,9051,5249,5303,33088,4673,3970,3662,3165,8549,14.92,66.03,12.09,94.06,5.49,0.45,0.15,0.14,0.16,0,43.21
"118",42003,1336449,822355,84113,153774,81420,92746,590890,71166,62772,64860,76963,231911,13.03,62.01,17.35,87.5,11.19,0.65,0.11,0.99,0.2,0,20.96
"119",37153,44518,26426,3001,6513,3695,3171,19698,2559,2139,2073,2216,6319,15.42,65.62,14.19,69.22,28.91,0.66,1.13,0.4,0.34,0,39.62
"120",37123,23346,14138,1572,3347,1825,1695,10702,1342,1086,1014,1096,3187,15.08,66.91,13.65,71.85,25.7,2.38,0.39,0.63,1.42,0,44.7
"121",37179,84211,53076,6481,12652,6861,6380,40495,5489,4208,3577,3184,8125,15.72,70.81,9.65,83.15,15.94,0.8,0.35,0.3,0.26,0,30.96
"122",37051,274566,180944,24868,40904,23004,34815,150831,12531,10600,9889,8095,16848,21.06,78.89,6.14,61.94,31.87,4.84,1.61,1.81,2.77,0,19.71
"123",42001,78274,48045,5499,10955,5918,6051,36274,4396,3614,3446,3456,10634,15.29,67.36,13.59,97.55,1.18,1.55,0.11,0.45,0.71,0,29.96
"124",42061,44164,27826,2804,5664,3515,3608,20787,2505,2108,2035,2310,5951,16.13,66.24,13.47,95.09,4.49,0.44,0.12,0.18,0.13,0,28.8
"125",37023,75744,48084,4769,9494,5912,5432,34994,4965,4236,3893,3540,9853,14.98,65.03,13.01,91.78,6.84,0.45,0.18,1.03,0.18,0,39.85
"126",37097,92931,58264,6270,12171,6779,6431,42248,5750,5066,4637,4557,12232,14.21,65.31,13.16,83.08,16,0.72,0.21,0.38,0.34,0,33.54
"127",37063,181835,120933,12999,22010,13623,17374,97766,9544,7157,6398,6469,19492,17.05,73.02,10.72,60.43,37.21,1.13,0.23,1.77,0.36,0,21.05
"128",42039,86169,50530,5855,12631,6999,5989,37433,4947,3948,3855,4199,13301,15.07,64.89,15.44,98.2,1.24,0.35,0.13,0.29,0.14,0,25.9
"129",42045,547651,336109,38266,68833,37152,40910,248417,29064,24238,25301,28600,84932,14.25,64.92,15.51,86.5,11.21,1.1,0.11,1.81,0.36,0,18.61
"130",37079,15384,9504,999,2277,1127,994,7171,833,757,735,725,1887,13.79,67.91,12.27,56.86,42.39,1.1,0.1,0.02,0.63,0,40.8
"131",42035,37182,22585,2169,4936,3373,3227,16530,2005,1760,1808,2030,5944,17.75,63.57,15.99,99.13,0.39,0.24,0.13,0.29,0.06,0,27.49
"132",37143,10447,5967,690,1484,662,558,4019,582,537,607,620,1908,11.68,59.28,18.26,66.8,32.79,0.27,0.17,0.15,0.08,0,38.79
"133",37083,55516,32255,4021,8636,4233,3544,24097,2867,2615,2505,2839,7936,14.01,66.2,14.29,46.85,49.69,0.43,3.08,0.25,0.13,0,46.1
"134",37037,38759,24480,2685,4662,2352,2357,17847,2372,1812,1860,1928,5593,12.15,65,14.43,75.91,22.82,1.46,0.32,0.18,0.77,0,29.99
"135",37171,61704,38455,3694,7804,4428,4361,27287,3853,3543,3172,3223,9128,14.24,62.86,14.79,94.62,4.51,0.98,0.11,0.12,0.65,0,42.71
"136",42073,96246,55853,5966,12787,6748,6036,39474,5126,4610,4863,5637,17783,13.28,60.5,18.48,96.52,3.03,0.37,0.06,0.28,0.11,0,27.05
"137",42093,17735,10488,1259,2331,1157,1074,7727,959,886,804,843,2926,12.58,63.81,16.5,98.52,0.43,0.65,0.04,0.75,0.27,0,24.83
"138",37155,105179,61641,8484,17959,9785,7890,49125,5510,4620,4088,4131,11262,16.8,71.85,10.71,36.12,24.9,0.67,38.52,0.22,0.25,0,42.95
"139",37121,14433,8770,818,1761,877,856,5874,936,784,841,865,2554,12.01,58.57,17.7,99.45,0.16,0.35,0.13,0.13,0.12,0,44.67
"140",42117,41126,24581,2687,5862,3638,3169,17979,2382,2141,1969,1955,6151,16.55,64.5,14.96,98.84,0.55,0.34,0.26,0.25,0.1,0,27.15
"141",42009,47919,28556,3064,6804,3540,2956,20218,2866,2601,2439,2580,7347,13.56,62.79,15.33,99.35,0.31,0.25,0.08,0.16,0.09,0,31.52
"142",37013,42283,25008,2766,6199,3175,2467,18022,2480,2149,2158,2189,6320,13.34,63.82,14.95,68.46,31.2,0.47,0.07,0.1,0.17,0,34.09
"143",42089,95709,59408,7048,13223,6693,6672,44534,5405,4214,4044,4742,12499,13.96,67.71,13.06,96.93,1.8,2.14,0.14,0.69,0.45,0,22.01
"144",42131,28076,16801,2006,4324,2539,1843,12939,1730,1223,1096,1221,3537,15.61,68.63,12.6,99.01,0.48,0.48,0.09,0.28,0.14,0,22.36
"145",37127,76677,47593,5257,10852,5685,5279,36105,4398,3710,3370,3471,9514,14.3,68.1,12.41,67.65,31.49,0.79,0.28,0.29,0.29,0,34.93
"146",42083,47131,27594,3048,6571,3470,2876,19960,2573,2291,2255,2551,7882,13.46,62.76,16.72,97.91,1.1,1.08,0.24,0.34,0.41,0,24.59
"147",42133,339574,212867,23688,45267,22905,22872,158002,20627,16547,15575,15425,44443,13.48,66.84,13.09,95.22,3.23,1.52,0.12,0.6,0.82,0,27.21
"148",42049,275572,166110,19973,39842,22507,22126,126915,14451,11878,11486,13002,38025,16.2,67.76,13.8,93.58,5.19,1.22,0.16,0.5,0.57,0,22.51
"149",37067,265878,172933,18059,32291,18606,20981,129592,15673,13182,12311,12233,32537,14.89,67.68,12.24,74.06,24.86,0.79,0.21,0.61,0.26,0,22.41
"150",42051,145351,84192,8812,19909,10329,8810,60561,7718,6862,6925,8488,26076,13.17,61.43,17.94,96.16,3.52,0.31,0.1,0.15,0.08,0,32.21
"151",42099,41172,25505,2993,6218,3039,2594,19419,2480,1894,1810,1789,4569,13.68,69.54,11.1,99.38,0.23,0.47,0.12,0.16,0.11,0,27.71
"152",42085,121003,71848,7530,15835,9079,8453,51424,6577,5931,6004,6925,20777,14.49,61.81,17.17,94.61,4.86,0.42,0.1,0.31,0.12,0,24.85
"153",42033,78097,45464,5113,11022,5773,4725,33046,4329,3836,3632,4132,12987,13.44,62.97,16.63,99.38,0.23,0.26,0.11,0.22,0.06,0,29.83
"154",39049,961437,632009,73529,127944,68980,95264,504587,49068,40316,36987,36344,92662,17.08,73.44,9.64,81.51,15.9,0.96,0.21,2,0.37,0,19
"155",37107,57274,34533,3682,8296,4602,3581,25550,3327,2951,2803,2809,7856,14.29,65.52,13.72,59.93,39.35,0.81,0.12,0.25,0.35,0,37.15
"156",42037,63202,39439,3747,7699,5789,6378,29622,3384,2857,2810,3109,9974,19.25,64.98,15.78,99.03,0.42,0.54,0.06,0.36,0.13,0,26.88
"157",42059,39550,22914,2515,5763,3254,2567,17409,2117,1669,1679,1897,6501,14.72,64.95,16.44,98.48,0.95,0.53,0.17,0.26,0.13,0,32
"158",42053,4802,2715,261,547,442,226,1855,298,282,264,325,970,13.91,55.46,20.2,98.52,0.9,0.48,0.23,0.06,0.29,0,29.52
