"ZCTA","minDisHosp","timeDrive","countDrive"
2322,2.82,8.99,28
2324,7.77,16.3,11
2330,10.01,16.18,7
2332,5.85,16.04,3
2333,5.97,15.94,11
2338,9.11,13.72,8
2339,6.78,13.57,10
2341,8.42,10.91,5
2343,4.41,7.94,34
2346,3.07,0,7
2347,6.62,14.79,9
2351,3.51,8.93,11
2356,4.67,11.58,15
2357,1.92,11.41,15
2359,3.94,0,6
2360,6.05,0,5
2364,8.2,14.82,4
2366,8.59,18.28,1
2367,9.33,15.82,6
2368,3.12,10.69,39
2370,5.24,10.25,11
2375,5.37,16.61,13
2379,4.31,10.51,14
2382,3.64,8.92,11
2420,3.24,10.73,46
2421,5.38,10.18,46
2445,1.64,3.83,50
2446,0.68,0,50
2451,2.73,5.27,47
2452,1.96,5.2,47
2453,0.63,0,48
2457,2.95,7.2,46
2458,2.72,6.04,51
2459,3.32,5.27,53
2460,3.25,4.75,51
2461,2.92,5.72,53
2462,0.71,0,52
2464,2.51,7.35,52
2465,2.15,4.42,50
2466,1.22,3.37,50
2467,1.88,0,50
2468,1.12,4.08,53
2472,2.43,3.38,49
2474,3.16,6.1,49
2476,2.38,5.58,46
2478,0.84,0,50
2481,2.6,7.61,47
2482,2.79,7.54,45
2492,0.48,0,52
2493,3.62,9,47
2494,2.14,2.8,52
2532,5.87,12.71,5
2534,2.32,7.64,4
2535,15.46,29.59,1
2536,4.87,10.1,3
2537,1.96,0,4
2538,4.91,9.22,5
2539,8.15,15.95,1
2540,0.82,0,2
2542,4.06,7.77,4
2543,9.97,11.92,2
2553,2.58,5.15,4
2554,1.73,0,1
2556,4.81,11.18,3
2557,2.23,0,1
2558,4.34,6.85,5
2559,0.94,0,4
2561,5.6,11.68,6
2562,6.47,15.02,4
2563,1.41,8.1,4
2564,8.11,15.14,1
2568,2.72,7.55,1
2571,1.33,0,6
2575,7.63,14.61,1
2576,3.97,7.3,6
2584,6.64,12.72,1
2601,1.77,0,2
2630,5.19,10.48,2
2632,5.2,8.9,2
2635,10.3,16.14,4
2637,4.84,11.62,2
2638,9.13,20.37,2
2639,9.59,20.39,1
2641,12.28,23.43,1
2644,5.38,13.06,3
2645,15.41,25.88,1
2646,13.99,28.05,1
2647,3.15,5.79,2
2648,6.79,16.38,3
2649,10.14,17.4,4
2655,8.56,13.9,3
2660,9.51,19.88,2
2664,5.76,13.25,2
2668,7.93,9.76,2
2670,7.03,16.54,2
2671,11.34,23.33,1
2672,3.53,6.86,2
2673,1.85,8.47,2
2675,5.59,13.38,2
2702,8.96,12.53,10
2703,1.73,0,19
2715,9.11,16.13,5
2717,2.45,7.27,10
2718,6.7,11.75,10
2719,4.67,5.11,7
2720,2.91,0,17
2721,2,3.02,18
2723,1.76,5.19,18
2724,1.34,0,18
2725,2.33,7.89,20
2726,4.76,12.18,15
2738,5.52,9.1,6
2739,9.26,11.75,7
2740,1.06,0,7
2743,3.96,8.8,7
2744,2.46,5.26,7
2745,3.5,0,11
2746,3.16,4.93,7
2747,2.23,0,6
2748,6.71,9.24,6
2760,4.62,11.6,19
2762,7.4,14.69,19
2763,3.22,8.71,22
2764,6.49,11.23,18
2766,6.6,11.49,22
2767,4.15,10.17,16
2769,9.3,17.17,20
2770,7.44,24.2,2
2771,4.36,11.62,21
2777,6.35,10.93,23
2779,6.75,13.6,8
2780,1.29,0,16
2790,9.58,14.66,6
2791,13.27,20.62,6
2802,4.84,9.77,17
2804,7.4,12.76,1
2806,5.76,7.06,18
2808,6.81,13.58,2
2809,7.37,18.39,12
2812,11.74,28.14,1
2813,11.21,19.46,2
2814,10.2,11.5,12
2815,13.75,26.38,3
2816,9.88,13.32,10
2817,14.86,22.14,2
2818,5.84,12.23,12
2822,15.72,27.56,1
2825,17.48,28.78,4
2826,8.62,12.55,10
2828,7.24,8.23,18
2830,7.91,8.56,7
2831,8.74,19,9
2832,15.14,21.81,2
2833,12,18.35,1
2835,3.96,12.3,3
2836,8.8,21.47,2
2837,9.93,27.13,1
2838,2.96,5.86,20
2839,9.68,10.74,7
2840,2.05,0,2
2841,0.88,8.51,2
2842,2.74,8.17,3
2852,10.95,20.31,5
2857,12.19,15.81,16
2858,8.5,9.59,9
2859,3.08,0,7
2860,0.82,0,18
2861,1.85,8.63,19
2863,2.21,8.7,18
2864,5.92,12.55,17
2865,5.38,10.01,18
2871,8.68,18.13,6
2873,15.96,26.15,1
2874,8.02,13.67,4
2875,10.06,25.11,2
2876,4.98,12.64,14
2878,7.76,10.64,6
2879,2.78,0,2
2881,4.8,11.32,3
2882,2.01,7.97,4
2885,7.61,10.7,17
2886,1.36,0,13
2888,3.67,6.57,15
2889,5.96,7.78,13
2891,2.2,0,3
2892,9.18,25.08,1
2893,2.64,7.61,13
2894,11.66,20.86,2
2895,0.41,0,17
2896,2.78,0,13
2898,14.64,25.27,2
2903,0.57,0,20
2904,1.71,5.72,19
2905,2.24,0,20
2906,0.75,0,21
2907,0.86,0,20
2908,0.41,0,20
2909,1.68,4.66,20
2910,3.08,5.77,16
2911,0.99,0,18
2912,1.36,3.26,21
2914,1.98,7.58,21
2915,1.82,0,19
2916,1.95,6.92,22
2917,6.56,8.21,18
2919,4.94,8.5,18
2920,2.11,0,16
2921,4.07,10.69,13
3031,4.3,11.3,5
3032,6.52,17.47,6
3033,8.19,15.82,2
3034,10.18,19.48,4
3036,9.68,17.85,2
3038,2.79,0,7
3042,11.55,19.03,2
3043,4.72,10.26,2
3044,11.24,20.2,5
3045,7.15,13.68,4
3046,9.58,25.34,3
3047,3.02,0,2
3048,11.68,25.77,3
3049,5.45,13.99,4
3051,3.82,10.96,8
3052,7.45,21.9,8
3053,4.82,17.13,8
3054,5.47,19.68,7
3055,2.95,0,3
3057,7.73,11.69,2
3060,1.42,0,6
3062,2.76,8.94,6
3063,2.65,0,8
3064,2.31,7.48,9
3070,13.03,23.45,5
3071,14.34,21.38,1
3076,8.22,14.75,13
3077,15.54,23.7,5
3079,3.42,0,15
3082,9.69,19.85,3
3084,8.5,13.57,3
3086,9.49,11.39,3
3087,6.63,14.95,15
3101,0.64,4.86,8
3102,1.95,0,7
