GEOID,TRACTCE,minDisMH
28109950401,950401,10.65
28119950200,950200,0.96
28145950300,950300,2.38
28151001500,001500,18.27
28089030108,030108,1.49
28089030700,030700,3.06
28121020208,020208,1.38
28149950400,950400,1.76
28151000600,000600,0.88
28153950100,950100,7.25
28053950100,950100,3.49
28027950500,950500,2.79
28033070610,070610,1.79
28029950100,950100,9.8
28033070422,070422,3.56
28047000900,000900,1.67
28049002400,002400,0.83
28059041600,041600,3.37
28059041800,041800,1.57
28033070102,070102,10.3
28047001201,001201,1.19
28049000900,000900,2.47
28049003300,003300,1.18
28059040201,040201,19.72
28075001102,001102,0.99
28081950401,950401,3.92
28087000600,000600,2.11
28137950100,950100,13.98
28151001100,001100,0.66
28033070322,070322,4.61
28081980000,980000,1.95
28107950200,950200,0.98
28109950200,950200,16.13
28149951101,951101,8.88
28007060500,060500,0.9
28157950100,950100,29.7
28163950100,950100,22.48
28047001501,001501,1.14
28047002600,002600,0.41
28049000302,000302,0.28
28049010102,010102,1.28
28149950100,950100,13.35
28123020100,020100,9.76
28125950100,950100,5.39
28091950500,950500,11.82
28099010100,010100,9.23
28067950900,950900,17.02
28069030200,030200,9.77
28117950400,950400,10.53
28003950700,950700,11.31
28011950100,950100,23.78
28041950100,950100,13.15
28121021003,021003,16.66
28121020210,020210,8.86
28045030602,030602,15.31
28065950201,950201,22.65
28059040800,040800,4.94
28067950302,950302,30.02
28071950202,950202,1.61
28071950301,950301,3.2
28071950302,950302,4.43
28073020201,020201,5.81
28073020202,020202,5.23
28161950200,950200,2.48
28163950200,950200,26.63
28049001200,001200,1.31
28049001400,001400,0.61
28049002100,002100,1.78
28049003000,003000,1.63
28059041000,041000,1.55
28059042100,042100,1.47
28059042600,042600,2.46
28027950300,950300,6.91
28113950101,950101,8.7
28151000300,000300,1.65
28151000800,000800,4.76
28151001300,001300,2.65
28151002000,002000,22.2
28019950300,950300,0.59
28025950300,950300,0.34
28013950100,950100,21.74
28013950400,950400,15.34
28087000700,000700,1.35
28087000900,000900,2.15
28089030101,030101,2.46
28089030205,030205,4.23
28089030301,030301,8.62
28089030500,030500,3.3
28119950100,950100,9.19
28049010808,010808,3.15
28047002700,002700,2.87
28033070900,070900,8.59
28035000600,000600,1.77
28029950400,950400,0.94
28031950300,950300,15.84
28033070620,070620,2.62
28033070811,070811,1.77
28035010700,010700,2.19
28049010203,010203,4.85
28049010901,010901,3.13
28057950300,950300,18.7
28059040500,040500,4.51
28043950100,950100,11.91
28095950300,950300,1.99
28039950302,950302,11.14
28047001300,001300,2.1
28049010500,010500,13.74
28105950400,950400,3.8
28105950602,950602,2.1
28027950600,950600,1.02
28121020207,020207,2.32
28073020301,020301,3.64
28099010700,010700,10.94
28015950100,950100,15.11
28023950200,950200,9.68
28117950200,950200,5.65
28109950402,950402,16.86
28117950100,950100,6.69
28061950300,950300,20.14
28073020500,020500,9.63
28047003208,003208,0.38
28047003304,003304,2.36
28047003403,003403,5.45
28047980000,980000,2.19
28049000400,000400,1.34
28049010305,010305,5.25
28145950600,950600,10.63
28147950200,950200,0.75
28149950700,950700,0.72
28133950402,950402,1.95
28073020600,020600,10.08
28075000900,000900,0.96
28075010202,010202,9.82
28071950401,950401,6.75
28029950600,950600,13.76
28121020102,020102,11.32
28153950400,950400,14.09
28043950300,950300,0.72
28043950400,950400,1.59
28083950100,950100,13.8
28087000401,000401,6.3
28139950400,950400,9.18
28045030200,030200,4.22
28045030300,030300,3.53
28047000300,000300,1.26
28047000600,000600,1.89
28047003102,003102,9.51
28071950502,950502,10.0
28071950503,950503,4.87
28079040500,040500,9.9
28101050200,050200,10.0
28081950402,950402,5.6
28081950601,950601,2.04
28081950800,950800,0.94
28083950400,950400,7.82
28083950700,950700,2.06
28059040101,040101,20.23
28141950300,950300,3.85
28155950200,950200,26.67
28103950200,950200,9.58
28093950200,950200,3.6
28131020100,020100,1.18
28003950400,950400,10.06
28007060400,060400,9.9
28077960300,960300,23.35
28011950701,950701,0.78
28047002500,002500,0.72
28049011202,011202,14.05
28139950200,950200,2.09
28121020101,020101,19.05
28115950400,950400,10.87
28117950500,950500,12.12
28113950200,950200,3.05
28115950200,950200,9.79
28121020211,020211,4.05
28121020600,020600,4.73
28121020703,020703,2.49
28085950300,950300,11.44
28123020400,020400,13.06
28129950100,950100,11.79
28035010200,010200,5.27
28035010400,010400,4.73
28107950400,950400,9.69
28107950600,950600,1.14
28033071120,071120,4.97
28037950200,950200,10.11
28047001502,001502,1.91
28059041400,041400,3.13
28047001800,001800,1.59
28087000300,000300,3.33
28087000403,000403,8.66
28087000500,000500,1.96
28087000800,000800,1.14
28035010500,010500,3.8
28087001100,001100,15.08
28087001000,001000,9.74
28083950800,950800,3.18
28089030302,030302,16.91
28061950400,950400,22.77
28069030100,030100,9.25
28075000800,000800,0.46
28075001000,001000,2.95
28075010201,010201,12.82
28075010301,010301,9.67
28101050100,050100,8.03
28095950200,950200,7.28
28101050300,050300,7.13
28111950200,950200,20.22
28047001600,001600,2.04
28123020600,020600,4.92
28145950400,950400,1.93
28147950300,950300,7.07
28149950500,950500,1.9
28161950100,950100,11.77
28037950100,950100,7.33
28121020803,020803,6.1
28093950402,950402,0.99
28095950800,950800,15.22
28097950100,950100,10.33
28017950100,950100,16.83
28047003501,003501,8.56
28079040100,040100,11.71
28035010102,010102,9.36
28079040400,040400,9.7
28081950101,950101,16.66
28081950500,950500,3.05
28081950700,950700,1.4
28113950300,950300,0.66
28121020801,020801,3.0
28035010600,010600,14.35
28091950100,950100,8.52
28081950202,950202,10.49
28057950100,950100,27.25
28003950600,950600,9.01
28121020402,020402,8.08
28005950100,950100,14.93
28047002900,002900,7.89
28047003101,003101,3.25
28105950200,950200,9.04
28105950500,950500,1.4
28107950300,950300,5.48
28067950500,950500,31.5
28047003205,003205,2.53
28047003301,003301,3.92
28079040600,040600,1.8
28011950200,950200,18.56
28109950100,950100,20.8
28113950400,950400,0.57
28115950101,950101,9.78
28047003600,003600,9.84
28107950500,950500,9.4
28109950501,950501,21.78
28109950700,950700,15.62
28113950102,950102,4.39
28095950501,950501,19.98
28089030201,030201,8.38
28089030203,030203,5.22
28089030204,030204,6.53
28089030900,030900,13.53
28091950300,950300,1.06
28067950200,950200,23.83
28081950901,950901,1.03
28091950400,950400,1.52
28081951001,951001,10.26
28083950600,950600,3.42
28047002800,002800,3.31
28103950300,950300,1.05
28001000600,000600,2.01
28001000900,000900,2.95
28003950500,950500,1.93
28005950300,950300,24.68
28007060100,060100,14.31
28159950400,950400,1.62
28087000101,000101,13.29
28121021002,021002,11.59
28047001900,001900,3.65
28047002400,002400,1.9
28001000400,000400,1.94
28009950200,950200,14.37
28059042700,042700,5.79
28145950200,950200,11.24
28065950202,950202,19.65
28129950300,950300,9.23
28131020201,020201,9.43
28133950401,950401,0.94
28149950600,950600,1.87
28149950800,950800,2.95
28151000200,000200,5.8
28151000701,000701,2.52
28151000702,000702,4.42
28133950500,950500,9.23
28059040400,040400,7.14
28059040700,040700,6.82
28059040900,040900,4.86
28093950300,950300,9.83
28097950300,950300,0.46
28061950100,950100,17.19
28063950200,950200,1.11
28065950100,950100,18.98
28129950200,950200,7.41
28059040102,040102,18.83
28059040203,040203,11.54
28159950300,950300,0.3
28057950200,950200,17.02
28057950500,950500,14.82
28059041300,041300,7.41
28059041700,041700,2.24
28059042000,042000,1.23
28059042200,042200,0.9
28163950500,950500,27.94
28135950200,950200,0.37
28161950300,950300,13.14
28099010200,010200,10.83
28099940100,940100,10.17
28139950100,950100,12.96
28139950300,950300,3.66
28099010600,010600,9.48
28093950100,950100,13.58
28033070521,070521,2.03
28033070630,070630,5.06
28033070710,070710,2.32
28033070722,070722,5.92
28033070821,070821,2.09
28123020300,020300,12.32
28123020500,020500,0.51
28075010302,010302,11.17
28075010500,010500,8.57
28019950200,950200,6.69
28033070325,070325,4.73
28033070411,070411,3.65
28067950600,950600,29.08
28067950800,950800,25.27
28067951000,951000,24.11
28123020200,020200,16.6
28083950900,950900,1.38
28151001400,001400,2.99
28141950100,950100,9.45
28141950400,950400,18.72
28143950200,950200,1.64
28085950200,950200,9.48
28085950400,950400,13.3
28133950600,950600,7.87
28033070421,070421,4.88
28029950300,950300,12.41
28049010807,010807,8.09
28049010809,010809,4.84
28011950600,950600,2.05
28047003402,003402,6.58
28015950200,950200,15.46
28047003303,003303,1.99
28049000800,000800,3.27
28049001000,001000,1.83
28049001600,001600,0.12
28049002000,002000,1.53
28049002200,002200,2.01
28049002300,002300,1.33
28049003200,003200,1.32
28051950500,950500,10.79
28049011103,011103,7.08
28051950300,950300,16.97
28049011201,011201,18.98
28049011500,011500,1.35
28121020302,020302,0.81
28049010400,010400,7.51
28049010804,010804,5.16
28049010806,010806,6.66
28011950300,950300,11.37
28127950200,950200,2.13
28127950500,950500,0.53
28031950400,950400,20.13
28033070101,070101,16.13
28033070222,070222,5.79
28025950200,950200,16.19
28035010101,010101,9.44
28025950500,950500,4.88
28033071000,071000,4.05
28031950100,950100,22.19
28155950300,950300,18.69
28033071110,071110,3.66
28035000700,000700,0.95
28035000900,000900,1.27
28013950200,950200,24.26
28011950500,950500,2.01
28151002100,002100,20.94
28153950200,950200,1.27
28013950300,950300,27.55
28013950500,950500,21.46
28155950100,950100,22.44
28027950200,950200,11.9
28153950300,950300,11.55
28159950100,950100,7.31
28023950100,950100,10.45
28027950700,950700,0.21
28047003404,003404,13.95
28049000100,000100,1.19
28049000200,000200,1.68
28049000600,000600,2.58
28083950300,950300,17.21
28039950301,950301,13.64
28047001400,001400,4.13
28049003400,003400,1.98
28049003700,003700,3.32
28049010101,010101,1.97
28049010202,010202,2.21
28049010304,010304,6.87
28115950300,950300,1.89
28117950300,950300,0.17
28119950300,950300,7.62
28127950100,950100,7.71
28097950200,950200,14.34
28047003505,003505,4.25
28049000700,000700,3.87
28049010201,010201,0.83
28049010805,010805,6.3
28001000500,000500,5.61
28133950300,950300,5.87
28049010700,010700,14.25
28049011101,011101,3.5
28049011300,011300,21.45
28007060300,060300,14.01
28023950300,950300,10.39
28031950200,950200,22.86
28033070323,070323,5.1
28033070830,070830,5.99
28035001000,001000,2.06
28113950600,950600,4.69
28127950300,950300,12.18
28133950200,950200,6.89
28121020500,020500,5.17
28011950702,950702,1.14
28017950300,950300,0.81
28141950200,950200,1.86
28145950500,950500,8.26
28149950901,950901,9.94
28047003504,003504,0.93
28049001300,001300,0.62
28049002700,002700,0.73
28095950100,950100,11.35
28047003207,003207,2.22
28039950200,950200,0.89
28049011102,011102,5.71
28071950201,950201,3.55
28135950300,950300,18.1
28121980000,980000,1.97
28067951100,951100,16.43
28111950102,950102,7.97
28003950100,950100,6.29
28057950400,950400,24.88
28059040600,040600,6.46
28061950200,950200,15.74
28067950301,950301,28.0
28077960200,960200,18.5
28083950200,950200,9.44
28085950500,950500,1.13
28089030107,030107,2.33
28039950101,950101,10.93
28049010902,010902,1.43
28089030206,030206,3.75
28045030400,030400,12.35
28075010400,010400,9.12
28095950700,950700,13.39
28105950100,950100,8.45
28121021001,021001,11.34
28027950100,950100,13.18
28033070721,070721,2.61
28035000800,000800,1.02
28001000200,000200,7.88
28023950400,950400,1.29
28033071200,071200,10.73
28049001500,001500,0.68
28053950300,950300,0.92
28081950902,950902,2.24
28087000404,000404,9.79
28109950502,950502,20.66
28089030600,030600,5.92
28091950600,950600,10.8
28095950400,950400,1.39
28063950100,950100,1.69
28067950402,950402,32.81
28071950402,950402,13.64
28101050500,050500,0.85
28105950700,950700,8.08
28075000700,000700,2.41
28073020400,020400,1.77
28107950100,950100,11.16
28109950600,950600,19.05
28075010600,010600,12.79
28113950500,950500,4.39
28159950500,950500,11.72
28011950400,950400,19.66
28017950200,950200,9.2
28005950200,950200,17.62
28045030500,030500,6.76
28073020100,020100,13.7
28033070221,070221,8.55
28033070822,070822,2.87
28035001100,001100,1.91
28047002000,002000,2.57
28059040300,040300,3.86
28121020401,020401,6.64
28121020900,020900,15.08
28085950100,950100,6.95
28093950401,950401,2.84
28101050400,050400,5.77
28137950302,950302,8.81
28025950100,950100,10.04
28145950100,950100,9.83
28041950200,950200,7.8
28043950500,950500,0.96
28053950200,950200,10.23
28081950201,950201,9.68
28099010400,010400,2.51
28115950102,950102,4.72
28049003600,003600,2.1
28067950700,950700,28.77
28137950200,950200,5.46
28149950902,950902,8.06
28159950200,950200,10.27
28009950100,950100,3.4
28109950300,950300,23.91
28047003206,003206,5.68
28151001700,001700,10.12
28105950601,950601,4.16
28003950300,950300,2.45
28035000500,000500,2.77
28035010300,010300,5.83
28151000900,000900,0.97
28039950102,950102,5.14
28081950102,950102,16.73
28081950602,950602,0.81
28113950700,950700,8.22
28121020802,020802,2.48
28115950500,950500,11.15
28121020209,020209,6.52
28127950400,950400,12.34
28147950100,950100,9.81
28045030601,030601,19.69
28047003000,003000,6.98
28047003502,003502,8.0
28049010801,010801,3.65
28049011400,011400,0.74
28059041900,041900,0.7
28067950100,950100,29.03
28071950100,950100,13.13
28091950200,950200,9.25
28079040700,040700,10.77
28081951100,951100,8.7
28003950200,950200,2.71
28043950200,950200,8.71
28033070520,070520,2.72
28075001101,001101,1.3
28017950400,950400,1.34
28071950501,950501,11.31
28073020302,020302,0.94
28087000102,000102,9.2
28089030105,030105,1.23
28059041100,041100,0.81
28075010700,010700,1.36
37085070901,070901,9.81
37025042102,042102,5.44
37027030100,030100,3.11
37031970503,970503,5.36
37031980100,980100,36.11
37035010600,010600,1.83
37001020502,020502,2.06
37001021000,021000,3.56
37013930200,930200,9.07
37013930800,930800,26.22
37015960300,960300,20.13
37071032600,032600,2.03
37071032900,032900,3.1
37073970200,970200,23.42
37075920100,920100,7.13
37081010100,010100,1.88
37081010401,010401,1.26
37081011905,011905,4.55
37063002300,002300,1.63
37067000700,000700,0.37
37067001902,001902,1.94
37067003106,003106,9.17
37067003908,003908,2.66
37081012612,012612,0.37
37081014408,014408,3.81
37071030203,030203,10.67
37071031900,031900,3.24
37085070902,070902,7.95
37087920102,920102,12.87
37155960900,960900,0.32
37157040300,040300,2.84
37159051202,051202,2.55
37049960403,960403,1.4
37051000702,000702,1.11
37051002100,002100,1.15
37051003309,003309,1.04
37051003407,003407,4.94
37055970502,970502,48.78
37055990100,990100,48.22
37057061300,061300,1.45
37063000102,000102,0.76
37063000301,000301,1.87
37149920303,920303,7.26
37153970900,970900,5.56
37165010102,010102,3.0
37171930101,930101,10.42
37179020203,020203,10.65
37183050300,050300,2.79
37183051000,051000,2.62
37183052404,052404,1.4
37183052705,052705,0.69
37183053203,053203,13.2
37127010601,010601,0.47
37063002023,002023,3.68
37129012010,012010,4.07
37179020313,020313,5.42
37179020501,020501,4.5
37181960500,960500,0.45
37133000403,000403,21.82
37133000800,000800,2.86
37133002500,002500,8.08
37133990100,990100,26.73
37135011601,011601,0.65
37139960200,960200,38.91
37147000100,000100,2.1
37149920200,920200,3.94
37129010100,010100,1.74
37129011606,011606,0.64
37119005843,005843,1.42
37119005915,005915,1.84
37119006203,006203,1.64
37087920900,920900,0.7
37021003201,003201,4.01
37025040702,040702,2.78
37025040800,040800,3.5
37025041901,041901,2.16
37089931200,931200,0.48
37097060601,060601,0.82
37097061204,061204,6.27
37081015703,015703,4.32
37081016305,016305,4.97
37083930200,930200,2.09
37119001505,001505,2.11
37119001702,001702,1.54
37119980300,980300,0.52
37125950900,950900,5.06
37119001923,001923,3.69
37119003017,003017,3.86
37119003109,003109,0.3
37191000500,000500,3.68
37191001900,001900,0.28
37195000100,000100,0.26
37195001400,001400,5.74
37199960400,960400,15.7
37183053509,053509,6.81
37183053718,053718,5.0
37183054001,054001,1.11
37019020511,020511,6.09
37021001000,001000,1.69
37101040700,040700,1.44
37105030300,030300,24.03
37107010400,010400,0.64
37109070201,070201,14.79
37183054018,054018,0.73
37185950400,950400,17.35
37189920500,920500,0.94
37041930102,930102,38.46
37047930500,930500,10.46
37049960300,960300,17.45
37119004303,004303,5.85
37119005511,005511,3.49
37119005522,005522,2.53
37119005609,005609,2.81
37119005713,005713,4.89
37119005831,005831,2.78
37063001503,001503,1.42
37063001709,001709,1.56
37063002021,002021,4.64
37115010100,010100,20.97
37115010500,010500,14.81
37117970400,970400,15.22
37119000300,000300,0.87
37119000800,000800,1.23
37067003003,003003,5.94
37067003202,003202,3.67
37189920800,920800,6.83
37191000601,000601,7.82
37191001400,001400,2.07
37193960400,960400,14.28
37159052000,052000,0.25
37161960200,960200,9.04
37083930300,930300,1.81
37053110102,110102,26.18
37055970601,970601,6.39
37057060302,060302,6.3
37057061000,061000,3.52
37061090400,090400,1.73
37179020701,020701,5.77
37063000200,000200,2.79
37117970500,970500,5.37
37119000700,000700,1.74
37119001605,001605,2.07
37119001910,001910,3.58
37119001919,001919,2.52
37119002100,002100,0.81
37119002600,002600,0.56
37119003008,003008,3.02
37019020201,020201,5.02
37019020309,020309,13.0
37019020504,020504,13.38
37019020510,020510,9.6
37021000600,000600,1.39
37021002000,002000,2.43
37021002606,002606,4.63
37023020201,020201,14.3
37097061408,061408,5.47
37099950700,950700,13.36
37101041502,041502,12.64
37103920100,920100,14.54
37105030101,030101,25.56
37109070600,070600,17.5
37111970100,970100,10.32
37111970400,970400,0.71
37113970200,970200,14.21
37115010200,010200,25.43
37117970100,970100,12.96
37135011400,011400,1.85
37135011800,011800,1.75
37139960100,960100,37.18
37085071303,071303,5.01
37089930300,930300,4.78
37089930900,930900,2.36
37091950100,950100,15.53
37093970402,970402,7.16
37095920100,920100,55.7
37081010403,010403,1.96
37081010900,010900,0.52
37081011500,011500,1.37
37081012604,012604,0.92
37081012610,012610,0.54
37081012707,012707,2.11
37183053719,053719,5.1
37183054110,054110,3.09
37049960600,960600,0.6
37017950100,950100,27.85
37017950600,950600,25.07
37077970400,970400,2.24
37079950300,950300,2.37
37159051204,051204,3.77
37067003805,003805,0.24
37067004011,004011,4.1
37035010303,010303,4.34
37151031504,031504,0.57
37197050300,050300,13.25
37129011605,011605,1.6
37071030102,030102,10.86
37071030602,030602,12.58
37071031004,031004,6.33
37071032702,032702,0.64
37073970100,970100,26.2
37075920300,920300,7.13
37081014412,014412,3.41
37081015707,015707,5.44
37155961000,961000,1.21
37157040400,040400,0.56
37157041200,041200,0.69
37159050300,050300,1.29
37025041902,041902,2.04
37025042101,042101,3.78
37025042602,042602,4.96
37027031403,031403,10.47
37031970304,970304,13.32
37031970504,970504,8.36
37031970902,970902,16.37
37031990100,990100,59.48
37119005710,005710,3.67
37133000103,000103,9.65
37133000402,000402,17.25
37133001700,001700,3.43
37133002202,002202,0.47
37163970900,970900,15.12
37167931201,931201,0.49
37169070503,070503,3.23
37171930901,930901,18.55
37173960301,960301,9.46
37177960100,960100,41.6
37119005308,005308,1.7
37119005621,005621,7.17
37001021702,021702,2.66
37003040700,040700,8.63
37013930300,930300,1.43
37037020105,020105,7.11
37037020600,020600,15.36
37039930300,930300,11.19
37063002018,002018,2.31
37063002022,002022,4.22
37065021000,021000,21.05
37065021300,021300,15.51
37067000200,000200,1.01
37067001000,001000,1.0
37067001602,001602,1.41
37067002100,002100,0.71
37041930101,930101,31.93
37045951000,951000,1.38
37081016101,016101,3.09
37081016503,016503,1.44
37183053606,053606,3.36
37183051900,051900,1.34
37183052407,052407,1.17
37183052602,052602,1.03
37183052809,052809,1.36
37183053005,053005,8.15
37183053204,053204,15.06
37183053408,053408,5.94
37183053425,053425,4.82
37183053507,053507,4.23
37183053519,053519,5.51
37119003018,003018,4.14
37119003300,003300,1.7
37119003807,003807,1.16
37119004500,004500,3.36
37183052506,052506,3.34
37183053422,053422,4.95
37183053713,053713,3.53
37183054008,054008,0.41
37191001800,001800,1.09
37193960900,960900,15.46
37195000801,000801,1.81
37047931300,931300,19.08
37049960700,960700,0.59
37025040701,040701,4.14
37051003311,003311,0.19
37057060700,060700,3.18
37063001400,001400,2.88
37067000301,000301,0.76
37067002601,002601,2.42
37071031003,031003,6.71
37031970401,970401,5.12
37035010402,010402,1.75
37045951100,951100,0.52
37001020200,020200,1.89
37021001200,001200,1.09
37051003302,003302,1.47
37051003312,003312,2.76
37051003403,003403,5.02
37081013900,013900,2.69
37141920201,920201,19.53
37049960900,960900,1.54
37051000200,000200,0.96
37051001604,001604,3.46
37129011100,011100,0.85
37145920400,920400,0.66
37147000202,000202,2.19
37147000602,000602,1.66
37147001302,001302,4.45
37151030302,030302,3.4
37129010501,010501,1.32
37129010600,010600,1.06
37179021006,021006,3.44
37181960600,960600,2.36
37183050100,050100,2.51
37125950701,950701,3.13
37127010400,010400,3.21
37129010200,010200,0.64
37119005825,005825,4.05
37119005832,005832,3.32
37119005840,005840,1.62
37119005909,005909,3.19
37183054204,054204,4.21
37119005918,005918,5.64
37119006107,006107,5.49
37119006212,006212,2.1
37121950100,950100,13.1
37067003311,003311,4.81
37071033100,033100,4.44
37133000900,000900,2.0
37135011300,011300,1.34
37151031602,031602,2.2
37153970500,970500,0.47
37159050700,050700,3.67
37163971000,971000,17.69
37179020311,020311,6.19
37105030102,030102,26.25
37119001606,001606,2.2
37119001915,001915,0.83
37119003006,003006,1.26
37119005517,005517,6.64
37119005841,005841,1.56
37129010800,010800,1.1
37077970704,970704,12.6
37081011400,011400,0.96
37081014000,014000,2.28
37085071402,071402,9.84
37097060100,060100,1.79
37009970800,970800,8.21
37119980200,980200,3.38
37183050700,050700,1.97
37119004000,004000,3.43
37147001003,001003,4.01
37021000100,000100,1.01
37133001400,001400,3.74
37183050900,050900,1.36
37183053423,053423,5.38
37063000302,000302,2.25
37067003904,003904,1.07
37079950102,950102,7.22
37081012504,012504,0.79
37105030501,030501,18.23
37119001603,001603,1.37
37119001918,001918,2.16
37119005305,005305,0.78
37119005826,005826,3.46
37129010502,010502,1.29
37129011904,011904,2.44
37021001500,001500,0.24
37025040703,040703,0.79
37025042502,042502,2.96
37043950100,950100,7.84
37045951502,951502,10.35
37051003304,003304,2.92
37063001100,001100,2.43
37195000502,000502,2.79
37019020305,020305,18.19
37063001304,001304,1.58
37067000400,000400,1.11
37067003806,003806,2.22
37071031401,031401,1.85
37133001500,001500,4.08
37135011902,011902,1.85
37151031503,031503,0.92
37153970200,970200,14.27
37159050400,050400,0.78
37165010600,010600,13.44
37175960500,960500,8.22
37179020314,020314,4.79
37183050600,050600,1.78
37183053525,053525,4.45
37183054006,054006,1.73
37019990100,990100,23.58
37023021302,021302,9.61
37063002016,002016,0.75
37081011601,011601,1.58
37119000600,000600,0.31
37129990100,990100,5.87
37183053417,053417,11.47
37081016010,016010,3.64
37015960400,960400,18.34
37021000400,000400,0.56
37135012100,012100,2.39
37141990100,990100,19.94
37183051400,051400,1.72
37183052504,052504,3.34
37183053512,053512,0.81
37031970603,970603,2.45
37159050202,050202,2.46
37159051502,051502,7.51
37089931300,931300,0.62
37049961002,961002,6.7
37057061202,061202,4.67
37063000401,000401,0.8
37105030200,030200,25.18
37119001200,001200,2.05
37119003015,003015,2.32
37119001100,001100,1.21
37081014411,014411,2.37
37083930900,930900,19.62
37097061003,061003,2.31
37081010602,010602,1.23
37063001002,001002,3.87
37065020700,020700,14.26
37067001800,001800,2.72
37179021008,021008,7.27
37081016506,016506,3.51
37119005827,005827,0.67
37119005916,005916,1.37
37081012617,012617,2.94
37195000200,000200,1.23
37099950800,950800,14.96
37101041300,041300,13.87
37155961500,961500,8.71
37183053725,053725,4.98
37053990100,990100,30.34
37065020600,020600,7.8
37025042503,042503,4.41
37127010200,010200,5.23
37129011200,011200,1.46
37173980200,980200,10.7
37001020901,020901,3.66
37009970700,970700,8.59
37171931001,931001,10.21
37197050502,050502,6.24
37001020902,020902,5.47
37001021102,021102,6.23
37067003002,003002,4.63
37067003103,003103,8.9
37067003310,003310,5.57
37067003312,003312,2.49
37067003600,003600,2.66
37067003702,003702,2.25
37067003804,003804,2.15
37001020300,020300,3.54
37001020501,020501,2.96
37001020602,020602,1.19
37001020701,020701,1.15
37021001700,001700,4.72
37021001900,001900,1.34
37021002101,002101,3.1
37021002206,002206,1.25
37021002503,002503,8.2
37021002506,002506,2.02
37007920600,920600,8.82
37001020702,020702,1.73
37119005848,005848,3.26
37119005907,005907,2.87
37127011000,011000,17.65
37031970704,970704,6.58
37031970803,970803,16.61
37031971002,971002,4.0
37033930100,930100,14.23
37129011500,011500,7.2
37165010400,010400,3.4
37167930200,930200,5.87
37193961100,961100,3.04
37023021201,021201,4.99
37023021203,021203,11.46
37013930600,930600,12.92
37147001401,001401,9.84
37071031704,031704,5.95
37071032100,032100,0.48
37071032200,032200,4.5
37107011100,011100,14.23
37039930400,930400,6.04
37003040100,040100,16.47
37195000400,000400,2.66
37151031400,031400,9.64
37085071204,071204,3.72
37085071302,071302,8.2
37087920600,920600,2.17
37119005912,005912,1.38
37119006006,006006,7.18
37159050201,050201,2.46
37151030504,030504,12.68
37081016006,016006,5.89
37081016008,016008,6.25
37167931000,931000,7.18
37167931202,931202,0.57
37017950400,950400,26.67
37019020101,020101,8.7
37019020103,020103,9.68
37001020100,020100,0.13
37063001502,001502,0.63
37063001603,001603,6.97
37155960101,960101,10.87
37007920100,920100,9.14
37081016102,016102,1.53
37081016203,016203,2.31
37081016408,016408,4.18
37081016410,016410,1.07
37159051902,051902,10.99
37001021701,021701,3.31
37001021803,021803,13.24
37081016505,016505,3.23
