"","GEOID","count_in_range_buprenorphine","time_to_nearest_buprenorphine","buprenorphine_score"
"246","01821",46,11,0.633333333333333
"247","01824",36,8,0.711111111111111
"248","01826",26,7,0.744444444444444
"249","01827",14,18,0.4
"250","01830",22,0,0.833333333333333
"251","01832",24,5,0.755555555555556
"252","01833",20,0,0.822222222222222
"253","01834",20,7,0.744444444444444
"254","01835",30,5,0.7
"255","01840",30,3,0.9
"256","01841",30,0,0.955555555555556
"257","01843",42,0,1
"258","01844",30,6,0.788888888888889
"259","01845",40,9,0.7
"260","01850",34,5,0.833333333333333
"261","01851",34,0,0.955555555555556
"262","01852",34,0,1
"263","01854",32,0,0.955555555555556
"264","01860",14,10,0.544444444444444
"265","01862",40,10,0.655555555555556
"266","01863",32,7,0.755555555555556
"267","01864",58,19,0.366666666666667
"268","01867",122,11,0.633333333333333
"269","01876",40,0,1
"270","01879",26,12,0.6
"271","01880",110,11,0.633333333333333
"272","01886",28,15,0.477777777777778
"273","01887",94,9,0.7
"274","01890",130,6,0.8
"275","01901",104,0,1
"276","01902",104,1,0.966666666666667
"277","01904",98,4,0.866666666666667
"278","01905",104,0,1
"279","01906",112,4,0.866666666666667
"280","01907",88,5,0.833333333333333
"281","01908",70,8,0.733333333333333
"282","01913",14,14,0.455555555555556
"283","01915",38,8,0.733333333333333
"284","01921",20,16,0.433333333333333
"285","01922",16,12,0.5
"286","01923",46,0,1
"287","01929",16,11,0.555555555555555
"288","01930",12,0,0.744444444444444
"289","01937",48,7,0.766666666666667
"290","01938",14,20,0.3
"291","01940",92,12,0.6
"292","01944",20,10,0.588888888888889
"293","01945",50,10,0.666666666666667
"294","01949",46,9,0.7
"295","01950",18,18,0.366666666666667
"296","01951",6,23,0.188888888888889
"297","01952",8,17,0.388888888888889
"298","01960",62,8,0.733333333333333
"299","01966",12,9,0.466666666666667
"300","01969",14,13,0.488888888888889
"301","01970",60,9,0.7
"302","01982",22,13,0.566666666666667
"303","01983",40,10,0.666666666666667
"304","01984",22,11,0.633333333333333
"305","01985",22,15,0.488888888888889
"306","02019",40,10,0.633333333333333
"307","02021",78,6,0.7
"308","02025",12,14,0.477777777777778
"309","02026",104,12,0.588888888888889
"310","02030",40,23,0.211111111111111
"311","02032",58,17,0.366666666666667
"312","02035",40,18,0.388888888888889
"313","02038",12,17,0.4
"314","02043",46,7,0.711111111111111
"315","02045",12,16,0.411111111111111
"316","02047",6,19,0.266666666666667
"317","02048",30,19,0.344444444444444
"318","02050",8,21,0.233333333333333
"319","02052",16,20,0.266666666666667
"320","02053",10,14,0.488888888888889
"321","02054",6,20,0.333333333333333
"322","02056",10,26,0.122222222222222
"323","02061",34,0,0.844444444444444
"324","02062",82,14,0.477777777777778
"325","02066",6,14,0.444444444444444
"326","02067",32,11,0.533333333333333
"327","02071",22,21,0.255555555555556
"328","02072",72,0,0.888888888888889
"329","02081",36,19,0.288888888888889
"330","02090",84,17,0.422222222222222
"331","02093",14,22,0.266666666666667
"332","02108",114,2,0.922222222222222
"333","02109",112,3,0.9
"334","02110",114,3,0.9
"335","02111",116,1,0.944444444444445
"336","02113",116,3,0.9
"337","02114",104,0,1
"338","02115",108,0,0.977777777777778
"339","02116",106,0,0.977777777777778
"340","02118",106,0,1
"341","02119",106,0,1
"342","02120",106,0,0.988888888888889
"343","02121",116,3,0.9
"344","02122",118,0,1
"345","02124",118,0,1
"346","02125",118,0,0.955555555555556
"347","02126",118,0,0.944444444444445
"348","02127",106,4,0.855555555555556
"349","02128",114,0,1
"350","02129",116,5,0.833333333333333
"351","02130",106,0,1
"352","02131",106,6,0.788888888888889
"353","02132",102,9,0.7
"354","02134",108,4,0.866666666666667
"355","02135",106,0,1
"356","02136",102,6,0.766666666666667
"357","02138",104,5,0.833333333333333
"358","02139",108,5,0.822222222222222
"359","02140",104,0,1
"360","02141",118,5,0.833333333333333
"361","02142",116,4,0.866666666666667
"362","02143",106,6,0.8
"363","02144",108,0,0.966666666666667
"364","02145",120,6,0.8
"365","02148",118,3,0.855555555555556
"366","02149",116,0,0.955555555555556
"367","02150",112,0,0.955555555555556
"368","02151",110,4,0.844444444444444
"369","02152",110,7,0.766666666666667
"370","02155",122,4,0.844444444444444
"371","02163",108,5,0.822222222222222
"372","02169",104,0,1
"373","02170",118,4,0.866666666666667
"374","02171",118,6,0.8
"375","02176",120,7,0.733333333333333
"376","02180",130,6,0.8
"377","02184",84,7,0.744444444444444
"378","02186",104,5,0.8
"379","02188",86,5,0.822222222222222
"380","02189",76,0,0.911111111111111
"381","02190",82,0,0.911111111111111
"382","02191",82,6,0.744444444444444
"383","02199",104,7,0.755555555555556
"384","02203",114,2,0.933333333333333
"385","02210",100,6,0.8
"386","02215",108,0,0.977777777777778
"387","02301",42,0,1
"388","02302",40,4,0.866666666666667
"389","02322",72,9,0.7
"390","02324",20,17,0.433333333333333
"391","02330",10,22,0.188888888888889
"392","02332",8,21,0.266666666666667
"393","02333",24,17,0.433333333333333
"394","02338",16,28,0.0555555555555556
"395","02339",34,8,0.666666666666667
"396","02341",18,20,0.333333333333333
"397","02343",72,7,0.733333333333333
"398","02346",18,21,0.3
"399","02347",18,21,0.3
"400","02351",36,8,0.677777777777778
"401","02356",24,11,0.633333333333333
"402","02357",28,11,0.633333333333333
"403","02359",18,17,0.344444444444444
"404","02360",4,0,0.733333333333333
"405","02364",4,17,0.344444444444444
"406","02366",2,18,0.266666666666667
"407","02367",8,24,0.155555555555556
"408","02368",88,10,0.633333333333333
"409","02370",34,10,0.655555555555556
"410","02375",20,16,0.466666666666667
"411","02379",20,11,0.633333333333333
"412","02382",24,11,0.633333333333333
"413","02420",98,10,0.655555555555556
"414","02421",110,9,0.688888888888889
"415","02445",104,3,0.9
"416","02446",104,0,1
"417","02451",92,8,0.711111111111111
"418","02452",92,7,0.755555555555556
"419","02453",92,8,0.711111111111111
"420","02457",84,17,0.411111111111111
"421","02458",106,4,0.844444444444444
"422","02459",100,9,0.7
"423","02460",106,4,0.833333333333333
"424","02461",100,8,0.722222222222222
"425","02462",100,12,0.577777777777778
"426","02464",100,12,0.6
"427","02465",102,8,0.711111111111111
"428","02466",94,9,0.677777777777778
"429","02467",104,8,0.733333333333333
"430","02468",100,10,0.666666666666667
"431","02472",106,0,0.966666666666667
"432","02474",108,0,0.944444444444445
"433","02476",100,3,0.877777777777778
"434","02478",106,0,1
"435","02481",82,16,0.455555555555556
"436","02482",86,14,0.5
"437","02492",102,15,0.5
"438","02493",88,13,0.544444444444444
"439","02494",100,12,0.588888888888889
"440","02532",10,0,0.733333333333333
"441","02534",8,16,0.466666666666667
"442","02535",2,23,0.155555555555556
"443","02536",8,0,0.877777777777778
"444","02537",14,18,0.4
"445","02538",4,14,0.444444444444444
"446","02539",2,17,0.288888888888889
"447","02540",8,10,0.588888888888889
"448","02542",8,16,0.422222222222222
"449","02543",6,20,0.255555555555556
"450","02553",8,12,0.477777777777778
"451","02554",0,145,0
"452","02556",8,14,0.522222222222222
"453","02557",2,7,0.511111111111111
"454","02558",4,8,0.488888888888889
"455","02559",8,14,0.466666666666667
"456","02561",10,11,0.566666666666667
"457","02562",10,11,0.577777777777778
"458","02563",14,16,0.466666666666667
"459","02564",0,157,0
"460","02568",2,0,0.666666666666667
"461","02571",12,13,0.422222222222222
"462","02575",2,8,0.488888888888889
"463","02576",12,19,0.288888888888889
"464","02584",0,155,0
"465","02601",8,0,0.855555555555556
"466","02630",8,10,0.633333333333333
"467","02631",2,21,0.2
"468","02632",10,8,0.655555555555556
"469","02633",2,24,0.133333333333333
"470","02635",10,6,0.8
"471","02637",8,10,0.655555555555556
"472","02638",4,12,0.511111111111111
"473","02639",4,8,0.6
"474","02641",4,14,0.433333333333333
"475","02642",0,36,0
"476","02643",0,35,0
"477","02644",12,9,0.7
