"","GEOID","count_in_range_buprenorphine","count_in_range_methadone","count_in_range_naltrexone.vivitrol","type_count"
"109","01301",12,8,10,"3"
"110","01330",2,0,3,"2"
"111","01331",8,6,8,"3"
"112","01337",10,4,9,"3"
"113","01338",0,0,1,"1"
"114","01339",0,0,1,"1"
"115","01340",6,2,6,"3"
"116","01341",10,6,8,"3"
"117","01342",10,6,8,"3"
"118","01343",4,2,5,"3"
"119","01344",8,2,9,"3"
"120","01346",0,0,0,"0"
"121","01347",6,2,6,"3"
"122","01349",6,2,6,"3"
"123","01350",4,2,5,"3"
"124","01351",8,6,7,"3"
"125","01354",6,2,6,"3"
"126","01355",2,0,3,"2"
"127","01360",10,4,9,"3"
"128","01364",2,0,3,"2"
"129","01366",2,0,4,"2"
"130","01367",0,0,0,"0"
"131","01368",2,0,4,"2"
"132","01370",6,2,6,"3"
"133","01373",16,10,15,"3"
"134","01375",10,6,8,"3"
"135","01376",6,2,6,"3"
"136","01378",2,0,3,"2"
"137","01379",2,0,3,"2"
"138","01420",18,10,16,"3"
"139","01430",14,8,12,"3"
"140","01431",16,10,15,"3"
"141","01432",20,6,21,"3"
"142","01434",16,10,17,"3"
"143","01436",8,6,8,"3"
"144","01438",18,10,17,"3"
"145","01440",20,10,19,"3"
"146","01450",14,4,16,"3"
"147","01451",12,6,15,"3"
"148","01452",10,6,9,"3"
"149","01453",26,14,26,"3"
"150","01460",30,10,32,"3"
"151","01462",16,10,14,"3"
"152","01463",6,2,7,"3"
"153","01464",14,10,12,"3"
"154","01467",14,10,16,"3"
"155","01468",18,10,17,"3"
"156","01469",10,4,10,"3"
"157","01473",20,10,18,"3"
"158","01474",10,4,10,"3"
"159","01475",14,6,10,"3"
"160","01501",30,20,29,"3"
"161","01503",26,22,34,"3"
"162","01504",36,28,41,"3"
"163","01505",22,18,24,"3"
"164","01506",18,6,16,"3"
"165","01507",24,12,24,"3"
"166","01510",28,18,29,"3"
"167","01515",26,8,23,"3"
"168","01516",20,14,24,"3"
"169","01518",14,2,12,"3"
"170","01519",20,18,22,"3"
"171","01520",22,18,23,"3"
"172","01521",12,2,10,"3"
"173","01522",16,8,17,"3"
"174","01523",28,20,28,"3"
"175","01524",28,18,27,"3"
"176","01525",22,20,25,"3"
"177","01527",24,20,27,"3"
"178","01529",16,10,20,"3"
"179","01531",4,0,4,"2"
"180","01532",22,20,27,"3"
"181","01534",22,18,24,"3"
"182","01535",18,6,16,"3"
"183","01536",22,18,24,"3"
"184","01537",30,20,29,"3"
"185","01540",36,14,30,"3"
"186","01541",30,18,30,"3"
"187","01542",24,12,25,"3"
"188","01543",18,8,19,"3"
"189","01545",24,20,28,"3"
"190","01550",22,8,20,"3"
"191","01560",22,18,24,"3"
"192","01561",18,8,21,"3"
"193","01562",22,12,22,"3"
"194","01564",30,18,31,"3"
"195","01566",20,8,19,"3"
"196","01568",24,22,30,"3"
"197","01569",22,14,23,"3"
"198","01570",36,14,30,"3"
"199","01571",26,10,19,"3"
"200","01581",22,20,29,"3"
"201","01583",34,26,32,"3"
"202","01585",14,2,12,"3"
"203","01588",24,20,26,"3"
"204","01590",22,18,23,"3"
"205","01602",24,16,23,"3"
"206","01603",30,18,28,"3"
"207","01604",22,16,22,"3"
"208","01605",24,18,26,"3"
"209","01606",24,18,25,"3"
"210","01607",24,16,23,"3"
"211","01608",26,18,26,"3"
"212","01609",26,18,26,"3"
"213","01610",30,18,28,"3"
"214","01611",28,18,27,"3"
"215","01612",22,16,21,"3"
"216","01701",18,14,30,"3"
"217","01702",18,16,34,"3"
"218","01718",24,10,23,"3"
"219","01719",16,4,18,"3"
"220","01720",32,12,36,"3"
"221","01721",8,10,16,"3"
"222","01730",54,20,55,"3"
"223","01731",70,28,62,"3"
"224","01740",40,24,46,"3"
"225","01741",36,12,39,"3"
"226","01742",32,12,37,"3"
"227","01745",32,26,47,"3"
"228","01746",10,12,17,"3"
"229","01747",10,14,14,"3"
"230","01748",14,16,26,"3"
"231","01749",26,20,35,"3"
"232","01752",22,18,29,"3"
"233","01754",20,8,26,"3"
"234","01756",8,12,10,"3"
"235","01757",10,14,14,"3"
"236","01760",52,24,49,"3"
"237","01770",10,8,26,"3"
"238","01772",24,20,33,"3"
"239","01773",80,26,67,"3"
"240","01775",12,10,19,"3"
"241","01776",12,6,21,"3"
"242","01778",56,26,54,"3"
"243","01801",128,46,110,"3"
"244","01803",110,46,95,"3"
"245","01810",52,24,40,"3"
"246","01821",46,16,42,"3"
"247","01824",36,14,36,"3"
"248","01826",26,10,26,"3"
"249","01827",14,4,14,"3"
"250","01830",22,8,18,"3"
"251","01832",24,10,23,"3"
"252","01833",20,16,20,"3"
"253","01834",20,14,16,"3"
"254","01835",30,16,23,"3"
"255","01840",30,14,31,"3"
"256","01841",30,14,31,"3"
"257","01843",42,20,37,"3"
"258","01844",30,14,31,"3"
"259","01845",40,22,35,"3"
"260","01850",34,14,33,"3"
"261","01851",34,12,33,"3"
"262","01852",34,14,34,"3"
"263","01854",32,12,30,"3"
"264","01860",14,4,14,"3"
"265","01862",40,14,40,"3"
"266","01863",32,12,29,"3"
"267","01864",58,28,49,"3"
"268","01867",122,46,102,"3"
"269","01876",40,14,34,"3"
"270","01879",26,8,26,"3"
"271","01880",110,44,89,"3"
"272","01886",28,10,29,"3"
"273","01887",94,42,79,"3"
"274","01890",130,46,116,"3"
"275","01901",104,36,85,"3"
"276","01902",104,36,84,"3"
"277","01904",98,36,74,"3"
"278","01905",104,36,85,"3"
"279","01906",112,38,96,"3"
"280","01907",88,32,63,"3"
"281","01908",70,30,52,"3"
"282","01913",14,4,14,"3"
"283","01915",38,20,31,"3"
"284","01921",20,16,19,"3"
"285","01922",16,12,10,"3"
"286","01923",46,22,40,"3"
"287","01929",16,12,20,"3"
"288","01930",12,12,9,"3"
"289","01937",48,24,42,"3"
"290","01938",14,12,9,"3"
"291","01940",92,38,70,"3"
"292","01944",20,14,21,"3"
"293","01945",50,24,40,"3"
"294","01949",46,24,40,"3"
"295","01950",18,10,12,"3"
"296","01951",6,2,3,"3"
"297","01952",8,2,7,"3"
"298","01960",62,30,45,"3"
"299","01966",12,10,7,"3"
"300","01969",14,12,11,"3"
"301","01970",60,28,48,"3"
"302","01982",22,16,22,"3"
"303","01983",40,24,37,"3"
"304","01984",22,16,23,"3"
"305","01985",22,12,15,"3"
"306","02019",40,32,47,"3"
"307","02021",78,26,92,"3"
"308","02025",12,8,27,"3"
"309","02026",104,36,110,"3"
"310","02030",40,14,54,"3"
"311","02032",58,14,77,"3"
"312","02035",40,20,56,"3"
"313","02038",12,12,20,"3"
"314","02043",46,16,60,"3"
"315","02045",12,8,26,"3"
"316","02047",6,6,11,"3"
"317","02048",30,14,45,"3"
"318","02050",8,6,19,"3"
"319","02052",16,6,29,"3"
"320","02053",10,12,18,"3"
"321","02054",6,6,19,"3"
"322","02056",10,8,27,"3"
"323","02061",34,10,49,"3"
"324","02062",82,28,104,"3"
"325","02066",6,6,13,"3"
"326","02067",32,10,56,"3"
"327","02071",22,6,43,"3"
"328","02072",72,24,83,"3"
"329","02081",36,8,54,"3"
"330","02090",84,30,102,"3"
"331","02093",14,10,27,"3"
"332","02108",114,46,113,"3"
"333","02109",112,46,108,"3"
"334","02110",114,46,113,"3"
"335","02111",116,48,119,"3"
"336","02113",116,46,113,"3"
"337","02114",104,38,107,"3"
"338","02115",108,38,115,"3"
"339","02116",106,40,115,"3"
"340","02118",106,38,114,"3"
"341","02119",106,38,111,"3"
"342","02120",106,38,113,"3"
"343","02121",116,40,123,"3"
"344","02122",118,40,125,"3"
"345","02124",118,40,125,"3"
"346","02125",118,40,126,"3"
"347","02126",118,40,125,"3"
"348","02127",106,38,114,"3"
"349","02128",114,46,110,"3"
"350","02129",116,46,111,"3"
"351","02130",106,38,111,"3"
"352","02131",106,38,109,"3"
"353","02132",102,36,107,"3"
"354","02134",108,38,112,"3"
"355","02135",106,32,105,"3"
"356","02136",102,34,107,"3"
"357","02138",104,30,99,"3"
"358","02139",108,38,113,"3"
"359","02140",104,30,98,"3"
"360","02141",118,46,116,"3"
"361","02142",116,46,113,"3"
"362","02143",106,36,105,"3"
"363","02144",108,36,102,"3"
"364","02145",120,50,113,"3"
"365","02148",118,44,106,"3"
"366","02149",116,46,106,"3"
"367","02150",112,46,107,"3"
"368","02151",110,40,100,"3"
"369","02152",110,38,95,"3"
"370","02155",122,46,115,"3"
"371","02163",108,38,112,"3"
"372","02169",104,34,108,"3"
"373","02170",118,38,122,"3"
"374","02171",118,40,125,"3"
"375","02176",120,44,106,"3"
"376","02180",130,46,116,"3"
"377","02184",84,26,89,"3"
"378","02186",104,34,108,"3"
"379","02188",86,26,90,"3"
"380","02189",76,24,83,"3"
"381","02190",82,24,89,"3"
"382","02191",82,24,89,"3"
"383","02199",104,34,101,"3"
"384","02203",114,46,113,"3"
"385","02210",100,30,93,"3"
"386","02215",108,36,112,"3"
"387","02301",42,16,67,"3"
"388","02302",40,16,61,"3"
"389","02322",72,24,83,"3"
"390","02324",20,12,32,"3"
"391","02330",10,6,16,"3"
"392","02332",8,6,19,"3"
"393","02333",24,14,36,"3"
"394","02338",16,6,28,"3"
"395","02339",34,12,54,"3"
"396","02341",18,10,31,"3"
"397","02343",72,22,82,"3"
"398","02346",18,6,26,"3"
"399","02347",18,12,22,"3"
"400","02351",36,12,59,"3"
"401","02356",24,12,41,"3"
"402","02357",28,14,45,"3"
"403","02359",18,8,32,"3"
"404","02360",4,2,10,"3"
"405","02364",4,0,11,"2"
"406","02366",2,0,8,"2"
"407","02367",8,4,13,"3"
"408","02368",88,28,96,"3"
"409","02370",34,12,56,"3"
"410","02375",20,8,34,"3"
"411","02379",20,14,35,"3"
"412","02382",24,12,46,"3"
"413","02420",98,36,78,"3"
"414","02421",110,36,92,"3"
"415","02445",104,38,110,"3"
"416","02446",104,36,105,"3"
"417","02451",92,26,78,"3"
"418","02452",92,28,79,"3"
"419","02453",92,26,82,"3"
"420","02457",84,24,80,"3"
"421","02458",106,32,103,"3"
"422","02459",100,32,101,"3"
"423","02460",106,32,100,"3"
"424","02461",100,32,101,"3"
"425","02462",100,30,100,"3"
"426","02464",100,30,100,"3"
"427","02465",102,32,95,"3"
"428","02466",94,30,91,"3"
"429","02467",104,34,103,"3"
"430","02468",100,30,100,"3"
"431","02472",106,32,102,"3"
"432","02474",108,34,100,"3"
"433","02476",100,30,90,"3"
"434","02478",106,32,103,"3"
"435","02481",82,24,71,"3"
"436","02482",86,30,81,"3"
"437","02492",102,32,106,"3"
"438","02493",88,26,77,"3"
"439","02494",100,30,99,"3"
"440","02532",10,2,19,"3"
"441","02534",8,2,13,"3"
"442","02535",2,0,1,"2"
"443","02536",8,2,11,"3"
"444","02537",14,4,21,"3"
"445","02538",4,2,14,"3"
"446","02539",2,0,1,"2"
"447","02540",8,2,9,"3"
"448","02542",8,2,11,"3"
"449","02543",6,0,7,"2"
"450","02553",8,2,11,"3"
"451","02554",0,0,0,"0"
"452","02556",8,2,13,"3"
"453","02557",2,0,1,"2"
"454","02558",4,2,16,"3"
"455","02559",8,2,11,"3"
"456","02561",10,2,24,"3"
"457","02562",10,2,24,"3"
"458","02563",14,4,20,"3"
"459","02564",0,0,0,"0"
"460","02568",2,0,1,"2"
"461","02571",12,8,16,"3"
"462","02575",2,0,1,"2"
"463","02576",12,8,13,"3"
"464","02584",0,0,0,"0"
"465","02601",8,2,9,"3"
"466","02630",8,2,9,"3"
"467","02631",2,2,0,"2"
"468","02632",10,2,11,"3"
"469","02633",2,2,0,"2"
"470","02635",10,2,13,"3"
"471","02637",8,2,9,"3"
"472","02638",4,2,6,"3"
"473","02639",4,2,6,"3"
"474","02641",4,2,6,"3"
"475","02642",0,0,0,"0"
"476","02643",0,0,0,"0"
"477","02644",12,2,23,"3"
"478","02645",4,2,6,"3"
"479","02646",4,2,4,"3"
"480","02647",8,2,9,"3"
"481","02648",10,2,13,"3"
"482","02649",12,4,15,"3"
"483","02650",2,2,0,"2"
"484","02651",0,0,0,"0"
"485","02652",0,0,0,"0"
"486","02653",2,2,0,"2"
"487","02655",10,2,13,"3"
"488","02657",0,0,0,"0"
"489","02659",2,2,0,"2"
"490","02660",4,2,6,"3"
"491","02663",0,0,0,"0"
"492","02664",8,2,9,"3"
"493","02666",0,0,0,"0"
"494","02667",0,0,0,"0"
"495","02668",12,4,12,"3"
"496","02669",2,2,0,"2"
"497","02670",4,2,6,"3"
"498","02671",4,2,6,"3"
"499","02672",10,2,10,"3"
"500","02673",8,2,9,"3"
"501","02675",8,2,9,"3"
"502","02702",34,20,34,"3"
"503","02703",48,28,48,"3"
"504","02713",0,0,0,"0"
"505","02715",14,12,13,"3"
"506","02717",22,18,22,"3"
"507","02718",30,18,31,"3"
"508","02719",16,14,20,"3"
"509","02720",46,34,45,"3"
"510","02721",56,40,50,"3"
"511","02723",52,38,48,"3"
"512","02724",56,40,50,"3"
"513","02725",60,40,53,"3"
"514","02726",36,26,37,"3"
"515","02738",12,8,15,"3"
"516","02739",18,16,22,"3"
"517","02740",16,14,20,"3"
"518","02743",16,14,20,"3"
"519","02744",16,14,20,"3"
"520","02745",22,18,24,"3"
"521","02746",22,18,24,"3"
"522","02747",16,14,20,"3"
"523","02748",16,14,18,"3"
"524","02760",44,30,51,"3"
"525","02762",36,24,51,"3"
"526","02763",44,30,54,"3"
"527","02764",38,28,39,"3"
"528","02766",38,20,53,"3"
"529","02767",26,16,35,"3"
"530","02769",52,36,51,"3"
"531","02770",0,0,3,"1"
"532","02771",54,38,55,"3"
"533","02777",62,42,61,"3"
"534","02779",12,12,12,"3"
"535","02780",32,18,45,"3"
"536","02790",16,14,18,"3"
"537","02791",16,14,18,"3"
"538","02802",42,28,48,"3"
"539","02804",6,2,10,"3"
"540","02806",46,32,46,"3"
"541","02807",0,0,0,"0"
"542","02808",8,4,12,"3"
"543","02809",34,26,32,"3"
"544","02812",6,4,8,"3"
"545","02813",6,4,8,"3"
"546","02814",44,22,39,"3"
"547","02815",26,8,21,"3"
"548","02816",30,20,33,"3"
"549","02817",10,6,11,"3"
"550","02818",38,26,40,"3"
"551","02822",4,4,9,"3"
"552","02825",26,6,19,"3"
"553","02826",28,22,31,"3"
"554","02827",8,0,6,"2"
"555","02828",48,26,46,"3"
"556","02830",20,10,18,"3"
"557","02831",24,16,26,"3"
"558","02832",10,6,18,"3"
"559","02833",6,2,10,"3"
"560","02835",10,10,11,"3"
"561","02836",8,6,11,"3"
"562","02837",2,4,5,"3"
"563","02838",44,30,49,"3"
"564","02839",20,12,16,"3"
"565","02840",6,4,4,"3"
"566","02841",6,4,4,"3"
"567","02842",8,8,6,"3"
"568","02852",18,14,21,"3"
"569","02857",50,26,46,"3"
"570","02858",24,16,25,"3"
"571","02859",20,10,17,"3"
"572","02860",42,26,44,"3"
"573","02861",54,38,57,"3"
"574","02863",42,26,45,"3"
"575","02864",40,24,43,"3"
"576","02865",42,26,45,"3"
"577","02871",16,12,14,"3"
"578","02872",0,0,0,"0"
"579","02873",10,4,12,"3"
"580","02874",10,10,12,"3"
"581","02875",6,4,9,"3"
"582","02876",36,28,40,"3"
"583","02878",24,16,21,"3"
"584","02879",4,4,8,"3"
"585","02881",8,6,7,"3"
"586","02882",6,6,8,"3"
"587","02885",58,38,57,"3"
"588","02886",42,26,41,"3"
"589","02888",42,26,44,"3"
"590","02889",38,24,38,"3"
"591","02891",16,6,21,"3"
"592","02892",6,4,6,"3"
"593","02893",40,26,41,"3"
"594","02894",8,4,9,"3"
"595","02895",42,28,44,"3"
"596","02896",30,22,32,"3"
"597","02898",10,6,15,"3"
"598","02903",54,38,56,"3"
"599","02904",44,30,47,"3"
"600","02905",48,34,51,"3"
"601","02906",54,38,56,"3"
"602","02907",48,34,52,"3"
"603","02908",48,34,52,"3"
"604","02909",48,34,52,"3"
"605","02910",42,26,44,"3"
"606","02911",42,26,45,"3"
"607","02912",54,38,56,"3"
"608","02914",54,38,56,"3"
"609","02915",54,38,54,"3"
"610","02916",54,38,55,"3"
"611","02917",42,26,43,"3"
"612","02919",48,26,46,"3"
"613","02920",42,26,45,"3"
"614","02921",38,26,40,"3"
"615","03031",8,4,6,"3"
"616","03032",10,4,8,"3"
"617","03033",8,2,8,"3"
"618","03034",10,4,6,"3"
"619","03036",4,0,4,"2"
"620","03037",0,0,0,"0"
"621","03038",10,6,10,"3"
"622","03042",2,0,0,"1"
"623","03043",2,0,1,"2"
"624","03044",2,2,3,"3"
"625","03045",10,4,6,"3"
"626","03046",8,4,8,"3"
"627","03047",2,0,1,"2"
"628","03048",8,2,7,"3"
"629","03049",6,2,7,"3"
"630","03051",16,4,19,"3"
"631","03052",12,6,13,"3"
"632","03053",14,6,13,"3"
"633","03054",14,6,13,"3"
"634","03055",6,0,5,"2"
"635","03057",2,0,2,"2"
"636","03060",22,8,21,"3"
"637","03062",16,4,16,"3"
"638","03063",16,8,14,"3"
"639","03064",18,8,17,"3"
"640","03070",8,4,6,"3"
"641","03071",2,0,2,"2"
"642","03076",26,12,28,"3"
"643","03077",12,4,6,"3"
"644","03079",28,14,27,"3"
"645","03082",0,0,0,"0"
"646","03084",4,0,3,"2"
"647","03086",2,0,2,"2"
"648","03087",28,12,29,"3"
"649","03101",18,6,16,"3"
"650","03102",18,6,15,"3"
"651","03103",18,6,16,"3"
"652","03104",16,6,14,"3"
"653","03106",16,6,14,"3"
"654","03109",10,4,8,"3"
"655","03110",12,4,9,"3"
"656","03215",0,0,0,"0"
"657","03216",2,2,0,"2"
"658","03217",4,0,2,"2"
"659","03218",6,2,6,"3"
"660","03220",4,2,0,"2"
"661","03221",0,0,0,"0"
"662","03222",2,0,1,"2"
"663","03223",2,0,1,"2"
"664","03224",8,4,6,"3"
"665","03225",0,0,0,"0"
"666","03226",4,0,1,"2"
"667","03227",0,0,0,"0"
"668","03229",6,2,6,"3"
"669","03230",2,0,1,"2"
"670","03231",2,2,0,"2"
"671","03233",2,0,1,"2"
"672","03234",8,2,6,"3"
"673","03235",10,4,6,"3"
"674","03237",4,2,0,"2"
"675","03238",0,0,0,"0"
"676","03240",0,0,0,"0"
"677","03241",4,0,2,"2"
"678","03242",8,2,7,"3"
"679","03243",4,2,1,"3"
"680","03244",2,0,1,"2"
"681","03245",2,0,1,"2"
"682","03246",4,2,0,"2"
"683","03249",4,2,0,"2"
"684","03251",0,0,0,"0"
"685","03253",4,0,1,"2"
"686","03254",0,0,0,"0"
"687","03255",0,0,0,"0"
"688","03256",8,2,2,"3"
"689","03257",2,0,1,"2"
"690","03258",6,2,6,"3"
"691","03259",0,0,0,"0"
"692","03260",2,0,1,"2"
"693","03261",0,0,0,"0"
"694","03262",0,0,0,"0"
"695","03263",6,2,6,"3"
"696","03264",2,0,1,"2"
"697","03266",4,0,2,"2"
"698","03268",8,4,6,"3"
"699","03269",4,2,0,"2"
"700","03273",0,0,0,"0"
"701","03275",12,4,10,"3"
"702","03276",10,4,6,"3"
"703","03278",6,2,6,"3"
"704","03279",0,0,0,"0"
"705","03280",2,0,1,"2"
"706","03281",0,0,0,"0"
"707","03282",2,0,1,"2"
"708","03284",6,0,2,"2"
"709","03285",2,0,1,"2"
"710","03287",0,0,0,"0"
"711","03290",0,0,0,"0"
"712","03291",2,0,0,"1"
"713","03293",2,0,1,"2"
"714","03301",18,8,12,"3"
"715","03303",8,4,6,"3"
"716","03304",16,6,12,"3"
"717","03307",6,2,6,"3"
"718","03431",6,2,1,"3"
"719","03440",2,0,1,"2"
"720","03441",8,2,4,"3"
"721","03442",4,0,2,"2"
"722","03443",10,4,4,"3"
"723","03444",2,0,1,"2"
"724","03445",4,0,1,"2"
"725","03446",6,2,1,"3"
"726","03447",6,2,2,"3"
"727","03448",6,2,1,"3"
"728","03449",4,0,2,"2"
"729","03450",6,0,2,"2"
"730","03451",4,2,3,"3"
"731","03452",4,0,3,"2"
"732","03455",8,2,2,"3"
"733","03456",4,0,1,"2"
"734","03457",8,0,3,"2"
"735","03458",4,0,2,"2"
"736","03461",8,0,5,"2"
"737","03462",10,4,4,"3"
"738","03464",6,0,2,"2"
"739","03465",6,2,2,"3"
"740","03466",8,2,4,"3"
"741","03467",8,2,4,"3"
"742","03470",6,2,1,"3"
"743","03561",2,2,2,"3"
"744","03570",2,0,1,"2"
"745","03574",0,0,0,"0"
"746","03575",0,0,0,"0"
"747","03576",0,0,1,"1"
"748","03579",0,0,0,"0"
"749","03580",0,0,0,"0"
"750","03581",0,0,0,"0"
"751","03582",0,0,0,"0"
"752","03583",0,0,0,"0"
"753","03584",0,0,0,"0"
"754","03585",0,0,0,"0"
"755","03586",0,0,0,"0"
"756","03588",2,0,1,"2"
"757","03590",0,0,0,"0"
"758","03592",0,0,0,"0"
"759","03593",2,0,1,"2"
"760","03595",0,0,0,"0"
"761","03597",0,0,1,"1"
"762","03598",0,0,0,"0"
"763","03601",0,0,0,"0"
"764","03602",4,0,1,"2"
"765","03603",2,0,1,"2"
"766","03604",0,0,1,"1"
"767","03605",0,0,0,"0"
"768","03607",0,0,0,"0"
"769","03608",0,0,0,"0"
"770","03609",2,0,1,"2"
"771","03740",0,0,0,"0"
"772","03741",4,0,1,"2"
"773","03743",2,0,2,"2"
"774","03745",2,0,1,"2"
"775","03746",6,0,2,"2"
"776","03748",6,2,1,"3"
"777","03750",12,2,3,"3"
"778","03751",6,0,2,"2"
"779","03752",2,0,0,"1"
"780","03753",10,2,2,"3"
"781","03754",4,0,1,"2"
"782","03755",12,2,4,"3"
"783","03765",4,2,1,"3"
"784","03766",14,2,5,"3"
"785","03768",16,4,4,"3"
"786","03770",8,2,1,"3"
"787","03771",2,2,2,"3"
"788","03773",4,0,1,"2"
"789","03774",4,2,1,"3"
"790","03777",4,2,1,"3"
"791","03779",4,2,1,"3"
"792","03780",4,2,1,"3"
"793","03781",2,2,0,"2"
"794","03782",4,0,1,"2"
"795","03784",14,2,5,"3"
"796","03785",0,0,0,"0"
"797","03801",8,0,8,"2"
"798","03809",4,0,2,"2"
"799","03810",4,0,2,"2"
"800","03811",10,4,11,"3"
"801","03812",0,0,0,"0"
"802","03813",0,0,0,"0"
"803","03814",2,0,2,"2"
"804","03816",2,0,2,"2"
"805","03817",0,0,0,"0"
"806","03818",0,0,0,"0"
"807","03819",2,2,7,"3"
"808","03820",8,0,8,"2"
"809","03823",6,0,8,"2"
"810","03824",8,0,8,"2"
"811","03825",4,0,4,"2"
"812","03826",8,4,11,"3"
"813","03827",4,2,3,"3"
"814","03830",0,0,0,"0"
"815","03832",0,0,0,"0"
"816","03833",4,0,4,"2"
"817","03835",4,0,4,"2"
"818","03836",0,0,0,"0"
"819","03837",2,0,0,"1"
"820","03838",0,0,0,"0"
"821","03839",4,0,4,"2"
"822","03840",6,0,4,"2"
"823","03841",8,6,12,"3"
"824","03842",6,2,7,"3"
"825","03844",8,2,7,"3"
"826","03845",0,0,0,"0"
"827","03846",0,0,0,"0"
"828","03847",0,0,0,"0"
"829","03848",4,4,7,"3"
"830","03849",0,0,0,"0"
"831","03850",2,0,2,"2"
"832","03851",2,0,0,"1"
"833","03852",4,0,1,"2"
"834","03853",2,0,2,"2"
"835","03854",6,0,4,"2"
"836","03855",4,0,2,"2"
"837","03856",4,0,4,"2"
"838","03857",4,0,4,"2"
"839","03858",10,4,10,"3"
"840","03860",0,0,0,"0"
"841","03861",6,0,8,"2"
"842","03862",6,0,4,"2"
"843","03864",2,0,2,"2"
"844","03865",10,4,10,"3"
"845","03867",6,0,5,"2"
"846","03868",8,0,6,"2"
"847","03869",8,0,8,"2"
"848","03870",6,0,4,"2"
"849","03871",6,0,4,"2"
"850","03872",2,0,2,"2"
"851","03873",2,2,5,"3"
"852","03874",10,2,9,"3"
"853","03875",0,0,0,"0"
"854","03878",6,0,8,"2"
"855","03882",0,0,0,"0"
"856","03883",0,0,0,"0"
"857","03884",2,0,0,"1"
"858","03885",6,0,4,"2"
"859","03886",0,0,0,"0"
"860","03887",4,0,2,"2"
"861","03890",2,0,2,"2"
"862","03894",2,0,2,"2"
"863","03901",4,0,4,"2"
"864","03902",4,0,6,"2"
"865","03903",8,0,8,"2"
"866","03904",6,0,4,"2"
"867","03905",4,0,4,"2"
"868","03906",6,0,8,"2"
