"","GEOID","ICPSRSTI","ICPSRCTYI","ICPSRFIP","PID","X_CENTROID","Y_CENTROID","STATEA","COUNTYA","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age55_59","age60_64","ageOv65","hispPop","amIndPop","asianPop","pacIsPop","totPop","whitePop","blackPop","NoHSPop","edSampl"
"68","560029",0,0,0,2579,-1073833.85299,862403.297131,56,29,12990,1773,3454,2110,1891,10094,1030,891,2244,781,81,60,5,21639,21133,15,2743,12407
"69","500027",0,0,0,2713,1863735.78646,911337.516523,50,27,30312,3367,7683,4262,3919,22718,2812,2629,6825,192,67,103,6,51030,50675,106,8381,31799
"70","500023",0,0,0,1445,1842576.86114,985857.717276,50,23,31222,3581,8138,5053,4650,24529,2378,2214,6529,831,62,103,4,52393,51921,104,8418,30993
"71","500013",0,0,0,1441,1776271.53882,1029495.15735,50,13,2700,366,759,388,330,2044,223,229,533,16,25,2,1,4613,4571,6,931,2770
"72","500015",0,0,0,1442,1831548.10042,1021263.44268,50,15,10164,1293,2643,1650,1656,8363,673,633,1773,101,15,16,2,16767,16677,24,2664,9525
"73","290099",0,0,0,2690,473174.094997,98883.242805,29,99,87066,13113,26394,14092,12443,71407,5904,4639,10648,931,284,238,12,146183,144441,954,32544,80141
"74","290079",0,0,0,2333,205679.554125,295586.837152,29,79,6602,802,1591,975,810,4657,650,695,2363,72,21,14,0,11959,11899,10,2837,7781
"75","290510",0,0,0,3010,495952.65314,142323.123643,29,510,254729,32361,62916,39676,44626,186423,25003,23523,79920,5531,642,1572,124,453085,242576,206386,141644,273572
"76","290093",0,0,0,2340,457151.107983,18742.9632362,29,93,5955,842,1856,947,729,4351,578,579,1832,74,26,21,2,11084,10966,44,3474,6710
"77","290185",0,0,0,2380,193333.653246,62460.0548704,29,185,4421,497,1280,715,469,2951,492,582,1979,32,58,7,0,8622,8531,17,2702,5661
"78","290037",0,0,0,2316,141839.643498,129779.538423,29,37,29800,3998,9207,4899,3860,23671,2278,1817,4786,402,174,142,7,51029,50141,404,8721,29065
"79","290229",0,0,0,2047,310125.56323,-20010.533612,29,229,8819,1168,2546,1470,1101,6268,902,846,2721,118,66,17,8,16188,16043,36,5242,9903
"80","290153",0,0,0,2366,314843.009325,-89424.8541622,29,153,4409,551,1144,655,479,2888,531,515,1434,53,41,5,1,7961,7907,1,2508,5132
"81","290083",0,0,0,2335,190970.474142,101422.042844,29,83,10449,1357,2760,1611,1297,7442,1068,1122,4067,93,57,16,0,19672,19348,227,5257,12647
"82","170009",0,0,0,3103,444252.026163,288183.053209,17,9,2852,382,796,453,345,1980,292,352,1087,18,4,2,0,5411,5404,1,1488,3435
"83","170033",0,0,0,597,706146.085513,199058.555322,17,33,11880,1444,2951,1716,1544,8373,1189,1152,3533,77,27,49,0,20818,20668,33,4654,13163
"84","170085",0,0,0,619,473353.5813,559440.888244,17,85,13254,1758,3991,2247,1735,9919,1252,1219,3054,122,19,36,3,23520,23417,12,4861,13789
"85","170065",0,0,0,2887,647570.575312,90610.6484336,17,65,5067,598,1225,732,663,3476,534,585,1828,42,12,10,0,9172,9146,1,3155,5954
"86","170109",0,0,0,733,447267.926739,343816.995692,17,109,25262,2096,4174,5393,7381,20914,1588,1445,4381,292,30,288,9,37467,35904,988,4723,18423
"87","170135",0,0,0,745,557316.625641,213130.162003,17,135,17551,2218,4767,2693,2451,12528,1886,1721,5437,171,36,46,1,31686,31505,55,8215,19557
"88","170041",0,0,0,599,659955.425358,281400.930491,17,41,11481,1539,3038,1722,1671,8334,1074,987,2623,209,24,34,0,19774,19596,6,3971,11804
"89","170181",0,0,0,765,590393.092233,17733.6264519,17,181,10203,1004,2298,1297,1100,6813,1166,1301,3426,91,19,16,0,17765,17638,68,6029,12066
"90","170115",0,0,0,736,596214.234963,286570.86378,17,115,77883,10380,20721,11693,11680,58625,6932,5782,15324,745,180,356,7,131375,116706,13785,24259,76926
"91","170201",0,0,0,773,559442.29521,561868.094776,17,201,150950,18565,41391,23263,21986,115948,13057,10611,25593,5399,509,1158,64,250884,225054,21042,47315,145723
"92","170133",0,0,0,744,504230.745753,102702.657705,17,133,11609,1430,3140,1944,1663,8683,1037,931,2675,129,19,38,0,20117,20023,19,4803,11940
"93","170129",0,0,0,742,523900.470173,300352.746562,17,129,6577,890,1815,1068,781,5035,571,545,1707,51,4,10,1,11700,11663,5,2357,7146
"94","170083",0,0,0,618,483350.885312,192080.187236,17,83,12170,1481,3203,2237,2030,9375,1048,924,2418,98,33,26,0,20538,20391,62,4721,11587
"95","170171",0,0,0,2708,469624.360816,253967.773431,17,171,3436,419,856,579,503,2495,322,340,1064,23,3,6,0,6142,6131,0,1503,3785
"96","170131",0,0,0,743,437307.893483,427301.427415,17,131,10911,1430,3293,1828,1352,8363,968,922,2475,115,14,19,0,19286,19176,23,3705,11383
"97","170047",0,0,0,602,686513.064882,131436.098937,17,47,4417,623,1142,601,649,3162,434,482,1410,25,7,9,0,7961,7937,2,2032,4946
"98","170035",0,0,0,3104,662564.073059,225815.770299,17,35,6156,866,1814,1015,870,4609,537,584,1591,39,3,14,0,11062,11033,1,2809,6497
"99","170197",0,0,0,772,664351.384494,470066.950188,17,197,192735,29026,59693,30381,28267,159152,13289,10353,23992,13778,484,2761,55,324460,282078,31480,52832,177128
"100","060059",0,0,0,2908,-1985465.16982,-196678.067324,6,59,1246208,129531,287845,185196,201086,983208,95659,69008,160913,286339,12951,81674,5219,1932709,1669314,25287,221997,1130822
"101","060103",0,0,0,873,-2188088.68106,598264.508431,6,103,22427,2767,5841,3547,2702,16187,2275,2168,5606,2127,603,164,27,38888,37128,63,7338,24042
"102","060011",0,0,0,169,-2217249.95737,496043.905845,6,11,7373,1051,1921,1188,943,5367,732,678,1690,2493,194,231,2,12791,10284,74,2719,7688
"103","060083",0,0,0,864,-2159968.40029,-42195.3905387,6,83,192374,18502,38742,29516,35431,150946,14890,12338,33774,55356,2702,7859,485,298694,247695,7767,36823,176452
"104","060051",0,0,0,850,-1972941.84999,287833.578489,6,51,6159,611,1060,763,1161,5281,334,226,365,405,334,34,9,8577,7994,16,586,4985
"105","060053",0,0,0,851,-2221874.78016,153006.874316,6,53,181375,24532,43242,27575,33962,145255,13354,10992,26750,75129,2927,17935,1761,290444,200035,18825,46862,161406
"106","490003",0,0,0,1413,-1407351.60038,577360.824843,49,3,16941,4374,6577,3625,2389,13704,1343,1200,2935,1299,1294,361,14,33222,30863,11,3600,16233
"107","060061",0,0,0,854,-2095265.53752,449324.203667,6,61,71891,7636,17874,10887,8715,54403,6339,5413,13097,8211,1131,1632,89,117247,110243,402,16277,72167
"108","060005",0,0,0,166,-2107510.83038,380956.179034,6,5,11707,1099,2448,1633,1265,7750,1438,1429,3129,917,336,66,6,19314,18411,152,2987,12864
"109","060009",0,0,0,168,-2106251.83909,352586.34821,6,9,12303,1181,2793,1676,1205,8315,1425,1493,3326,911,319,60,13,20710,19912,74,3293,13898
"110","060025",0,0,0,3072,-1785118.88177,-316532.215229,6,25,51547,8404,17697,9833,8117,40681,4329,3675,8330,51384,1375,1748,26,92110,51467,2310,23647,48112
"111","370069",0,0,0,2543,1571718.08672,-11877.9065788,37,69,17692,1952,4656,3199,2442,13403,1604,1469,3946,330,38,43,0,30055,17648,12301,10119,17814
"112","370031",0,0,0,2527,1741400.14437,-121210.273205,37,31,25479,2774,5849,3668,3887,18828,2387,2072,4758,297,125,133,9,41092,36871,3859,10688,24898
"113","370057",0,0,0,2537,1407779.42318,-74024.0850997,37,57,69604,7306,18851,10327,9119,52281,5898,5159,10986,622,206,135,6,113162,101392,11319,35690,67579
"114","420021",0,0,0,1472,1444708.87765,467423.41082,42,21,108747,12252,27697,16305,16481,76100,11643,10969,25039,955,94,368,15,183263,179132,3398,43038,110535
"115","370163",0,0,0,1127,1586770.45283,-133363.475669,37,163,28831,3734,8179,4612,4008,21510,2679,2414,5971,461,884,29,5,49687,31865,16735,15823,29138
"116","370101",0,0,0,1100,1576369.3405,-75392.6776508,37,101,42495,4963,11478,6288,5520,31641,3857,3498,7663,610,95,77,4,70599,56436,13915,22622,42390
"117","370027",0,0,0,2525,1287096.65973,-75253.9734805,37,27,41261,4528,11681,6328,5630,31506,3434,2781,6369,265,48,48,5,67746,63739,3874,22019,39579
"118","420003",0,0,0,1465,1340333.8188,445935.64768,42,3,905033,79326,190602,127350,132244,631348,96190,85825,199566,8175,1003,7587,150,1450085,1286603,150246,285111,920764
"119","370153",0,0,0,1122,1463819.84018,-153857.161899,37,153,26639,3349,7588,4296,3638,19531,2570,2340,5236,363,443,57,0,45481,32812,12104,14263,26610
"120","370123",0,0,0,1109,1443615.63127,-120259.562144,37,123,13202,1645,3726,2006,1854,9735,1275,1135,2672,196,64,10,0,22469,16854,5517,7638,13238
"121","370179",0,0,0,3033,1394263.68707,-167560.200854,37,179,41907,5262,12783,7015,6045,33456,3152,2732,6320,561,177,155,5,70380,58151,11787,18533,39294
"122","370051",0,0,0,2189,1545009.45006,-134588.143286,37,51,159358,22731,40386,27855,39486,139162,7844,5846,11219,9120,3660,3433,609,247160,158237,75726,35495,116793
"123","420001",0,0,0,1464,1581886.97714,422619.389927,42,1,41114,4691,10855,6941,6509,31590,3497,3109,7748,613,47,187,5,68292,67077,705,16044,39296
"124","420061",0,0,0,1490,1506876.34967,470145.837712,42,61,25115,2776,6763,4057,3790,18840,2141,1955,5275,133,40,52,1,42253,41125,969,9571,24885
"125","370023",0,0,0,2523,1276552.5158,-99908.8927736,37,23,44514,4622,11611,7069,5752,33922,3801,3297,7194,357,95,138,7,72504,66953,5213,23475,43464
"126","370097",0,0,0,1098,1349103.32395,-82066.6069663,37,97,49472,5427,13538,7457,6537,36631,4500,3898,9456,554,129,117,0,82538,67942,14264,24749,49592
"127","370063",0,0,0,2540,1520823.7914,-26650.344295,37,63,98254,9824,21690,14655,18147,78104,7306,6074,15767,1279,175,962,17,152785,95818,55424,30907,88524
"128","420039",0,0,0,2199,1307284.65363,578436.933245,42,39,51607,6310,14624,8376,7405,38439,4735,4464,11481,331,115,178,8,88869,87376,1091,17271,52169
"129","420045",0,0,0,2962,1731452.57618,459469.005718,42,45,342643,33031,76402,53771,51486,243404,36834,30861,71322,4206,379,4173,47,555007,498447,49989,94280,340409
"130","370079",0,0,0,1091,1638013.41192,-67276.0615981,37,79,9521,1253,2741,1713,1504,7412,815,742,1531,137,2,8,1,16117,8785,7298,5120,8906
"131","420035",0,0,0,1479,1517649.71458,565480.685314,42,35,23868,2589,5754,4060,3932,17357,2354,1988,4723,139,26,59,3,38971,38718,129,8225,22636
"132","370143",0,0,0,2929,1730258.69781,33796.1649523,37,143,5360,694,1367,860,787,3832,548,580,1510,82,12,4,1,9486,5888,3581,3380,5778
"133","370083",0,0,0,2927,1623535.30464,18002.8217891,37,83,31467,4107,9416,5544,4435,23477,3027,2728,6745,461,1217,70,16,55286,27559,26053,18239,31802
"134","370037",0,0,0,2188,1494054.67729,-69364.1578988,37,37,20753,2096,5019,2768,2708,15561,1771,1611,3801,266,32,35,0,33415,24316,8987,10094,20824
"135","370171",0,0,0,1131,1354582.96237,-12228.4402442,37,171,35555,3882,9385,5177,4672,26057,3237,2940,7344,440,58,50,5,59449,56321,2929,21446,36345
"136","420073",0,0,0,1495,1301462.63972,498730.491124,42,73,64921,7038,15203,9565,9521,45169,7091,6260,14440,374,45,167,7,107150,103720,3042,24232,65815
"137","420093",0,0,0,917,1602176.00233,558934.360957,42,93,9686,1067,2353,1448,1373,7089,946,810,2684,49,14,83,0,16675,16537,21,4141,10434
"138","370155",0,0,0,1123,1528497.1231,-184020.351499,37,155,56877,9012,19696,10670,9027,45845,4669,4050,9366,1214,35529,187,5,101610,39994,25600,29602,53240
"139","370121",0,0,0,1108,1231578.61911,-76751.9435616,37,121,8634,849,2051,1183,1116,6119,789,798,2148,81,21,23,0,14428,14351,18,5254,9229
"140","420117",0,0,0,928,1537157.28611,630711.20477,42,117,23866,2948,6780,4382,3789,18407,2034,1934,4909,162,27,46,5,40973,40662,177,8332,23074
"141","420009",0,0,0,1467,1473213.7524,417000.444551,42,9,27085,3346,7767,4159,3652,19781,2627,2406,5893,150,24,53,0,46784,46523,154,11702,27860
"142","370013",0,0,0,2518,1709482.84407,-51937.0717051,37,13,23174,3148,6538,3523,3204,17156,2139,2056,5176,229,16,26,7,40355,27501,12783,11862,23942
"143","420089",0,0,0,915,1709048.05503,585222.256736,42,89,42514,4255,10002,6361,5862,31009,3972,3596,9067,552,48,239,11,69409,67944,982,13793,42902
"144","420131",0,0,0,934,1643119.40725,623632.188138,42,131,15048,2118,4803,2299,2015,11710,1266,1193,2959,100,6,37,1,26433,26291,74,4772,15198
"145","370127",0,0,0,1111,1600371.37253,-19600.3888757,37,127,40290,4821,11028,6420,5484,30648,3509,3152,7059,587,85,139,10,67153,44745,22089,19570,39389
"146","420083",0,0,0,2913,1429876.95746,614120.131883,42,83,28405,3433,8283,4518,3864,20246,2871,2678,7771,160,92,113,1,50635,50299,96,10688,30537
"147","420133",0,0,0,2915,1621651.29001,436217.929683,42,133,190574,20279,49235,27439,26093,142422,17204,14377,35944,2700,217,1080,32,312963,301151,9079,72563,189918
"148","420049",0,0,0,1484,1307584.96816,613308.964371,42,49,168218,20651,44787,27481,27127,126405,15774,13705,30536,2050,332,958,16,279780,264959,12414,48016,159736
"149","370067",0,0,0,2542,1397698.58747,-37401.9301297,37,67,154328,14927,36264,22588,23317,117017,12829,10244,25051,1575,452,634,26,243683,182647,59403,54687,146644
"150","420051",0,0,0,1485,1378518.06808,390094.947075,42,51,92535,10598,25074,13606,12468,64406,10260,9258,22693,605,113,241,8,159417,152891,6041,41212,97695
"151","420099",0,0,0,920,1566617.11629,479775.324655,42,99,21213,2716,6114,3058,2848,16186,1798,1553,3707,138,15,32,0,35718,35607,28,8154,20982
"152","420085",0,0,0,914,1302023.28539,534113.447981,42,85,77327,8118,18941,12449,11682,55346,7927,7034,16681,391,94,223,19,128299,122358,5447,25603,77094
"153","420033",0,0,0,1478,1454134.01643,526677.896857,42,33,47935,6039,13849,7614,6702,35154,4725,4473,10933,216,57,135,6,83578,83162,165,19939,49374
"154","390049",0,0,0,1210,1096345.99701,351823.323435,39,49,557885,63228,129001,82887,103834,443005,40652,32373,75232,6508,1255,6403,107,869132,725721,131016,132548,490385
"155","370107",0,0,0,1103,1646289.59085,-93709.9268271,37,107,35789,4355,9913,5590,5123,26720,3290,2838,6210,470,56,82,10,59819,36811,22795,16661,34846
"156","420037",0,0,0,1480,1622402.24225,565481.921819,42,37,38157,3644,8831,6586,6400,28230,3575,3241,8262,198,21,184,1,61967,61493,198,13326,36506
"157","420059",0,0,0,1489,1331683.86672,374607.118022,42,59,23071,2977,6649,3610,3241,16955,2276,2189,5598,238,52,50,7,40476,40027,316,10706,23999
"158","420053",0,0,0,1486,1381523.31061,571828.680583,42,53,2871,274,766,472,329,2024,320,315,842,15,13,7,0,5072,5033,11,1322,3231
"159","370119",0,0,0,1107,1362687.13848,-143407.465012,37,119,258039,26898,63651,37099,39460,202273,19794,15144,33844,3962,1412,2750,54,404270,291442,107006,72799,237289
"160","370089",0,0,0,1094,1214341.11442,-155837.127667,37,89,33190,3508,8510,4624,3877,23682,3206,3435,10359,344,71,72,0,58580,56226,2122,14641,38061
"161","370081",0,0,0,3030,1439758.32722,-36063.9436435,37,81,200557,19614,48187,30374,32079,153581,16340,13148,31938,2404,1348,1049,58,317154,234579,79374,68708,186981
"162","420017",0,0,0,2961,1745467.56031,510705.402507,42,17,298187,33513,80068,46094,41705,226828,26237,19748,38299,5684,499,3522,50,479211,460493,11950,70224,277902
"163","360053",0,0,0,2482,1638126.88669,782062.322484,36,53,39381,4495,10764,8636,6364,31382,3054,2801,6590,336,161,139,16,65150,64236,472,11106,34891
"164","420011",0,0,0,1468,1676333.78213,504542.928847,42,11,189316,18917,43750,27398,25737,134148,18722,17063,44171,9013,164,1232,15,312509,297637,7722,81591,196788
"165","020240",81,2400,0,0,0,0,2,240,3527,638,1074,472,712,3248,139,82,142,199,725,81,13,5676,4473,284,566,2777
