GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"05",,,,,,,,"CHILTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",30612,26942,3633,9,0,0,6,2,6,1,4,1,0,0,0,8,30445,120,7,1,39,490,963,938,476,492,1553,2031,514,595,592,566,519,500,512,473,1484,2271,2130,3473,3129,1512,580,845,2563,1135,276
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"07",,,,,,,,"CHOCTAW COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",16839,9490,7319,7,0,0,2,1,0,4,3,0,0,0,0,13,16675,128,1,14,21,294,620,562,296,314,1000,1277,339,376,365,366,295,270,268,248,742,1134,1079,1803,1574,825,320,361,1305,657,149
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"07",,,,,,,,"CLARKE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",27702,15806,11827,42,0,0,3,0,4,2,4,0,3,0,0,11,27395,266,1,5,35,489,974,965,485,500,1596,2108,539,596,607,629,494,469,482,417,1266,2006,1748,2918,2511,1145,491,712,2166,1043,346
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"04",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",13703,11424,2268,4,0,0,1,0,0,0,3,0,0,0,0,3,13609,64,7,7,16,214,426,370,232,222,694,947,247,292,266,260,238,248,216,193,585,872,927,1500,1370,629,274,403,1287,631,160
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,"04",,,,,,,,"CLEBURNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",12595,11925,647,4,0,0,5,0,6,1,0,0,0,0,0,7,12524,39,1,0,31,182,360,359,191,197,647,850,231,247,263,228,235,188,199,174,628,884,911,1509,1322,585,264,348,974,493,126
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,"09",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38533,31636,6532,63,4,0,30,4,8,87,10,26,4,0,0,129,38184,192,40,12,105,598,1052,1121,569,600,1978,2530,737,758,769,787,708,645,576,591,1858,2911,3112,4597,4047,1934,750,926,2726,1305,348
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,"01",,,,,,,,"COLBERT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",54519,45209,9146,68,0,0,3,5,6,3,38,5,3,0,0,33,54239,148,4,4,124,819,1495,1495,736,746,2639,3607,995,1061,1085,1149,976,995,851,871,2775,4241,3952,6409,5867,2992,1105,1545,3847,1780,486
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,"09",,,,,,,,"CONECUH COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15884,9311,6534,26,0,0,2,1,1,1,0,0,6,0,0,2,15689,152,9,6,28,305,542,467,241,264,821,1093,305,336,340,293,317,273,282,230,739,1115,953,1421,1492,757,295,482,1516,772,233
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,"04",,,,,,,,"COOSA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",11377,7411,3950,8,0,0,0,0,0,0,0,0,1,0,0,7,11264,102,1,1,9,179,303,309,177,180,618,783,251,230,219,214,185,177,196,186,524,805,679,1144,1257,593,261,347,983,472,105
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,"09",,,,,,,,"COVINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",36850,31918,4835,35,0,0,7,2,1,10,19,4,0,1,0,18,36592,168,3,9,78,542,979,951,468,492,1678,2257,622,659,682,659,661,637,514,527,1606,2355,2360,3960,3957,2161,909,1229,3777,1735,473
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,"09",,,,,,,,"CRENSHAW COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",14110,10372,3693,25,0,0,0,0,0,1,6,0,1,3,0,9,13982,74,4,19,31,214,417,432,188,226,725,896,251,281,236,275,246,219,236,196,600,898,917,1359,1385,785,322,448,1453,688,217
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,"02",,,,,,,,"CULLMAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",61642,60928,528,69,2,0,7,10,4,10,14,21,10,0,3,36,61332,182,20,4,104,889,1674,1750,964,906,2980,4114,1091,1195,1197,1178,1052,1024,993,958,2891,4384,4450,7217,6658,3295,1329,1673,4955,2227,598
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,"09",,,,,,,,"DALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47821,38744,7828,197,1,0,113,8,49,227,21,48,27,27,11,520,46748,444,270,31,328,931,1670,1646,784,858,2550,3003,771,762,857,871,1026,1173,1187,1188,3687,4726,4026,5071,4024,1813,591,849,2312,1144,301
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,"06",,,,,,,,"DALLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",53981,24205,29488,37,0,0,3,1,2,8,19,0,18,0,0,200,53387,381,7,20,186,927,1858,1858,980,967,3039,4059,1117,1216,1215,1276,1086,1101,949,847,2703,3845,3494,5260,4907,2426,891,1281,4084,1982,613
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",53658,52538,939,90,0,0,4,2,10,3,17,2,6,0,0,47,53377,189,10,2,80,876,1505,1542,832,854,2715,3640,897,943,971,934,924,852,862,835,2535,3905,3906,6116,5554,2724,1045,1492,4550,2129,520
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,"05",,,,,,,,"ELMORE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43390,33585,9655,28,0,1,17,8,9,7,8,5,4,0,0,63,43044,261,3,14,68,671,1216,1281,713,633,2284,3040,810,829,897,813,758,746,722,684,2250,3456,3283,5043,4289,2130,820,1083,3063,1437,439
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,"08",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",38440,26056,11376,951,0,0,4,3,3,5,6,2,9,1,0,24,38160,178,6,11,85,623,1159,1246,584,646,2103,2512,707,763,791,786,728,678,629,634,1856,2987,2834,4364,3740,1771,706,933,2914,1360,386
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,"03",,,,,,,,"ETOWAH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",103057,88806,13809,121,2,0,48,14,11,25,35,16,5,0,0,165,102534,327,24,9,163,1559,2941,2891,1505,1590,5046,6778,1746,1900,1799,1788,1790,1715,1635,1636,5025,7817,7443,11230,10883,5857,2332,3047,8522,3705,877
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,"05",,,,,,,,"FAYETTE COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",18809,16378,2396,7,0,0,1,5,1,2,4,2,2,0,0,11,18694,71,0,5,39,279,551,593,271,274,940,1228,337,322,343,347,330,323,326,245,862,1335,1283,2124,1870,967,388,549,1748,771,203
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,"05",,,,,,,,"FRANKLIN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",28350,26991,1301,22,0,0,2,0,17,1,8,0,0,0,0,8,28167,116,2,9,56,438,805,762,399,432,1341,1795,505,501,513,515,452,488,455,436,1341,2073,1982,3345,3047,1448,560,832,2419,1177,289
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,"09",,,,,,,,"GENEVA COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24253,21019,3082,100,0,0,3,0,0,2,5,1,1,0,2,38,24043,140,13,5,52,366,672,701,353,389,1239,1687,424,441,456,469,404,397,378,344,1060,1644,1626,2695,2467,1257,512,742,2274,1023,233
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,"06",,,,,,,,"GREENE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",11021,2405,8596,2,0,0,4,0,0,0,0,0,1,0,0,13,10846,147,0,1,27,231,395,374,210,204,613,871,244,250,256,280,232,201,182,172,501,764,552,878,942,419,190,270,1100,538,152
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,"06",,,,,,,,"HALE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",15604,5774,9799,10,7,0,3,0,3,0,0,0,6,0,0,2,15296,232,3,21,52,330,547,571,248,262,835,1123,323,353,371,387,321,309,266,251,712,1016,863,1301,1338,738,334,387,1401,775,242
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,"09",,,,,,,,"HENRY COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15302,9473,5799,24,0,0,0,0,0,2,2,0,0,0,0,2,15166,118,1,1,16,239,465,518,245,263,837,1054,268,249,286,269,270,242,212,225,647,1167,1051,1576,1459,815,310,441,1422,627,145
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,"09",,,,,,,,"HOUSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",74632,57402,16611,233,1,0,51,25,2,18,28,157,0,0,0,104,74054,287,42,43,206,1298,2440,2302,1253,1158,3986,5098,1350,1421,1438,1418,1283,1246,1225,1216,3739,6160,5788,8817,7737,3460,1304,1810,4940,2167,578
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,"02",,,,,,,,"JACKSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",51407,48990,2150,188,1,0,9,5,2,3,21,0,2,0,0,36,51067,235,5,4,96,808,1618,1623,872,821,2745,3590,863,1018,908,954,887,896,852,793,2629,4264,4136,6390,5154,2273,895,1231,3363,1486,338
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,,"A",,,,,,,,"JEFFERSON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",671324,444426,223759,520,8,7,227,379,131,226,423,206,110,6,7,889,666849,2523,238,233,1481,10707,19479,18737,9198,9185,30158,40355,10591,11581,11982,11926,11503,11590,11677,12163,39595,61570,51097,71586,69663,35452,13183,17274,49907,24654,6511
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,,"05",,,,,,,,"LAMAR COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",16453,14457,1975,11,0,0,1,0,2,3,1,0,0,1,0,2,16297,96,6,2,52,232,489,507,259,291,853,1078,302,292,290,297,274,269,250,242,737,1102,1109,1872,1698,810,324,470,1520,722,164
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,,"01",,,,,,,,"LAUDERDALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",80546,72375,7845,99,1,0,16,41,11,26,46,5,5,0,0,76,80026,287,16,19,198,1137,2205,2095,1147,1094,3733,5298,1478,1588,1591,1633,1647,1814,1715,1696,4348,6168,5856,9471,8379,4012,1589,2077,5555,2497,723
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,,"01",,,,,,,,"LAWRENCE COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",30170,25013,5074,40,0,0,5,0,1,1,5,0,1,0,0,30,29980,126,4,1,59,459,945,960,458,505,1782,2392,596,677,661,667,551,509,481,484,1367,2251,2136,3579,2840,1330,482,756,2169,869,264
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,,"04",,,,,,,,"LEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",76283,56869,18652,104,2,0,38,144,25,48,132,11,9,1,1,247,75492,445,49,50,247,1047,1950,1885,927,971,3200,4508,1121,1220,1187,1217,2640,3845,4065,3812,6739,6478,5109,7453,6116,2764,1060,1335,3664,1547,423
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,,"01",,,,,,,,"LIMESTONE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46005,39351,6539,36,0,0,7,4,1,7,21,0,2,3,0,34,45722,187,9,14,73,695,1411,1420,662,683,2383,3316,914,924,924,965,870,853,852,758,2359,3533,3345,5468,4710,2178,783,1094,3122,1415,368
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,,"06",,,,,,,,"LOWNDES COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",13253,3304,9937,2,0,0,3,1,0,0,1,0,0,0,0,5,13040,159,2,0,52,292,545,514,286,260,883,1092,289,369,377,345,329,268,255,239,597,884,710,1123,1031,519,222,287,940,461,136
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,,"05",,,,,,,,"MACON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26829,4034,22579,25,0,1,4,6,4,1,48,0,9,0,0,118,26484,216,37,12,80,393,754,779,393,417,1399,1770,485,525,500,486,887,821,866,769,1636,1995,1562,2163,2035,1330,541,688,2192,1061,382
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,,"F",,,,,,,,"MADISON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",196966,154782,39069,439,0,4,183,286,77,410,322,149,43,37,1,1164,194880,906,329,105,746,2905,5506,5161,2724,2697,9533,13559,3721,3876,4080,4143,4382,4494,4298,4068,11685,16667,15129,25517,22437,9295,2978,3879,9314,3898,1020
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,,"06",,,,,,,,"MARENGO COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",25047,11663,13346,11,0,0,4,4,5,0,2,0,4,0,0,8,24501,482,5,7,52,470,821,849,410,397,1440,1925,528,555,533,585,468,398,383,402,1127,1708,1532,2418,2402,1122,468,652,2071,1069,314
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,,"05",,,,,,,,"MARION COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",30041,29250,701,35,0,0,6,18,2,0,8,1,0,0,0,20,29867,87,8,9,70,440,842,810,441,466,1547,2056,546,583,523,548,502,519,439,470,1385,2128,2187,3589,3090,1435,589,835,2604,1190,277
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,,"02",,,,,,,,"MARSHALL COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",65622,64444,1016,62,0,0,8,12,7,10,23,4,0,0,2,34,65263,236,16,9,98,954,1747,1693,993,1035,3211,4365,1145,1226,1265,1259,1165,1176,1081,1039,3171,4914,4719,7841,7174,3350,1369,1821,5022,2311,576
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,,"D",,,,,,,,"MOBILE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",364980,246693,114787,1148,6,5,144,148,208,102,159,412,63,5,9,1091,361150,1497,254,232,1847,6432,12392,12307,5938,5891,18666,24656,6643,7160,7379,7232,6856,7125,6987,7090,21469,31829,27413,39502,34437,17656,6263,8487,22928,9833,2409
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,,"09",,,,,,,,"MONROE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",22651,12749,9742,119,0,0,0,0,0,3,26,0,2,0,0,10,22474,153,5,7,12,426,756,826,398,427,1360,1719,474,511,484,465,461,370,350,354,956,1637,1422,2299,2063,943,448,552,1766,887,297
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,,"C",,,,,,,,"MONTGOMERY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",197038,117895,77614,205,0,1,136,90,120,142,134,73,25,7,0,596,195214,965,157,97,605,3431,6086,6038,3093,3140,10495,12864,3299,3748,3777,3737,3771,3948,4077,3928,11522,17145,14947,22014,18911,9313,3491,4415,12356,5706,1786
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,,"01",,,,,,,,"MORGAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",90231,81131,8816,98,2,1,14,19,6,13,41,2,7,1,0,80,89660,309,29,33,200,1400,2673,2716,1330,1324,4489,6353,1751,1813,1820,1837,1577,1538,1505,1407,4452,7286,6999,11208,9501,4323,1699,2206,5877,2504,643
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,,"06",,,,,,,,"PERRY COUNTY","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0",15012,5971,9019,7,0,0,3,1,1,2,1,0,3,0,0,4,14841,121,4,13,33,292,536,522,259,290,877,1040,309,317,351,338,383,452,333,235,620,946,772,1284,1299,608,276,388,1377,700,208
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,,"05",,,,,,,,"PICKENS COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",21481,12451,8978,12,0,0,7,1,3,0,8,0,3,0,0,18,21303,132,0,5,41,409,704,696,347,338,1115,1521,452,444,471,469,398,349,367,332,959,1414,1332,2161,2095,1020,424,581,1854,936,293
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,,"09",,,,,,,,"PIKE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",28050,18109,9825,53,0,3,4,11,7,4,1,0,9,2,0,22,27787,176,18,13,56,425,713,730,390,407,1346,1809,450,468,549,534,800,987,1000,883,1626,1863,1651,2621,2303,1330,531,712,2417,1158,347
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,,"04",,,,,,,,"RANDOLPH COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",20075,15173,4869,10,0,0,3,0,2,1,6,0,0,0,0,11,19938,104,1,5,27,314,612,584,302,341,1003,1372,374,356,374,368,340,364,303,289,932,1395,1254,2023,2057,1022,447,620,1857,935,237
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,,"B",,,,,,,,"RUSSELL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47356,28544,18656,47,1,0,19,2,17,12,4,7,7,4,0,36,46901,263,32,34,126,770,1432,1428,752,758,2481,3187,912,960,977,1007,893,850,885,819,2482,3736,3280,5064,5067,2429,883,1290,3411,1264,339
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,,"03",,,,,,,,"ST. CLAIR COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",41205,36935,4128,51,1,0,8,8,6,3,6,1,1,9,1,47,40922,193,17,3,70,679,1303,1344,686,650,2201,2946,718,839,764,810,690,642,654,638,1982,3284,3255,4957,4232,1953,755,1047,2691,1181,304
