GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G2700470","1980","A","2","4","Minnesota","27",,"Freeborn","047",,,,,,,,,,,,"07",,,,,"FREEBORN",,,"1",,,,,,,,"1",,"1",,,,,,,,,,,"1","1",,,5019,2672,9108,3157,2084
"G2700490","1980","A","2","4","Minnesota","27",,"Goodhue","049",,,,,,,,,,,,"06",,,,,"GOODHUE",,,"1",,,,,,,"1",,"1","1",,,,,"1","1","1",,,"1",,"1",,,5291,2629,9298,3138,2750
"G2700510","1980","A","2","4","Minnesota","27",,"Grant","051",,,,,,,,,,,,"05",,,,,"GRANT",,,,"1","1",,,,"1",,"1",,,"1",,,,,,"1",,"1",,"1",,"1",,1482,405,1677,646,407
"G2700530","1980","A","2","4","Minnesota","27","5120","Hennepin","053",,,,,,,,,,,,"B",,,,,"HENNEPIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,51577,52846,202957,119918,143518
"G2700550","1980","A","2","4","Minnesota","27",,"Houston","055",,,,,,,,,,,,"07",,,,,"HOUSTON",,,"1","1",,,,,,"1","1",,,,,,"1","1","1","1",,"1",,,"1",,,2835,1021,4215,1376,1343
"G2700570","1980","A","2","4","Minnesota","27",,"Hubbard","057",,,,,,,,,,,,"02",,,,,"HUBBARD",,,"1",,"1","1",,,,"1","1",,,"1",,,"1","1",,"1",,,"1","1",,"1",,1990,1088,3094,1344,1068
"G2700590","1980","A","2","4","Minnesota","27",,"Isanti","059",,,,,,,,,,,,"04",,,,,"ISANTI",,,,,"1",,,,,,,,,,,,"1",,"1",,,,"1",,"1","1",,3059,1484,5491,1674,1291
"G2700610","1980","A","2","4","Minnesota","27",,"Itasca","061",,,,,,,,,,,,"02",,,,,"ITASCA",,,"1",,,,,,,"1",,"1","1",,,,"1",,"1",,,,,"1",,"1",,4513,2983,9910,4517,3092
"G2700630","1980","A","2","4","Minnesota","27",,"Jackson","063",,,,,,,,,,,,"08",,,,,"JACKSON",,,"1","1","1",,,,,"1","1","1",,,,,"1",,"1",,,"1",,"1",,,,2151,766,3292,1163,820
"G2700650","1980","A","2","4","Minnesota","27",,"Kanabec","065",,,,,,,,,,,,"04",,,,,"KANABEC",,,,"1",,,,,,,"1","1","1",,,,,"1",,"1",,,,"1","1","1",,1893,997,2865,643,604
"G2700670","1980","A","2","4","Minnesota","27",,"Kandiyohi","067",,,,,,,,,,,,"05",,,,,"KANDIYOHI",,,"1",,,,,,,,"1",,"1",,,,,"1",,,,,,,,,,5267,1995,7528,3702,2629
"G2700690","1980","A","2","4","Minnesota","27",,"Kittson","069",,,,,,,,,,,,"01",,,,,"KITTSON",,"1",,"1",,"1",,,,,,,,"1",,,,,,,,,,,,"1",,1197,415,1367,842,408
"G2700710","1980","A","2","4","Minnesota","27",,"Koochiching","071",,,,,,,,,,,,"02",,,,,"KOOCHICHING",,,"1",,"1","1",,,,,,,,,,,,,,,,,,,,,,1967,1537,4188,1418,1039
"G2700730","1980","A","2","4","Minnesota","27",,"Lac Qui Parle","073",,,,,,,,,,,,"05",,,,,"LAC QUI PARLE",,,"1","1",,"1",,,,,"1","1",,"1",,,,"1","1","1",,,,,,"1",,2099,665,2410,881,615
"G2700750","1980","A","2","4","Minnesota","27",,"Lake","075",,,,,,,,,,,,"02",,,,,"LAKE",,,"1",,,,,,,,,"1","1",,,,,,"1",,,"1",,"1",,,,1107,1010,3761,1076,847
"G2700770","1980","A","2","4","Minnesota","27",,"Lake Of The Woods","077",,,,,,,,,,,,"02",,,,,"LAKE OF THE WOODS",,"1",,"1",,,,,,,,,,"1",,,,,,"1",,,,,,,,640,290,864,270,267
"G2700790","1980","A","2","4","Minnesota","27",,"Le Sueur","079",,,,,,,,,,,,"07",,,,,"LE SUEUR",,,"1",,,,,,,"1","1","1","1",,,,"1","1","1",,,"1",,"1",,"1",,3215,1294,5418,1885,1641
"G2700810","1980","A","2","4","Minnesota","27",,"Lincoln","081",,,,,,,,,,,,"08",,,,,"LINCOLN",,,"1","1","1","1",,,,"1","1","1",,"1",,,"1","1","1","1",,"1",,"1",,,,1673,512,1829,612,433
"G2700830","1980","A","2","4","Minnesota","27",,"Lyon","083",,,,,,,,,,,,"08",,,,,"LYON",,,,,,,,,,"1",,,"1",,,,"1","1","1",,,,,"1",,,,3436,1413,5299,1942,1718
"G2700850","1980","A","2","4","Minnesota","27",,"McLeod","085",,,,,,,,,,,,"06",,,,,"MCLEOD",,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,,,,,,4972,1403,7482,2036,1484
"G2700870","1980","A","2","4","Minnesota","27",,"Mahnomen","087",,,,,,,,,,,,"03",,,,,"MAHNOMEN",,,"1",,,,,,,,"1",,"1","1",,,,"1",,"1",,,,,,,,1079,414,1009,331,247
"G2700890","1980","A","2","4","Minnesota","27",,"Marshall","089",,,,,,,,,,,,"01",,,,,"MARSHALL",,,,"1","1",,,,"1",,,,"1",,,"1",,,,"1",,"1",,,,"1",,2507,817,2439,1224,650
"G2700910","1980","A","2","4","Minnesota","27",,"Martin","091",,,,,,,,,,,,"08",,,,,"MARTIN",,,"1","1",,,,,,"1","1",,"1",,,,"1",,"1","1",,,,"1","1","1",,3616,1743,6081,2240,1471
"G2700930","1980","A","2","4","Minnesota","27",,"Meeker","093",,,,,,,,,,,,"06",,,,,"MEEKER",,,"1","1",,,,,,,"1",,"1",,,,,"1",,,,,,"1",,,,3549,1095,4999,1508,1077
"G2700950","1980","A","2","4","Minnesota","27",,"Mille Lacs","095",,,,,,,,,,,,"04",,,,,"MILLE LACS",,,"1",,,,,,,"1",,,"1",,,,"1",,,,,,,,"1","1",,3100,1477,4108,1180,940
"G2700970","1980","A","2","4","Minnesota","27",,"Morrison","097",,,,,,,,,,,,"04",,,,,"MORRISON",,,"1",,,,,,,,"1","1",,,,,,"1","1",,,,,"1","1","1",,5580,1761,5862,1597,1324
"G2700990","1980","A","2","4","Minnesota","27",,"Mower","099",,,,,,,,,,,,"07",,,,,"MOWER",,,,,,,,,,"1",,,"1",,,,,"1","1","1",,,"1",,,,,4987,3322,10244,3729,2571
"G2701010","1980","A","2","4","Minnesota","27",,"Murray","101",,,,,,,,,,,,"08",,,,,"MURRAY",,,,"1","1","1",,,"1",,,"1",,"1",,,,,,"1",,"1",,,"1",,,2111,653,2735,821,551
"G2701030","1980","A","2","4","Minnesota","27",,"Nicollet","103",,,,,,,,,,,,"07",,,,,"NICOLLET",,,,"1",,,,,,"1","1",,,,,,,"1",,"1",,,"1",,,,,2563,1175,5338,2379,2699
"G2701050","1980","A","2","4","Minnesota","27",,"Nobles","105",,,,,,,,,,,,"08",,,,,"NOBLES",,,"1",,,,,,,"1","1",,,,,,"1","1","1",,,,"1",,,,,3673,1378,4752,1928,1162
"G2701070","1980","A","2","4","Minnesota","27",,"Norman","107",,,,,,,,,,,,"01",,,,,"NORMAN",,,,,"1","1",,,,,"1","1",,"1",,"1",,"1",,"1",,,,"1","1",,,1929,661,1982,855,473
"G2701090","1980","A","2","4","Minnesota","27","6820","Olmsted","109",,,,,,,,,,,,"06",,,,,"OLMSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,5706,3749,18851,10577,12824
"G2701110","1980","A","2","4","Minnesota","27",,"Otter Tail","111",,,,,,,,,,,,"03",,,,,"OTTER TAIL",,,"1",,,,,,,"1",,,"1",,,,"1","1","1",,,,,,"1","1",,9876,3342,10874,4723,3359
"G2701130","1980","A","2","4","Minnesota","27",,"Pennington","113",,,,,,,,,,,,"01",,,,,"PENNINGTON",,,"1",,"1",,,,,"1","1",,,,,,,,,"1",,,"1","1",,"1",,2063,839,2988,1708,1039
"G2701150","1980","A","2","4","Minnesota","27",,"Pine","115",,,,,,,,,,,,"04",,,,,"PINE",,,,,"1",,,,,,,"1","1","1",,,"1",,"1","1",,,"1",,"1","1",,3078,1673,4646,1239,1033
"G2701170","1980","A","2","4","Minnesota","27",,"Pipestone","117",,,,,,,,,,,,"08",,,,,"PIPESTONE",,,"1",,"1",,,,,,,"1","1",,,,,,"1",,,,,"1","1","1",,2274,753,2493,860,643
"G2701190","1980","A","2","4","Minnesota","27","2985","Polk","119",,,,,,,,,,,,"01",,,,,"POLK",,,,,,,,,,,,"1","1",,,,"1",,"1",,,,,,"1",,,5354,2126,7088,3200,2358
"G2701210","1980","A","2","4","Minnesota","27",,"Pope","121",,,,,,,,,,,,"05",,,,,"POPE",,,"1","1","1","1",,,,,"1","1",,"1",,,,"1","1","1",,,,"1","1",,,2093,723,2803,991,680
"G2701230","1980","A","2","4","Minnesota","27","5120","Ramsey","123",,,,,,,,,,,,"B",,,,,"RAMSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,32790,28307,101478,45414,59744
"G2701250","1980","A","2","4","Minnesota","27",,"Red Lake","125",,,,,,,,,,,,"01",,,,,"RED LAKE",,"1",,,"1","1",,,,,,,,"1",,,,,,,,,,,,"1",,1042,341,1107,342,212
"G2701270","1980","A","2","4","Minnesota","27",,"Redwood","127",,,,,,,,,,,,"05",,,,,"REDWOOD",,,"1",,"1",,,,,"1",,"1",,,,,"1","1",,,,"1",,,"1","1",,3513,1109,4489,1439,1100
"G2701290","1980","A","2","4","Minnesota","27",,"Renville","129",,,,,,,,,,,,"05",,,,,"RENVILLE",,,,,"1",,,,,,"1",,"1",,,"1",,"1",,"1",,,,"1",,,,3701,1178,4681,1713,1029
"G2701310","1980","A","2","4","Minnesota","27",,"Rice","131",,,,,,,,,,,,"06",,,,,"RICE",,,,,,,,,,"1",,,"1",,,,"1","1",,,,,"1","1",,,,5074,2526,9132,3336,3852
"G2701330","1980","A","2","4","Minnesota","27",,"Rock","133",,,,,,,,,,,,"08",,,,,"ROCK",,,"1","1",,"1",,,,"1","1",,,,,,"1",,"1",,,,,"1","1",,,1918,661,2487,822,486
"G2701350","1980","A","2","4","Minnesota","27",,"Roseau","135",,,,,,,,,,,,"01",,,,,"ROSEAU",,,,"1","1","1",,,,,"1","1",,"1",,,,,,"1",,,,"1","1",,,2454,769,2464,918,654
"G2701370","1980","A","2","4","Minnesota","27","2240","St Louis","137",,,,,,,,,,,,"A",,,,,"ST. LOUIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,17916,18657,52157,22678,19307
"G2701390","1980","A","2","4","Minnesota","27","5120","Scott","139",,,,,,,,,,,,"06",,,,,"SCOTT",,,,,,,,,,,,,,,,,,,"1",,,,"1",,,,,3917,2069,10056,3916,3124
"G2701410","1980","A","2","4","Minnesota","27","6980","Sherburne","141",,,,,,,,,,,,"04",,,,,"SHERBURNE",,,,,,,,,,"1",,,"1",,,,"1",,,"1",,,"1",,,,,2367,1812,6576,2492,2201
"G2701430","1980","A","2","4","Minnesota","27",,"Sibley","143",,,,,,,,,,,,"07",,,,,"SIBLEY",,,,"1",,,,,,,"1","1","1",,,,,"1","1","1",,,,,"1",,,3291,896,3404,876,755
"G2701450","1980","A","2","4","Minnesota","27","6980","Stearns","145",,,,,,,,,,,,"06",,,,,"STEARNS",,,,,,,,,,,,,,,,,"1","1",,,,,"1","1",,,,13236,4153,19941,7708,7647
"G2701470","1980","A","2","4","Minnesota","27",,"Steele","147",,,,,,,,,,,,"06",,,,,"STEELE",,,"1",,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,3690,1626,7015,2561,2336
"G2701490","1980","A","2","4","Minnesota","27",,"Stevens","149",,,,,,,,,,,,"05",,,,,"STEVENS",,,,"1",,,,,,,,,,,,,,,,,,,"1",,"1","1",,1529,536,2302,908,826
"G2701510","1980","A","2","4","Minnesota","27",,"Swift","151",,,,,,,,,,,,"05",,,,,"SWIFT",,,"1","1",,,,,,,"1","1","1",,,,,"1","1","1",,,,"1","1",,,2350,857,2755,1111,676
"G2701530","1980","A","2","4","Minnesota","27",,"Todd","153",,,,,,,,,,,,"03",,,,,"TODD",,,"1",,,,,,,,"1","1","1",,,,,"1","1",,,"1",,,"1","1",,4615,1669,5383,1470,1208
"G2701550","1980","A","2","4","Minnesota","27",,"Traverse","155",,,,,,,,,,,,"05",,,,,"TRAVERSE",,,"1",,"1","1",,,,"1",,"1",,"1",,,"1","1","1","1",,,,"1","1",,,1158,323,1270,470,277
"G2701570","1980","A","2","4","Minnesota","27",,"Wabasha","157",,,,,,,,,,,,"06",,,,,"WABASHA",,,"1",,,,,,,"1",,,"1",,,,"1",,"1",,,,,,"1","1",,2821,1273,4607,1524,1133
"G2701590","1980","A","2","4","Minnesota","27",,"Wadena","159",,,,,,,,,,,,"03",,,,,"WADENA",,,"1",,"1",,,,,"1","1",,"1",,,,,"1",,,,"1","1",,,,,2606,863,2851,1007,897
"G2701610","1980","A","2","4","Minnesota","27",,"Waseca","161",,,,,,,,,,,,"07",,,,,"WASECA",,,"1","1",,,,,,"1","1",,,,,,,,"1",,,,"1","1",,,,2412,900,4300,1603,1204
"G2701630","1980","A","2","4","Minnesota","27","5120","Washington","163",,,,,,,,,,,,"B",,,,,"WASHINGTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,5278,5196,26712,11657,12491
"G2701650","1980","A","2","4","Minnesota","27",,"Watonwan","165",,,,,,,,,,,,"08",,,,,"WATONWAN",,,"1","1",,,,,,"1","1","1",,,,,,"1","1",,,,"1",,"1",,,2125,930,3026,896,697
"G2701670","1980","A","2","4","Minnesota","27",,"Wilkin","167",,,,,,,,,,,,"01",,,,,"WILKIN",,,"1",,"1","1",,,,,,,,"1",,"1",,"1",,"1",,,,,,"1",,1440,420,1696,868,479
"G2701690","1980","A","2","4","Minnesota","27",,"Winona","169",,,,,,,,,,,,"06",,,,,"WINONA",,,,,,,,,,,,,,,,,"1",,,,,,,"1",,,,5538,2901,8542,3850,4087
"G2701710","1980","A","2","4","Minnesota","27","5120","Wright","171",,,,,,,,,,,,"06",,,,,"WRIGHT",,,,,,,,,,"1",,,"1",,,,"1",,,,,,"1","1",,"1",,6278,3390,14216,4221,3172
"G2701730","1980","A","2","4","Minnesota","27",,"Yellow Medicine","173",,,,,,,,,,,,"05",,,,,"YELLOW MEDICINE",,,,,"1","1",,,,,"1","1",,"1",,,,"1","1","1",,,,"1","1","1",,2484,787,3111,1151,689
"G2800010","1980","A","3","6","Mississippi","28",,"Adams","001",,,,,,,,,,,,"03",,,,,"ADAMS",,,,"1",,,,,,,,,,,,,,"1","1",,,,,,,,,5481,3835,6293,2944,2653
"G2800030","1980","A","3","6","Mississippi","28",,"Alcorn","003",,,,,,,,,,,,"04",,,,,"ALCORN",,,,,,,,,,,,,,,,,,,"1",,,,,,"1","1",,6694,3147,6008,1973,1699
"G2800050","1980","A","3","6","Mississippi","28",,"Amite","005",,,,,,,,,,,,"03",,,,,"AMITE",,,,"1","1",,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,2628,1464,2007,772,583
"G2800070","1980","A","3","6","Mississippi","28",,"Attala","007",,,,,,,,,,,,"06",,,,,"ATTALA",,,,"1","1",,,,,,"1","1",,"1",,,"1","1",,"1",,,"1",,"1",,,4050,2433,3125,1062,1006
"G2800090","1980","A","3","6","Mississippi","28",,"Benton","009",,,,,,,,,,,,"02",,,,,"BENTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,974,1125,321,269
"G2800110","1980","A","3","6","Mississippi","28",,"Bolivar","011",,,,,,,,,,,,"01",,,,,"BOLIVAR",,,,"1",,,,,,,,,,,,,,"1",,,,,,,,,,8460,3523,4408,2594,3123
"G2800130","1980","A","3","6","Mississippi","28",,"Calhoun","013",,,,,,,,,,,,"04",,,,,"CALHOUN",,,,"1","1",,,,,"1",,"1",,,,,"1",,"1","1",,,,,,"1",,2944,2041,2694,770,670
"G2800150","1980","A","3","6","Mississippi","28",,"Carroll","015",,,,,,,,,,,,"02",,,,,"CARROLL",,,,"1",,,,,,,"1",,"1",,,,"1",,,,,,,"1",,,,2210,1084,1376,448,403
"G2800170","1980","A","3","6","Mississippi","28",,"Chickasaw","017",,,,,,,,,,,,"05",,,,,"CHICKASAW",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,2994,2237,2991,880,799
"G2800190","1980","A","3","6","Mississippi","28",,"Choctaw","019",,,,,,,,,,,,"06",,,,,"CHOCTAW",,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,,"1",,1581,1214,1459,445,356
"G2800210","1980","A","3","6","Mississippi","28",,"Claiborne","021",,,,,,,,,,,,"03",,,,,"CLAIBORNE",,,,,"1",,,,,,,,,"1",,"1",,,"1","1",,"1",,,"1",,,2147,842,1265,623,1002
"G2800230","1980","A","3","6","Mississippi","28",,"Clarke","023",,,,,,,,,,,,"06",,,,,"CLARKE",,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,3145,2020,3004,881,625
"G2800250","1980","A","3","6","Mississippi","28",,"Clay","025",,,,,,,,,,,,"05",,,,,"CLAY",,,,"1","1",,,,,,,,,,,,"1",,"1",,,,,,,,,3264,2333,3375,1028,1187
"G2800270","1980","A","3","6","Mississippi","28",,"Coahoma","027",,,,,,,,,,,,"01",,,,,"COAHOMA",,,,"1",,,,,,,"1",,"1",,,,,,"1",,,,,"1","1",,,7631,2895,3647,2290,2265
"G2800290","1980","A","3","6","Mississippi","28",,"Copiah","029",,,,,,,,,,,,"03",,,,,"COPIAH",,,,"1","1",,,,,,"1","1","1",,,,,"1","1",,,"1",,,,,,4189,3367,3670,1852,1205
"G2800310","1980","A","3","6","Mississippi","28",,"Covington","031",,,,,,,,,,,,"06",,,,,"COVINGTON",,,"1",,"1",,,,,"1",,"1",,,,,"1",,"1",,,,,,,"1",,2823,2053,2279,970,649
"G2800330","1980","A","3","6","Mississippi","28","4920","DeSoto","033",,,,,,,,,,,,"02",,,,,"DE SOTO",,,,"1",,,,,,,"1",,"1",,,,,,"1",,,,,,,,,6270,5818,10805,3697,2196
"G2800350","1980","A","3","6","Mississippi","28",,"Forrest","035",,,,,,,,,,,,"07",,,,,"FORREST",,,,,,,,,,,,,,,,,,,,,,,,,,,,6613,6124,10644,5285,6169
"G2800370","1980","A","3","6","Mississippi","28",,"Franklin","037",,,,,,,,,,,,"03",,,,,"FRANKLIN",,,,,,"1",,,,,,,,"1",,,,,,"1",,,,,,"1",,1548,913,1532,488,292
"G2800390","1980","A","3","6","Mississippi","28",,"George","039",,,,,,,,,,,,"07",,,,,"GEORGE",,,,"1",,,,,,,"1","1","1",,,,,"1","1",,,,"1",,,"1",,2072,1703,3108,816,534
"G2800410","1980","A","3","6","Mississippi","28",,"Greene","041",,,,,,,,,,,,"07",,,,,"GREENE",,,,"1",,,,,,,"1",,"1","1",,,,"1",,"1",,,,,,,,1495,1145,1820,440,377
"G2800430","1980","A","3","6","Mississippi","28",,"Grenada","043",,,,,,,,,,,,"02",,,,,"GRENADA",,,,,"1",,,,,"1",,"1",,,,,,,,,,"1",,,"1",,,3935,2003,3280,1301,1175
"G2800450","1980","A","3","6","Mississippi","28","0920","Hancock","045",,,,,,,,,,,,"08",,,,,"HANCOCK",,,,,,,,,,,,"1","1",,,,,,"1",,,,,"1",,,,3208,2567,4817,1843,1512
"G2800470","1980","A","3","6","Mississippi","28","0920","Harrison","047",,,,,,,,,,,,"08",,,,,"HARRISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,14374,12626,30031,14980,11648
"G2800490","1980","A","3","6","Mississippi","28","3560","Hinds","049",,,,,,,,,,,,"A",,,,,"HINDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,22257,18782,37626,26196,31927
"G2800510","1980","A","3","6","Mississippi","28",,"Holmes","051",,,,,,,,,,,,"02",,,,,"HOLMES",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,4962,2002,2242,1140,1185
"G2800530","1980","A","3","6","Mississippi","28",,"Humphreys","053",,,,,,,,,,,,"01",,,,,"HUMPHREYS",,"1",,,"1",,,,"1",,,"1",,,,,"1",,"1",,,,,,,,,3112,1075,1253,769,622
"G2800550","1980","A","3","6","Mississippi","28",,"Issaquena","055",,,,,,,,,,,,"01",,,,,"ISSAQUENA",,"1",,,,,,,,"1",,,"1","1",,,"1",,,"1",,"1",,,,"1",,550,219,314,84,71
"G2800570","1980","A","3","6","Mississippi","28",,"Itawamba","057",,,,,,,,,,,,"04",,,,,"ITAWAMBA",,,,"1",,,,,,,,"1","1",,,,,,"1",,,,"1",,"1","1",,4656,2747,2947,1144,701
"G2800590","1980","A","3","6","Mississippi","28","6025","Jackson","059",,,,,,,,,,,,"08",,,,,"JACKSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,9703,10388,24226,10511,6993
"G2800610","1980","A","3","6","Mississippi","28",,"Jasper","061",,,,,,,,,,,,"06",,,,,"JASPER",,,,"1","1",,,,,"1","1",,,,,,,,,,,,"1","1",,,,2769,1963,2887,1110,815
"G2800630","1980","A","3","6","Mississippi","28",,"Jefferson","063",,,,,,,,,,,,"03",,,,,"JEFFERSON",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,2078,871,941,361,382
"G2800650","1980","A","3","6","Mississippi","28",,"Jefferson Davis","065",,,,,,,,,,,,"06",,,,,"JEFFERSON DAVIS",,,,,"1",,,,,,,,,,,,"1",,"1","1",,"1",,,"1","1",,2456,1691,1899,799,591
"G2800670","1980","A","3","6","Mississippi","28",,"Jones","067",,,,,,,,,,,,"06",,,,,"JONES",,,,,,,,,,,"1","1",,,,,"1","1",,,,,,,,,,8840,7253,10815,5504,3628
"G2800690","1980","A","3","6","Mississippi","28",,"Kemper","069",,,,,,,,,,,,"06",,,,,"KEMPER",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,1944,1105,1463,658,415
"G2800710","1980","A","3","6","Mississippi","28",,"Lafayette","071",,,,,,,,,,,,"04",,,,,"LAFAYETTE",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,,,,3547,2684,3878,2030,3655
"G2800730","1980","A","3","6","Mississippi","28",,"Lamar","073",,,,,,,,,,,,"07",,,,,"LAMAR",,,,"1",,,,,,,,,,,,,,"1",,,,,,"1","1",,,2574,2345,4201,1912,1755
"G2800750","1980","A","3","6","Mississippi","28",,"Lauderdale","075",,,,,,,,,,,,"06",,,,,"LAUDERDALE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,8869,8383,14604,7236,4759
"G2800770","1980","A","3","6","Mississippi","28",,"Lawrence","077",,,,,,,,,,,,"06",,,,,"LAWRENCE",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,,,1838,1638,2135,706,529
"G2800790","1980","A","3","6","Mississippi","28",,"Leake","079",,,,,,,,,,,,"06",,,,,"LEAKE",,,,"1",,,,,,,"1",,"1",,,,,,,,,,,"1",,"1",,3606,2494,3045,1091,726
"G2800810","1980","A","3","6","Mississippi","28",,"Lee","081",,,,,,,,,,,,"05",,,,,"LEE",,,,"1",,,,,,,,,,,,,,,,,,,,,"1",,,7372,6147,10367,4748,4109
"G2800830","1980","A","3","6","Mississippi","28",,"Leflore","083",,,,,,,,,,,,"01",,,,,"LEFLORE",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,"1",,,7650,3968,4308,2317,2766
"G2800850","1980","A","3","6","Mississippi","28",,"Lincoln","085",,,,,,,,,,,,"03",,,,,"LINCOLN",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,"1",,"1",,,4395,3338,5101,2534,1731
"G2800870","1980","A","3","6","Mississippi","28",,"Lowndes","087",,,,,,,,,,,,"05",,,,,"LOWNDES",,,,,,,,,,,,,,,,,,"1","1",,,,,"1",,,,7367,5180,8734,4021,4487
"G2800890","1980","A","3","6","Mississippi","28",,"Madison","089",,,,,,,,,,,,"02",,,,,"MADISON",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,"1","1",,,5932,3734,5263,2988,3578
"G2800910","1980","A","3","6","Mississippi","28",,"Marion","091",,,,,,,,,,,,"06",,,,,"MARION",,,,,,,,,,,"1","1",,,,,"1","1",,,,,,"1","1",,,4487,2791,4392,1435,1190
"G2800930","1980","A","3","6","Mississippi","28",,"Marshall","093",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,5772,2599,3770,1282,1374
"G2800950","1980","A","3","6","Mississippi","28",,"Monroe","095",,,,,,,,,,,,"05",,,,,"MONROE",,,,"1","1",,,,,,,,,,,,,,,,,,,,,"1",,6578,4447,6211,1910,1387
"G2800970","1980","A","3","6","Mississippi","28",,"Montgomery","097",,,,,,,,,,,,"06",,,,,"MONTGOMERY",,,"1","1",,,,,,,,,,"1",,,,,,"1",,,,,,"1",,2671,1802,2066,755,529
"G2800990","1980","A","3","6","Mississippi","28",,"Neshoba","099",,,,,,,,,,,,"06",,,,,"NESHOBA",,,,,"1",,,,,,,,,,,,,"1",,,,,,"1",,,,4065,3051,3920,1370,1215
"G2801010","1980","A","3","6","Mississippi","28",,"Newton","101",,,,,,,,,,,,"06",,,,,"NEWTON",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,3052,2469,3622,1599,1011
"G2801030","1980","A","3","6","Mississippi","28",,"Noxubee","103",,,,,,,,,,,,"05",,,,,"NOXUBEE",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,2857,1246,1452,645,595
"G2801050","1980","A","3","6","Mississippi","28",,"Oktibbeha","105",,,,,,,,,,,,"05",,,,,"OKTIBBEHA",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,3402,2197,3315,2377,4454
"G2801070","1980","A","3","6","Mississippi","28",,"Panola","107",,,,,,,,,,,,"02",,,,,"PANOLA",,,,"1","1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,5701,3202,3541,1468,1163
"G2801090","1980","A","3","6","Mississippi","28",,"Pearl River","109",,,,,,,,,,,,"07",,,,,"PEARL RIVER",,,,,,,,,,,"1","1",,,,,,"1","1",,,,,,,,,4397,3386,6708,2366,1760
"G2801110","1980","A","3","6","Mississippi","28",,"Perry","111",,,,,,,,,,,,"07",,,,,"PERRY",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,"1",,1385,1008,1942,588,357
"G2801130","1980","A","3","6","Mississippi","28",,"Pike","113",,,,,,,,,,,,"03",,,,,"PIKE",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,5507,3799,5879,2666,2350
"G2801150","1980","A","3","6","Mississippi","28",,"Pontotoc","115",,,,,,,,,,,,"04",,,,,"PONTOTOC",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,3920,2642,3679,1178,860
"G2801170","1980","A","3","6","Mississippi","28",,"Prentiss","117",,,,,,,,,,,,"04",,,,,"PRENTISS",,,,,"1",,,,,,,,,,,,,,,"1",,,,,,,,4682,3143,3751,1399,963
"G2801190","1980","A","3","6","Mississippi","28",,"Quitman","119",,,,,,,,,,,,"01",,,,,"QUITMAN",,,,"1",,,,,,,,"1","1",,,,,,"1","1",,"1",,,,,,2956,1184,1240,607,535
