GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G0200700","1980","S","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,,,,"01",,,,,"DILLINGHAM",,,,,"1","1",,,,,,"1","1","1",,"1",,,,"1",,,,"1","1",,,802,127,615,240,345
"G0200900","1980","A","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,,,,"01",,,,,"FAIRBANKS NORTH STAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,1397,2365,11660,6475,6165
"G0201000","1980","A","4","9","Alaska","02",,"Haines","100",,,,,,,,,,,,"01",,,,,"HAINES",,,"1",,"1","1",,,,"1",,,"1",,,,"1",,,,,,,"1",,,,88,124,375,183,190
"G0201100","1980","B","4","9","Alaska","02",,"Juneau","110",,,,,,,,,,,,"01",,,,,"JUNEAU",,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,,469,529,3819,2604,3808
"G0201220","1980","A","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,,,,"01",,,,,"KENAI PENINSULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1418,6004,3015,2216
"G0201300","1980","A","4","9","Alaska","02",,"Ketchikan Gateway","130",,,,,,,,,,,,"01",,,,,"KETCHIKAN GATEWAY",,,"1",,,,,,,,,,,,,,"1",,,"1",,,,,,,,479,649,2705,1393,1127
"G0201400","1980","S","4","9","Alaska","02",,"Kobuk","140",,,,,,,,,,,,"01",,,,,"KOBUK",,,"1",,"1",,,,,"1",,"1","1","1",,"1",,,,"1",,,"1",,"1","1",,872,203,517,206,279
"G0201500","1980","A","4","9","Alaska","02",,"Kodiak Island","150",,,,,,,,,,,,"01",,,,,"KODIAK ISLAND",,,,,,,,,,"1",,,"1",,,,"1",,,,,,"1",,,,,578,553,2013,1154,926
"G0201700","1980","A","4","9","Alaska","02",,"Matanuska-Susitna","170",,,,,,,,,,,,"01",,,,,"MATANUSKA-SUSITNA",,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,,687,1104,3892,2243,1708
"G0201800","1980","S","4","9","Alaska","02",,"Nome","180",,,,,,,,,,,,"01",,,,,"NOME",,,"1",,"1",,,,,"1",,"1","1",,,"1",,,,,,,"1",,"1",,,1112,281,843,402,420
