GEOID,Y,X,POP,state
99559,60.750395611719476,-162.01063463299056,7632,2
99558,62.65057816895611,-160.19773689423783,85,2
99557,61.589462337774194,-158.75792259003111,726,2
99556,59.794445952139256,-151.74406063005904,2510,2
99555,59.274014740605786,-158.62213523043582,221,2
99554,62.68478666140688,-164.67356473600353,677,2
99553,54.13840133733629,-165.7806374510867,1027,2
99552,60.91114234314024,-161.22346114069094,346,2
99551,60.90871397131196,-161.42130288328605,627,2
99550,57.868780411853244,-152.88512211255613,197,2
99549,56.925825217539575,-158.6230386800616,102,2
99548,56.24596254522029,-158.7469877402004,73,2
99547,52.2101875473406,-174.2103262331846,61,2
99546,51.849321863322324,-176.6319112677338,326,2
99540,60.98339737879202,-149.48129840457742,320,2
99519,70.22816366971202,-148.26851688116864,1316,2
99518,61.15574536044522,-149.88516546556588,10225,2
99517,61.18953697121163,-149.938543075657,16645,2
99516,61.09697710914031,-149.79607282099985,20095,2
99515,61.11920025195029,-149.89243342326725,22441,2
99513,61.21460875058164,-149.88582640572443,0,2
99510,70.18128328985297,-150.14310452885445,353,2
99508,61.20704112523742,-149.81053399099238,35857,2
99507,61.150547832545655,-149.8225953474463,37850,2
99506,61.23743530004808,-149.79221819562142,7749,2
99505,61.25229280167422,-149.69045282850098,6174,2
99504,61.20396481862568,-149.7475501365278,40914,2
99503,61.19062974448478,-149.90256937249194,14563,2
99502,61.14814081672232,-149.9473713370037,24168,2
99501,61.213093988325774,-149.87437987548682,17603,2
99403,46.400325399449606,-117.06822522190821,19548,53
99402,46.303154894419386,-117.05958564212843,1875,53
99401,46.10928107806016,-117.19926517839352,273,53
99371,46.775954825534534,-118.32202983447395,311,53
99363,46.08118105008006,-118.90147728685169,216,53
99362,46.06025426118136,-118.33479320546164,41010,53
99361,46.239450293373174,-118.14706298002321,1902,53
99360,46.03894758967999,-118.63743643561205,1350,53
99359,46.53341692360189,-118.13322676854622,158,53
99357,46.90709184145918,-119.64261296418896,4323,53
99356,45.789818063335076,-120.27135243718756,294,53
99354,46.301385340907316,-119.28598319258785,21343,53
99353,46.287382687549496,-119.35532248464943,13306,53
99352,46.24534320598491,-119.27966390758024,26975,53
99350,46.210061665174855,-119.76472409524656,12979,53
99349,46.72618412040181,-119.89167691927996,8483,53
99348,46.333905534597164,-118.51778003927495,1364,53
99347,46.47474932803359,-117.59001799503623,2293,53
99346,45.952232830526754,-119.34256354155029,352,53
99345,45.911258500948726,-119.7167810568543,213,53
99344,46.81813805563342,-119.19332376483652,16817,53
99343,46.577952567590046,-119.13013441740677,3040,53
99341,46.94333395452168,-118.62836480980093,884,53
99338,46.19237908937325,-119.23991078817349,11555,53
99337,46.17797920051333,-119.11803609318476,29845,53
99336,46.21030143197853,-119.17521588096079,48753,53
99335,46.64768250038468,-118.53408585729376,340,53
99333,46.73655751041724,-118.14197063952606,50,53
99330,46.472544230679176,-119.08024248493572,907,53
99329,46.1418279896625,-118.15361432948616,160,53
99328,46.31549346147979,-117.96628365760631,3733,53
99326,46.67129653706476,-118.86937326789318,4956,53
99324,46.0447679835041,-118.38417407884928,9202,53
99323,46.20188764114614,-118.9781194200422,3684,53
99322,45.98239166392118,-120.26993019982622,217,53
99321,46.842206143171644,-119.92906541663874,531,53
99320,46.27296682554946,-119.4764580881261,9201,53
99301,46.257781115975675,-119.13866558278863,68191,53
99224,47.62805074449536,-117.48697076229878,18289,53
99223,47.613312540154354,-117.36176623894093,29273,53
99218,47.75699307916939,-117.41296060890585,15531,53
99217,47.70945383316787,-117.33983944497908,17423,53
99216,47.66647909904243,-117.22093892990928,24362,53
99212,47.669503876483056,-117.30631851707541,19197,53
99208,47.73723206003894,-117.43252631326584,49193,53
99207,47.690071630877384,-117.38906053375273,30854,53
99206,47.65051982526658,-117.25699576978724,34802,53
99205,47.696464852232005,-117.44086801006728,42137,53
99204,47.64732308137054,-117.42865305576682,6681,53
99203,47.629452988868245,-117.40363210928172,20192,53
99202,47.655959063050396,-117.38361559217165,21580,53
99201,47.66262397190128,-117.43774530485169,13342,53
99185,47.76816118005237,-118.70709922927013,1295,53
99181,48.1543504269194,-117.74826966365669,1901,53
99180,48.289115972579886,-117.28846128358472,939,53
99179,46.52397495234632,-117.09377042557207,437,53
99176,47.09947775594407,-117.41399070604722,145,53
99174,47.00756000932243,-117.35686206970064,44,53
99173,48.039430928772404,-117.78713873064017,1532,53
99171,47.09752497611173,-117.61959891996945,959,53
99170,47.24264812292146,-117.38990675791494,1072,53
99169,47.1246847870931,-118.39420877522986,2459,53
99167,48.412659090034744,-118.1223073015279,625,53
99166,48.66954521495266,-118.70022831842371,3222,53
99164,46.73081518942879,-117.1520222374283,0,53
99163,46.73466991466092,-117.1734315993375,31404,53
99161,46.90831925899986,-117.08805218602717,1400,53
99160,48.86526015721857,-118.23725363216823,149,53
99159,47.32752698101785,-118.70495281754243,1375,53
99158,47.13239254253681,-117.24463499710241,603,53
99157,48.90272450594146,-117.81240039441929,697,53
99156,48.16433020232925,-117.14890473274352,8114,53
99155,48.18838063439448,-118.95740112264784,1350,53
99154,47.39116824173289,-118.35865806120482,20,53
99153,48.86881989781188,-117.32417571986214,467,53
99152,48.85250523759628,-117.38953146579959,197,53
99151,48.6643065991523,-118.06496470894749,164,53
99150,48.805852726230746,-118.60718371872356,380,53
99149,47.22766453721215,-117.47198642909714,208,53
99148,48.082737555023385,-117.61805229383276,2106,53
99147,47.84054929755685,-118.44048253114843,190,53
99146,48.973569255632064,-118.24153142110296,56,53
99144,47.36180136394877,-118.49495795787772,43,53
99143,46.78359058035127,-117.83531946711209,650,53
99141,48.64540989511051,-118.09340479205171,5240,53
99140,48.10894804628605,-118.70015747886309,475,53
99139,48.726303031765966,-117.40964436294249,1301,53
99138,48.29032288823308,-118.27328401942852,1209,53
99137,48.15150617111339,-118.1380522376208,343,53
99136,46.66916922020445,-117.95752305893605,29,53
99135,47.67741922471157,-119.10755325353304,255,53
99134,47.464896080730774,-118.2747316882483,643,53
99133,47.94260732619069,-118.99957405940424,1493,53
99131,48.28785761902786,-118.11453034109509,170,53
99130,47.00274946516478,-117.15662427200829,828,53
99129,47.984819743237715,-118.21503294744413,793,53
99128,47.09807896265359,-117.06827747321834,278,53
99126,48.719186618390246,-117.98762395709448,877,53
99125,46.93087576121358,-117.70890952341908,527,53
99124,47.99966691850606,-118.95285842832178,240,53
99123,47.92429731335535,-119.04267385484158,1058,53
99122,47.71072810801292,-118.17295024551336,3773,53
99121,48.97325401206688,-118.51449584171736,145,53
99119,48.463575688529644,-117.3208133897303,1204,53
99118,48.90707853662914,-118.66371025147386,931,53
99117,47.759748179603406,-118.50014591587777,485,53
99116,47.979802040959704,-118.9673402141855,1439,53
99115,47.62239037427364,-119.3321172703602,1143,53
99114,48.56474380574308,-117.86520613547331,12018,53
99113,46.584505227856596,-117.14900214500031,761,53
99111,46.880768075830794,-117.37358058806132,4047,53
99110,48.00238879482336,-117.57211870470553,1667,53
99109,48.279485828720475,-117.72678234741942,5109,53
99105,46.907402821713,-118.11465223783668,61,53
99103,47.73546484974496,-118.9422316115833,497,53
99102,46.79230405385528,-117.24992491134441,500,53
99101,48.33846003264901,-117.91517190858947,1453,53
99040,47.887403972816045,-117.98406626320572,734,53
99039,47.3432140912506,-117.23584580851052,87,53
99037,47.642123929083716,-117.19869210945065,12973,53
99036,47.53493035997647,-117.26207439941551,1448,53
