G_ZCTA,ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
G00767,00767,2018,8044,11.96,27.65,13.94,9.65
G00769,00769,2018,11633,10.51,30.75,9.59,10.99
G00771,00771,2018,10254,9.33,30.62,9.37,12.57
G00772,00772,2018,5151,12.06,11.22,17.98,13.63
G00773,00773,2018,5636,7.93,16,8.29,14.43
G00775,00775,2018,584,9.42,13.01,12.16,2.05
G00777,00777,2018,11456,7.78,21.97,12.03,13.49
G00778,00778,2018,18000,9.25,19,14.89,11.66
G00780,00780,2018,3956,15.29,16.66,21.51,8.14
G00782,00782,2018,4320,12.99,19,16.37,17.96
G00783,00783,2018,7673,12.42,21.76,12.79,13.66
G00784,00784,2018,9470,15.66,21.83,11.58,11.95
G00786,00786,2018,147,0,0,27.21,0
G00791,00791,2018,13414,13.52,24.31,11.83,11.74
G00794,00794,2018,6545,14.3,28.02,12.99,12.01
G00795,00795,2018,13895,9.41,27.13,14.98,13
G00901,00901,2018,2253,15.49,9.5,8.3,8.92
G00906,00906,2018,149,0,0,32.89,4.7
G00907,00907,2018,7773,10.64,10.19,10.68,8.95
G00909,00909,2018,1803,11.04,10.32,8.43,6.21
G00911,00911,2018,3479,10.46,8.62,9.77,7.96
G00912,00912,2018,2400,9.71,14.38,11.17,6.42
G00913,00913,2018,1589,3.02,4.22,14.85,9.75
G00915,00915,2018,8932,6.48,16.03,7.61,13.71
G00917,00917,2018,6342,7.62,11.08,12.38,12.36
G00918,00918,2018,6069,13.15,6.46,11.06,8.88
G00920,00920,2018,6738,9.28,11.38,8.31,10.31
G00921,00921,2018,11583,9.52,10.64,13.19,12.17
G00923,00923,2018,7273,12.26,10.86,14.08,9.93
G00924,00924,2018,15644,11.01,10.55,12.38,13.25
G00925,00925,2018,2647,15.6,17.87,9.78,7.74
G00926,00926,2018,38179,10.72,9.43,15.96,11.76
G00927,00927,2018,5255,16.84,7.94,10.62,12.33
G00934,00934,2018,34,0,0,0,0
G00936,00936,2018,0,NA,NA,NA,NA
G00949,00949,2018,26724,9.03,10.69,10.77,14.7
G00950,00950,2018,0,NA,NA,NA,NA
G00951,00951,2018,0,NA,NA,NA,NA
G00952,00952,2018,2483,6.24,9.18,14.26,11.72
G00953,00953,2018,26455,10.63,12.03,13,14.06
G00956,00956,2018,22832,10.64,10.92,12.32,14.7
G00957,00957,2018,13319,9.23,9.71,15.2,17.78
G00959,00959,2018,19604,11.42,9.23,13.19,13.07
G00960,00960,2018,0,NA,NA,NA,NA
G00961,00961,2018,10814,9.84,11.44,12.64,13.94
G00962,00962,2018,5724,5.85,11.25,10.06,15.86
G00965,00965,2018,2145,6.34,12.21,12.21,10.68
G00966,00966,2018,6269,8.41,9.46,13.32,7.96
G00968,00968,2018,1463,8.41,8.48,13.67,4.78
G00969,00969,2018,18440,9.93,10.01,10.77,11.44
G00971,00971,2018,9908,12.25,10.7,14.42,11.68
G00976,00976,2018,23370,11.47,11.04,13.68,14.27
G00979,00979,2018,8017,8.46,9.99,11.15,8.91
G00982,00982,2018,4936,8.51,14.04,9.64,13.68
G00983,00983,2018,13286,7.49,9.01,11.34,11.97
G00985,00985,2018,10832,9.83,9.18,12.08,16.21
G00987,00987,2018,22035,11.89,10.71,10,13.72
G01001,01001,2018,8867,13.43,16.17,14.5,13.54
G01002,01002,2018,15647,37.1,5.76,11.18,11.45
G01003,01003,2018,4101,42.62,4.24,5.61,12.44
G01005,01005,2018,2650,14.75,20.08,12.98,8.6
G01007,01007,2018,8642,22.45,15.46,13.21,10.33
G01008,01008,2018,655,13.89,26.56,9.31,11.3
G01009,01009,2018,155,0,21.29,7.1,20.65
G01010,01010,2018,1890,11.75,22.49,17.78,9.84
G01011,01011,2018,762,4.72,24.93,12.6,19.55
G01012,01012,2018,299,16.72,33.78,11.71,6.69
G01013,01013,2018,10433,8.57,18.79,22.85,13.47
G01020,01020,2018,15224,7.61,21.36,19.8,13.56
G01022,01022,2018,854,12.53,9.37,23.42,9.72
G01026,01026,2018,448,11.16,25.67,13.84,17.86
G01027,01027,2018,10086,16.25,15.31,20.21,11.74
G01028,01028,2018,7768,12.67,13.62,15.02,8.38
G01029,01029,2018,365,14.25,19.45,6.3,3.56
G01030,01030,2018,5905,11.4,15.17,14.14,11.52
G01031,01031,2018,555,3.78,19.82,21.26,10.81
G01032,01032,2018,309,11.65,21.36,24.27,14.24
G01033,01033,2018,3747,21.24,18.07,12.22,7.95
G01034,01034,2018,1184,9.63,23.4,16.39,6.5
G01035,01035,2018,2704,25.37,9.13,23.52,4.84
G01036,01036,2018,2601,13.92,23.41,19.65,10.61
G01037,01037,2018,311,25.72,18.33,20.9,3.86
G01038,01038,2018,1670,14.43,21.38,20.06,11.08
G01039,01039,2018,648,16.36,10.8,31.02,4.63
G01040,01040,2018,16814,12.33,15.21,21.63,12.85
G01050,01050,2018,1335,8.84,29.06,18.65,11.09
G01053,01053,2018,722,23.13,10.94,20.36,10.39
G01054,01054,2018,1048,27.48,14.31,20.9,7.35
G01056,01056,2018,10430,7.44,20.85,13.69,13.23
G01057,01057,2018,4806,8.01,24.09,14.75,11.55
G01060,01060,2018,8599,33.11,7.06,13.34,7.49
G01062,01062,2018,4997,20.05,11.93,21.61,9.95
G01063,01063,2018,350,66.29,0,2,6.57
G01066,01066,2018,0,NA,NA,NA,NA
G01068,01068,2018,1025,13.66,20.88,15.12,7.61
G01069,01069,2018,4828,7.5,25.52,12.57,10.54
G01070,01070,2018,332,16.27,18.98,15.96,6.63
G01071,01071,2018,676,18.79,20.71,17.16,6.51
G01072,01072,2018,811,32.43,7.77,15.91,7.15
G01073,01073,2018,3421,15.26,19.94,20.26,7.48
G01074,01074,2018,346,5.2,11.27,15.9,0
G01075,01075,2018,9305,24.66,10.12,18.31,10.5
G01077,01077,2018,4637,11.45,20.68,13.31,11.52
G01079,01079,2018,334,9.88,20.66,6.59,42.22
G01080,01080,2018,1103,10.15,18.04,11.7,8.16
G01081,01081,2018,983,10.38,24.31,16.58,10.48
G01082,01082,2018,4817,11.56,25.64,16.42,12.71
G01083,01083,2018,1618,8.96,26.45,17.92,11.43
G01084,01084,2018,91,41.76,29.67,3.3,9.89
G01085,01085,2018,21572,11.34,19.48,17.39,12.88
G01086,01086,2018,73,41.1,12.33,21.92,0
G01088,01088,2018,224,23.66,22.32,10.71,5.8
G01089,01089,2018,14450,11.46,17,17.33,13.88
G01092,01092,2018,698,0,26.36,17.91,29.08
G01093,01093,2018,183,28.42,26.23,8.2,7.1
G01094,01094,2018,93,13.98,33.33,24.73,0
G01095,01095,2018,7903,11.84,16.13,17.87,11.14
G01096,01096,2018,1522,14.19,18.92,15.57,7.82
G01097,01097,2018,14,21.43,35.71,0,0
G01098,01098,2018,709,7.33,30.18,17.63,11
G01103,01103,2018,971,10.09,7.42,33.99,6.18
G01104,01104,2018,9355,7.24,17.25,20.91,12.74
G01105,01105,2018,3720,10,12.12,26.37,12.39
G01106,01106,2018,7483,15.74,13.52,18.8,7.68
G01107,01107,2018,3732,3.7,21.7,28.24,10.5
G01108,01108,2018,11646,7.63,20.52,20.93,11
G01109,01109,2018,11141,10.83,13.35,25.01,11.27
G01118,01118,2018,7511,15.58,14.78,16.79,10.5
G01119,01119,2018,5591,12.61,11.2,26.88,9.52
G01128,01128,2018,1370,10.8,14.45,14.96,13.5
G01129,01129,2018,3500,7.4,18.89,27.09,11.34
G01151,01151,2018,3707,7.15,16.78,22.88,15.46
G01199,01199,2018,0,NA,NA,NA,NA
G01201,01201,2018,22586,10.48,15.53,20.75,11.49
G01220,01220,2018,4111,11.63,24.81,14.33,16.25
G01222,01222,2018,435,2.76,37.47,9.66,11.26
G01223,01223,2018,1328,9.86,18.52,14.91,11.9
G01224,01224,2018,94,0,27.66,0,43.62
G01225,01225,2018,1583,12.57,15.79,22.43,11.37
G01226,01226,2018,3608,13.72,17.18,18.63,17.6
G01229,01229,2018,29,0,75.86,0,0
G01230,01230,2018,4365,14.02,17.57,10.61,8.96
G01235,01235,2018,1535,6.84,25.6,21.5,7.36
G01236,01236,2018,681,12.63,15.42,13.51,12.19
G01237,01237,2018,1307,13.01,17.44,19.74,14.15
G01238,01238,2018,2961,13.04,20.03,19.66,14.15
G01240,01240,2018,1897,11.07,12.6,18.4,11.97
G01242,01242,2018,273,0,42.12,13.92,18.68
G01243,01243,2018,169,7.69,28.99,10.06,3.55
G01244,01244,2018,35,37.14,28.57,0,0
G01245,01245,2018,455,10.77,20.22,13.19,4.18
G01247,01247,2018,7185,17.94,17.45,16.1,11.13
G01253,01253,2018,318,8.18,15.72,13.52,9.12
G01254,01254,2018,516,11.05,12.6,19.77,5.04
G01255,01255,2018,480,8.33,20.21,18.96,7.92
G01256,01256,2018,393,7.89,28.5,17.56,11.45
G01257,01257,2018,1104,11.23,17.75,11.05,16.21
G01258,01258,2018,252,12.3,23.41,8.33,6.75
G01259,01259,2018,270,11.48,18.89,10.74,12.96
G01260,01260,2018,264,0,31.06,7.95,7.95
G01262,01262,2018,553,3.98,9.58,23.51,7.41
G01264,01264,2018,96,16.67,23.96,16.67,5.21
G01266,01266,2018,747,13.25,19.01,16.06,11.91
G01267,01267,2018,3931,43.83,4.48,9.97,5.77
G01270,01270,2018,459,8.93,22,17.43,12.64
G01301,01301,2018,9031,13.43,15.31,17.71,12.96
G01330,01330,2018,816,17.03,16.18,13.97,11.89
G01331,01331,2018,6262,10,26.54,19.31,11.55
G01337,01337,2018,1300,9.77,23.77,19.54,10.69
G01338,01338,2018,73,6.85,20.55,30.14,12.33
G01339,01339,2018,623,14.61,19.9,14.45,10.11
G01340,01340,2018,942,10.72,25.8,16.24,11.46
G01341,01341,2018,1054,16.79,19.26,19.26,6.07
G01342,01342,2018,708,41.95,13.98,18.36,2.54
G01343,01343,2018,17,0,52.94,23.53,0
G01344,01344,2018,699,14.31,28.9,13.73,10.44
G01346,01346,2018,217,13.36,25.35,15.21,9.68
G01347,01347,2018,137,27.01,32.12,29.93,5.84
G01349,01349,2018,745,4.56,15.03,17.05,15.17
G01350,01350,2018,40,0,27.5,22.5,7.5
G01351,01351,2018,1227,18.01,18.74,25.92,3.99
G01354,01354,2018,1016,32.38,23.72,10.24,10.04
G01355,01355,2018,469,20.26,20.68,10.45,9.81
G01360,01360,2018,1633,24.49,20.02,15.43,4.04
G01364,01364,2018,3605,11.15,26.52,17.95,13.54
G01366,01366,2018,666,15.92,22.22,9.61,14.71
G01367,01367,2018,270,11.85,24.81,5.56,10
G01368,01368,2018,621,12.4,19,12.56,9.34
G01370,01370,2018,2029,14.29,20.6,16.71,10.3
G01373,01373,2018,2471,24.08,20.03,16.23,8.62
G01375,01375,2018,2368,39.78,13.3,8.45,15.2
G01376,01376,2018,2409,9.46,24.57,18.85,8.43
G01378,01378,2018,388,14.95,29.64,18.3,6.19
G01379,01379,2018,408,15.69,22.06,14.46,8.58
G01420,01420,2018,19371,9.12,21.42,15.97,14.68
G01430,01430,2018,3497,16.79,15.93,15.9,14.67
G01431,01431,2018,1722,11.56,30.78,11.27,8.01
G01432,01432,2018,4676,13.49,24.94,12.43,8.4
G01434,01434,2018,299,28.76,26.76,31.44,0
G01436,01436,2018,1746,2.81,23.71,20.1,12.83
G01438,01438,2018,260,6.54,46.15,18.08,6.92
G01440,01440,2018,9799,7.26,23.83,19.5,12.43
G01450,01450,2018,5720,8.95,20.05,10.47,8.18
G01451,01451,2018,2338,11.42,18.91,14.03,9.15
G01452,01452,2018,2690,9.63,26.25,15.43,8.03
G01453,01453,2018,21356,9.69,21.98,16.23,11.96
G01460,01460,2018,5251,11.05,20.82,9.46,11.69
G01462,01462,2018,5913,9.37,22.36,15.42,10.76
G01463,01463,2018,6460,9.55,22.94,14.32,11.49
G01464,01464,2018,3120,10.38,23.33,11.86,9.26
G01467,01467,2018,187,16.04,38.5,4.81,0
G01468,01468,2018,2409,8.47,20.22,20.34,15.03
G01469,01469,2018,4115,7.61,24.79,11.25,15.43
G01473,01473,2018,4135,13.16,26.53,16.47,7.47
G01474,01474,2018,963,7.48,30.32,6.75,12.77
G01475,01475,2018,5693,11.1,23.56,16.63,11.98
G01501,01501,2018,8655,14.03,17.84,17.83,10.71
G01503,01503,2018,1667,9.6,26.45,11.94,9.24
G01504,01504,2018,5589,9.32,20.83,12.18,11.15
G01505,01505,2018,2531,11.66,19.4,17.31,6.6
G01506,01506,2018,1804,9.53,27.61,14.19,15.69
G01507,01507,2018,7093,11.41,17.89,20.51,11.19
G01510,01510,2018,7823,10.32,23.33,14.57,12.41
G01515,01515,2018,1267,15.63,18.86,13.1,10.58
G01516,01516,2018,5048,7.88,25.71,11.75,10.9
G01518,01518,2018,1865,3.38,16.89,26.7,12.6
G01519,01519,2018,3670,6.59,16.73,18.07,10.74
G01520,01520,2018,8536,17.53,17.75,15.09,9.48
G01521,01521,2018,1338,10.01,25.49,12.56,9.49
G01522,01522,2018,1582,22.5,14.1,11.69,12.83
G01523,01523,2018,3507,8.53,34.1,11.69,9.32
G01524,01524,2018,3953,10.75,19.55,18.11,7.36
G01525,01525,2018,179,6.7,40.78,0,21.23
G01527,01527,2018,7498,9.52,17.88,18.97,12.78
G01529,01529,2018,1768,6.9,27.21,19.34,8.31
G01531,01531,2018,641,12.79,29.17,13.73,6.08
G01532,01532,2018,8440,11.97,17.48,13.2,8.85
G01534,01534,2018,3561,14.69,15.81,12.69,12.92
G01535,01535,2018,2580,9.73,26.94,13.8,12.87
G01536,01536,2018,4158,12.43,19.19,10.13,13.59
G01537,01537,2018,1256,7.01,33.44,20.7,4.3
G01540,01540,2018,6168,7.64,23.78,18.74,15.01
G01541,01541,2018,1924,11.43,19.07,13.77,9.15
G01542,01542,2018,1295,10.58,19.61,19.23,10.97
G01543,01543,2018,4871,20.28,18.95,14.76,9.61
G01545,01545,2018,19208,14.6,17.92,16.68,10.09
G01550,01550,2018,8288,7.29,26.24,18.57,11.32
G01560,01560,2018,2294,11.99,17.61,16.3,12.38
G01561,01561,2018,164,90.24,0,0,0
G01562,01562,2018,6494,10.58,27.12,14.04,10.06
G01564,01564,2018,4237,11.61,24.73,12.2,8.07
G01566,01566,2018,2869,11.61,13.59,16.31,7.95
G01568,01568,2018,4225,11.79,17.42,15.34,10.22
G01569,01569,2018,7648,7.81,24.97,16.83,12.93
G01570,01570,2018,8535,6.96,19.68,20.05,12.64
G01571,01571,2018,5869,13.17,20.36,16,9.2
G01581,01581,2018,9664,11.78,17.14,12.12,9
G01583,01583,2018,2853,7.78,17.95,17.03,11.46
G01585,01585,2018,2375,8.08,21.73,15.83,8.25
G01588,01588,2018,5081,8.34,21.67,17.48,13.97
G01590,01590,2018,5280,13.48,17.01,13.77,12.37
G01602,01602,2018,12589,17.59,10.26,17.36,12.44
G01603,01603,2018,8447,6.84,20.43,16.73,13.69
G01604,01604,2018,18155,9.29,15.52,22.3,11.4
G01605,01605,2018,12172,10.92,16.24,22.7,11.76
G01606,01606,2018,10128,11.05,13.98,24.36,9.78
G01607,01607,2018,4213,6.17,16.02,30.98,9.02
G01608,01608,2018,1378,11.54,10.74,25.62,14.3
G01609,01609,2018,8710,16.04,12.94,19.04,10.18
G01610,01610,2018,9873,16,14.83,13.93,14.98
G01611,01611,2018,1262,11.73,12.92,20.52,11.89
G01612,01612,2018,2546,12.45,14.57,17.16,9.51
G01701,01701,2018,18963,12.22,14.67,15.79,11.81
G01702,01702,2018,21967,9.24,16.8,13.42,13.37
G01718,01718,2018,500,8.2,16.4,18.2,0
G01719,01719,2018,3222,13.9,19.12,6.92,9.53
G01720,01720,2018,11784,13.38,16.51,11.2,5.61
G01721,01721,2018,10170,10.13,15.3,13.46,11.13
G01730,01730,2018,7041,10.64,15.96,16.89,4.22
G01731,01731,2018,359,14.48,5.01,17.55,10.58
G01740,01740,2018,2772,9.31,22.58,11.29,11.76
G01741,01741,2018,2438,16.78,20.02,12.22,4.88
G01742,01742,2018,8183,16.3,12.72,17.06,5.84
G01745,01745,2018,300,15.67,15,15.33,6
G01746,01746,2018,7974,12.59,15,14.11,7.78
G01747,01747,2018,3112,7.74,18.32,11.15,11.38
G01748,01748,2018,9066,9.4,19.46,16.8,7.18
G01749,01749,2018,11237,11.79,20.47,12.73,11.49
G01752,01752,2018,23210,7.61,20.87,14.22,11.66
G01754,01754,2018,6199,13.29,15.92,12.2,12.37
G01756,01756,2018,3501,9.48,20.59,12.08,15.48
G01757,01757,2018,15811,8.41,18.49,14.5,11.85
G01760,01760,2018,19729,14.12,11.87,15.06,8.2
G01770,01770,2018,2259,18.55,9.65,11.6,3.1
G01772,01772,2018,4985,8.75,17.79,11.35,6.28
G01773,01773,2018,2352,21.81,5.87,15.82,3.74
G01775,01775,2018,3808,15.49,20.67,12.45,9.4
G01776,01776,2018,9077,10.45,16.29,11.23,6.58
G01778,01778,2018,7173,12.81,12,13.98,7.82
G01801,01801,2018,22883,10.34,14.26,17.69,10
G01803,01803,2018,13936,9.27,16.42,15.59,11.01
G01810,01810,2018,18240,14.05,20.07,14.23,7.06
G01821,01821,2018,18734,8.3,20.58,12.93,11.4
G01824,01824,2018,13829,11.27,20.96,12.38,8.35
G01826,01826,2018,16795,9.28,20.79,17.19,9.48
G01827,01827,2018,1833,12.49,26.08,8.35,8.67
G01830,01830,2018,13552,7.97,18.12,15.73,11.98
G01832,01832,2018,12238,10.84,19.15,15.01,13.51
G01833,01833,2018,4892,7.73,16.15,18.13,10.26
G01834,01834,2018,3697,7.71,19.61,14.12,7.3
G01835,01835,2018,7364,10.89,19.54,21.03,11.37
G01840,01840,2018,2073,4.78,13.94,18.72,17.27
G01841,01841,2018,21964,2.9,24.67,17.98,12.43
G01843,01843,2018,12327,6.18,18.59,20.39,13.05
G01844,01844,2018,27369,7.42,19.79,15.63,12.27
G01845,01845,2018,15968,10.53,17.8,17.55,8.94
G01850,01850,2018,7979,8.97,19.2,16.86,12.58
G01851,01851,2018,15728,8.2,26.39,17.83,11.23
G01852,01852,2018,17104,8.26,23.91,14.94,10.17
G01854,01854,2018,13578,12.92,20.92,15.97,11.51
G01860,01860,2018,3661,12.92,15.82,19.91,8.55
G01862,01862,2018,5393,9.64,20.23,12.91,7.75
G01863,01863,2018,4786,16.15,20.64,13.94,6.6
G01864,01864,2018,8778,9.32,19.46,14.8,9.27
G01867,01867,2018,13539,11.85,17.08,16.99,8.03
G01876,01876,2018,17096,8.95,21.22,14.63,10.78
G01879,01879,2018,7300,9.15,20.12,16.66,10.45
G01880,01880,2018,15016,12.13,14.05,16.05,9.77
G01886,01886,2018,12676,12.97,20.21,12.91,6.78
G01887,01887,2018,13680,11.12,17.02,15.32,12.15
G01890,01890,2018,11118,12.48,14.57,14.45,5.22
G01901,01901,2018,707,2.12,21.78,30.83,4.95
G01902,01902,2018,24035,5.09,16.25,18.78,12.5
G01904,01904,2018,9325,9.36,18.67,17.38,11.67
G01905,01905,2018,12751,6.54,19.21,16.19,14.18
G01906,01906,2018,14901,9.6,15.87,16.35,11.62
G01907,01907,2018,7788,11.33,10.98,15.97,7.16
G01908,01908,2018,1978,11.68,10.21,21.69,8.44
G01913,01913,2018,9909,11.18,19.7,16.89,7.34
G01915,01915,2018,22922,13.38,14.01,16.39,9.75
G01921,01921,2018,4223,4.71,18.71,13.85,9.07
G01922,01922,2018,1625,18.4,11.38,12.25,10.4
G01923,01923,2018,14526,11.03,15.59,15.83,11.05
G01929,01929,2018,1915,11.07,23.03,11.49,6.74
G01930,01930,2018,15251,9.72,21.15,15.69,9.3
G01937,01937,2018,19,0,52.63,0,0
G01938,01938,2018,7363,13.98,15.28,12.35,8.24
G01940,01940,2018,7077,10.1,11.49,13.58,11.71
G01944,01944,2018,2555,12.37,13.39,17.93,6.03
G01945,01945,2018,10126,10.62,9.77,15.2,7.98
G01949,01949,2018,4325,8.05,17.99,12.42,14.08
G01950,01950,2018,9834,9.33,16.73,16.07,7.34
G01951,01951,2018,2156,11.69,18.41,10.95,8.3
G01952,01952,2018,4687,7.23,17.9,18.58,9.3
G01960,01960,2018,27272,8.02,16.57,16.65,14.29
G01966,01966,2018,3655,9.99,15.95,13.16,10.53
G01969,01969,2018,3447,10.3,22.74,10.1,10.56
G01970,01970,2018,24106,11.2,11.93,16.66,11.71
G01982,01982,2018,3865,13.2,14.64,13.82,7.35
G01983,01983,2018,2981,10.97,13.52,14.96,11.74
G01984,01984,2018,2578,19.86,7.02,11.87,7.95
G01985,01985,2018,2410,6.18,17.3,13.4,4.69
G02019,02019,2018,10052,6.72,19.31,11.16,12.79
G02021,02021,2018,12273,9.38,12.82,16.83,8.27
G02025,02025,2018,3922,10.89,10.89,11.22,11.96
G02026,02026,2018,13505,13.97,12.17,17.99,7.88
G02030,02030,2018,2688,11.31,10.23,15.07,3.01
G02032,02032,2018,2519,10.24,17.67,15.52,8.5
G02035,02035,2018,9174,7.79,15.74,16.13,7.79
G02038,02038,2018,18030,11.61,17.64,13.01,13.22
G02043,02043,2018,10643,10.31,10.68,10.69,9.38
G02045,02045,2018,5921,11.16,15.03,11.67,13.49
G02047,02047,2018,27,0,44.44,0,55.56
G02048,02048,2018,13797,11.81,14.55,13.25,12.26
G02050,02050,2018,13437,9.53,15.44,15.41,10.55
G02052,02052,2018,6075,13.76,10.88,12.43,8.33
G02053,02053,2018,7610,10.68,17.53,14.72,9.03
G02054,02054,2018,4295,9.94,18.81,13.41,11.9
G02056,02056,2018,5055,12.32,15.07,13.04,8.9
G02061,02061,2018,5575,9.35,14.44,15.37,7.96
G02062,02062,2018,16538,8.86,13.88,15.95,12.19
G02066,02066,2018,9393,9.92,8.38,13.96,10.68
G02067,02067,2018,9667,13.56,7.83,17.54,5.97
G02071,02071,2018,512,7.62,12.7,15.43,11.72
G02072,02072,2018,15743,9.16,13.12,17.7,13.24
G02081,02081,2018,9726,11.42,12.72,15.97,11.48
G02090,02090,2018,7739,10.05,12.43,12.48,8.93
G02093,02093,2018,6224,8.69,19.28,14.11,11.58
G02108,02108,2018,2212,13.83,6.6,7.23,4.66
G02109,02109,2018,2655,7.57,8.06,8.29,2.71
G02110,02110,2018,1362,7.2,7.56,11.38,8.37
G02111,02111,2018,3788,10.9,7.15,15.68,3.48
G02113,02113,2018,5899,7.14,6.26,8.43,5.53
G02114,02114,2018,8937,10.6,6.36,21.1,5.8
G02115,02115,2018,13563,23.38,6.73,14.77,8.4
G02116,02116,2018,14301,12.04,6.68,15.36,5.87
G02118,02118,2018,14943,10.81,8.02,18.87,8.41
G02119,02119,2018,12551,11.58,6.73,20.41,10.39
G02120,02120,2018,6946,16.83,5.04,20.04,9.72
G02121,02121,2018,12597,9.49,8.03,26.45,10.75
G02122,02122,2018,13533,9.48,14.18,13.83,11.9
G02124,02124,2018,27168,8.7,8.6,24.81,9.06
G02125,02125,2018,17802,8.93,11.07,19.14,9.44
G02126,02126,2018,14476,9.4,8.21,26.6,11.34
G02127,02127,2018,24055,8.55,9,14.46,5.48
G02128,02128,2018,26402,5.25,14.15,9.44,6.67
G02129,02129,2018,11593,10.89,9.16,12.71,5.49
G02130,02130,2018,23820,19.96,7.46,20.77,5.86
G02131,02131,2018,18598,12.96,7.81,20.18,10.05
G02132,02132,2018,15314,15.46,10.99,20.91,7.5
G02134,02134,2018,12598,20.24,6.92,16.72,11.04
G02135,02135,2018,29006,18.5,8.19,16.47,7.41
G02136,02136,2018,17606,8.13,7.98,29.78,11.94
G02138,02138,2018,20728,37.72,5.37,11.26,4.74
