"","GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"29","01057",2010,17472,86.58,11.18,0.17,0.18,0,1.89,1.05,25.3,5.6,13.2,6.9,5.1,34,8,7.6,7.4,6.2,18,77.4,59.4,0.07,0.3,0.1,24.1
"30","01059",2010,31383,87.28,4.23,0.93,0.2,0.41,6.95,13.17,30.42,6.9,13.6,6.9,6.1,39.4,6.7,7.2,5.5,5.9,14.8,75.4,60.6,0.04,0.19,0.05,18.4
"31","01061",2010,26541,87.24,10.21,0.19,0.12,0,2.24,3.2,27.66,5.8,12.8,6.9,5.7,35.9,7.3,7.7,6.6,6.6,17.2,77.4,60.2,0.05,0.21,0.06,23.3
"32","01063",2010,9255,17.97,80.43,0.33,0.1,0,1.17,1.05,27.43,6.1,14.3,9,4.8,34.6,6.7,9.4,6.5,7,15.4,74.7,59.3,0.15,0.59,0.17,23.3
"33","01065",2010,16168,39.94,59.19,0.28,0.23,0,0.36,0.35,30.06,5.9,14.7,8.6,5.5,37.5,7.8,7.6,7.7,4.6,14.2,74.1,59.9,0.09,0.36,0.09,21.6
"34","01067",2010,17148,68.07,29.28,0,1.87,0,0.78,1.95,23.9,5.5,12.7,7.5,4.6,35.5,7,7.3,6.9,7.8,17.4,77.6,60.2,0.07,0.31,0.1,18.3
"35","01069",2010,99029,70.52,25.4,0.46,0.81,0.02,2.79,2.63,18.05,6.7,13.8,6.8,5.9,38.9,7.4,7.1,6.9,5.2,13.9,75.2,61.3,0.01,0.06,0.01,17
"36","01071",2010,53386,92.1,3.35,1.23,0.2,0.01,3.11,2.27,25.97,5.8,13.1,6.6,5.3,36.7,7.4,7.8,6.8,6.8,15.6,77,61.4,0.02,0.1,0.03,18.5
"37","01073",2010,656912,54.52,41.76,0.17,1.37,0.03,2.15,3.44,13.45,6.6,12.9,6.9,7,41.2,7.4,7.4,6.5,5,13,76.3,63.3,0,0.01,0,14.2
"38","01075",2010,14743,86.98,12.24,0.24,0,0,0.54,1.18,24.73,6,13,6,5.3,34.4,7.1,7.8,7.9,5.9,18,77.2,59.2,0.08,0.36,0.12,21.1
"39","01077",2010,91762,87.3,10.24,0.44,0.67,0,1.35,2.04,17.07,5.5,12.3,7.2,7.5,38.9,7.2,7.1,6.5,6.1,16.4,78.2,61.8,0.02,0.06,0.02,17.7
"40","01079",2010,34235,78.07,11.22,5.24,0.2,0,5.27,1.75,24.8,6.2,13,7,6.2,39.2,7.6,7.5,6.6,6.2,13.7,76.4,62.7,0.04,0.17,0.04,19.8
"41","01081",2010,135010,72.73,22.79,0.37,2.53,0.12,1.46,3.01,14.84,6.1,12.6,9.5,15.8,51.2,6.3,5.8,5.1,4,8.8,77.3,68.5,0.02,0.05,0.01,12.3
"42","01083",2010,78614,82.89,12.78,0.61,1.01,0,2.71,4.98,19.55,6.5,13.4,6.4,5.7,40.7,8.2,7.2,6,5.8,12.1,75.9,63.8,0.02,0.08,0.02,13.3
"43","01085",2010,11731,25.74,73.02,0.26,0.03,0,0.95,0.9,26.63,6.5,13.7,8.7,6.1,37.5,8.2,8,6.9,5.4,13.9,74.5,60.6,0.13,0.49,0.12,21
"44","01087",2010,21699,15.07,83.13,0.21,0.01,0,1.58,0.64,21.23,5.2,12.2,12.3,9.5,42.7,6.6,6.8,6.7,5.9,13.8,78.4,64.6,0.1,0.28,0.06,20.2
"45","01089",2010,323080,69.91,23.54,0.59,2.44,0.1,3.42,4.03,12.23,6.3,13.4,7.5,7.2,41.7,8.5,7.3,5.8,5.1,12,75.9,63.9,0,0.02,0,12.2
"46","01091",2010,21296,45.84,53.1,0.15,0,0,0.91,0.34,20.31,6.2,14.2,7.6,6.3,36.4,7,7.6,5.8,7,15.8,74.2,58.4,0.07,0.27,0.07,23.3
"47","01093",2010,30792,93.67,2.9,0.19,0.84,0,2.4,1.91,29.02,5.8,11.9,6.3,5.1,36,7.5,7.4,6.9,6.5,18.1,78.3,60.2,0.04,0.17,0.06,22.8
"48","01095",2010,90867,93.9,1.62,0.78,0.52,0.06,3.12,10.89,26.3,7.4,13.5,6.9,5.8,38.7,7.3,6.6,6.8,5.2,14.5,74.8,60.3,0.01,0.07,0.02,16.9
"49","01097",2010,408620,61.26,34.47,0.74,1.81,0.02,1.7,2.17,17.73,6.9,14,7.5,7.1,40.3,7.5,7.2,6.4,5.1,12.6,74.5,61.9,0,0.01,0,15.6
"50","01099",2010,23329,55.64,40.61,1.26,0.43,0,2.06,1.06,24.59,6,14.9,7.7,5.4,36.5,7.5,7.6,6.5,6,14.9,74.1,59.2,0.06,0.25,0.06,18.7
"51","01101",2010,228018,41.98,53.84,0.34,1.9,0.03,1.91,3.15,15.3,7,13.7,7.4,8.2,43.1,7,6.8,5.9,4.8,11.8,75.1,63.3,0.01,0.03,0.01,16
"52","01103",2010,117632,82.58,11.81,0.92,0.65,0.05,3.99,6.79,19.17,6.4,13.5,6.8,5.9,39.4,7.7,7.1,6.4,5.7,13.7,75.8,62.1,0.01,0.05,0.01,15.5
"53","01105",2010,10684,29.73,68.96,0.22,0,0,1.09,1.16,28.49,6.8,14,10.4,6.7,38.9,6.4,5.9,6,5.8,16.1,74.6,58.5,0.16,0.56,0.15,28.3
"54","01107",2010,19917,56.9,42.18,0.07,0.02,0,0.83,1.13,21.29,6.2,13.6,7.3,5.8,35.7,7.6,7.5,7.4,5.4,16.6,75.7,59.1,0.07,0.28,0.08,24.1
"55","01109",2010,32147,59,36.28,0.84,1.89,0,1.99,2.19,20.59,5.6,11.6,10.4,14.4,47.3,5.9,6.1,5.8,5.1,12.5,78.9,66.4,0.08,0.2,0.04,14.9
"56","01111",2010,22817,77.17,20.95,0.33,0,0,1.55,2.47,28.42,6.2,13.2,7.6,5.8,36.8,7,7.2,7.7,5.3,16.7,76.3,59.6,0.06,0.25,0.07,20.8
"57","01113",2010,51663,54.36,41.58,0.21,0.36,0.04,3.45,3.36,23.12,7.2,13.9,7.4,6.8,40.4,7.3,6.9,5.7,5.8,12.8,74.2,61.4,0.03,0.12,0.02,21.2
"58","01115",2010,80658,89.33,8.56,0.39,0.48,0.01,1.23,1.97,20.72,6.6,13.1,6.8,5.7,40.5,7.8,7.3,6.7,5.3,12.7,76.1,63.4,0.02,0.07,0.02,16.2
"59","01117",2010,187880,84.47,10.26,0.29,1.9,0,3.08,5.19,8.55,7,14.6,6.5,5.5,42,7.9,7.2,6.5,4.8,10.1,74.3,64.2,0.01,0.03,0.01,11.1
"60","01119",2010,13871,24.37,73.51,0,0,0,2.12,0.73,24.58,6,12.9,11,7.8,40.2,7.3,7.5,6.8,4.7,14.7,76,61.3,0.14,0.43,0.11,25.6
"61","01121",2010,82347,65.72,31.91,0.26,0.42,0,1.69,1.9,24.28,6.1,13.3,7.2,5.8,39.3,7.3,7.7,6.8,5.8,13.7,76.2,62.5,0.02,0.07,0.02,20.2
"62","01123",2010,41534,71.2,26.71,0.08,0.05,0,1.96,2.14,23.87,5.9,12.4,6.9,5.6,36.3,7.1,7.5,6.9,6.9,16.9,77.3,60.4,0.03,0.13,0.04,20.2
"63","01125",2010,188331,67.27,29.74,0.27,1.05,0.05,1.62,2.77,15.32,6,12.1,9.4,13.7,48.4,6.2,6.4,5.8,4.4,10.7,78.2,67.5,0.01,0.04,0.01,12.6
"64","01127",2010,67612,91.91,6.04,0.29,0.24,0.04,1.48,1.83,24.47,6,12.7,6.5,5.4,37.3,7.5,7.2,6.3,7.1,15.8,77.2,61.4,0.02,0.08,0.02,23.2
"65","01129",2010,17556,65.31,25.45,7.83,0.35,0.32,0.74,0.75,21.98,5.5,15.7,7.5,5.6,36.8,7.3,7.7,5.7,6.9,14.4,74.1,59.7,0.07,0.33,0.08,22
"66","01131",2010,12012,26.88,72.95,0,0,0,0.17,0.27,31.46,6.3,16.4,8.5,4.9,37.3,5.8,7.7,7.5,5.1,13.9,71.8,57.9,0.11,0.5,0.12,16.4
"67","01133",2010,24687,96.83,0.3,0.28,0.11,0,2.48,2.5,30.74,5.2,13,6.6,4.9,35.7,8.1,7.1,6.1,7.8,16.9,77.3,60.4,0.05,0.22,0.07,24.3
"68","02013",2010,3703,15.64,10.96,12.31,52.23,0.59,8.27,15.47,35.86,2.3,4.5,2.3,9.3,58.4,10.6,6.9,11.1,2.8,3.4,91.5,88.1,0.31,1.76,0.09,6.4
"69","02016",2010,6259,30.04,10.8,7.41,34.25,2.96,14.54,18.82,29.64,2.3,5,2.1,9.7,51.3,17.1,8.6,8.1,3.8,3.8,91,87.2,0.19,0.94,0.06,7.3
"70","02020",2010,284267,67.85,5.36,6.46,7.34,1.77,11.22,7.38,8.06,7.4,14.2,7.5,8.6,45.1,8,7.7,6.3,4.4,7,73.8,66.8,0.01,0.02,0,10.7
"71","02050",2010,16838,12.06,0.26,80.76,0.79,0,6.13,1.35,21.6,10.5,20,10.5,7.8,43.5,6.6,5.6,5.3,3.1,5.5,63.2,57.7,0.11,0.44,0.03,10.1
"72","02060",2010,1049,47.47,0,32.32,0,0.29,19.92,2.96,9.43,8.5,21.5,7,2.4,25.1,8.9,11.6,9.4,3.8,11.2,63.6,52.4,0.9,5.25,1.07,14.1
"73","02068",2010,1144,87.76,1.66,3.76,0.79,0,6.03,0.79,4.27,6.3,14.5,4.8,0.7,35,11.2,11.3,14.2,2.1,5.4,74.9,69.5,0.48,4.88,0.47,10.4
"74","02070",2010,4817,19,0.23,68.2,0.69,0.46,11.42,2.1,17.37,8.6,18.2,10.7,7.6,40.7,7.6,7.6,6.8,3.2,7.2,66.2,59,0.38,1.4,0.15,12.3
"75","02090",2010,94439,77.65,4.44,7.18,2.62,0.41,7.7,5.7,7.08,8,13.8,7.5,10.7,47.3,7.2,7.2,6.3,4.1,6,73.9,67.9,0.02,0.07,0.01,10.1
"76","02100",2010,1658,81.79,0.18,7.06,1.39,0,9.58,2.59,6.01,6,17.2,3.4,1,21.3,6.4,9,10.9,8,21.2,73.6,52.4,0.27,2.68,1.28,15.5
"77","02105",2010,2029,44.9,0.2,41.4,0.39,0.69,12.42,5.22,12.41,4.7,9.7,4.7,1.8,33,8.4,10.1,14.2,5.8,14,81.7,67.7,0.32,2.34,0.69,18.6
"78","02110",2010,30975,70.33,0.76,10.63,5.91,0.63,11.74,5.32,4.74,6.1,13.3,7.7,6.4,41.5,8.6,9.3,7.7,5.9,7.6,76,68.4,0.05,0.2,0.02,9.7
"79","02122",2010,53917,85.13,0.56,7.55,1.41,0.09,5.26,3.1,7.88,5.8,13.7,7.5,5.7,36.9,8.9,9.8,8.9,5.8,10.1,75.6,65.5,0.02,0.1,0.02,15.6
"80","02130",2010,13396,68.9,0.38,13.3,5.99,0,11.43,4.34,7.54,6.4,13.2,7.8,6.1,40.3,9,8.6,8,5,9.5,75.7,66.2,0.1,0.45,0.07,12.7
"81","02150",2010,13349,56.57,0.94,17.01,20.33,0.1,5.05,7.68,12.32,8.6,15.9,7,8.6,43.1,7.9,7.6,6.1,4.3,6.7,70.6,63.9,0.12,0.51,0.05,11.4
"82","02164",2010,1626,19.8,0.98,67.59,1.48,0,10.15,1.41,21.98,14.9,22.2,14.3,2.8,29.3,7.5,6.5,9.2,3.7,6.7,49.9,43.2,1.05,4.08,0.41,15.8
"83","02170",2010,84147,85.67,1.03,4.33,1.15,0.13,7.69,3.73,8.16,7.6,16.2,8.3,5.8,40.8,8.5,8.2,6.8,4.4,7.4,70.7,63.3,0.02,0.08,0.01,11.2
"84","02180",2010,9315,16.93,1.13,73.83,0.3,0.34,7.47,1.13,16.17,10.6,17.7,10.1,7.8,42.9,6.9,6.2,5.5,4.1,6,65.7,59.7,0.19,0.76,0.06,10.4
"85","02185",2010,8852,11.23,0.42,75.52,2.63,1.06,9.14,3.75,26.2,8.5,13.3,13.4,12.6,50.8,6.3,3.5,6.3,5.6,5.5,73.8,68.3,0.29,0.82,0.06,8.7
"86","02188",2010,7477,11.88,0.23,80.73,0.55,0.19,6.42,1.3,20.43,10.3,18.5,11.1,8.9,44.8,6.5,5.7,5.5,3,5.9,64.6,58.7,0.27,0.98,0.08,10.2
"87","02195",2010,3841,72.95,0,13.12,2.19,0,11.74,0.73,4.54,6.4,10.7,8.3,4.2,36.1,9.9,10.3,9.5,7,10.2,77.7,67.5,0.33,1.39,0.27,10.1
"88","02198",2010,5507,50.46,0.16,39.19,1.38,0.33,8.48,2.23,11.6,6.7,13.8,7,5.7,37.6,8.5,9.6,8.8,5.4,9.7,74.7,65,0.23,1.06,0.18,14.9
"89","02220",2010,8894,66.19,0.25,18.68,4.59,0,10.29,4.94,7.67,6.5,12.4,8.3,6.1,41.5,7.5,8.8,8.7,5.2,9.5,77.2,67.7,0.16,0.68,0.11,9.1
"90","02230",2010,1140,89.04,2.11,1.93,0.96,0,5.96,3.6,4.71,7.5,9.9,6.4,12.9,42.6,10.8,9.3,11.6,2.5,5.8,78.5,72.7,1.69,5.26,0.51,6
"91","02240",2010,6935,81.44,2.25,9.26,0.36,0.17,6.52,3.06,8.89,7.8,15,8.9,6.1,38.7,8.7,8.8,7.8,4.6,8.6,71.8,63.2,0.22,0.89,0.12,12.2
"92","02261",2010,9606,72.81,0.79,17.03,3.67,0.54,5.16,0.86,7.38,6.6,14,7.6,5.7,38.2,9,10.4,9.2,5.5,7.1,74.7,67.6,0.14,0.61,0.07,11.5
"93","02270",2010,7398,3.33,0.12,91.94,0.19,0.26,4.16,0.41,26.35,11.6,22.6,12.5,9.3,43.9,5.5,4.7,4,2.5,5,57.8,52.8,0.29,1.06,0.07,10.9
"94","02275",2010,2338,68.99,0.9,18.35,0.17,0.26,11.33,3.12,10.37,4,19.6,4.9,5.9,32.3,5.2,8.7,10,2.8,17.3,72.7,55.4,0.46,2.39,0.74,23.5
"95","02282",2010,638,31.5,0,53.13,1.72,0.63,13.02,4.7,9.49,6.6,23,7.7,1.6,32.8,5.2,4.7,8,9.7,10,63.3,53.3,1.46,9.78,1.57,7
"96","02290",2010,5635,22.15,0.07,68.94,0.21,0.32,8.31,1.51,20.52,7.2,14.8,9.7,6.4,38.8,7.8,9.1,8.3,4.8,9.1,72,62.9,0.29,1.08,0.16,16.5
"97","04001",2010,70312,24.03,0.25,73.02,0.32,0.09,2.29,5.99,27.91,8.3,17.7,10.3,6.5,39,7,6.5,5.2,5.2,11,67.5,56.5,0.02,0.09,0.02,14.4
"98","04003",2010,129268,83.27,3.82,1.07,1.92,0.28,9.64,31.78,15.19,6.5,12.5,7.3,6.3,37.4,6.7,7,6.8,6.4,16.8,76.7,59.9,0.01,0.04,0.01,16.6
"99","04005",2010,131824,61.96,1.07,27.23,1.5,0.17,8.07,13.15,13,6.8,13.1,10.1,11.8,47.2,6.8,6.9,6.4,4.3,8.5,75.6,67.1,0.02,0.05,0.01,10.9
"100","04007",2010,53272,78.45,0.26,14.68,0.13,0.16,6.32,17.54,16.57,5.9,11.9,6.9,4.4,29.5,7.1,7.2,7.9,8.2,22.3,77.9,55.6,0.02,0.09,0.04,18.7
"101","04009",2010,36030,69.86,2.26,14.91,0.54,0.14,12.29,29.77,18.19,8.1,15.2,8.5,8.5,43.4,6.1,5.9,5.5,4,11.8,71.6,59.8,0.05,0.19,0.03,13.2
"102","04011",2010,8318,82.54,0.29,2.57,0.83,0.17,13.6,45.94,10.22,8.1,16,7.7,5.2,38.6,6.4,8.1,7.2,4.1,11.4,70.9,59.5,0.16,0.75,0.14,10.4
"103","04012",2010,20549,70.47,1.03,11.89,0.8,0.08,15.73,22.62,23.09,5,9.6,4,4.2,25.9,5.5,6.4,5.4,10.1,32,82.2,50.2,0.04,0.2,0.16,17.1
"104","04013",2010,3751410,80.47,4.74,1.83,3.33,0.2,9.43,29,14.4,7.8,14.6,7.2,7,43,6.8,6.1,5.4,4.6,11.7,73.2,61.5,0,0,0,9.8
"105","04015",2010,199177,90.14,0.93,1.72,0.97,0.16,6.08,14.38,17.04,5.8,11.7,6.1,4.5,30.6,6.9,7.5,7.6,7.8,22,78.6,56.6,0.01,0.02,0.01,18.4
"106","04017",2010,107060,48.28,0.81,43.02,0.36,0.12,7.41,10.49,19.52,8.1,16.8,9.1,6.3,38,6.8,6.5,6,5.3,12.4,69.3,56.9,0.01,0.06,0.01,18.8
"107","04019",2010,964462,75.59,3.46,3.19,2.6,0.13,15.03,33.63,13.18,6.6,12.6,7.4,7.6,40.2,6.8,6.8,6.3,5.6,15,76.7,61.7,0,0.01,0,13.2
"108","04021",2010,329297,73.69,4.2,5.45,1.71,0.4,14.55,28.88,16.26,8,14.3,5.9,5.6,40.2,6.3,5.8,5.9,5.5,14,73.9,59.9,0,0.02,0,12
"109","04023",2010,46051,73.89,0.37,0.88,0.28,0.11,24.47,82,29.12,6.7,18.6,9,5.1,37.1,6.6,6.7,5.3,5.3,13.8,68.8,55,0.03,0.14,0.03,8.3
"110","04025",2010,209260,90.76,0.54,1.95,0.69,0.12,5.94,13.1,10.6,5.1,11,5.8,4.9,29.8,6.9,7.8,8.5,8.2,22.7,80.3,57.6,0.01,0.02,0.01,17
"111","04027",2010,190526,75.39,1.98,1.37,1.09,0.15,20.02,58.29,28.42,7.9,15.6,8.2,7.4,39.9,5.9,5.4,4.4,5,15.9,71.5,55.6,0.01,0.03,0.01,11.5
"112","05001",2010,19321,71.93,24.39,0.72,0.26,0,2.7,2.22,20.65,5.8,12.9,7.4,5.6,36.6,6.9,8.2,7.6,5.8,16.2,77,60.8,0.07,0.29,0.08,19.3
"113","05003",2010,22126,69.18,25.94,0.26,0.09,0,4.53,4.35,18.94,6.4,14,7.2,5.2,37.2,7.2,6.7,5.9,7,15.7,75,59.3,0.06,0.26,0.07,18.9
"114","05005",2010,41388,97.17,0.07,0.62,0.45,0.02,1.67,1.69,16.32,4.8,10.2,5.1,4.1,28.1,6.7,6.9,7.7,8.2,27.3,81.8,54.5,0.02,0.1,0.07,22
"115","05007",2010,209911,84.95,1.08,1.64,2.58,0.06,9.69,14.8,15.79,8,15.7,6.5,6.2,41.6,6.9,5.9,5.1,4.7,12.2,72.2,60,0.01,0.03,0.01,10.2
"116","05009",2010,36710,96.55,0.17,0.69,0.5,0.01,2.08,1.84,16.24,6.4,13.2,6.5,5.6,36,7.2,6.8,6.6,6.5,17.4,76.3,58.9,0.03,0.15,0.05,19.9
"117","05011",2010,11638,61.53,29.02,1.23,0,0,8.22,11.44,30.6,6.6,13.7,5.7,3.4,35.3,8.3,6.7,6.2,5.3,17.8,76.3,58.5,0.08,0.48,0.15,19.1
"118","05013",2010,5529,73.65,21.45,0,0,0,4.9,3.49,22.18,4.8,12.1,7.2,7.1,37.8,8.5,6.8,7,6,16.9,77.6,60.7,0.26,0.99,0.31,26.3
"119","05015",2010,26971,89.63,0.57,0.77,0.72,0.23,8.08,12.18,21.05,6.1,12.6,5.9,5.1,32.9,6.9,8,7,8.7,17.8,77.6,59.8,0.04,0.19,0.07,16.5
"120","05017",2010,12102,41.79,54.66,0,0.26,0,3.29,3.97,30.71,6.7,12.8,6.8,6.2,35.6,7.1,7.7,6.6,5.9,17.5,76.1,58.6,0.11,0.46,0.14,25.7
"121","05019",2010,23083,73.53,23.18,0.27,0.69,0,2.33,3.83,16.9,5.5,11,10.8,14.6,46.1,5.9,6.2,5.6,4.9,14.7,79.9,65.2,0.11,0.27,0.06,17.6
"122","05021",2010,16297,97.92,0.11,0.75,0,0,1.22,1.15,26.85,5.8,12.4,6.9,4.9,34.8,6.8,7.1,6.7,6.8,19.7,77.4,57.7,0.07,0.33,0.12,23.8
"123","05023",2010,25692,97.4,0.56,0.42,0.02,0.03,1.57,1.87,20.92,5,11.3,5.9,4.7,32,7,7.2,6.8,7.6,23,79.9,56.9,0.04,0.19,0.09,18.2
"124","05025",2010,8769,85.61,12.65,0.25,0,0,1.49,1.55,14.06,6.6,14.5,6.7,5.3,36,7.7,6.9,5.8,6.8,15.7,74.8,59.1,0.14,0.65,0.18,21.8
"125","05027",2010,24756,61.04,36.92,0.21,0.66,0.05,1.12,1.99,16.34,6,12.8,9.1,9,40.8,6.9,6.4,6.3,5,15.8,76.9,61.1,0.07,0.24,0.06,20.2
"126","05029",2010,21059,84.99,11.9,0.72,0.11,0,2.28,3.5,17.29,6.5,13.3,6.9,6.3,36.8,7.6,6.8,6.3,5.7,16.9,75.6,58.7,0.06,0.27,0.08,19.5
"127","05031",2010,93329,84.29,12.4,0.33,1.19,0,1.79,4.16,16.75,7.2,13.7,7.9,8.6,44.4,6.6,6,5.5,5,11.7,75.1,63.4,0.02,0.07,0.01,14.5
"128","05033",2010,60778,90.76,1.33,1.43,1.45,0,5.03,5.79,22.61,6.9,15.1,7.1,6.1,38.9,7.8,6.8,6.6,5.2,12.7,73.3,60.6,0.02,0.1,0.02,17
"129","05035",2010,50673,47.51,49.5,0.05,0.41,0.07,2.46,2.04,23.73,8.5,16.1,8,6.5,40.3,7.3,6.9,5.6,4.8,10.4,70.1,59.7,0.03,0.13,0.02,15.6
"130","05037",2010,18144,75.45,22.95,0.25,0,0,1.35,1.37,23.94,6.7,14.4,7.8,5.5,37.7,7.5,6.8,5.9,6.5,14.6,73.8,59.2,0.07,0.32,0.08,19.5
"131","05039",2010,8280,54.98,43.32,0,0,0,1.7,2.07,19.71,5.7,14.4,6.2,6.5,35.5,5.8,7.5,6.9,6.7,17.6,75.3,57.7,0.15,0.67,0.21,25.5
"132","05041",2010,13351,47.88,46.66,0.7,0,0,4.76,3.99,27.48,7.6,14.4,7.4,5.7,35.9,6.9,7.7,6.7,5.7,15,73.4,58.4,0.1,0.43,0.11,20.6
