G_ZCTA,ZCTA,minDisSUT,timeDrive,countDrive
G01349,01349,4.89,15.09,8
G01350,01350,6.53,27.07,5
G01351,01351,3.92,16.39,8
G01354,01354,4.77,10.99,6
G01355,01355,8.64,13.26,6
G01360,01360,8.81,19.2,15
G01364,01364,1.89,0,6
G01366,01366,2.49,0,8
G01368,01368,6.75,14.83,8
G01370,01370,5.46,18.67,6
G01373,01373,7.53,15.85,25
G01375,01375,7.95,19.39,13
G01376,01376,1.69,10.15,6
G01378,01378,5.97,13.91,4
G01379,01379,5.15,19.6,2
G01420,01420,0.92,0,21
G01430,01430,3.76,15.24,14
G01431,01431,1.48,0,19
G01432,01432,2.15,11.66,22
G01434,01434,1.77,14.91,18
G01436,01436,5.03,11.8,11
G01438,01438,1.92,7.22,25
G01440,01440,0.72,0,24
G01450,01450,5.59,21.32,3
G01451,01451,2.28,0,17
G01452,01452,6.21,15.02,6
G01453,01453,0.49,0,31
G01460,01460,4.47,13.96,27
G01462,01462,3.25,12.58,18
G01463,01463,7.5,20.4,11
G01464,01464,4.53,17.48,14
G01467,01467,3.8,7.3,16
G01468,01468,3.92,9.97,25
G01469,01469,7.42,15.33,14
G01473,01473,1.31,0,22
G01474,01474,4.96,10.06,14
G01475,01475,6.62,14.99,10
G01501,01501,3.08,6.28,44
G01503,01503,5.84,12.06,53
G01504,01504,2.58,6.67,37
G01505,01505,4.14,9.29,36
G01506,01506,4.02,9.07,16
G01507,01507,5.2,12.32,39
G01510,01510,8.04,18.68,46
G01515,01515,1.73,0,21
G01516,01516,5.39,13.51,37
G01518,01518,5.48,11.3,8
G01519,01519,3.92,10.06,36
G01520,01520,3.32,8.49,35
G01521,01521,6.94,18.53,9
G01522,01522,5.72,21.19,28
G01523,01523,4.78,12.64,39
G01524,01524,3.43,8.34,40
G01525,01525,1.51,7.43,33
G01527,01527,0.64,0,42
G01529,01529,4.14,15.77,8
G01531,01531,7.24,19.72,6
G01532,01532,2.73,9.4,47
G01534,01534,2.22,9.48,36
G01535,01535,3.47,9.09,16
G01536,01536,4.14,9.14,37
G01537,01537,5.86,12.04,42
G01540,01540,6.2,9.31,47
G01541,01541,0.82,0,46
G01542,01542,4,10.37,40
G01543,01543,7.16,17.2,29
G01545,01545,0.99,0,46
G01550,01550,0.98,0,19
G01560,01560,4.24,9.25,36
G01561,01561,6.46,16.77,27
G01562,01562,2.83,8.64,37
G01564,01564,5.85,12.87,46
G01566,01566,3.07,6.12,26
G01568,01568,5.4,11.9,48
G01569,01569,3.86,10.24,18
G01570,01570,1.73,0,45
G01571,01571,4.74,8.06,19
G01581,01581,1.43,0,47
G01583,01583,3.29,7.26,41
G01585,01585,4.12,12.17,11
G01588,01588,0.73,0,42
G01590,01590,3.48,9.89,39
G01602,01602,1.03,0,41
G01603,01603,0.3,0,45
G01604,01604,0.84,0,40
G01605,01605,0.93,0,40
G01606,01606,0.66,0,45
G01607,01607,1.77,4.43,38
G01608,01608,0.13,0,41
G01609,01609,1.58,0,40
G01610,01610,0.53,0,45
G01611,01611,1.23,5.2,43
G01612,01612,5.94,8.82,34
G01701,01701,2.03,7.75,28
G01702,01702,0.52,0,28
G01718,01718,4.6,11.76,20
G01719,01719,4.37,12.5,16
G01720,01720,3.07,9.27,27
G01721,01721,2.33,9.18,17
G01730,01730,0.72,0,49
G01731,01731,3.51,10.8,62
G01740,01740,6.96,14.43,47
G01741,01741,4.15,10.49,32
G01742,01742,1.12,0,32
G01745,01745,3,10.24,49
G01746,01746,4.24,15.2,14
G01747,01747,2.61,4.66,22
G01748,01748,5.55,12.15,38
G01749,01749,3.68,7.14,49
G01752,01752,0.99,0,43
G01754,01754,4.31,11.1,24
G01756,01756,4.86,10.69,11
G01757,01757,1.13,0,22
G01760,01760,3.02,10.04,44
G01770,01770,3.28,11.46,20
G01772,01772,2.45,10.46,50
G01773,01773,3.66,10.22,83
G01775,01775,6.7,14.96,24
G01776,01776,5.66,16.36,19
G01778,01778,5.05,13.48,59
G01801,01801,1.75,0,139
G01803,01803,2.62,6.78,113
G01810,01810,2.46,0,34
G01821,01821,1.82,9.14,42
G01824,01824,2.24,8.62,36
G01826,01826,2.62,7.24,29
G01827,01827,4.15,14.7,17
G01830,01830,1.58,0,26
G01832,01832,2.13,5.04,29
G01833,01833,1.97,0,21
G01834,01834,1.8,7.55,19
G01835,01835,1.86,5.15,30
G01840,01840,0.37,0,35
G01841,01841,0.62,0,30
G01843,01843,0.97,0,36
G01844,01844,2.07,6.26,32
G01845,01845,2.51,9.53,32
G01850,01850,0.73,5.07,29
G01851,01851,0.85,0,38
G01852,01852,0.93,0,37
G01854,01854,0.32,0,32
G01860,01860,4.18,9.43,15
G01862,01862,0.94,0,41
G01863,01863,2.1,7.31,32
G01864,01864,2.96,14.93,62
G01867,01867,1.61,7.94,122
G01876,01876,0.54,0,35
G01879,01879,4.13,12.06,28
G01880,01880,1.41,0,122
G01886,01886,5.19,15.51,30
G01887,01887,1.46,0,77
G01890,01890,2.06,6.4,119
G01901,01901,0.16,0,113
G01902,01902,0.42,0,111
G01904,01904,2.03,4.47,92
G01905,01905,1.15,0,114
G01906,01906,1.55,0,116
G01907,01907,1.71,5.29,88
G01908,01908,2.22,8.06,81
G01913,01913,0.83,0,18
G01915,01915,1.41,0,31
G01921,01921,1.69,16.96,24
G01922,01922,4.1,12.72,15
G01923,01923,0.28,0,42
G01929,01929,4.92,11.49,13
G01930,01930,0.46,0,13
G01937,01937,0.38,7.48,50
G01938,01938,8.63,20.93,15
G01940,01940,2.59,11.02,100
G01944,01944,5.38,10.84,22
G01945,01945,1.96,8.31,52
G01949,01949,2.35,9.32,50
G01950,01950,0.53,0,16
G01951,01951,2.7,6.95,7
G01952,01952,2.57,10.87,13
G01960,01960,0.92,0,49
G01966,01966,2.56,9,4
G01969,01969,6.09,13.16,17
G01970,01970,0.6,0,64
G01982,01982,5,11.29,26
G01983,01983,3.91,10.8,40
G01984,01984,2.99,8.75,25
G01985,01985,4.21,12.94,18
G02019,02019,4.34,10.53,31
G02021,02021,3,0,103
G02025,02025,1.45,0,13
G02026,02026,3.87,12.32,132
G02030,02030,6.97,22.04,58
G02032,02032,7.23,12.66,70
G02035,02035,0.91,0,45
G02038,02038,5.95,17.37,19
G02043,02043,2.47,7.51,48
G02045,02045,3.63,11.78,13
G02047,02047,8.98,19.13,4
G02048,02048,2.61,8.32,40
G02050,02050,7.98,21.06,6
G02052,02052,8.2,19.99,29
G02053,02053,3.54,14.09,18
G02054,02054,7.04,19.06,17
G02056,02056,6.46,12.39,24
G02061,02061,2.14,0,38
G02062,02062,6.57,11.17,101
G02066,02066,5.07,10.92,6
G02067,02067,5.05,11.25,43
G02071,02071,3.99,9.54,21
G02072,02072,1.64,0,89
G02081,02081,6.76,12.94,52
G02090,02090,6.26,12.15,104
G02093,02093,5.83,13.4,23
G02108,02108,0.38,2.38,127
G02109,02109,0.35,0,123
G02110,02110,0.24,0,132
G02111,02111,0.08,0,127
G02113,02113,0.25,2.42,132
G02114,02114,0.08,0,125
G02115,02115,0.29,0,125
G02116,02116,0.22,0,126
G02118,02118,0.24,0,129
G02119,02119,0.53,0,125
G02120,02120,0.59,1.91,125
G02121,02121,0.24,0,136
G02122,02122,1.35,0,139
G02124,02124,0.14,0,133
G02125,02125,0.35,0,125
G02126,02126,0.32,0,130
G02127,02127,0.07,0,128
G02128,02128,1.1,0,130
G02129,02129,0.37,0,128
G02130,02130,0.39,0,125
G02131,02131,1.19,6.36,121
G02132,02132,1.4,9.46,127
G02134,02134,0.24,0,130
G02135,02135,0.34,0,128
G02136,02136,2.06,6.23,123
G02138,02138,1.04,5.03,117
G02139,02139,0.55,0,117
G02140,02140,0.49,0,118
G02141,02141,0.86,4.14,124
G02142,02142,0.68,4.44,123
G02143,02143,0.17,0,120
G02144,02144,0.34,0,121
G02145,02145,0.55,4.62,128
G02148,02148,1.9,3.8,134
G02149,02149,0.34,0,128
G02150,02150,0.4,0,126
G02151,02151,1.84,4.97,126
G02152,02152,2.82,7.19,116
G02155,02155,1.04,0,136
G02163,02163,0.89,4.47,126
G02169,02169,0.12,0,120
G02170,02170,0.99,4.64,137
G02171,02171,1.98,6.84,135
G02176,02176,3.28,7.19,136
G02180,02180,1.91,5.29,140
G02184,02184,2.26,7.3,98
G02186,02186,2.05,5.06,120
G02188,02188,0.99,5.33,107
G02189,02189,0.74,0,92
G02190,02190,0.66,0,96
G02191,02191,2.82,6.13,92
G02199,02199,0.51,7.04,115
G02203,02203,0.22,1.36,132
G02210,02210,0.85,6.16,117
G02215,02215,0.34,0,126
G02301,02301,1.06,0,52
G02302,02302,0.93,0,50
G02322,02322,2.12,8.73,92
G02324,02324,6.11,16.3,28
G02330,02330,7.26,20.27,12
G02332,02332,5.38,21.43,8
G02333,02333,3.71,15.94,31
G02338,02338,8.72,27.17,19
G02339,02339,2.51,8.48,39
G02341,02341,6.96,18.96,20
G02343,02343,2.32,7.8,91
G02346,02346,11.12,21.9,12
G02347,02347,8.05,21.13,29
G02351,02351,2.89,8.93,43
G02356,02356,3.74,11.58,31
G02357,02357,2.99,11.41,40
G02359,02359,7.11,17.78,21
G02360,02360,4.32,0,4
G02364,02364,3.13,17.12,4
G02366,02366,6.2,18.28,3
G02367,02367,6.13,24.48,10
G02368,02368,1,0,101
G02370,02370,2.4,10.25,43
G02375,02375,5.15,14.65,32
G02379,02379,2.65,10.51,31
G02382,02382,3.84,8.92,32
G02420,02420,2.03,10.97,107
G02421,02421,3.67,7.98,110
G02445,02445,1.31,3.83,118
G02446,02446,0.18,0,118
G02451,02451,1.11,0,105
G02452,02452,1.44,4.97,110
G02453,02453,0.24,0,110
G02457,02457,4.91,15.12,103
G02458,02458,0.53,0,128
G02459,02459,2.45,5.27,122
G02460,02460,0.63,2.98,121
G02461,02461,2.77,5.69,122
G02462,02462,2.63,7.58,115
G02464,02464,3.19,8.77,122
G02465,02465,1.49,4.42,111
G02466,02466,1.58,4.67,110
G02467,02467,1.39,0,121
G02468,02468,2.61,7.32,122
G02472,02472,0.86,0,126
G02474,02474,0.78,0,125
G02476,02476,1.44,3.82,111
G02478,02478,0.62,0,121
G02481,02481,4.05,14.22,98
G02482,02482,5.64,14.64,97
G02492,02492,5.05,12.14,128
G02493,02493,2.43,9,102
G02494,02494,4.21,9.75,122
G02532,02532,2.53,0,14
G02534,02534,1.05,0,11
G02535,02535,9.94,23.06,1
G02536,02536,1.8,0,11
G02537,02537,6.07,15.12,12
G02538,02538,1.44,9.22,6
G02539,02539,6.13,17.01,1
G02540,02540,0.41,0,10
G02542,02542,3.48,8.95,11
G02543,02543,5.91,11.92,9
G02553,02553,3.01,8.9,11
G02554,02554,1.31,0,2
G02556,02556,2.62,6.08,12
G02557,02557,1.63,7.48,1
G02558,02558,0.89,6.85,4
G02559,02559,1.55,7.56,11
G02561,02561,5.86,11.93,17
G02562,02562,6.48,11.16,9
G02563,02563,4.99,16.6,12
G02564,02564,5.08,15.14,2
G02568,02568,0.6,0,1
G02571,02571,1.09,0,13
G02575,02575,4.14,8.08,1
G02576,02576,2.92,7.3,12
G02584,02584,3.93,12.72,2
G02601,02601,0.87,0,7
G02630,02630,3.53,10.15,7
G02631,02631,8.44,21.94,1
G02632,02632,0.91,0,8
G02633,02633,12.32,24.2,1
G02635,02635,2.71,6.1,14
G02637,02637,3.35,10.13,7
G02638,02638,3.31,12.94,5
G02639,02639,4.19,8.24,5
G02641,02641,5.4,14.58,5
G02644,02644,2.92,9.3,14
G02645,02645,7.86,15.64,5
G02646,02646,7.29,15.82,4
G02647,02647,1.28,5.79,7
G02648,02648,3.73,11.73,14
G02649,02649,0.72,0,14
G02650,02650,12.7,23.93,1
G02653,02653,13.49,28.9,1
G02655,02655,3.75,7.73,14
G02659,02659,9.75,19.22,1
G02660,02660,3.24,8.81,5
G02664,02664,1.23,0,7
G02668,02668,3.99,10.48,9
G02669,02669,11.32,21.57,1
G02670,02670,2.8,4.39,5
G02671,02671,5.3,11.18,5
G02672,02672,1.43,6.86,8
G02673,02673,1.43,5.29,7
G02675,02675,1.58,6.35,7
G02702,02702,6.16,12.53,36
G02703,02703,1.1,0,48
G02715,02715,5.24,16.13,23
G02717,02717,5.92,11.15,33
G02718,02718,4.43,11.75,34
G02719,02719,2.64,5.11,28
G02720,02720,1.53,0,47
G02721,02721,1.19,0,55
G02723,02723,0.89,4.63,55
G02724,02724,0.87,0,58
G02725,02725,1.53,5.58,66
G02726,02726,2.99,11.32,38
G02738,02738,4.03,9.1,15
G02739,02739,5.48,11.75,28
G02740,02740,0.56,0,28
G02743,02743,3.74,9.62,27
G02744,02744,0.75,5.26,28
G02745,02745,2.57,5.58,35
G02746,02746,0.66,0,28
G02747,02747,1.65,0,27
G02748,02748,4.89,9.24,26
G02760,02760,3.13,11.6,41
G02762,02762,5.47,14.69,34
G02763,02763,1.89,8.71,46
G02764,02764,4.41,11.23,40
G02766,02766,0.51,0,45
G02767,02767,3.15,10.17,39
G02769,02769,5.77,16.41,61
G02770,02770,6.42,24.2,2
G02771,02771,2.4,11.62,66
G02777,02777,0.41,0,75
G02779,02779,4.23,13.6,22
G02780,02780,0.92,0,43
G02790,02790,5.68,14.66,28
G02791,02791,9.07,20.62,27
G02802,02802,4.53,9.77,40
G02804,02804,5.73,12.76,6
G02806,02806,0.92,0,55
G02808,02808,5.29,13.58,9
G02809,02809,5.38,13.95,30
G02812,02812,4.23,14.51,4
G02813,02813,8.55,19.46,6
G02814,02814,7.45,12.35,26
G02815,02815,8.33,22.45,16
G02816,02816,4.75,7.44,31
G02817,02817,6.49,19.03,13
G02818,02818,3.82,12.23,38
G02822,02822,3.15,0,10
G02825,02825,7.9,16.82,15
G02826,02826,6.69,17.13,15
G02827,02827,8.01,18.88,6
G02828,02828,0.41,0,47
G02830,02830,7.18,18.67,10
G02831,02831,4.74,15.15,22
G02832,02832,3.17,6.7,14
G02833,02833,6.22,16.11,5
G02835,02835,2.95,12.3,13
G02836,02836,6.42,19,9
G02837,02837,6.21,27.13,3
G02838,02838,3.26,5.86,51
G02839,02839,6.61,16.77,10
G02840,02840,0.95,0,8
G02841,02841,0.66,8.51,8
G02842,02842,0.85,0,8
G02852,02852,4.23,13.07,24
G02857,02857,4.9,9.21,46
G02858,02858,7.49,16.79,12
G02859,02859,6.83,18.8,10
G02860,02860,0.04,0,47
G02861,02861,0.91,7.23,50
G02863,02863,0.43,0,47
G02864,02864,4.26,11.02,39
G02865,02865,3.25,7.13,48
G02871,02871,0.77,0,21
G02873,02873,5.09,10.88,6
G02874,02874,0.86,0,17
G02875,02875,5.95,18.38,6
G02876,02876,3.59,12.64,34
G02878,02878,4.93,10.64,32
G02879,02879,2.64,0,6
G02881,02881,2.45,11.32,10
G02882,02882,0.74,0,8
G02885,02885,3.22,6.27,62
G02886,02886,0.51,0,41
G02888,02888,0.7,0,42
G02889,02889,2.67,7.7,37
G02891,02891,1.8,0,17
G02892,02892,4.98,19.1,8
G02893,02893,0.69,0,41
G02894,02894,6.3,16.04,6
G02895,02895,0.58,0,42
G02896,02896,2.93,11.06,29
G02898,02898,1.45,0,11
G02903,02903,0.95,4.03,59
G02904,02904,1.87,0,50
G02905,02905,0.81,0,58
G02906,02906,0.51,0,60
G02907,02907,0.11,0,58
G02908,02908,0.5,0,59
G02909,02909,1.08,0,58
G02910,02910,0.63,0,45
G02911,02911,2.29,4.46,45
G02912,02912,0.72,3.71,60
G02914,02914,0.77,0,66
G02915,02915,2.03,7.14,59
G02916,02916,1.49,6.92,67
G02917,02917,2.87,9.37,43
G02919,02919,2.38,0,49
G02920,02920,1.18,0,45
G02921,02921,3.03,10.69,37
G03031,03031,5.88,16.73,12
G03032,03032,4.84,17.47,16
G03033,03033,7.72,23.86,6
G03034,03034,6.4,15.1,13
G03036,03036,6,16.76,4
G03037,03037,7.6,22.4,1
G03038,03038,2.29,0,16
G03042,03042,5.75,13.85,5
G03043,03043,6.69,21.84,1
G03044,03044,4.81,14.21,6
G03045,03045,5.37,14.45,12
G03046,03046,7.01,25.34,6
G03047,03047,7.04,21.08,1
G03048,03048,7.13,16.41,9
G03049,03049,4.29,13.99,10
G03051,03051,2.98,0,19
G03052,03052,1.9,13.41,23
G03053,03053,1.99,0,19
G03054,03054,1.72,0,18
G03055,03055,6.89,22.37,5
G03057,03057,9.7,22.72,2
G03060,03060,1.32,0,19
G03062,03062,1.05,0,18
G03063,03063,0.91,0,20
G03064,03064,1.16,7.48,21
G03070,03070,9.28,26.62,8
G03071,03071,5.73,19.17,1
G03076,03076,5.69,14.75,32
G03077,03077,0.73,0,12
G03079,03079,6.09,14.1,34
G03084,03084,10.41,23,2
G03086,03086,11.87,26.38,2
G03087,03087,4.94,13.26,34
G03101,03101,0.14,0,25
G03102,03102,1.32,5.7,24
G03103,03103,1.77,0,25
G03104,03104,0.06,0,21
G03106,03106,4.32,12.09,19
G03109,03109,2.29,8.94,15
G03110,03110,1.61,0,17
G03216,03216,7.65,23.96,3
G03217,03217,4.16,16.38,2
G03220,03220,3.97,15.82,6
G03222,03222,3.57,0,1
G03223,03223,6.27,12.58,2
G03224,03224,3.27,0,10
G03226,03226,9.59,22.79,5
G03229,03229,6.79,20.46,6
G03230,03230,7.15,21.94,2
G03231,03231,6.63,16.12,3
G03234,03234,7.91,21.49,6
G03235,03235,2.25,0,13
G03237,03237,6.88,21.86,6
G03240,03240,6.21,18.29,1
G03241,03241,5.14,24.99,3
G03242,03242,11.58,26.66,7
G03243,03243,3.98,19.98,4
G03244,03244,6.24,18.57,1
G03245,03245,5.01,13.35,2
G03246,03246,3.17,0,6
G03249,03249,3.49,0,6
G03253,03253,7.32,15.26,3
G03256,03256,6.57,21.71,9
G03258,03258,5.75,15.4,7
G03259,03259,14.8,26.42,1
G03263,03263,10.48,26.7,6
G03264,03264,2.37,0,2
G03266,03266,8,18.96,3
G03268,03268,5.39,17.8,9
G03269,03269,5.7,17.77,6
G03275,03275,5.44,16.99,14
G03276,03276,2.94,7.73,13
G03280,03280,13.13,28.79,1
G03284,03284,10.83,28.92,5
G03285,03285,11.62,25.6,2
G03290,03290,6.74,21.41,4
G03291,03291,9.88,25.28,5
G03293,03293,14.35,26.68,2
G03301,03301,1.22,0,18
G03303,03303,7.56,12.72,10
G03304,03304,3.92,11.85,17
G03307,03307,3.94,17.28,7
G03431,03431,2.21,0,4
G03440,03440,2.85,0,1
G03441,03441,6.39,25.09,7
G03442,03442,1.86,12.88,1
G03443,03443,4.79,22.04,10
G03444,03444,1.57,0,1
G03445,03445,6.35,18.48,3
G03446,03446,2.8,0,4
G03447,03447,10.74,23.09,6
G03448,03448,7.29,14.5,4
G03449,03449,4.73,16.35,2
G03450,03450,4.23,15.35,4
G03451,03451,4.12,19.51,7
G03452,03452,4.5,18.66,2
G03455,03455,4.97,14.36,5
G03456,03456,11.56,26.65,3
G03457,03457,8.26,21.05,5
G03458,03458,5.47,18.02,2
G03461,03461,9.86,21.52,4
G03462,03462,4.5,17.4,11
G03464,03464,9.56,19.26,4
G03465,03465,8.11,14.39,6
G03466,03466,2.88,16.15,10
G03467,03467,7.93,21.53,10
G03470,03470,4.6,28.57,4
G03561,03561,2.43,0,4
G03570,03570,0.73,0,2
G03574,03574,3.39,0,2
G03575,03575,11.43,22.58,1
G03576,03576,4.84,0,2
G03580,03580,8.28,16.2,2
G03582,03582,9.43,20.94,1
G03583,03583,7.65,15.97,1
G03584,03584,0.45,0,1
G03585,03585,8.46,22.34,2
G03586,03586,6.17,17.51,2
G03588,03588,7.5,20.09,2
G03593,03593,12.18,21.49,2
G03595,03595,6.5,16.9,3
G03597,03597,12.1,16.66,2
G03598,03598,6.83,18.16,3
G03602,03602,5.77,21.61,4
G03603,03603,7.98,14.01,4
G03604,03604,3.27,12.79,1
G03607,03607,10.03,27.67,1
G03608,03608,4.39,14.96,1
G03609,03609,1.19,4.47,2
G03740,03740,13.54,29.35,1
G03741,03741,2.17,0,6
G03743,03743,1.07,0,3
G03745,03745,5.86,18.51,2
G03746,03746,8.59,19.24,7
G03748,03748,5.14,20.91,7
G03750,03750,4.34,17.55,10
G03751,03751,13.34,27.77,5
G03753,03753,9.99,20.72,6
G03754,03754,10.14,20.04,2
G03755,03755,5.11,0,10
G03765,03765,5.31,18.36,1
G03766,03766,0.81,0,11
G03768,03768,11.26,20.69,11
G03770,03770,7.15,18.74,8
G03771,03771,10.18,25.07,2
G03773,03773,7.06,16.66,2
G03774,03774,10.06,24.02,1
G03777,03777,5.84,23.98,1
G03779,03779,4.34,13.1,1
G03780,03780,8.04,26.39,1
G03782,03782,12.41,24.6,2
G03784,03784,1.08,0,10
G03801,03801,1.98,0,15
G03809,03809,8.81,25.26,2
G03810,03810,5.45,18.84,5
G03811,03811,2.43,9.64,15
G03812,03812,7.53,21.89,1
G03813,03813,5.25,14.97,3
G03814,03814,2.35,0,3
G03816,03816,6.88,18.87,3
G03817,03817,7.73,13.77,2
G03818,03818,5.69,0,3
G03819,03819,4.28,13.27,7
G03820,03820,3.23,0,14
G03823,03823,3.2,8.76,12
G03824,03824,5.62,12.3,13
G03825,03825,5.38,17.48,6
G03826,03826,1.44,9.84,13
G03827,03827,5.04,12,8
G03832,03832,6.61,19.13,2
G03833,03833,8.05,21.36,4
G03835,03835,6.69,14.14,6
G03836,03836,6.03,15.93,1
G03837,03837,8.91,29.82,2
G03838,03838,5.88,19.84,1
G03839,03839,2.95,8.13,6
G03840,03840,3.08,11.55,13
G03841,03841,1.57,0,11
G03842,03842,0.98,0,12
G03844,03844,3.26,9.62,13
G03845,03845,2.94,12.03,2
G03846,03846,8.62,24.58,1
G03847,03847,1.44,9.09,3
G03848,03848,5.37,15.68,7
G03849,03849,5.15,11.86,4
G03850,03850,8.39,21.62,2
G03851,03851,9.48,24.52,1
G03852,03852,9.25,23.51,3
G03853,03853,4.76,13.51,2
G03854,03854,1.13,12.2,11
G03855,03855,8.62,26.62,1
G03856,03856,9.01,22.34,6
G03857,03857,7.55,21.24,9
G03858,03858,4.83,11.77,13
G03860,03860,1.98,0,3
G03861,03861,7.75,16.61,11
G03862,03862,1.79,9.15,10
G03864,03864,4.73,11.01,3
G03865,03865,1.82,7.5,14
G03867,03867,0.81,0,8
G03868,03868,1.87,7.29,12
G03869,03869,3.58,9.86,15
G03870,03870,2.17,15.55,8
G03871,03871,3.52,13.19,7
G03872,03872,7.82,23.73,3
G03873,03873,4.55,18.21,6
G03874,03874,4.45,9.67,14
G03875,03875,6.04,19.01,2
G03878,03878,0.64,0,12
G03882,03882,5.01,22.94,1
G03883,03883,9.02,16.07,1
G03884,03884,9.06,29.63,1
G03885,03885,5.53,18.53,9
G03886,03886,10.36,17,2
G03887,03887,9.52,27.67,3
G03890,03890,4.56,6.2,4
G03894,03894,2.54,0,3
G03901,03901,4.14,11.6,8
G03902,03902,3.61,11.3,10
G03903,03903,3.37,9.88,13
G03904,03904,2,0,13
G03905,03905,2.19,12.5,8
G03906,03906,3.59,0,12
G03907,03907,5.15,11.85,11
G03908,03908,4.64,18.94,14
G03909,03909,2.31,0,14
G03910,03910,0.81,0,9
G03911,03911,1.03,4.07,9
G04001,04001,7.57,17.97,5
G04002,04002,6.12,17.44,13
G04005,04005,1.38,0,33
G04006,04006,5.47,16.05,7
G04008,04008,8.93,21.35,2
G04009,04009,0.95,0,3
G04010,04010,10.58,18.86,4
G04011,04011,0.26,0,5
G04015,04015,6.54,19.44,7
G04020,04020,2.64,0,1
G04021,04021,4.09,12.03,25
G04022,04022,6.69,22.98,3
G04024,04024,6.37,24.13,1
G04027,04027,7.21,16.73,9
G04030,04030,9.94,29.12,2
G04032,04032,5.03,11.31,27
G04037,04037,9.47,0,5
G04038,04038,1.81,0,30
G04039,04039,5.59,9.75,47
G04040,04040,3.87,13.34,2
G04041,04041,4.25,27.58,1
G04042,04042,9.75,23.44,8
G04043,04043,1.69,0,13
G04046,04046,3.47,13.24,8
G04047,04047,7.33,28.94,1
G04048,04048,8.23,25.57,1
G04049,04049,6.74,22.94,1
G04051,04051,6.17,18.87,3
