G_ZCTA,ZCTA,minDisFQHC,timeDrive,countDrive
G01585,01585,17.5,27.7,2
G01588,01588,10.39,21.11,24
G01590,01590,10.2,15.92,23
G01602,01602,1.94,0,18
G01603,01603,1.35,0,20
G01604,01604,0.9,0,18
G01605,01605,0.76,0,18
G01606,01606,1.2,0,19
G01607,01607,2.37,4.43,18
G01608,01608,0.76,2.16,18
G01609,01609,1.62,0,18
G01610,01610,0.93,0,20
G01611,01611,1.08,5.2,20
G01612,01612,7.7,8.82,17
G01701,01701,2.63,0,8
G01702,01702,1.47,0,9
G01718,01718,12.96,20.96,9
G01719,01719,17,27.32,7
G01720,01720,15.82,25.87,11
G01721,01721,4.21,9.18,3
G01730,01730,11.65,20.09,23
G01731,01731,9.09,16.37,49
G01740,01740,13.39,21.72,21
G01741,01741,9.96,17.23,14
G01742,01742,13.22,22.6,13
G01745,01745,6.21,11.52,22
G01746,01746,7.7,15.2,3
G01747,01747,1.09,4.66,7
G01748,01748,9.25,12.2,18
G01749,01749,12.08,19.44,21
G01752,01752,10.54,16.97,20
G01754,01754,10.89,18.54,3
G01756,01756,3.88,10.69,6
G01757,01757,2.75,0,7
G01760,01760,4.48,10.04,23
G01770,01770,4.81,11.46,4
G01772,01772,8.38,14.66,21
G01773,01773,8.14,13.8,59
G01775,01775,13.01,24.52,6
G01776,01776,6.48,12.83,3
G01778,01778,4.77,10.1,37
G01801,01801,8.42,15.17,144
G01803,01803,10.41,17.33,116
G01810,01810,4.15,0,30
G01821,01821,6.34,11.11,28
G01824,01824,4.62,8.62,33
G01826,01826,3.38,7.24,33
G01827,01827,3.99,12.22,20
G01830,01830,2.09,0,26
G01832,01832,3.67,5.04,27
G01833,01833,8.43,16,24
G01834,01834,5.04,7.55,20
G01835,01835,2.29,5.15,26
G01840,01840,0.24,0,29
G01841,01841,0.24,0,29
G01843,01843,0.63,0,29
G01844,01844,1.11,0,28
G01845,01845,4.43,9.53,28
G01850,01850,0.93,5.07,33
G01851,01851,1.03,0,37
G01852,01852,1.39,0,37
G01854,01854,1.7,0,37
G01860,01860,6.98,10.05,22
G01862,01862,5.92,10.44,34
G01863,01863,2.04,7.31,37
G01864,01864,8.57,16.99,73
G01867,01867,9.11,16.12,137
G01876,01876,0.73,0,30
G01879,01879,3.2,0,28
G01880,01880,6.45,12.51,125
G01886,01886,7.37,12.36,28
G01887,01887,6,9.42,83
G01890,01890,5.79,11.58,122
G01901,01901,0.28,0,128
G01902,01902,0.24,0,128
G01904,01904,2.14,4.47,110
G01905,01905,0.46,0,128
G01906,01906,1.98,4.95,128
G01907,01907,1.65,5.29,106
G01908,01908,3.4,8.06,104
G01913,01913,11.32,14.58,24
G01915,01915,1.77,0,55
G01921,01921,8.74,23.51,32
G01922,01922,11.36,21.98,8
G01923,01923,2.95,8.19,59
G01929,01929,6.72,11.49,14
G01930,01930,0.65,0,14
G01937,01937,3.93,12.6,73
G01938,01938,12.01,21.69,14
G01940,01940,4.47,12.93,110
G01944,01944,7.12,10.84,43
G01945,01945,2.21,8.31,83
G01949,01949,6.33,14.04,68
G01950,01950,13.32,21.02,7
G01951,01951,15.64,27.15,4
G01952,01952,14.32,21.2,9
G01960,01960,1.02,0,71
G01966,01966,4.8,9,3
G01969,01969,13.86,22.6,16
G01970,01970,0.26,0,86
G01982,01982,6.58,11.29,43
G01983,01983,8.29,13.2,62
G01984,01984,3.87,8.75,43
G01985,01985,7.48,15.1,19
G02019,02019,5.59,10.53,21
G02021,02021,9.14,15.65,81
G02025,02025,3.83,11.53,8
G02026,02026,6.2,12.32,94
G02030,02030,9.73,23.46,24
G02032,02032,13.08,23.94,38
G02035,02035,12.56,22.96,18
G02038,02038,8.42,17.37,7
G02043,02043,4.64,11.79,35
G02045,02045,2.51,0,5
G02048,02048,8.17,21.04,16
G02052,02052,11.44,20.78,11
G02053,02053,6.73,14.09,8
G02054,02054,10.66,20.16,8
G02056,02056,13.18,26.57,7
G02061,02061,10,21.28,26
G02062,02062,10.51,19.51,68
G02066,02066,8.93,19.32,1
G02067,02067,8.83,20.98,19
G02071,02071,14.69,28.14,9
G02072,02072,5.21,10.78,56
G02081,02081,15.2,26.44,18
G02090,02090,9.32,18.82,76
G02093,02093,10.03,22.2,11
G02108,02108,0.28,2.38,132
G02109,02109,0.04,3.36,133
G02110,02110,0.47,0,132
G02111,02111,0.1,0,132
G02113,02113,0.14,0,132
G02114,02114,0.09,0,132
G02115,02115,0.41,2.74,129
G02116,02116,0.18,0,129
G02118,02118,0.28,0,129
G02119,02119,0.21,0,121
G02120,02120,0.31,0,121
G02121,02121,0.31,0,126
G02122,02122,1.45,0,126
G02124,02124,0.34,0,126
G02125,02125,0.53,0,121
G02126,02126,0.41,0,113
G02127,02127,0.66,0,129
G02128,02128,1.17,0,133
G02129,02129,0.06,0,132
G02130,02130,0.96,0,121
G02131,02131,2.15,6.36,97
G02132,02132,4.44,9.84,96
G02134,02134,0.44,0,123
G02135,02135,0.88,0,123
G02136,02136,2.81,6.23,97
G02138,02138,1.2,0,121
G02139,02139,0.18,0,121
G02140,02140,2.01,4.5,121
G02141,02141,1.16,4.14,132
G02142,02142,0.93,3.87,132
G02143,02143,0.2,0,129
G02144,02144,2.46,4.94,130
G02145,02145,1.31,4.62,134
G02148,02148,1.75,0,135
G02149,02149,1.86,4.08,134
G02150,02150,1.45,4.69,133
G02151,02151,0.34,0,133
G02152,02152,0.53,0,132
G02155,02155,2.31,6.25,137
G02163,02163,0.77,4.47,122
G02169,02169,0.97,0,97
G02170,02170,0.79,3.56,127
G02171,02171,1.36,0,127
G02176,02176,3.73,5.54,138
G02180,02180,5.46,10.5,151
G02184,02184,4.35,13.13,86
G02186,02186,2.76,5.06,96
G02188,02188,3.97,8.04,89
G02189,02189,4.7,11.69,74
G02190,02190,7.77,13.42,78
G02191,02191,1.87,11.17,74
G02199,02199,0.7,7.04,121
G02203,02203,0.12,0,132
G02210,02210,0.14,0,129
G02215,02215,0.44,0,129
G02301,02301,0.94,0,28
G02302,02302,1.49,4.92,27
G02322,02322,4.24,9.51,65
G02324,02324,9.97,17.07,7
G02330,02330,10.82,22.06,4
G02332,02332,6.62,24.56,1
G02333,02333,7.06,17.39,7
G02338,02338,12.19,29.09,6
G02339,02339,11.79,22.06,21
G02341,02341,10.55,21.54,5
G02343,02343,5.75,10.62,72
G02346,02346,15.64,21.9,3
G02347,02347,11.63,21.13,5
G02351,02351,5.06,13.76,26
G02356,02356,4.18,11.58,7
G02357,02357,1.69,11.41,16
G02359,02359,11.28,27.34,6
G02360,02360,10.1,0,3
G02364,02364,4.23,17.12,1
G02366,02366,12.06,18.28,1
G02367,02367,8.54,24.48,3
G02368,02368,8.32,14.62,87
G02370,02370,8.56,17.48,26
G02375,02375,5.6,16.61,7
G02379,02379,4.44,11.1,7
G02382,02382,5.55,11.5,9
G02420,02420,8.03,14.19,82
G02421,02421,6.53,10.35,97
G02445,02445,1.98,4.9,121
G02446,02446,1.39,3.08,121
G02451,02451,3.69,5.27,81
G02452,02452,2.15,5.2,85
G02453,02453,1.48,0,88
G02457,02457,7.58,15.2,75
G02458,02458,1.51,6.04,123
G02459,02459,4.03,9.37,94
G02460,02460,1.89,4.75,104
G02461,02461,4.53,9.15,94
G02462,02462,4.6,7.58,88
G02464,02464,5.32,11.8,92
G02465,02465,2.08,4.42,90
G02466,02466,3.2,4.67,90
G02467,02467,3.12,8.36,94
G02468,02468,4.14,8.5,94
G02472,02472,1.75,7.72,123
G02474,02474,5,8.85,123
G02476,02476,5.23,10.16,117
G02478,02478,3.62,8.07,119
G02481,02481,6.62,14.22,71
G02482,02482,7.32,14.64,71
G02492,02492,9.01,15.11,95
G02493,02493,5.72,9,76
G02494,02494,6.7,12.76,91
G02532,02532,2.31,0,5
G02534,02534,6.17,14.18,3
G02536,02536,4.52,10.1,5
G02537,02537,5.29,8.08,10
G02538,02538,6.32,14.74,2
G02540,02540,1.51,0,3
G02542,02542,3.56,16.14,4
G02543,02543,10.36,11.92,2
G02553,02553,2.72,12.54,4
G02556,02556,7.32,11.3,4
G02558,02558,4.97,8.5,2
G02559,02559,3.99,14.53,4
G02561,02561,2.3,11.93,10
G02562,02562,2.79,11.16,5
G02563,02563,4.43,0,9
G02571,02571,8.46,13.46,3
G02576,02576,13.19,19.15,3
G02601,02601,0.91,0,9
G02630,02630,2.74,10.15,9
G02631,02631,7.09,16.24,2
G02632,02632,1.22,0,8
G02633,02633,6.32,12.89,2
G02635,02635,3.77,6.1,8
G02637,02637,3.31,11.28,9
G02638,02638,4.61,6.28,7
G02639,02639,2.81,8.55,7
G02641,02641,5.19,8.12,7
G02642,02642,10.58,13.49,2
G02643,02643,12.28,26.31,2
G02644,02644,6.6,8.88,9
G02645,02645,3.11,8.86,7
G02646,02646,0.8,0,6
G02647,02647,2.53,5.79,9
G02648,02648,6.08,11.73,9
G02649,02649,0.97,0,9
G02650,02650,7.2,14.59,2
G02651,02651,6.87,10.86,1
G02652,02652,6.31,12.67,2
G02653,02653,10.88,19.61,3
G02655,02655,5.03,7.73,9
G02657,02657,1.02,0,2
G02659,02659,2.87,7.85,2
G02660,02660,1.05,0,7
G02663,02663,4.33,6.46,2
G02664,02664,3.6,8.88,9
G02666,02666,4.16,11.33,2
G02667,02667,1.91,0,2
G02668,02668,5.3,10.48,9
G02669,02669,4.67,10.2,2
G02670,02670,3.55,8.66,7
G02671,02671,3.41,5.94,7
G02672,02672,2.24,6.86,8
G02673,02673,1.92,8.47,9
G02675,02675,5.38,7.45,9
G02702,02702,8.3,12.53,8
G02703,02703,7.33,12.88,34
G02715,02715,8.55,16.13,6
G02717,02717,11.78,13.63,7
G02718,02718,6.73,11.75,10
G02719,02719,3.61,5.11,5
G02720,02720,2.1,0,20
G02721,02721,1.82,0,26
G02723,02723,0.69,4.63,26
G02724,02724,1.17,0,26
G02725,02725,2.41,7.89,34
G02726,02726,4.35,12.18,18
G02738,02738,12.47,21.19,3
G02739,02739,8.07,11.75,6
G02740,02740,0.84,0,5
G02743,02743,7.4,13.58,5
G02744,02744,2.73,5.26,5
G02745,02745,6.01,9.55,7
G02746,02746,2.58,4.93,5
G02747,02747,6.89,8.52,5
G02748,02748,7.89,9.24,5
G02760,02760,8.01,15.67,32
G02762,02762,10.36,21.51,20
G02763,02763,8.82,15.49,32
G02764,02764,5.94,11.23,23
G02766,02766,3.93,13.57,19
G02767,02767,4.7,10.17,9
G02769,02769,7.99,17.52,33
G02771,02771,4.54,12.33,43
G02777,02777,5.69,10.93,35
G02779,02779,6.35,13.6,5
G02780,02780,1.56,0,10
G02790,02790,9.48,16.66,5
G02791,02791,14.51,22.63,5
G02802,02802,5.29,9.77,32
G02804,02804,5.85,12.76,4
G02806,02806,1.83,0,32
G02808,02808,6.91,13.58,5
G02809,02809,5.25,13.95,16
G02812,02812,5.75,15.79,2
G02813,02813,9.63,19.46,3
G02814,02814,5.42,11.5,26
G02815,02815,7.36,9.46,15
G02816,02816,5.56,0,24
G02817,02817,10.85,16.82,8
G02818,02818,5.36,12.23,29
G02822,02822,10.16,20.75,7
G02825,02825,3.38,0,14
G02826,02826,4.79,12.55,17
G02827,02827,10.69,17.78,9
G02828,02828,4.01,8.23,42
G02830,02830,4.32,8.56,17
G02831,02831,6.16,12.38,23
G02832,02832,1.91,0,10
G02833,02833,2.92,11.66,4
G02835,02835,4.43,12.3,9
G02836,02836,8.58,20.27,4
G02837,02837,9.3,27.13,2
G02838,02838,3.69,5.86,38
G02839,02839,4.31,10.74,17
G02840,02840,1.35,0,8
G02841,02841,0.82,8.51,8
G02842,02842,1.57,8.17,9
G02852,02852,1.79,0,17
G02857,02857,4.07,0,43
G02858,02858,3.79,9.59,21
G02859,02859,3.09,0,15
G02860,02860,0.64,0,38
G02861,02861,2.24,7.23,40
G02863,02863,0.29,0,38
G02864,02864,5.53,11.02,32
G02865,02865,4.51,7.13,38
G02871,02871,6.35,18.13,13
G02873,02873,4.75,5.24,4
G02874,02874,7.1,13.67,10
G02875,02875,7.45,19.65,3
G02876,02876,5.21,12.64,29
G02878,02878,7.59,10.64,6
G02879,02879,3.02,0,3
G02881,02881,3.9,11.32,10
G02882,02882,2.51,7.97,10
G02885,02885,2.06,6.27,32
G02886,02886,0.67,0,36
G02888,02888,2.84,6.57,35
G02889,02889,2.67,0,34
G02891,02891,2.33,0,9
G02892,02892,8.53,20.37,3
G02893,02893,0.84,0,35
G02894,02894,4.58,12.9,3
G02895,02895,0.73,0,32
G02896,02896,4.34,11.06,29
G02898,02898,4.82,6.69,7
G02903,02903,0.55,0,42
G02904,02904,2.44,0,40
G02905,02905,1.46,0,42
G02906,02906,1.42,5.37,42
G02907,02907,0.96,0,42
G02908,02908,1.03,0,42
G02909,02909,0.22,0,43
G02910,02910,0.58,0,40
G02911,02911,0.74,0,40
G02912,02912,1.14,3.26,42
G02914,02914,2.73,7.58,44
G02915,02915,0.94,0,41
G02916,02916,3.49,8.81,43
G02917,02917,6.26,8.21,37
G02919,02919,2.41,0,43
G02920,02920,2.8,0,41
G02921,02921,4.42,10.69,35
G03031,03031,8.03,25.4,11
G03032,03032,6.35,17.47,9
G03033,03033,10.51,23.86,5
G03034,03034,8.8,15.1,9
G03036,03036,8.2,16.76,1
G03037,03037,10.38,22.4,1
G03038,03038,14.03,24.48,9
G03042,03042,7.89,13.85,5
G03044,03044,6.57,14.21,7
G03045,03045,7.19,13.68,8
G03046,03046,13.73,28.53,1
G03048,03048,14.55,27.48,2
G03049,03049,5.17,13.99,13
G03051,03051,3.64,10.6,20
G03052,03052,6.96,21.54,20
G03053,03053,10.53,17.42,17
G03054,03054,5.16,19.68,19
G03055,03055,9.43,24.31,4
G03060,03060,1.36,0,20
G03062,03062,1.75,0,20
G03063,03063,1.29,0,21
G03064,03064,0.99,0,22
G03070,03070,14.78,23.45,7
G03076,03076,7.23,14.75,38
G03077,03077,1.01,0,12
G03079,03079,6.01,12.35,32
G03087,03087,10.08,22.5,43
G03101,03101,0.51,0,13
G03102,03102,1.98,0,13
G03103,03103,2.63,0,13
G03104,03104,1.76,0,9
G03106,03106,6.96,12.09,9
G03109,03109,2.87,8.94,9
G03110,03110,6.2,11.64,12
G03216,03216,10.61,23.96,2
G03217,03217,7.63,16.38,3
G03220,03220,5.74,15.82,5
G03222,03222,3.49,0,1
G03223,03223,8.31,12.58,3
G03224,03224,10.67,27.92,2
G03226,03226,15.33,23.5,6
G03230,03230,11.93,21.94,1
G03231,03231,8.12,16.12,2
G03235,03235,2.04,0,5
G03237,03237,11.07,21.86,5
G03238,03238,6.14,7.2,1
G03241,03241,7.2,24.99,4
G03243,03243,11.23,19.98,3
G03245,03245,8.96,13.35,3
G03246,03246,3.94,0,5
G03249,03249,5.96,8.78,5
G03253,03253,9.69,15.97,3
G03256,03256,13.48,21.71,9
G03264,03264,3.53,0,3
G03266,03266,11.01,18.96,5
G03268,03268,9.81,17.8,2
G03269,03269,7.91,17.77,5
G03275,03275,15.46,27.9,4
G03276,03276,4.07,7.73,5
G03279,03279,2.35,0,1
G03282,03282,6.34,11.91,1
G03285,03285,15.92,25.6,3
G03290,03290,9.21,21.15,3
G03291,03291,13.48,25.28,5
G03293,03293,15.37,26.68,3
G03301,03301,21.92,24.97,8
G03303,03303,14.36,25.42,2
G03304,03304,13.18,24.41,8
G03447,03447,20.07,28.32,1
G03461,03461,16.89,27.72,1
G03465,03465,24.13,28.97,1
G03561,03561,4.2,0,5
G03570,03570,1.19,0,3
G03574,03574,9.73,12,4
G03575,03575,15.01,25.1,1
G03576,03576,6.84,0,2
G03580,03580,4.81,0,3
G03581,03581,6.66,0,1
G03583,03583,10.41,22.06,1
G03584,03584,11.71,18.09,1
G03585,03585,11.53,22.34,3
G03586,03586,4.76,11.08,3
G03588,03588,12.69,20.09,3
G03592,03592,22.78,28.59,1
G03593,03593,10.86,21.49,3
G03595,03595,8.78,13.93,4
G03597,03597,17.49,8.92,2
G03598,03598,1.54,0,3
G03601,03601,8.15,25.34,1
G03602,03602,7.92,21.61,2
G03603,03603,2.04,0,9
G03604,03604,4.47,12.79,2
G03607,03607,11.45,27.67,2
G03608,03608,5.94,14.96,2
G03609,03609,1.68,4.47,10
G03740,03740,5.12,17.38,5
G03743,03743,10.77,15.79,7
G03765,03765,3.47,18.36,11
G03768,03768,15.7,25.63,6
G03771,03771,13.11,25.07,3
G03774,03774,4.72,14.79,10
G03777,03777,7.76,23.98,6
G03779,03779,6,13.1,7
G03780,03780,6.66,19.96,9
G03785,03785,11.35,0,3
G03801,03801,2.95,0,6
G03810,03810,12.65,24.36,3
G03811,03811,7.83,13.14,22
G03813,03813,11.56,23.8,1
G03817,03817,12.73,19.37,1
G03818,03818,9.7,0,1
G03819,03819,11.59,20.22,7
G03820,03820,4.56,0,9
G03823,03823,4.39,8.76,8
G03824,03824,4.39,12.3,8
G03825,03825,7.27,17.48,5
G03826,03826,10.68,15.1,22
G03827,03827,7.3,13.17,7
G03832,03832,9.19,19.13,1
G03833,03833,2.19,0,4
G03835,03835,4.25,14.14,4
G03837,03837,13.89,29.82,3
G03839,03839,2.5,8.13,5
G03840,03840,4.36,11.55,7
G03841,03841,12.05,19.93,21
G03842,03842,9.2,21.82,10
G03844,03844,7.11,17.87,10
G03845,03845,11.54,23.63,1
G03847,03847,7.97,20.69,1
G03848,03848,9.74,15.28,7
G03849,03849,8.48,11.86,1
G03851,03851,8.82,24.52,2
G03852,03852,12.69,23.51,4
G03854,03854,3.59,12.2,4
G03855,03855,14.19,26.62,2
G03856,03856,3.7,13.1,7
G03857,03857,0.79,0,8
G03858,03858,8.51,11.77,21
G03860,03860,5.31,13.88,1
G03861,03861,6.15,9.61,11
G03862,03862,6.61,16.52,6
G03865,03865,5.74,7.5,22
G03867,03867,1.74,0,6
G03868,03868,3.86,7.29,7
G03869,03869,5.44,9.86,8
G03870,03870,2.94,15.55,3
G03871,03871,5.57,18.43,5
G03873,03873,10.11,22.82,5
G03874,03874,11.11,20.05,9
G03875,03875,10.23,20.72,1
G03878,03878,1.25,0,8
G03884,03884,10.72,29.63,2
G03885,03885,5.12,13.41,7
G03886,03886,17.07,24.66,1
G03887,03887,13.87,27.67,2
G03890,03890,18.19,25.77,1
G03901,03901,4.36,11.6,5
G03902,03902,12.78,27.4,3
G03903,03903,8.92,15.68,5
G03904,03904,5.88,11.84,4
G03905,03905,6.46,22.12,3
G03906,03906,3.77,0,5
G03907,03907,12.74,27.2,4
G03908,03908,6.82,18.94,6
G03909,03909,12.24,14.89,4
G03910,03910,15.38,22.6,3
G03911,03911,12.01,18.96,3
G04001,04001,10.4,17.97,2
G04002,04002,2.53,0,4
G04005,04005,1.09,0,26
G04006,04006,10.77,16.05,1
G04008,04008,6.14,20.45,1
G04010,04010,11.88,18.64,4
G04015,04015,11.99,22.48,1
G04020,04020,5.83,25.03,3
G04021,04021,8.7,19.96,22
G04022,04022,16.79,27.04,1
G04024,04024,13.42,29.1,1
G04027,04027,9.45,16.73,6
G04030,04030,8.51,28.19,3
G04032,04032,19.08,24.1,22
G04037,04037,15.09,20.21,1
G04038,04038,7.74,12.89,22
G04039,04039,17.23,18.05,37
G04041,04041,5.88,0,1
G04042,04042,13.7,27.13,1
G04043,04043,10.09,14.46,2
G04046,04046,6.21,16.12,1
G04047,04047,7.33,24.94,2
G04055,04055,17.62,26.33,1
G04062,04062,11.12,16.23,22
G04063,04063,6.63,9.42,24
G04064,04064,7.91,9.87,24
G04068,04068,4.63,0,2
G04071,04071,13.46,26.56,1
G04072,04072,5.44,5,24
G04073,04073,6.21,11.43,4
G04074,04074,6.08,11.28,23
G04076,04076,8.78,16.99,2
G04083,04083,1.13,0,7
G04084,04084,17.13,29.61,1
G04087,04087,6.61,21.98,3
G04090,04090,10.37,16.84,5
G04091,04091,8.4,21.02,1
G04092,04092,2.09,0,23
G04093,04093,13.04,20.83,23
G04095,04095,16.87,26.9,2
G04096,04096,11.67,16.06,22
G04097,04097,14.15,26.33,21
G04101,04101,0.2,0,23
G04102,04102,1.4,0,23
G04103,04103,0.4,0,23
G04105,04105,3.8,15.83,22
G04106,04106,1.44,0,23
G04107,04107,6.28,7.38,22
G04108,04108,0.55,0,1
G04110,04110,7.71,15.74,22
G04210,04210,0.61,0,16
G04217,04217,5.03,0,1
G04219,04219,13.73,21.77,1
G04220,04220,10.94,20.48,1
G04221,04221,7.81,23.28,2
G04222,04222,13.37,23.79,14
G04227,04227,11.18,17.68,1
G04228,04228,6.37,12.63,2
G04231,04231,15.61,27.77,1
G04234,04234,14.68,23.2,1
G04236,04236,7.36,12.48,17
G04237,04237,9.52,24.54,1
G04238,04238,9.07,22.15,9
G04239,04239,5.83,13.21,1
G04240,04240,2.24,0,17
G04250,04250,8.77,15.96,14
G04252,04252,11.73,21.83,14
G04253,04253,6.52,12.97,3
G04254,04254,4.98,0,2
G04255,04255,11.01,24.78,1
G04256,04256,3.94,9.74,15
G04258,04258,7.61,17.87,16
G04259,04259,2.39,0,2
G04260,04260,11.72,16.84,26
G04261,04261,17.43,23.78,1
G04263,04263,0.78,0,11
G04265,04265,3.93,10.89,20
G04267,04267,19.32,28.71,1
G04268,04268,21.67,25.9,1
G04270,04270,9.59,15.81,8
G04274,04274,1.64,0,15
G04280,04280,9.5,12.53,16
G04281,04281,15.81,25.49,1
G04282,04282,2.41,0,16
G04284,04284,6.83,18.64,4
