"","GEOID","year","TotalPop","TotalVetPop","VetPercent","MalePop","MaleVetPop","Male18To34","MaleVet18To34","Male35To54","MaleVet35To54","Male55To64","MaleVet55To64","Male65To74","MaleVet65To74","Male75Plus","MaleVet75Plus","FemalePop","FemaleVetPop","Female18To34","FemaleVet18To34","Female35To54","FemaleVet35To54","Female55To64","FemaleVet55To64","Female65To74","FemaleVet65To74","Female75Plus","FemaleVet75Plus"
"2773","48499",2010,33273,5336,16.04,15722,5099,3193,176,4931,702,3121,1414,2840,1587,1637,1220,17551,237,4072,25,5021,40,3294,117,2866,55,2298,0
"2774","48501",2010,5259,297,5.65,2620,297,823,43,1006,39,396,80,213,34,182,101,2639,0,956,0,810,0,422,0,207,0,244,0
"2775","48503",2010,13813,1718,12.44,6638,1656,1733,176,2298,191,1106,382,861,436,640,471,7175,62,1633,0,2408,48,1228,14,864,0,1042,0
"2776","48505",2010,9015,448,4.97,4374,448,1584,4,1510,75,625,147,390,122,265,100,4641,0,1599,0,1506,0,789,0,405,0,342,0
"2777","48507",2010,7878,349,4.43,3864,327,1427,17,1332,144,532,65,302,43,271,58,4014,22,1165,17,1369,5,619,0,381,0,480,0
"2778","49001",2010,4274,391,9.15,2137,347,680,23,745,54,315,69,230,80,167,121,2137,44,651,0,729,0,331,44,228,0,198,0
"2779","49003",2010,31638,2936,9.28,15670,2800,5304,205,5815,545,2071,765,1381,567,1099,718,15968,136,5407,39,5640,62,2065,0,1545,0,1311,35
"2780","49005",2010,73671,4539,6.16,36133,4364,18357,417,10393,731,3639,1075,2117,888,1627,1253,37538,175,18917,30,10520,54,3655,26,2171,26,2275,39
"2781","49007",2010,15290,1665,10.89,7592,1540,2532,90,2534,192,1255,520,679,358,592,380,7698,125,2388,19,2531,27,1194,14,796,38,789,27
"2782","49009",2010,701,86,12.27,403,86,140,7,100,15,55,11,67,28,41,25,298,0,83,0,60,0,68,0,64,0,23,0
"2783","49011",2010,190952,20446,10.71,93386,18774,36664,2069,34632,5681,11571,4326,6107,3135,4412,3563,97566,1672,37012,417,35700,976,11879,117,6957,63,6018,99
"2784","49013",2010,11540,1070,9.27,5864,1050,1983,24,2119,227,844,261,586,324,332,214,5676,20,1987,0,2008,5,779,7,519,0,383,8
"2785","49015",2010,7354,695,9.45,3766,670,1246,46,1270,121,607,175,409,171,234,157,3588,25,1051,0,1262,7,565,15,400,0,310,3
"2786","49017",2010,3621,549,15.16,1847,534,432,14,682,139,359,98,225,145,149,138,1774,15,368,0,629,4,438,3,127,0,212,8
"2787","49019",2010,6908,654,9.47,3428,603,922,0,1321,50,640,154,309,197,236,202,3480,51,829,0,1387,0,621,28,346,23,297,0
"2788","49021",2010,30898,2931,9.49,15157,2710,6990,245,4308,503,1837,832,1257,635,765,495,15741,221,7142,74,4524,78,1891,25,1194,18,990,26
"2789","49023",2010,6188,536,8.66,3105,519,1092,0,1102,101,416,131,294,148,201,139,3083,17,984,0,1134,7,433,0,284,10,248,0
"2790","49025",2010,5343,654,12.24,2709,591,632,5,876,65,548,146,408,187,245,188,2634,63,542,6,843,7,632,36,351,0,266,14
"2791","49027",2010,8245,803,9.74,4185,796,1223,18,1511,92,649,236,454,204,348,246,4060,7,1113,0,1406,5,680,0,430,2,431,0
"2792","49029",2010,5796,713,12.3,2854,621,837,33,1142,161,418,174,285,118,172,135,2942,92,831,21,1205,61,426,0,283,10,197,0
"2793","49031",2010,1099,164,14.92,528,164,105,0,139,10,126,55,82,29,76,70,571,0,134,0,147,0,108,0,103,0,79,0
"2794","49033",2010,1582,149,9.42,821,149,251,0,263,8,122,51,118,46,67,44,761,0,182,0,266,0,166,0,76,0,71,0
"2795","49035",2010,707688,52386,7.4,352943,49316,144357,4085,128208,11399,43344,13878,21324,9260,15710,10694,354745,3070,137238,593,124866,1498,44730,391,24501,187,23410,401
"2796","49037",2010,9413,646,6.86,4663,592,1593,47,1708,86,648,206,422,113,292,140,4750,54,1527,10,1685,18,706,26,441,0,391,0
"2797","49039",2010,18654,1763,9.45,9786,1739,3921,73,3189,368,1228,462,890,428,558,408,8868,24,3580,0,2538,17,1203,0,871,0,676,7
