"","GEOID","year","totalP","totalP_hh","totalP_fhh","nonRel_fhh","nonRel_fhhP","totalP_nfhh","nonRel_nfhh","nonRel_nfhhP","groupQuar","groupQuarP"
"57","01113",2010,51663,51018,42169,885,2.1,8849,1456,16.45,645,1.25
"58","01115",2010,80658,78050,69025,1310,1.9,9025,1357,15.04,2608,3.23
"59","01117",2010,187880,185876,161863,1883,1.16,24013,4040,16.82,2004,1.07
"60","01119",2010,13871,13737,11503,219,1.9,2234,375,16.79,134,0.97
"61","01121",2010,82347,78474,68145,1554,2.28,10329,1163,11.26,3873,4.7
"62","01123",2010,41534,40907,35188,832,2.36,5719,854,14.93,627,1.51
"63","01125",2010,188331,180679,144521,3147,2.18,36158,10098,27.93,7652,4.06
"64","01127",2010,67612,66981,58169,1159,1.99,8812,1326,15.05,631,0.93
"65","01129",2010,17556,17212,15187,178,1.17,2025,175,8.64,344,1.96
"66","01131",2010,12012,11258,10142,110,1.08,1116,0,0,754,6.28
"67","01133",2010,24687,23940,20969,308,1.47,2971,422,14.2,747,3.03
"68","02013",2010,3703,734,611,26,4.26,123,21,17.07,2969,80.18
"69","02016",2010,6259,1428,1146,34,2.97,282,61,21.63,4831,77.18
"70","02020",2010,284267,277683,230755,7396,3.21,46928,12738,27.14,6584,2.32
"71","02050",2010,16838,16666,15117,559,3.7,1549,416,26.86,172,1.02
"72","02060",2010,1049,1049,887,28,3.16,162,40,24.69,0,0
"73","02068",2010,1144,947,728,3,0.41,219,17,7.76,197,17.22
"74","02070",2010,4817,4817,4214,225,5.34,603,169,28.03,0,0
"75","02090",2010,94439,90844,76363,2522,3.3,14481,3527,24.36,3595,3.81
"76","02100",2010,1658,1648,1353,57,4.21,295,12,4.07,10,0.6
"77","02105",2010,2029,2029,1647,39,2.37,382,51,13.35,0,0
"78","02110",2010,30975,30249,24425,967,3.96,5824,1609,27.63,726,2.34
"79","02122",2010,53917,52450,43351,1026,2.37,9099,1454,15.98,1467,2.72
"80","02130",2010,13396,13284,10815,307,2.84,2469,434,17.58,112,0.84
"81","02150",2010,13349,12170,10350,228,2.2,1820,534,29.34,1179,8.83
"82","02164",2010,1626,1626,1463,37,2.53,163,38,23.31,0,0
"83","02170",2010,84147,82564,72011,2419,3.36,10553,2496,23.65,1583,1.88
"84","02180",2010,9315,8927,7796,390,5,1131,287,25.38,388,4.17
"85","02185",2010,8852,8840,8231,491,5.97,609,152,24.96,12,0.14
"86","02188",2010,7477,6995,6479,366,5.65,516,99,19.19,482,6.45
"87","02195",2010,3841,3755,3031,86,2.84,724,152,20.99,86,2.24
"88","02198",2010,5507,5453,4500,195,4.33,953,157,16.47,54,0.98
"89","02220",2010,8894,8819,7298,412,5.65,1521,240,15.78,75,0.84
"90","02230",2010,1140,877,737,34,4.61,140,15,10.71,263,23.07
"91","02240",2010,6935,6548,5525,231,4.18,1023,249,24.34,387,5.58
"92","02261",2010,9606,9542,8037,259,3.22,1505,206,13.69,64,0.67
"93","02270",2010,7398,7398,6984,357,5.11,414,73,17.63,0,0
"94","02275",2010,2338,2338,1926,109,5.66,412,67,16.26,0,0
"95","02282",2010,638,638,534,13,2.43,104,17,16.35,0,0
"96","02290",2010,5635,5552,4444,241,5.42,1108,217,19.58,83,1.47
"97","04001",2010,70312,68014,61525,1244,2.02,6489,889,13.7,2298,3.27
"98","04003",2010,129268,122966,104915,2380,2.27,18051,2661,14.74,6302,4.88
"99","04005",2010,131824,124046,100841,3322,3.29,23205,7475,32.21,7778,5.9
"100","04007",2010,53272,52296,43464,767,1.76,8832,1969,22.29,976,1.83
"101","04009",2010,36030,32317,29138,784,2.69,3179,498,15.67,3713,10.31
"102","04011",2010,8318,8308,7083,206,2.91,1225,251,20.49,10,0.12
"103","04012",2010,20549,20148,16036,461,2.87,4112,423,10.29,401,1.95
"104","04013",2010,3751410,3704070,3090025,89741,2.9,614045,145841,23.75,47340,1.26
"105","04015",2010,199177,196032,161528,5299,3.28,34504,7550,21.88,3145,1.58
"106","04017",2010,107060,105023,94192,3017,3.2,10831,1470,13.57,2037,1.9
"107","04019",2010,964462,939037,755497,21303,2.82,183540,39040,21.27,25425,2.64
"108","04021",2010,329297,304326,264746,6904,2.61,39580,7019,17.73,24971,7.58
"109","04023",2010,46051,45817,42256,666,1.58,3561,786,22.07,234,0.51
"110","04025",2010,209260,205098,163952,4550,2.78,41146,8358,20.31,4162,1.99
"111","04027",2010,190526,184630,165162,4058,2.46,19468,3375,17.34,5896,3.09
"112","05001",2010,19321,18676,14741,378,2.56,3935,892,22.67,645,3.34
"113","05003",2010,22126,21903,19033,289,1.52,2870,190,6.62,223,1.01
"114","05005",2010,41388,40687,32973,682,2.07,7714,1370,17.76,701,1.69
"115","05007",2010,209911,207657,181865,4061,2.23,25792,4445,17.23,2254,1.07
"116","05009",2010,36710,36191,30497,301,0.99,5694,1189,20.88,519,1.41
"117","05011",2010,11638,10920,9407,112,1.19,1513,125,8.26,718,6.17
"118","05013",2010,5529,5529,4849,144,2.97,680,65,9.56,0,0
"119","05015",2010,26971,26129,21889,371,1.69,4240,697,16.44,842,3.12
"120","05017",2010,12102,11300,9449,238,2.52,1851,204,11.02,802,6.63
"121","05019",2010,23083,19315,15611,297,1.9,3704,557,15.04,3768,16.32
"122","05021",2010,16297,16287,13724,153,1.11,2563,176,6.87,10,0.06
"123","05023",2010,25692,24837,21400,401,1.87,3437,364,10.59,855,3.33
"124","05025",2010,8769,8759,7855,108,1.37,904,59,6.53,10,0.11
"125","05027",2010,24756,23233,19309,323,1.67,3924,634,16.16,1523,6.15
"126","05029",2010,21059,20987,17829,466,2.61,3158,316,10.01,72,0.34
"127","05031",2010,93329,90349,75886,1800,2.37,14463,3170,21.92,2980,3.19
"128","05033",2010,60778,60627,54135,908,1.68,6492,1058,16.3,151,0.25
"129","05035",2010,50673,49955,43700,1052,2.41,6255,842,13.46,718,1.42
"130","05037",2010,18144,17842,15772,353,2.24,2070,177,8.55,302,1.66
"131","05039",2010,8280,7562,6454,121,1.87,1108,116,10.47,718,8.67
"132","05041",2010,13351,13351,11491,151,1.31,1860,133,7.15,0,0
"133","05043",2010,18546,17651,14644,191,1.3,3007,562,18.69,895,4.83
"134","05045",2010,108375,103682,85487,1512,1.77,18195,5058,27.8,4693,4.33
"135","05047",2010,18176,18105,15616,439,2.81,2489,381,15.31,71,0.39
"136","05049",2010,12263,11935,10255,34,0.33,1680,128,7.62,328,2.67
"137","05051",2010,95290,93590,76554,2106,2.75,17036,2621,15.39,1700,1.78
"138","05053",2010,17657,17410,15759,221,1.4,1651,176,10.66,247,1.4
"139","05055",2010,41318,40635,34840,728,2.09,5795,1083,18.69,683,1.65
"140","05057",2010,22747,21661,19058,416,2.18,2603,305,11.72,1086,4.77
"141","05059",2010,32671,31573,27005,700,2.59,4568,825,18.06,1098,3.36
"142","05061",2010,13778,13602,11965,206,1.72,1637,232,14.17,176,1.28
"143","05063",2010,35994,35118,30022,723,2.41,5096,770,15.11,876,2.43
"144","05065",2010,13636,12996,11153,158,1.42,1843,130,7.05,640,4.69
"145","05067",2010,18015,15819,13546,331,2.44,2273,208,9.15,2196,12.19
"146","05069",2010,78447,73629,62427,1444,2.31,11202,1617,14.43,4818,6.14
"147","05071",2010,25180,24734,21036,545,2.59,3698,563,15.22,446,1.77
"148","05073",2010,7764,7697,6719,71,1.06,978,67,6.85,67,0.86
"149","05075",2010,17340,16328,14014,96,0.69,2314,198,8.56,1012,5.84
"150","05077",2010,10709,9218,7801,60,0.77,1417,116,8.19,1491,13.92
"151","05079",2010,14203,11835,10588,273,2.58,1247,131,10.51,2368,16.67
"152","05081",2010,13145,12824,10876,117,1.08,1948,159,8.16,321,2.44
"153","05083",2010,22580,22580,19962,447,2.24,2618,276,10.54,0,0
"154","05085",2010,65846,65115,58292,1166,2,6823,936,13.72,731,1.11
"155","05087",2010,15507,15370,13411,232,1.73,1959,403,20.57,137,0.88
"156","05089",2010,16779,16697,14091,165,1.17,2606,449,17.23,82,0.49
"157","05091",2010,43048,41874,36310,809,2.23,5564,652,11.72,1174,2.73
"158","05093",2010,46815,46191,40143,804,2,6048,1031,17.05,624,1.33
"159","05095",2010,8492,8356,7105,142,2,1251,65,5.2,136,1.6
"160","05097",2010,9490,9372,8248,83,1.01,1124,87,7.74,118,1.24
"161","05099",2010,9149,9010,7623,91,1.19,1387,171,12.33,139,1.52
"162","05101",2010,8394,8391,7267,127,1.75,1124,89,7.92,3,0.04
"163","05103",2010,26293,25872,21970,371,1.69,3902,367,9.41,421,1.6
"164","05105",2010,10435,10271,9078,273,3.01,1193,195,16.35,164,1.57
"165","05107",2010,22412,21971,19205,552,2.87,2766,182,6.58,441,1.97
"166","05109",2010,11286,11244,10082,159,1.58,1162,83,7.14,42,0.37
"167","05111",2010,24703,24296,20562,521,2.53,3734,613,16.42,407,1.65
"168","05113",2010,20490,20257,17516,247,1.41,2741,362,13.21,233,1.14
"169","05115",2010,60460,58349,50076,1303,2.6,8273,1668,20.16,2111,3.49
"170","05117",2010,8839,8738,7462,165,2.21,1276,223,17.48,101,1.14
"171","05119",2010,377060,369790,300126,6399,2.13,69664,11904,17.09,7270,1.93
"172","05121",2010,18049,17772,15320,386,2.52,2452,248,10.11,277,1.53
"173","05123",2010,28302,24441,21055,476,2.26,3386,400,11.81,3861,13.64
"174","05125",2010,102439,99603,86639,1464,1.69,12964,2226,17.17,2836,2.77
"175","05127",2010,11226,11061,9745,368,3.78,1316,155,11.78,165,1.47
"176","05129",2010,8227,7923,6600,136,2.06,1323,151,11.41,304,3.7
"177","05131",2010,123847,122479,103337,2719,2.63,19142,3034,15.85,1368,1.1
"178","05133",2010,16636,16571,14860,456,3.07,1711,198,11.57,65,0.39
"179","05135",2010,17432,17009,14058,230,1.64,2951,444,15.05,423,2.43
"180","05137",2010,12321,12241,10394,289,2.78,1847,207,11.21,80,0.65
"181","05139",2010,42180,41339,35611,725,2.04,5728,464,8.1,841,1.99
"182","05141",2010,17237,17168,14357,270,1.88,2811,447,15.9,69,0.4
"183","05143",2010,197192,190476,155277,4598,2.96,35199,8261,23.47,6716,3.41
"184","05145",2010,74957,71023,60948,1167,1.91,10075,1787,17.74,3934,5.25
"185","05147",2010,7505,7505,6287,141,2.24,1218,90,7.39,0,0
"186","05149",2010,21895,21655,18970,447,2.36,2685,559,20.82,240,1.1
"187","06001",2010,1477980,1447524,1188323,37942,3.19,259201,67365,25.99,30456,2.06
"188","06003",2010,1176,1176,947,109,11.51,229,79,34.5,0,0
"189","06005",2010,38327,33938,27876,475,1.7,6062,1366,22.53,4389,11.45
"190","06007",2010,218635,213520,165426,6124,3.7,48094,15006,31.2,5115,2.34
"191","06009",2010,45994,45769,39018,1121,2.87,6751,1325,19.63,225,0.49
"192","06011",2010,21165,20314,18062,504,2.79,2252,360,15.99,851,4.02
"193","06013",2010,1024809,1013554,876133,24293,2.77,137421,28836,20.98,11255,1.1
"194","06015",2010,28471,25321,20668,840,4.06,4653,809,17.39,3150,11.06
"195","06017",2010,179053,177836,152459,3287,2.16,25377,6321,24.91,1217,0.68
"196","06019",2010,908830,890577,785831,24931,3.17,104746,26731,25.52,18253,2.01
"197","06021",2010,27935,27935,24939,880,3.53,2996,569,18.99,0,0
"198","06023",2010,133058,129180,98441,4185,4.25,30739,8131,26.45,3878,2.91
"199","06025",2010,168052,157851,146944,2962,2.02,10907,1749,16.04,10201,6.07
"200","06027",2010,18434,18434,14573,441,3.03,3861,717,18.57,0,0
"201","06029",2010,815693,778942,698573,26283,3.76,80369,17871,22.24,36751,4.51
"202","06031",2010,151122,133881,121883,4084,3.35,11998,3169,26.41,17241,11.41
"203","06033",2010,64371,63596,51663,2133,4.13,11933,2828,23.7,775,1.2
"204","06035",2010,35081,24471,20170,621,3.08,4301,884,20.55,10610,30.24
"205","06037",2010,9758256,9571220,8176470,282865,3.46,1394750,347088,24.89,187036,1.92
"206","06039",2010,147738,138716,126989,4958,3.9,11727,2406,20.52,9022,6.11
"207","06041",2010,248601,239634,188546,5419,2.87,51088,10602,20.75,8967,3.61
"208","06043",2010,18290,17591,14398,491,3.41,3193,558,17.48,699,3.82
"209","06045",2010,87487,85762,69197,2393,3.46,16565,3835,23.15,1725,1.97
"210","06047",2010,250699,247151,226076,8778,3.88,21075,5102,24.21,3548,1.42
"211","06049",2010,9605,9282,7718,150,1.94,1564,170,10.87,323,3.36
"212","06051",2010,13905,13789,10339,179,1.73,3450,1298,37.62,116,0.83
"213","06053",2010,407435,389956,341875,15564,4.55,48081,12724,26.46,17479,4.29
"214","06055",2010,134051,128581,108029,3236,3,20552,4290,20.87,5470,4.08
"215","06057",2010,98186,97393,80402,2765,3.44,16991,3654,21.51,793,0.81
"216","06059",2010,2965525,2924882,2534974,93403,3.68,389908,104738,26.86,40643,1.37
"217","06061",2010,336477,333581,286826,5369,1.87,46755,9856,21.08,2896,0.86
"218","06063",2010,20392,20271,15788,414,2.62,4483,567,12.65,121,0.59
"219","06065",2010,2109464,2080083,1849120,58227,3.15,230963,57172,24.75,29381,1.39
"220","06067",2010,1395144,1366701,1136856,36532,3.21,229845,54365,23.65,28443,2.04
"221","06069",2010,54492,52768,48482,1124,2.32,4286,851,19.86,1724,3.16
"222","06071",2010,2005287,1963927,1780128,60970,3.43,183799,44101,23.99,41360,2.06
"223","06073",2010,3022468,2918121,2418290,70529,2.92,499831,141789,28.37,104347,3.45
"224","06075",2010,789172,774391,502794,19155,3.81,271597,85970,31.65,14781,1.87
"225","06077",2010,673613,654192,583608,19599,3.36,70584,16676,23.63,19421,2.88
"226","06079",2010,265577,248706,193973,6305,3.25,54733,16549,30.24,16871,6.35
"227","06081",2010,704327,695442,586732,17234,2.94,108710,25469,23.43,8885,1.26
"228","06083",2010,416051,398027,319762,15654,4.9,78265,27580,35.24,18024,4.33
"229","06085",2010,1739396,1707744,1472924,43905,2.98,234820,59416,25.3,31652,1.82
"230","06087",2010,256901,246603,195083,8095,4.15,51520,16675,32.37,10298,4.01
"231","06089",2010,176906,174380,145019,5408,3.73,29361,6066,20.66,2526,1.43
"232","06091",2010,3366,3366,2699,52,1.93,667,99,14.84,0,0
"233","06093",2010,44690,43740,34466,962,2.79,9274,1453,15.67,950,2.13
"234","06095",2010,410042,397964,347263,10374,2.99,50701,11597,22.87,12078,2.95
"235","06097",2010,474047,464272,374719,13027,3.48,89553,22219,24.81,9775,2.06
"236","06099",2010,509682,501948,447886,13433,3,54062,12476,23.08,7734,1.52
"237","06101",2010,93420,92536,82299,2041,2.48,10237,2175,21.25,884,0.95
"238","06103",2010,62575,61048,51651,2017,3.91,9397,1777,18.91,1527,2.44
"239","06105",2010,13701,12988,10262,401,3.91,2726,559,20.51,713,5.2
"240","06107",2010,429404,424071,390233,12543,3.21,33838,7106,21,5333,1.24
"241","06109",2010,56074,50602,40704,818,2.01,9898,1935,19.55,5472,9.76
"242","06111",2010,809080,798835,706564,23558,3.33,92271,23545,25.52,10245,1.27
"243","06113",2010,196418,187027,143528,4009,2.79,43499,16963,39,9391,4.78
"244","06115",2010,71160,69483,60893,3342,5.49,8590,1982,23.07,1677,2.36
"245","08001",2010,425330,422042,366531,10540,2.88,55511,12459,22.44,3288,0.77
"246","08003",2010,15293,13823,11241,187,1.66,2582,426,16.5,1470,9.61
"247","08005",2010,552860,547460,454895,11177,2.46,92565,17025,18.39,5400,0.98
"248","08007",2010,12136,12125,11069,115,1.04,1056,251,23.77,11,0.09
"249","08009",2010,3833,3750,3002,30,1,748,122,16.31,83,2.17
"250","08011",2010,6125,4476,3772,141,3.74,704,72,10.23,1649,26.92
"251","08013",2010,290177,278976,209610,4946,2.36,69366,20690,29.83,11201,3.86
"252","08014",2010,52872,52872,44560,718,1.61,8312,1725,20.75,0,0
"253","08015",2010,17540,16159,12835,286,2.23,3324,627,18.86,1381,7.87
"254","08017",2010,2194,2085,1734,12,0.69,351,46,13.11,109,4.97
"255","08019",2010,9088,9079,6966,113,1.62,2113,483,22.86,9,0.1
"256","08021",2010,8220,8083,7247,48,0.66,836,39,4.67,137,1.67
"257","08023",2010,3536,3536,2937,110,3.75,599,36,6.01,0,0
"258","08025",2010,5897,3675,3216,153,4.76,459,85,18.52,2222,37.68
"259","08027",2010,3899,3882,3171,106,3.34,711,52,7.31,17,0.44
"260","08029",2010,30533,29806,25283,333,1.32,4523,571,12.62,727,2.38
"261","08031",2010,578087,565752,396892,10947,2.76,168860,37176,22.02,12335,2.13
"262","08033",2010,2027,2027,1792,55,3.07,235,32,13.62,0,0
"263","08035",2010,273440,272603,246378,2741,1.11,26225,4698,17.91,837,0.31
"264","08037",2010,50793,50699,38165,1560,4.09,12534,5567,44.42,94,0.19
"265","08039",2010,22712,22702,20595,165,0.8,2107,478,22.69,10,0.04
"266","08041",2010,599988,582623,490961,11217,2.28,91662,18136,19.79,17365,2.89
"267","08043",2010,46941,34360,28341,571,2.01,6019,605,10.05,12581,26.8
"268","08045",2010,54761,53877,46213,1419,3.07,7664,1760,22.96,884,1.61
"269","08047",2010,5126,5116,3579,81,2.26,1537,323,21.01,10,0.2
"270","08049",2010,14526,14452,10486,230,2.19,3966,1730,43.62,74,0.51
"271","08051",2010,15136,14042,9756,172,1.76,4286,1386,32.34,1094,7.23
"272","08053",2010,489,489,359,3,0.84,130,30,23.08,0,0
"273","08055",2010,6948,6206,4829,30,0.62,1377,106,7.7,742,10.68
"274","08057",2010,1464,1464,1258,5,0.4,206,14,6.8,0,0
"275","08059",2010,528614,521938,432018,8505,1.97,89920,16638,18.5,6676,1.26
"276","08061",2010,1643,1583,1298,8,0.62,285,40,14.04,60,3.65
"277","08063",2010,8156,7430,6358,128,2.01,1072,100,9.33,726,8.9
"278","08065",2010,7039,6900,5348,270,5.05,1552,363,23.39,139,1.97
"279","08067",2010,50149,48462,38116,877,2.3,10346,2942,28.44,1687,3.36
"280","08069",2010,291162,281654,221746,4173,1.88,59908,16817,28.07,9508,3.27
"281","08071",2010,15675,15314,12543,265,2.11,2771,408,14.72,361,2.3
"282","08073",2010,5476,4512,3754,68,1.81,758,61,8.05,964,17.6
"283","08075",2010,22278,20700,17603,498,2.83,3097,499,16.11,1578,7.08
"284","08077",2010,142284,139285,114797,2958,2.58,24488,5318,21.72,2999,2.11
"285","08079",2010,1020,908,766,13,1.7,142,4,2.82,112,10.98
"286","08081",2010,13519,13486,11605,234,2.02,1881,306,16.27,33,0.24
"287","08083",2010,25279,25166,21376,505,2.36,3790,458,12.08,113,0.45
"288","08085",2010,40266,39898,34169,448,1.31,5729,799,13.95,368,0.91
"289","08087",2010,27911,27521,23454,504,2.15,4067,820,20.16,390,1.4
"290","08089",2010,18830,17546,14686,449,3.06,2860,365,12.76,1284,6.82
"291","08091",2010,4319,4319,3728,53,1.42,591,121,20.47,0,0
"292","08093",2010,16286,15386,12383,105,0.85,3003,552,18.38,900,5.53
"293","08095",2010,4394,4384,3694,91,2.46,690,50,7.25,10,0.23
"294","08097",2010,16389,16389,11578,404,3.49,4811,1316,27.35,0,0
"295","08099",2010,12734,12171,10372,237,2.28,1799,164,9.12,563,4.42
"296","08101",2010,156244,151944,126410,3189,2.52,25534,4363,17.09,4300,2.75
"297","08103",2010,6494,6373,5341,116,2.17,1032,112,10.85,121,1.86
"298","08105",2010,11926,11455,9926,100,1.01,1529,354,23.15,471,3.95
"299","08107",2010,22924,22514,17954,456,2.54,4560,916,20.09,410,1.79
"300","08109",2010,6161,5954,4888,147,3.01,1066,127,11.91,207,3.36
"301","08111",2010,752,752,409,0,0,343,94,27.41,0,0
"302","08113",2010,7299,7289,5059,133,2.63,2230,761,34.13,10,0.14
"303","08115",2010,2412,2223,1837,23,1.25,386,27,6.99,189,7.84
"304","08117",2010,27105,26583,18340,757,4.13,8243,3542,42.97,522,1.93
"305","08119",2010,22821,22546,19440,318,1.64,3106,667,21.47,275,1.21
"306","08121",2010,4773,4763,3961,51,1.29,802,103,12.84,10,0.21
"307","08123",2010,242860,237763,204393,5025,2.46,33370,8598,25.77,5097,2.1
"308","08125",2010,9896,9896,8600,93,1.08,1296,119,9.18,0,0
"309","09001",2010,905342,883383,758923,15124,1.99,124460,23239,18.67,21959,2.43
"310","09003",2010,887976,860732,714652,17106,2.39,146080,25678,17.58,27244,3.07
"311","09005",2010,189916,187766,159165,3115,1.96,28601,4576,16,2150,1.13
"312","09007",2010,164774,157782,130393,2190,1.68,27389,5088,18.58,6992,4.24
"313","09009",2010,856688,829695,689958,14699,2.13,139737,26067,18.65,26993,3.15
"314","09011",2010,272360,258614,214159,4927,2.3,44455,8707,19.59,13746,5.05
"315","09013",2010,151073,137014,115600,2037,1.76,21414,5309,24.79,14059,9.31
"316","09015",2010,117708,113554,95579,3555,3.72,17975,3882,21.6,4154,3.53
"317","10001",2010,156918,153044,132212,3772,2.85,20832,4147,19.91,3874,2.47
"318","10003",2010,533514,515696,431783,10917,2.53,83913,18244,21.74,17818,3.34
"319","10005",2010,190846,187971,155910,4771,3.06,32061,7572,23.62,2875,1.51
"320","11001",2010,584400,545221,352070,10349,2.94,193151,45005,23.3,39179,6.7
"321","12001",2010,244247,226341,157311,3434,2.18,69030,23652,34.26,17906,7.33
"322","12003",2010,26548,23702,21554,307,1.42,2148,326,15.18,2846,10.72
"323","12005",2010,166798,162186,131748,3985,3.02,30438,6111,20.08,4612,2.77
"324","12007",2010,28750,24664,21466,847,3.95,3198,663,20.73,4086,14.21
"325","12009",2010,540583,533020,438891,10303,2.35,94129,18367,19.51,7563,1.4
"326","12011",2010,1734139,1716278,1398820,37009,2.65,317458,69199,21.8,17861,1.03
"327","12013",2010,14372,12382,10711,409,3.82,1671,233,13.94,1990,13.85
"328","12015",2010,159385,157192,128362,2889,2.25,28830,4883,16.94,2193,1.38
"329","12017",2010,140686,138708,113878,2883,2.53,24830,4655,18.75,1978,1.41
"330","12019",2010,186076,184441,164840,4140,2.51,19601,3898,19.89,1635,0.88
"331","12021",2010,316931,314753,263850,9065,3.44,50903,12521,24.6,2178,0.69
"332","12023",2010,66964,63353,53693,1695,3.16,9660,1427,14.77,3611,5.39
"333","12027",2010,34557,31041,26146,1233,4.72,4895,1599,32.67,3516,10.17
"334","12029",2010,16196,15798,13253,286,2.16,2545,783,30.77,398,2.46
"335","12031",2010,854848,837597,682238,16713,2.45,155359,33239,21.39,17251,2.02
"336","12033",2010,297940,276645,226676,5583,2.46,49969,10030,20.07,21295,7.15
"337","12035",2010,91806,91308,78681,1914,2.43,12627,2547,20.17,498,0.54
"338","12037",2010,11470,10279,8343,235,2.82,1936,379,19.58,1191,10.38
"339","12039",2010,46031,42851,36394,1065,2.93,6457,854,13.23,3180,6.91
"340","12041",2010,16683,15736,13437,336,2.5,2299,627,27.27,947,5.68
"341","12043",2010,12617,11631,9652,145,1.5,1979,563,28.45,986,7.81
"342","12045",2010,15879,13345,11407,397,3.48,1938,328,16.92,2534,15.96
"343","12047",2010,14696,11688,10108,217,2.15,1580,135,8.54,3008,20.47
"344","12049",2010,27521,25064,23031,623,2.71,2033,342,16.82,2457,8.93
"345","12051",2010,39030,35046,31084,1339,4.31,3962,1304,32.91,3984,10.21
