G_COUNTYFP,COUNTYFP,countyArea,parkArea,cover
G06011,06011,2992389935.84565,105102707.390406,0.0351233327352789
G06013,06013,1969449270.29688,501304334.497749,0.254540364181191
G06015,06015,2625441396.25641,2063665449.26102,0.786026095346703
G06017,06017,4623022973.11209,1345111119.55844,0.290959211620129
G06019,06019,15563539847.024,4546780826.83065,0.292143103145013
G06021,06021,3432116706.47822,119537350.020592,0.0348290458173993
G06023,06023,9340539902.6089,2961096340.95257,0.317015544264793
G06025,06025,11612387846.6574,1207355812.83918,0.103971364785815
G06027,06027,26484490070.1063,6108109262.89544,0.230629672186508
G06029,06029,21139127259.8597,1656982877.75487,0.0783846398853586
G06031,06031,3603461976.24716,21568624.5159031,0.00598552854396033
G06033,06033,3440062295.29322,1233737683.1156,0.358638180710748
G06035,06035,12211799160.6164,990994637.708834,0.0811505843385337
G06037,06037,10623936972.0047,3488724369.15291,0.328383383518378
G06039,06039,5573131233.96366,988518609.741438,0.177372211104097
G06041,06041,1407935615.18707,427611727.10036,0.303715398976923
G06043,06043,3787221056.31749,1237847683.93327,0.326848542909425
G06045,06045,9094109527.53584,3205769761.66756,0.35251057313098
G06047,06047,5122696662.64606,303468633.964697,0.0592400163331053
G06049,06049,10870540761.09,501551596.911428,0.0461386059750296
G06051,06051,8105067466.16333,3835243748.15431,0.473190848091705
G06053,06053,8585695826.78467,2359838007.29888,0.274856931215398
G06055,06055,2040944433.00248,293633047.663824,0.143871162250044
G06057,06057,2520696949.86206,497782998.396747,0.197478319805158
G06059,06059,2070173432.06192,164301222.606925,0.0793659217446716
G06061,06061,3887980927.58005,634201827.654461,0.163118554197538
G06063,06063,6761166568.47286,264104864.00832,0.0390620259586317
G06065,06065,18921993677.802,7795963041.6427,0.412005371864615
G06067,06067,2573583212.8958,53095678.3542476,0.0206310322853343
G06069,06069,3600713422.61673,1252599799.85303,0.347875449344352
G06071,06071,52078982558.6642,23158424605.3875,0.444678898619049
G06073,06073,11037741278.5192,3228060092.35193,0.292456582456243
G06075,06075,127194448.205586,6596250.36661635,0.0518595776755504
G06077,06077,3692779801.1568,8150774.23145089,0.00220721913310335
G06079,06079,8608354148.54472,1320079477.0958,0.153348648802857
G06081,06081,1185841913.09116,503186011.649412,0.424328071131964
G06083,06083,7127501928.27717,1584313104.89152,0.222281680290541
G06085,06085,3366247409.78555,1299665818.20802,0.386087432085338
G06087,06087,1156823844.78573,701922777.845792,0.606767210936772
G06089,06089,9952216599.09041,2170339665.30524,0.218076007861766
G06091,06091,2489928236.8124,275834731.968289,0.11078019353739
G06093,06093,16418202155.9578,3326374682.83473,0.202602858171512
G06095,06095,2303588407.47094,133870665.995248,0.0581139693015829
G06097,06097,4119999792.40959,260085635.572759,0.0631275846304467
G06099,06099,3918944108.70692,149145160.102502,0.0380574858853276
G06101,06101,1574558173.73953,13437250.2174199,0.00853398143144302
G06103,06103,7665684782.23585,1642912712.28226,0.214320410890033
G06105,06105,8297435253.59117,3837393305.00553,0.462479451508186
G06107,06107,12530133918.8344,5285864658.90441,0.421852207896921
G06109,06109,5887116298.33199,2258108910.7973,0.383567912772013
G06111,06111,4811861927.43902,2033715857.66625,0.422646345288765
G06113,06113,2648430972.786,215737827.40324,0.0814587314602713
G06115,06115,1666469146.33435,37901771.6382175,0.0227437583957604
G08001,08001,3062068613.63482,91564483.4420391,0.0299028189748327
G08003,08003,1871622374.65417,349261607.056174,0.186609014609963
G08005,08005,2084040926.99104,30418433.5243119,0.0145958906710293
G08007,08007,3507617171.55165,497876052.890623,0.141941388851846
G08009,08009,6619990360.99891,2718610135.69472,0.410666781587957
G08011,08011,3989397766.91036,7845656.52945804,0.00196662679127487
G08013,08013,1915906664.4675,1078319088.12664,0.562824436140444
G08014,08014,86880670.3408298,4080466.33093546,0.0469663311174734
G08015,08015,2627289074.47913,518004458.269784,0.197163099904597
G08017,08017,4611233311.92258,5435354.52095914,0.00117872034514188
G08019,08019,1025157532.33048,988492330.268342,0.964234567950952
G08021,08021,3342411163.44942,1134078912.81009,0.339299642489138
G08023,08023,3186372724.44521,2754052.87493583,8.64322260169782e-4
G08025,08025,2069140696.50322,141238.679239316,6.82595820951204e-5
G08027,08027,1914761268.88654,324136902.271662,0.169283193439646
G08029,08029,2972282974.40192,449371150.670034,0.151187203419101
G08031,08031,400840274.412447,29641490.7968789,0.0739483846535319
G08033,08033,2763492166.34106,190402390.017532,0.068899196580546
G08035,08035,2181077706.46612,768844975.487806,0.352506915828104
G08037,08037,4379106778.40163,2759352946.93408,0.630117758384791
G08039,08039,4788746948.60824,58807971.1975624,0.0122804507794369
G08041,08041,5511902533.03137,689358918.226866,0.125067327314974
G08043,08043,3969604070.04681,433690471.150013,0.109252828115147
G08045,08045,7647025919.11407,2191054452.60142,0.286523738218905
G08047,08047,388791695.219335,341866494.417419,0.879305033057758
G08049,08049,4836637904.90067,2742245151.86668,0.566973423643752
G08051,08051,8435397794.5601,2073960908.11012,0.245864031385407
G08053,08053,2909032198.15753,1622337781.33275,0.557689867564987
G08055,08055,4124301004.86312,490983939.946516,0.119046582528186
G08057,08057,4193950392.44521,1758827807.18235,0.419372582553819
G08059,08059,2002813858.74919,1296022149.88384,0.647100650029076
G08061,08061,4621197575.56608,119103.66772537,2.57733338118054e-5
G08063,08063,5593130169.70498,199255.867571559,3.56251082177243e-5
G08065,08065,992577434.827847,231843577.975977,0.233577320862818
G08067,08067,4400410857.57408,837782027.546828,0.19038722852545
G08069,08069,6812934800.02292,3614720995.198,0.530567384144913
G08071,08071,12361018049.0961,2402658640.23555,0.194373847743976
G08073,08073,6692581969.73223,728976.705189972,1.08923089547028e-4
G08075,08075,4772596451.9418,32844661.3412381,0.00688192720083735
G08077,08077,8646511837.71356,1682694882.77254,0.194609677793202
G08079,08079,2272679776.61397,719814571.92421,0.316725030658147
G08081,08081,12289279452.7986,567202002.579264,0.0461542114619337
G08083,08083,5282764465.01496,301410013.151591,0.0570553571236565
G08085,08085,5804533702.5736,738356784.146975,0.127203462324563
G08087,08087,3347221254.2265,14325751.5135438,0.00427989380608014
G08089,08089,3288683609.93028,1093263696.9363,0.332432008246446
G08091,08091,1403399088.46878,182518793.915632,0.130054804378399
G08093,08093,5721992618.78154,3224890565.26641,0.563595722700027
G08095,08095,1779741652.74818,153906.125372309,8.64766665064311e-5
G08097,08097,2518111231.26825,2101025982.73938,0.834365836048155
G08099,08099,4256361928.4807,348207.28631817503,8.18086648102474e-5
G08101,08101,6209233586.18733,83060518.4310458,0.0133769357003764
G08103,08103,8338021268.69669,1245044752.73404,0.149321369256792
G08105,08105,2361830070.47204,290679067.893977,0.123073658654825
