G_COUNTYFP,COUNTYFP,year,unempP,povP,pciE
G04019,04019,2018,7.6,17.8,28480
G04021,04021,2018,7.8,14.2,23653
G04023,04023,2018,8.3,24,20324
G04025,04025,2018,6.7,14,28829
G04027,04027,2018,9.9,20.1,21178
G05001,05001,2018,6.3,20,24714
G05003,05003,2018,6.9,20.2,22052
G05005,05005,2018,4.3,14,26004
G05007,05007,2018,2.7,9.9,32624
G05009,05009,2018,4.4,14.9,23998
G05011,05011,2018,8,23.2,22411
G05013,05013,2018,6.1,15.6,24509
G05015,05015,2018,4.7,15,24185
G05017,05017,2018,9.7,29.2,21843
G05019,05019,2018,2.7,19.8,21571
G05021,05021,2018,5,22.6,20353
G05023,05023,2018,4.7,14.6,26620
G05025,05025,2018,5.5,19.4,23538
G05027,05027,2018,10.2,25.2,21372
G05029,05029,2018,5.9,18.2,23750
G05031,05031,2018,5.8,18.4,26432
G05033,05033,2018,5.1,15.9,23851
G05035,05035,2018,9.4,22.2,21882
G05037,05037,2018,5.7,16.7,24486
G05039,05039,2018,4.9,14.3,19401
G05041,05041,2018,10.7,29.1,18475
G05043,05043,2018,5.8,21.4,23005
G05045,05045,2018,4.7,16.8,26163
G05047,05047,2018,3,21.9,20262
G05049,05049,2018,6.6,23.9,19413
G05051,05051,2018,7.1,18.6,26791
G05053,05053,2018,7.1,14.5,25907
G05055,05055,2018,7,16.3,22874
G05057,05057,2018,5.5,24.3,20168
G05059,05059,2018,7.5,17.6,21064
G05061,05061,2018,6.4,19.2,24590
G05063,05063,2018,4.9,17.3,23426
G05065,05065,2018,9.3,17.1,20501
G05067,05067,2018,6.6,23.3,19848
G05069,05069,2018,10,23.2,20925
G05071,05071,2018,4.1,22.4,19681
G05073,05073,2018,5.8,22.2,26005
G05075,05075,2018,7.2,17.7,20451
G05077,05077,2018,15.3,26,15771
G05079,05079,2018,3.5,18.6,13636
G05081,05081,2018,10.8,15.8,26216
G05083,05083,2018,8.8,21.1,22221
G05085,05085,2018,4.2,12.2,26222
G05087,05087,2018,6.4,16.8,23875
G05089,05089,2018,7.9,20.6,19710
G05091,05091,2018,8.1,21.2,22938
G05093,05093,2018,9.3,25.8,20879
G05095,05095,2018,6.8,28.1,22274
G05097,05097,2018,5.7,18.9,22347
G05099,05099,2018,5.6,27.7,18618
G05101,05101,2018,2,14.2,18907
G05103,05103,2018,7.2,24.1,21520
G05105,05105,2018,6.8,17,21699
G05107,05107,2018,10.5,33.2,18402
G05109,05109,2018,4.5,16.6,21919
G05111,05111,2018,5.9,21.8,19413
G05113,05113,2018,9,24.5,20176
G05115,05115,2018,6.2,18.5,22110
G05117,05117,2018,6.4,15.7,24075
G05119,05119,2018,5.2,17,31359
G05121,05121,2018,4.2,18.3,21338
G05123,05123,2018,8,26.6,17491
G05125,05125,2018,3.9,8.5,29358
G05127,05127,2018,10.3,22.1,17375
G05129,05129,2018,3,21.1,20709
G05131,05131,2018,4.9,20.3,25084
G05133,05133,2018,5.2,21,20627
G05135,05135,2018,5,21.6,20721
G05137,05137,2018,6.4,22.5,20496
G05139,05139,2018,7.3,20.1,24522
G05141,05141,2018,7.2,18.8,21622
G05143,05143,2018,4.4,16.8,27823
G05145,05145,2018,5.8,17,23747
G05147,05147,2018,8.9,25,21276
G05149,05149,2018,5.6,16.3,21584
G06001,06001,2018,5.1,10.6,44283
G06003,06003,2018,17.8,19.8,29041
G06005,06005,2018,8.6,9.7,30100
G06007,06007,2018,8.7,20.1,27537
G06009,06009,2018,6.1,11.7,32494
G06011,06011,2018,5.1,13.8,27336
G06013,06013,2018,6.1,9.1,45524
G06015,06015,2018,8.3,22.5,22832
G06017,06017,2018,6.2,8.9,40382
G06019,06019,2018,9.4,24.1,23284
G06021,06021,2018,6.8,18.8,21736
G06023,06023,2018,8,20.3,26747
G06025,06025,2018,15.3,24.2,17590
G06027,06027,2018,5.2,10.2,31540
G06029,06029,2018,10.3,22,22553
G06031,06031,2018,8.4,20.8,21186
G06033,06033,2018,9.8,21,25404
G06035,06035,2018,6.1,13.8,21897
G06037,06037,2018,6.8,16,32469
G06039,06039,2018,8.3,20.8,21394
G06041,06041,2018,3.8,7.6,69275
G06043,06043,2018,8.7,14,29776
G06045,06045,2018,9.2,18.5,27395
G06047,06047,2018,12.7,22.7,21634
G06049,06049,2018,8.1,16.6,23235
G06051,06051,2018,3.1,10.4,33421
G06053,06053,2018,5.4,14.1,28836
G06055,06055,2018,5,8.1,42677
G06057,06057,2018,6.4,11.4,37145
G06059,06059,2018,5.1,11.5,39590
G06061,06061,2018,4.9,8,41508
G06063,06063,2018,6.4,11.7,32710
G06065,06065,2018,8.6,14.7,27142
G06067,06067,2018,7.4,15.8,31311
G06069,06069,2018,7.4,9.2,31475
G06071,06071,2018,8.8,17.3,23956
G06073,06073,2018,6.4,12.5,36156
G06075,06075,2018,4.7,10.9,64157
G06077,06077,2018,8.7,15.9,26145
G06079,06079,2018,4.6,13.3,35832
G06081,06081,2018,4.1,7,57375
G06083,06083,2018,6.1,14.8,34229
G06085,06085,2018,4.8,7.9,52451
G06087,06087,2018,6.3,14.3,39001
G06089,06089,2018,6.2,17.1,27983
G06091,06091,2018,4.6,8.3,31972
G06093,06093,2018,7.9,19.4,28130
G06095,06095,2018,7,10.4,33700
G06097,06097,2018,5.1,10.3,39929
G06099,06099,2018,10.5,16.1,25101
G06101,06101,2018,9.7,16,26070
G06103,06103,2018,9.3,21.5,23126
G06105,06105,2018,8.6,19.7,25964
G06107,06107,2018,9.4,25.5,20421
G06109,06109,2018,6.8,13.3,33685
G06111,06111,2018,5.9,9.6,36891
G06113,06113,2018,6.5,19.6,32598
G06115,06115,2018,8.4,18,23867
G08001,08001,2018,4.4,11.5,28897
G08003,08003,2018,9.3,23.7,21328
G08005,08005,2018,4.4,9,38972
G08007,08007,2018,5.8,10.7,31035
G08009,08009,2018,2.5,19.2,23862
G08011,08011,2018,7.2,22.9,14777
G08013,08013,2018,4.8,12.5,43831
G08014,08014,2018,3.6,5,47016
G08015,08015,2018,2.8,10.1,29365
G08017,08017,2018,7.5,11.5,25234
G08019,08019,2018,1.9,5.5,40655
G08021,08021,2018,11.5,22.4,19545
G08023,08023,2018,11.1,30.1,20715
G08025,08025,2018,16.1,28.4,14988
G08027,08027,2018,6.5,15.3,26976
G08029,08029,2018,8.5,17.6,24886
G08031,08031,2018,4,13.8,41196
G08033,08033,2018,1,13.6,24505
G08035,08035,2018,3,3.5,51017
G08037,08037,2018,2.2,7,41064
G08039,08039,2018,2.7,4.4,43349
G08041,08041,2018,6.2,10.9,32348
G08043,08043,2018,6,15.3,21965
G08045,08045,2018,4.3,8.1,32491
G08047,08047,2018,2.4,4.1,48460
G08049,08049,2018,5.2,11.3,34717
G08051,08051,2018,5.8,13.2,30127
G08053,08053,2018,3.8,13,34644
G08055,08055,2018,4.1,16,25636
G08057,08057,2018,2.2,15.7,25467
G08059,08059,2018,3.7,7.4,41930
G08061,08061,2018,2.9,11.3,24012
G08063,08063,2018,4.9,10.1,27471
G08065,08065,2018,5.5,16.5,28062
G08067,08067,2018,4.1,8.7,37864
G08069,08069,2018,5,12,35390
G08071,08071,2018,7.7,18.2,25118
G08073,08073,2018,3,13.4,16219
G08075,08075,2018,4.1,15,25776
G08077,08077,2018,7.8,15.7,28518
G08079,08079,2018,1.6,12,35229
G08081,08081,2018,4.1,13.9,27845
G08083,08083,2018,5.1,16.1,25161
G08085,08085,2018,7,16.7,25803
G08087,08087,2018,4.4,10,24189
G08089,08089,2018,8.4,24.7,20109
G08091,08091,2018,4.9,9.9,36138
G08093,08093,2018,5.4,5.5,35939
G08095,08095,2018,1.7,6.7,29236
G08097,08097,2018,4.3,7.2,56180
G08099,08099,2018,7.6,19,21612
G08101,08101,2018,8.4,19,24257
G08103,08103,2018,5.2,11.5,27057
G08105,08105,2018,9.5,17.1,22413
G08107,08107,2018,3,10.7,40727
G08109,08109,2018,6.9,17.7,22901
G08111,08111,2018,2.8,4.6,33984
G08113,08113,2018,2.6,8.9,45396
G08115,08115,2018,6.7,17,25048
G08117,08117,2018,3.5,10.1,38310
G08119,08119,2018,6.3,8.3,34392
G08121,08121,2018,2.7,10.7,26680
G08123,08123,2018,4.5,10.6,30626
G08125,08125,2018,2.6,14.5,25846
G09001,09001,2018,7,8.8,55613
G09003,09003,2018,6.5,11.1,39260
G09005,09005,2018,5.2,7,42443
G09007,09007,2018,4.7,6.9,45293
G09009,09009,2018,7,11.9,36678
G09011,09011,2018,6.2,10.2,38109
G09013,09013,2018,5.2,6.9,39668
G09015,09015,2018,6.3,10.5,31106
G10001,10001,2018,5.9,13.6,28100
G10003,10003,2018,6.3,11.4,35847
G10005,10005,2018,4.9,11.7,33983
G11001,11001,2018,7.4,16.8,53321
G12001,12001,2018,6.1,21.8,27896
G12003,12003,2018,5.5,14.6,24070
G12005,12005,2018,6,14.7,28017
G12007,12007,2018,5.9,20.3,20481
G12009,12009,2018,6.2,12.7,30987
G12011,12011,2018,6.6,13.5,31464
G12013,12013,2018,6.9,12.2,18921
G12015,12015,2018,7.3,11.1,30528
G12017,12017,2018,8.6,16.7,25983
G12019,12019,2018,7.5,10.6,29138
G12021,12021,2018,4.6,12.3,43256
G12023,12023,2018,9.5,17.4,23901
G12027,12027,2018,5,28.5,18311
G12029,12029,2018,5.5,23.1,20527
G12031,12031,2018,6.6,15.5,30012
G12033,12033,2018,6.5,13.9,26730
G12035,12035,2018,5.5,11.9,27689
G12037,12037,2018,7.5,20.7,25037
G12039,12039,2018,7.8,24.6,20158
G12041,12041,2018,6.1,17.9,21379
G12043,12043,2018,10.8,17,21020
G12045,12045,2018,7.4,13.9,21255
G12047,12047,2018,14.6,29.5,15097
G12049,12049,2018,6,26.7,18257
G12051,12051,2018,8.3,26.8,18900
G12053,12053,2018,7.4,14.3,24551
G12055,12055,2018,10.8,19.2,23722
G12057,12057,2018,6.1,15.3,31173
G12059,12059,2018,10.7,25.6,18574
G12061,12061,2018,7.1,12.2,35172
G12063,12063,2018,8.8,20.6,18882
G12065,12065,2018,4.9,14.1,23448
G12067,12067,2018,13.5,20.1,19870
G12069,12069,2018,6.5,12.5,27052
G12071,12071,2018,5.9,14,31924
G12073,12073,2018,7.8,20.4,29754
G12075,12075,2018,6.8,20.7,22025
G12077,12077,2018,11.3,13,17197
G12079,12079,2018,5.7,28.2,19223
G12081,12081,2018,5.9,12.5,32070
G12083,12083,2018,8.8,16.6,24570
G12085,12085,2018,5.3,10.5,40389
G12086,12086,2018,6.3,18,26838
G12087,12087,2018,2.9,11.8,43477
G12089,12089,2018,4.7,10.2,35335
G12091,12091,2018,5.6,11.5,31901
G12093,12093,2018,7.1,22.7,19943
G12095,12095,2018,6,16.1,28859
G12097,12097,2018,6.3,16.3,21331
G12099,12099,2018,6.5,12.8,37998
G12101,12101,2018,6.5,13.5,27786
G12103,12103,2018,5.7,13,33478
G12105,12105,2018,6.9,16.6,23812
G12107,12107,2018,10.5,24.8,19976
G12109,12109,2018,4.9,8.4,41393
G12111,12111,2018,6.5,15,25736
G12113,12113,2018,5.6,9.8,30904
G12115,12115,2018,4.7,9.7,39364
G12117,12117,2018,5.6,11.4,33419
G12119,12119,2018,4.7,8.8,33629
G12121,12121,2018,7.3,17.8,21755
G12123,12123,2018,6.2,19.8,16919
G12125,12125,2018,8.7,22,15475
G12127,12127,2018,5.6,15.2,27272
G12129,12129,2018,5.2,11.5,24322
G12131,12131,2018,5.2,14.7,33731
G12133,12133,2018,8.7,22.4,18112
G13001,13001,2018,5.9,23.3,20421
G13003,13003,2018,9.2,30,18565
G13005,13005,2018,5.3,27.2,19634
G13007,13007,2018,4,21.3,22864
G13009,13009,2018,9.4,26.2,20305
G13011,13011,2018,5.3,13.4,20810
G13013,13013,2018,5.1,12.1,23638
G13015,13015,2018,5.6,13.2,25712
G13017,13017,2018,4.7,31.6,17563
G13019,13019,2018,8.6,26.3,18611
G13021,13021,2018,8.8,25.7,24409
G13023,13023,2018,7.4,20.8,18519
G13025,13025,2018,5.8,24.1,18904
G13027,13027,2018,10.2,27,23421
G13029,13029,2018,7.3,14.1,30892
G13031,13031,2018,8.6,28.7,21207
G13033,13033,2018,5,24.8,21334
G13035,13035,2018,5.6,23.8,22360
G13037,13037,2018,15,29.7,13927
G13039,13039,2018,7.3,12.9,28509
G13043,13043,2018,6.3,32.8,18718
G13045,13045,2018,7.9,18.8,24155
G13047,13047,2018,3.9,9.8,26915
G13049,13049,2018,12.2,24.4,19341
G13051,13051,2018,8,15.8,30664
G13053,13053,2018,9.6,16.8,23651
G13055,13055,2018,8.2,19.9,18209
G13057,13057,2018,4.3,8.1,35199
G13059,13059,2018,6.4,31.3,22589
G13061,13061,2018,17.3,41.1,16199
G13063,13063,2018,8.5,20,20419
G13065,13065,2018,6.6,39.2,16538
G13067,13067,2018,5,10,38268
G13069,13069,2018,4.6,22.3,19709
G13071,13071,2018,6.8,25.2,19173
G13073,13073,2018,5.2,8.8,32509
G13075,13075,2018,5.2,24,19778
G13077,13077,2018,4.7,11.1,32542
G13079,13079,2018,9.6,19.7,21102
G13081,13081,2018,12.2,30.8,21581
G13083,13083,2018,4.1,15.1,24028
G13085,13085,2018,4,8.7,32646
G13087,13087,2018,5.4,25.2,20397
G13089,13089,2018,7.4,16.6,34100
G13091,13091,2018,7.2,23.6,18921
G13093,13093,2018,12.5,24.6,20259
G13095,13095,2018,14.2,29.4,21180
G13097,13097,2018,6.9,13.1,26621
G13099,13099,2018,7.6,28.8,17598
G13101,13101,2018,5.1,26.8,22883
G13103,13103,2018,4,8.6,29795
G13105,13105,2018,6.8,19.5,22593
G13107,13107,2018,7.7,27,17981
G13109,13109,2018,7.8,27.3,20537
G13111,13111,2018,6.2,13.5,26665
G13113,13113,2018,5,5.6,42126
G13115,13115,2018,6.3,19.1,25058
G13117,13117,2018,3.5,5.9,41585
G13119,13119,2018,5.2,24.8,21686
G13121,13121,2018,6.5,15.1,43707
G13123,13123,2018,5.5,16.3,25812
G13125,13125,2018,3.3,18.3,21076
G13127,13127,2018,5.4,18.3,31493
G13129,13129,2018,4.6,20,22448
G13131,13131,2018,6.6,23.5,22442
G13133,13133,2018,4.9,22.3,35844
G13135,13135,2018,4.7,11.4,29474
G13137,13137,2018,4,14.5,22018
G13139,13139,2018,3.7,14.6,27625
G13141,13141,2018,4,24.1,16713
G13143,13143,2018,4.8,15.5,24444
G13145,13145,2018,7.1,6.8,34511
G13147,13147,2018,4.9,17.4,22361
G13149,13149,2018,7.7,15.6,21796
G13151,13151,2018,6.7,10.4,28274
G13153,13153,2018,7,15.7,28196
G13155,13155,2018,9.2,26.5,18406
G13157,13157,2018,4.8,11,27115
G13159,13159,2018,6.6,17.8,19999
G13161,13161,2018,5.9,20.6,18042
G13163,13163,2018,6.9,24.8,18764
G13165,13165,2018,4,29.3,16089
G13167,13167,2018,9,22.6,20773
G13169,13169,2018,7.4,15,25725
G13171,13171,2018,11.1,20.2,20874
G13173,13173,2018,8.7,23.8,18800
G13175,13175,2018,4.8,26.7,20655
G13177,13177,2018,7.4,13.8,28612
G13179,13179,2018,11.4,16.8,21430
G13181,13181,2018,4.6,19.5,26324
G13183,13183,2018,15.1,20,21695
G13185,13185,2018,7.6,25.2,23077
G13187,13187,2018,4.5,17.2,24790
G13189,13189,2018,8.3,24.9,21384
G13191,13191,2018,7.9,19.9,27030
G13193,13193,2018,12,27.2,15924
G13195,13195,2018,8.5,17.4,24292
G13197,13197,2018,10.3,21,22478
G13199,13199,2018,5.9,21.5,20060
G13201,13201,2018,5,23,21746
G13205,13205,2018,13.7,24,17514
G13207,13207,2018,7.9,13.9,34669
G13209,13209,2018,7.2,20.7,22317
G13211,13211,2018,5.7,10.5,30587
G13213,13213,2018,7.8,15.4,20618
G13215,13215,2018,9.2,21.1,25318
G13217,13217,2018,7.7,17.9,24426
G13219,13219,2018,3.5,5.9,41671
G13221,13221,2018,4.7,15.1,23027
G13223,13223,2018,4.3,9.4,27855
G13225,13225,2018,9.2,21.5,22767
G13227,13227,2018,6.1,9.6,30567
G13229,13229,2018,5.8,21.7,22236
G13231,13231,2018,6.4,13.1,26737
G13233,13233,2018,5.9,17.9,23233
G13235,13235,2018,4.8,25.9,19389
G13237,13237,2018,4.6,16,28819
G13239,13239,2018,11.1,22.7,19371
G13241,13241,2018,4.2,19.4,28312
G13243,13243,2018,7.8,37,19356
G13245,13245,2018,10.3,23.4,22045
G13247,13247,2018,7.6,15.2,26367
G13249,13249,2018,12.7,21.3,20585
G13251,13251,2018,6.2,22.3,21557
G13253,13253,2018,7.7,24.4,26358
G13255,13255,2018,6.9,21.6,22166
G13257,13257,2018,9.1,16.2,21839
G13259,13259,2018,8.9,37,16359
G13261,13261,2018,9.2,27.8,20191
G13263,13263,2018,7.9,19.1,20785
G13265,13265,2018,9.4,28,19897
G13267,13267,2018,3.8,22.5,17553
G13269,13269,2018,11.7,26.3,19068
G13271,13271,2018,2.6,28.2,15200
G13273,13273,2018,8.6,31.9,19330
G13275,13275,2018,8.1,20.8,25542
G13277,13277,2018,2.9,24.7,22072
G13279,13279,2018,10.3,23.7,23416
G13281,13281,2018,5.5,15.8,23940
G13283,13283,2018,5.7,21.2,23907
G13285,13285,2018,7.9,20.5,22348
G13287,13287,2018,6.1,35.3,18787
G13289,13289,2018,6.9,26.1,19465
G13291,13291,2018,3.7,14.4,27282
G13293,13293,2018,8.2,22.3,21015
G13295,13295,2018,6.4,17.7,23311
G13297,13297,2018,6,12.9,26545
G13299,13299,2018,3.5,23.7,20457
G13301,13301,2018,8,26.3,22916
G13303,13303,2018,7.4,26.6,19579
G13305,13305,2018,7.6,19.6,21067
G13307,13307,2018,2.2,25.3,21586
G13309,13309,2018,11,26.8,12292
G13311,13311,2018,4.2,13.8,25617
G13313,13313,2018,6.3,17.8,23271
G13315,13315,2018,7,22,14829
G13317,13317,2018,4.3,23.9,23198
G13319,13319,2018,7.2,25,21403
G13321,13321,2018,6.5,20.8,23517
G15001,15001,2018,5.9,16.6,29253
G15003,15003,2018,4.3,8.7,35202
G15005,15005,2018,0,10.6,47709
G15007,15007,2018,4,8.5,31674
G15009,15009,2018,4.4,9.7,33792
G16001,16001,2018,3.8,11,33352
G16003,16003,2018,11.1,11.4,25143
G16005,16005,2018,6.2,17,24555
G16007,16007,2018,3.1,16.9,24654
G16009,16009,2018,8.8,16.7,23502
G16011,16011,2018,4.3,12.5,21322
G16013,16013,2018,1.9,14,32861
G16015,16015,2018,6.4,13.1,30660
G16017,16017,2018,3.7,14.7,27590
G16019,16019,2018,3.8,12.1,27272
G16021,16021,2018,3.9,16.8,25401
G16023,16023,2018,5.8,16.2,25941
G16025,16025,2018,3,23.3,30803
G16027,16027,2018,6.5,15.2,20807
G16029,16029,2018,2.1,8.5,26908
G16031,16031,2018,3.2,14.3,21547
G16033,16033,2018,7.8,19.7,16181
G16035,16035,2018,5.5,13.4,22844
G16037,16037,2018,4.7,20.6,24545
G16039,16039,2018,7,13.8,23547
G16041,16041,2018,1.4,11.8,22367
G16043,16043,2018,6.4,12.7,21782
G16045,16045,2018,4.5,18.3,20776
G16047,16047,2018,4.4,15.9,22542
G16049,16049,2018,4.9,14.6,21584
G16051,16051,2018,4.6,7.7,22934
G16053,16053,2018,4,18,20820
G16055,16055,2018,5.2,12.1,29429
G16057,16057,2018,5,20.6,25623
G16059,16059,2018,3.5,13.1,23042
G16061,16061,2018,5.8,14.2,24052
G16063,16063,2018,3.1,13.4,20188
G16065,16065,2018,6.6,30.5,15626
G16067,16067,2018,3.5,19.3,23578
G16069,16069,2018,4.7,14.6,27753
G16071,16071,2018,5.1,13,21575
G16073,16073,2018,4.5,21.1,21935
G16075,16075,2018,5.5,13.6,25002
G16077,16077,2018,3.9,9.6,22199
G16079,16079,2018,8.6,17.3,24204
G16081,16081,2018,6,6.1,30554
G16083,16083,2018,3.4,14.8,24222
G16085,16085,2018,4.3,10,30838
G16087,16087,2018,5.4,15.7,21414
G17001,17001,2018,4.7,12.1,29347
G17003,17003,2018,7,30.2,19065
G17005,17005,2018,3.9,14.5,26356
G17007,17007,2018,6.8,11,30725
G17009,17009,2018,4.3,10,22279
G17011,17011,2018,5.3,12.6,29126
G17013,17013,2018,5.1,12.8,27314
G17015,17015,2018,6.6,11.1,28053
G17017,17017,2018,6.3,13.5,26245
G17019,17019,2018,4.8,20.9,29683
G17021,17021,2018,3.4,13,26166
G17023,17023,2018,6.3,12.6,29887
G17025,17025,2018,5.5,16,25821
G17027,17027,2018,3.4,9,31240
G17029,17029,2018,5.7,21.5,26790
G17031,17031,2018,7.8,15.1,35575
G17033,17033,2018,5.4,11.6,26713
G17035,17035,2018,3.4,14,25622
G17037,17037,2018,7.4,16.5,28073
G17039,17039,2018,5.5,11,29402
G17041,17041,2018,4.3,11.2,27871
G17043,17043,2018,4.5,6.8,43982
G17045,17045,2018,6,12.3,27701
G17047,17047,2018,6.1,10.3,26908
G17049,17049,2018,3.9,11.6,30255
G17051,17051,2018,7,17.9,22260
G17053,17053,2018,5.3,15.8,28002
G17055,17055,2018,8.5,19.6,23510
G17057,17057,2018,6.7,16.5,25538
G17059,17059,2018,4.5,19.6,25572
G17061,17061,2018,4,14.4,23946
G17063,17063,2018,5.1,8.8,33308
G17065,17065,2018,3.2,9.5,27795
G17067,17067,2018,6.2,11.9,26880
G17069,17069,2018,15.9,16.4,25795
G17071,17071,2018,5.6,8.2,28401
G17073,17073,2018,5.1,11.9,29014
G17075,17075,2018,5.6,14,26976
G17077,17077,2018,9.4,27.5,24521
G17079,17079,2018,4.1,13.1,25536
G17081,17081,2018,7.4,18.4,25770
G17083,17083,2018,4.1,9.2,28924
G17085,17085,2018,4.5,8.3,32710
G17087,17087,2018,5.7,11.8,22469
G17089,17089,2018,5.5,10,34924
G17091,17091,2018,6,14.8,27164
G17093,17093,2018,4.9,5.3,34423
G17095,17095,2018,5.7,18.1,24681
G17097,17097,2018,5.6,8.3,44287
G17099,17099,2018,6.8,13.5,29093
G17101,17101,2018,6.3,16.7,22099
G17103,17103,2018,4.4,10.9,29249
G17105,17105,2018,5.4,13.8,28236
G17107,17107,2018,5.6,8.5,27187
G17109,17109,2018,7.6,22,23299
G17111,17111,2018,4.4,7.1,38047
G17113,17113,2018,3.5,14.6,33665
G17115,17115,2018,8.2,16.2,28925
G17117,17117,2018,7.1,13.4,28050
G17119,17119,2018,6.8,13.7,30802
G17121,17121,2018,9.5,17.9,24727
G17123,17123,2018,6.1,11.2,29827
G17125,17125,2018,7.9,15.4,27111
G17127,17127,2018,5.6,18,23768
G17129,17129,2018,4.9,9.6,34495
G17131,17131,2018,5.5,11.4,28995
G17133,17133,2018,3.1,5,39988
G17135,17135,2018,4.9,15.9,24816
G17137,17137,2018,5.9,14.6,26295
G17139,17139,2018,3.2,9.2,28391
G17141,17141,2018,5.9,9.9,30595
G17143,17143,2018,7.9,16.3,30753
G17145,17145,2018,6.8,16.3,24511
G17147,17147,2018,4.2,5.9,33967
G17149,17149,2018,5.4,13.9,24162
G17151,17151,2018,15.6,13.2,22343
G17153,17153,2018,9.3,18.9,20317
G17155,17155,2018,3.6,8.8,34144
G17157,17157,2018,5.1,12.9,25340
G17159,17159,2018,5.8,15,26038
G17161,17161,2018,6.5,14.8,28595
G17163,17163,2018,7.1,16.4,29541
G17165,17165,2018,9.8,22.2,23690
