G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G4878005,4878005,211,0,156,367,57.49,0,42.51,2019,78005
G4878013,4878013,1810,26,321,2157,83.91,1.21,14.88,2019,78013
G4878201,4878201,10517,1126,4664,16307,64.49,6.91,28.6,2019,78201
G4878202,4878202,2255,326,1231,3812,59.16,8.55,32.29,2019,78202
G4878211,4878211,5963,596,2397,8956,66.58,6.65,26.76,2019,78211
G4878230,4878230,16411,248,1564,18223,90.06,1.36,8.58,2019,78230
G4878520,4878520,9406,2958,5709,18073,52.04,16.37,31.59,2019,78520
G4878401,4878401,1058,18,740,1816,58.26,0.99,40.75,2019,78401
G4878407,4878407,668,12,141,821,81.36,1.46,17.17,2019,78407
G4878516,4878516,4404,957,4091,9452,46.59,10.12,43.28,2019,78516
G4878549,4878549,122,0,166,288,42.36,0,57.64,2019,78549
G4878552,4878552,8916,522,3089,12527,71.17,4.17,24.66,2019,78552
G4878558,4878558,141,0,78,219,64.38,0,35.62,2019,78558
G4878559,4878559,2245,94,1609,3948,56.86,2.38,40.75,2019,78559
G4878161,4878161,171,16,93,280,61.07,5.71,33.21,2019,78161
G4878203,4878203,1193,195,596,1984,60.13,9.83,30.04,2019,78203
G4878210,4878210,8511,805,3112,12428,68.48,6.48,25.04,2019,78210
G4878213,4878213,12083,812,3381,16276,74.24,4.99,20.77,2019,78213
G4878222,4878222,5502,545,1344,7391,74.44,7.37,18.18,2019,78222
G4878234,4878234,932,16,0,948,98.31,1.69,0,2019,78234
G4878250,4878250,16802,504,1597,18903,88.89,2.67,8.45,2019,78250
G4878257,4878257,3200,46,370,3616,88.5,1.27,10.23,2019,78257
G4878338,4878338,7,0,6,13,53.85,0,46.15,2019,78338
G4878343,4878343,1208,141,245,1594,75.78,8.85,15.37,2019,78343
G4878355,4878355,1285,121,668,2074,61.96,5.83,32.21,2019,78355
G4878380,4878380,5277,409,2204,7890,66.88,5.18,27.93,2019,78380
G4878390,4878390,968,53,789,1810,53.48,2.93,43.59,2019,78390
G4878402,4878402,124,25,7,156,79.49,16.03,4.49,2019,78402
G4878405,4878405,3037,27,2179,5243,57.92,0.51,41.56,2019,78405
G4878411,4878411,7798,207,1944,9949,78.38,2.08,19.54,2019,78411
G4878418,4878418,10585,239,1298,12122,87.32,1.97,10.71,2019,78418
G4878576,4878576,992,10,1506,2508,39.55,0.4,60.05,2019,78576
G4878578,4878578,2907,412,1065,4384,66.31,9.4,24.29,2019,78578
G4878586,4878586,7972,1299,6409,15680,50.84,8.28,40.87,2019,78586
G4879835,4879835,2100,80,1135,3315,63.35,2.41,34.24,2019,79835
G4879848,4879848,233,23,126,382,60.99,6.02,32.98,2019,79848
G4879902,4879902,6040,433,1594,8067,74.87,5.37,19.76,2019,79902
G4879904,4879904,8171,359,2428,10958,74.57,3.28,22.16,2019,79904
G4879847,4879847,57,0,4,61,93.44,0,6.56,2019,79847
G4879853,4879853,522,19,176,717,72.8,2.65,24.55,2019,79853
G4879908,4879908,972,16,0,988,98.38,1.62,0,2019,79908
G4879930,4879930,6911,782,2521,10214,67.66,7.66,24.68,2019,79930
G4879003,4879003,57,0,17,74,77.03,0,22.97,2019,79003
G4879009,4879009,334,57,192,583,57.29,9.78,32.93,2019,79009
G4879015,4879015,6737,199,538,7474,90.14,2.66,7.2,2019,79015
G4879019,4879019,537,10,99,646,83.13,1.55,15.33,2019,79019
G4879024,4879024,124,0,22,146,84.93,0,15.07,2019,79024
G4879034,4879034,154,9,32,195,78.97,4.62,16.41,2019,79034
G4879035,4879035,1177,110,442,1729,68.07,6.36,25.56,2019,79035
G4879056,4879056,17,0,3,20,85,0,15,2019,79056
G4879064,4879064,555,38,310,903,61.46,4.21,34.33,2019,79064
G4879070,4879070,2515,223,590,3328,75.57,6.7,17.73,2019,79070
G4879078,4879078,64,0,22,86,74.42,0,25.58,2019,79078
G694607,694607,8836,309,2358,11503,76.81,2.69,20.5,2019,94607
G694611,694611,15769,313,1175,17257,91.38,1.81,6.81,2019,94611
G694709,694709,4590,125,269,4984,92.09,2.51,5.4,2019,94709
G694805,694805,4800,87,367,5254,91.36,1.66,6.99,2019,94805
G694021,694021,91,0,0,91,100,0,0,2019,94021
G694022,694022,6970,89,143,7202,96.78,1.24,1.99,2019,94022
G694123,694123,12963,191,615,13769,94.15,1.39,4.47,2019,94123
G694521,694521,14705,220,1007,15932,92.3,1.38,6.32,2019,94521
G694587,694587,20160,323,1369,21852,92.26,1.48,6.26,2019,94587
G694060,694060,238,12,50,300,79.33,4,16.67,2019,94060
G694025,694025,13785,412,909,15106,91.26,2.73,6.02,2019,94025
G694963,694963,122,7,0,129,94.57,5.43,0,2019,94963
G694085,694085,7398,342,678,8418,87.88,4.06,8.05,2019,94085
G694158,694158,3603,301,557,4461,80.77,6.75,12.49,2019,94158
G694503,694503,4851,125,327,5303,91.48,2.36,6.17,2019,94503
G694505,694505,5367,28,128,5523,97.18,0.51,2.32,2019,94505
G694516,694516,38,5,5,48,79.17,10.42,10.42,2019,94516
G694528,694528,145,0,56,201,72.14,0,27.86,2019,94528
G694531,694531,11531,180,768,12479,92.4,1.44,6.15,2019,94531
G694534,694534,12478,137,482,13097,95.27,1.05,3.68,2019,94534
G694548,694548,134,0,16,150,89.33,0,10.67,2019,94548
G694551,694551,15009,248,731,15988,93.88,1.55,4.57,2019,94551
G694573,694573,14,0,0,14,100,0,0,2019,94573
G694575,694575,0,0,0,0,NA,NA,NA,2019,94575
G694582,694582,13736,100,200,14036,97.86,0.71,1.42,2019,94582
G694597,694597,9864,43,590,10497,93.97,0.41,5.62,2019,94597
G694613,694613,4,0,0,4,100,0,0,2019,94613
G694720,694720,26,0,0,26,100,0,0,2019,94720
G694850,694850,0,0,0,0,NA,NA,NA,2019,94850
G694957,694957,391,15,13,419,93.32,3.58,3.1,2019,94957
G695010,695010,3543,112,287,3942,89.88,2.84,7.28,2019,95010
G695046,695046,1496,0,202,1698,88.1,0,11.9,2019,95046
G695076,695076,19051,465,4340,23856,79.86,1.95,18.19,2019,95076
G695117,695117,9465,372,984,10821,87.47,3.44,9.09,2019,95117
G695118,695118,10152,229,766,11147,91.07,2.05,6.87,2019,95118
G695122,695122,11234,150,1280,12664,88.71,1.18,10.11,2019,95122
G690010,690010,1861,10,158,2029,91.72,0.49,7.79,2019,90010
G690024,690024,14228,1226,1061,16515,86.15,7.42,6.42,2019,90024
G690025,690025,20313,413,1289,22015,92.27,1.88,5.86,2019,90025
G690029,690029,10994,364,2639,13997,78.55,2.6,18.85,2019,90029
G690201,690201,18215,1449,4800,24464,74.46,5.92,19.62,2019,90201
G690031,690031,9507,246,1986,11739,80.99,2.1,16.92,2019,90031
G690035,690035,10815,138,863,11816,91.53,1.17,7.3,2019,90035
G690063,690063,9561,912,3213,13686,69.86,6.66,23.48,2019,90063
G3289010,3289010,133,5,72,210,63.33,2.38,34.29,2019,89010
G3289020,3289020,268,25,119,412,65.05,6.07,28.88,2019,89020
G3289025,3289025,303,11,53,367,82.56,3,14.44,2019,89025
G3289124,3289124,444,0,70,514,86.38,0,13.62,2019,89124
G3289128,3289128,11678,1162,1969,14809,78.86,7.85,13.3,2019,89128
G3289131,3289131,15902,281,609,16792,94.7,1.67,3.63,2019,89131
G3289143,3289143,3789,299,125,4213,89.94,7.1,2.97,2019,89143
G3289148,3289148,17175,358,1181,18714,91.78,1.91,6.31,2019,89148
G3289149,3289149,13038,1128,659,14825,87.95,7.61,4.45,2019,89149
G880127,880127,16266,252,346,16864,96.45,1.49,2.05,2019,80127
G880132,880132,6893,142,175,7210,95.6,1.97,2.43,2019,80132
G880202,880202,8530,513,726,9769,87.32,5.25,7.43,2019,80202
G880003,880003,12376,332,1593,14301,86.54,2.32,11.14,2019,80003
G880012,880012,15596,669,2479,18744,83.21,3.57,13.23,2019,80012
G880216,880216,3413,151,772,4336,78.71,3.48,17.8,2019,80216
G4073450,4073450,314,13,145,472,66.53,2.75,30.72,2019,73450
G4073455,4073455,117,14,102,233,50.21,6.01,43.78,2019,73455
G4073461,4073461,158,10,101,269,58.74,3.72,37.55,2019,73461
G4073481,4073481,236,33,85,354,66.67,9.32,24.01,2019,73481
G4073520,4073520,41,1,28,70,58.57,1.43,40,2019,73520
G4073531,4073531,102,11,14,127,80.31,8.66,11.02,2019,73531
G4073559,4073559,182,4,26,212,85.85,1.89,12.26,2019,73559
G4073564,4073564,156,2,53,211,73.93,0.95,25.12,2019,73564
G4877485,4877485,1055,50,455,1560,67.63,3.21,29.17,2019,77485
G4877502,4877502,9177,240,1392,10809,84.9,2.22,12.88,2019,77502
G4877547,4877547,2039,152,389,2580,79.03,5.89,15.08,2019,77547
G4877597,4877597,173,0,95,268,64.55,0,35.45,2019,77597
G4877629,4877629,212,3,129,344,61.63,0.87,37.5,2019,77629
G4877632,4877632,7149,270,1172,8591,83.21,3.14,13.64,2019,77632
G4877642,4877642,8553,139,5034,13726,62.31,1.01,36.67,2019,77642
G4877664,4877664,794,31,195,1020,77.84,3.04,19.12,2019,77664
G4877701,4877701,2384,81,2252,4717,50.54,1.72,47.74,2019,77701
G4877010,4877010,590,10,0,600,98.33,1.67,0,2019,77010
G4877020,4877020,6121,201,2348,8670,70.6,2.32,27.08,2019,77020
G4877021,4877021,7659,492,2569,10720,71.45,4.59,23.96,2019,77021
G4877030,4877030,4636,169,253,5058,91.66,3.34,5,2019,77030
G4877037,4877037,2807,94,2235,5136,54.65,1.83,43.52,2019,77037
G4877045,4877045,7990,173,2228,10391,76.89,1.66,21.44,2019,77045
G4877082,4877082,19572,416,2320,22308,87.74,1.86,10.4,2019,77082
G4877084,4877084,30346,749,3987,35082,86.5,2.13,11.36,2019,77084
G4877301,4877301,8359,193,1951,10503,79.59,1.84,18.58,2019,77301
G4877316,4877316,7677,272,479,8428,91.09,3.23,5.68,2019,77316
G4877318,4877318,5404,122,750,6276,86.11,1.94,11.95,2019,77318
G4877340,4877340,9358,453,1457,11268,83.05,4.02,12.93,2019,77340
G4877346,4877346,20344,299,801,21444,94.87,1.39,3.74,2019,77346
G4877355,4877355,8908,251,475,9634,92.46,2.61,4.93,2019,77355
G4877373,4877373,18237,730,1621,20588,88.58,3.55,7.87,2019,77373
G4877434,4877434,1200,10,392,1602,74.91,0.62,24.47,2019,77434
G4877446,4877446,466,41,303,810,57.53,5.06,37.41,2019,77446
G4877466,4877466,141,0,88,229,61.57,0,38.43,2019,77466
G4877469,4877469,15251,169,1796,17216,88.59,0.98,10.43,2019,77469
G4877336,4877336,3906,13,650,4569,85.49,0.28,14.23,2019,77336
G4877094,4877094,3317,6,47,3370,98.43,0.18,1.39,2019,77094
G4877096,4877096,10494,509,1992,12995,80.75,3.92,15.33,2019,77096
G4877379,4877379,26108,394,1151,27653,94.41,1.42,4.16,2019,77379
G4877386,4877386,17274,210,697,18181,95.01,1.16,3.83,2019,77386
G4877389,4877389,11575,68,391,12034,96.19,0.57,3.25,2019,77389
G4877437,4877437,4490,175,1502,6167,72.81,2.84,24.36,2019,77437
G4877451,4877451,14,0,6,20,70,0,30,2019,77451
G4877465,4877465,2032,40,560,2632,77.2,1.52,21.28,2019,77465
G4877479,4877479,28579,228,668,29475,96.96,0.77,2.27,2019,77479
G4877481,4877481,5,0,25,30,16.67,0,83.33,2019,77481
G4877853,4877853,257,17,165,439,58.54,3.87,37.59,2019,77853
G4877651,4877651,4362,44,530,4936,88.37,0.89,10.74,2019,77651
G4877803,4877803,6877,391,2422,9690,70.97,4.04,24.99,2019,77803
G4877830,4877830,908,12,266,1186,76.56,1.01,22.43,2019,77830
G4877859,4877859,1780,61,630,2471,72.04,2.47,25.5,2019,77859
G4877864,4877864,1893,156,720,2769,68.36,5.63,26,2019,77864
G4877867,4877867,26,0,21,47,55.32,0,44.68,2019,77867
G4877474,4877474,3616,78,854,4548,79.51,1.72,18.78,2019,77474
G4877488,4877488,3459,180,1726,5365,64.47,3.36,32.17,2019,77488
G4877503,4877503,6662,116,974,7752,85.94,1.5,12.56,2019,77503
G4877510,4877510,4541,54,642,5237,86.71,1.03,12.26,2019,77510
G4877521,4877521,17178,418,2419,20015,85.83,2.09,12.09,2019,77521
G1762444,1762444,94,10,70,174,54.02,5.75,40.23,2019,62444
G1762454,1762454,3240,79,759,4078,79.45,1.94,18.61,2019,62454
G1762459,1762459,95,0,15,110,86.36,0,13.64,2019,62459
G1762461,1762461,270,4,43,317,85.17,1.26,13.56,2019,62461
G1762463,1762463,407,19,85,511,79.65,3.72,16.63,2019,62463
G1762522,1762522,4822,206,1158,6186,77.95,3.33,18.72,2019,62522
G1762523,1762523,234,0,152,386,60.62,0,39.38,2019,62523
G1762526,1762526,10596,440,3230,14266,74.27,3.08,22.64,2019,62526
G1762556,1762556,116,1,43,160,72.5,0.62,26.88,2019,62556
G1762612,1762612,648,39,118,805,80.5,4.84,14.66,2019,62612
G1762644,1762644,1725,65,360,2150,80.23,3.02,16.74,2019,62644
G1762650,1762650,7987,449,2050,10486,76.17,4.28,19.55,2019,62650
G1762682,1762682,326,7,55,388,84.02,1.8,14.18,2019,62682
G1762684,1762684,1922,86,101,2109,91.13,4.08,4.79,2019,62684
G1762688,1762688,254,9,42,305,83.28,2.95,13.77,2019,62688
G1762808,1762808,490,15,129,634,77.29,2.37,20.35,2019,62808
G1762820,1762820,51,3,8,62,82.26,4.84,12.9,2019,62820
G1762837,1762837,2820,105,1079,4004,70.43,2.62,26.95,2019,62837
G1762850,1762850,99,8,28,135,73.33,5.93,20.74,2019,62850
G1762863,1762863,3226,181,761,4168,77.4,4.34,18.26,2019,62863
G1762874,1762874,144,2,58,204,70.59,0.98,28.43,2019,62874
G1762954,1762954,132,3,102,237,55.7,1.27,43.04,2019,62954
G1762894,1762894,360,2,34,396,90.91,0.51,8.59,2019,62894
G1762918,1762918,3541,91,662,4294,82.46,2.12,15.42,2019,62918
G1762943,1762943,121,0,52,173,69.94,0,30.06,2019,62943
G1762974,1762974,523,21,109,653,80.09,3.22,16.69,2019,62974
G1762987,1762987,338,1,208,547,61.79,0.18,38.03,2019,62987
G1762830,1762830,449,0,137,586,76.62,0,23.38,2019,62830
G1762833,1762833,155,8,22,185,83.78,4.32,11.89,2019,62833
G1762849,1762849,598,20,240,858,69.7,2.33,27.97,2019,62849
G1762939,1762939,980,36,230,1246,78.65,2.89,18.46,2019,62939
G1762910,1762910,652,29,323,1004,64.94,2.89,32.17,2019,62910
G1762926,1762926,523,7,339,869,60.18,0.81,39.01,2019,62926
G1762938,1762938,711,19,381,1111,64,1.71,34.29,2019,62938
G1762941,1762941,134,33,77,244,54.92,13.52,31.56,2019,62941
G1762996,1762996,140,13,25,178,78.65,7.3,14.04,2019,62996
G1762208,1762208,5953,211,907,7071,84.19,2.98,12.83,2019,62208
G1762214,1762214,427,1,111,539,79.22,0.19,20.59,2019,62214
G1762002,1762002,10744,495,2329,13568,79.19,3.65,17.17,2019,62002
G1762009,1762009,496,26,161,683,72.62,3.81,23.57,2019,62009
G4875839,4875839,1473,79,704,2256,65.29,3.5,31.21,2019,75839
G4875848,4875848,40,0,15,55,72.73,0,27.27,2019,75848
G4875849,4875849,14,0,13,27,51.85,0,48.15,2019,75849
G4875858,4875858,0,0,0,0,NA,NA,NA,2019,75858
G4875904,4875904,10686,203,1641,12530,85.28,1.62,13.1,2019,75904
G4875932,4875932,471,26,155,652,72.24,3.99,23.77,2019,75932
G4875937,4875937,240,18,81,339,70.8,5.31,23.89,2019,75937
G4875956,4875956,1921,175,1098,3194,60.14,5.48,34.38,2019,75956
G4875973,4875973,694,60,329,1083,64.08,5.54,30.38,2019,75973
G4875211,4875211,14636,466,6618,21720,67.38,2.15,30.47,2019,75211
G4875449,4875449,368,28,147,543,67.77,5.16,27.07,2019,75449
G4875480,4875480,493,46,85,624,79.01,7.37,13.62,2019,75480
G4875459,4875459,1615,50,238,1903,84.87,2.63,12.51,2019,75459
G4875468,4875468,180,38,117,335,53.73,11.34,34.93,2019,75468
G4875475,4875475,29,5,26,60,48.33,8.33,43.33,2019,75475
G4875487,4875487,560,44,122,726,77.13,6.06,16.8,2019,75487
G4875490,4875490,762,23,170,955,79.79,2.41,17.8,2019,75490
G4875503,4875503,7915,257,1393,9565,82.75,2.69,14.56,2019,75503
G4875555,4875555,499,23,200,722,69.11,3.19,27.7,2019,75555
G4879088,4879088,1357,40,414,1811,74.93,2.21,22.86,2019,79088
G4879093,4879093,68,0,0,68,100,0,0,2019,79093
G4879097,4879097,268,12,31,311,86.17,3.86,9.97,2019,79097
G4879007,4879007,3566,110,853,4529,78.74,2.43,18.83,2019,79007
G4879025,4879025,4,0,10,14,28.57,0,71.43,2019,79025
G4879027,4879027,1108,39,410,1557,71.16,2.5,26.33,2019,79027
G4879039,4879039,263,13,102,378,69.58,3.44,26.98,2019,79039
G4879044,4879044,195,3,71,269,72.49,1.12,26.39,2019,79044
G4879053,4879053,20,0,7,27,74.07,0,25.93,2019,79053
G4879084,4879084,589,12,141,742,79.38,1.62,19,2019,79084
G4879101,4879101,536,113,441,1090,49.17,10.37,40.46,2019,79101
G4879107,4879107,8086,770,2705,11561,69.94,6.66,23.4,2019,79107
G4879118,4879118,6849,337,807,7993,85.69,4.22,10.1,2019,79118
G4879121,4879121,2288,16,234,2538,90.15,0.63,9.22,2019,79121
G4879229,4879229,130,6,24,160,81.25,3.75,15,2019,79229
G4879231,4879231,0,0,28,28,0,0,100,2019,79231
G4879250,4879250,400,5,131,536,74.63,0.93,24.44,2019,79250
G4879106,4879106,8674,516,2466,11656,74.42,4.43,21.16,2019,79106
G4879230,4879230,29,0,14,43,67.44,0,32.56,2019,79230
G4879233,4879233,39,3,25,67,58.21,4.48,37.31,2019,79233
G4879235,4879235,915,24,382,1321,69.27,1.82,28.92,2019,79235
G4879243,4879243,18,0,0,18,100,0,0,2019,79243
G4879245,4879245,592,40,311,943,62.78,4.24,32.98,2019,79245
G4879255,4879255,204,15,41,260,78.46,5.77,15.77,2019,79255
G4879313,4879313,372,19,143,534,69.66,3.56,26.78,2019,79313
G4879314,4879314,12,0,6,18,66.67,0,33.33,2019,79314
G4879343,4879343,398,51,105,554,71.84,9.21,18.95,2019,79343
G4879364,4879364,2537,117,351,3005,84.43,3.89,11.68,2019,79364
G4879372,4879372,335,8,97,440,76.14,1.82,22.05,2019,79372
G4879373,4879373,753,4,339,1096,68.7,0.36,30.93,2019,79373
G4879401,4879401,1799,1176,327,3302,54.48,35.61,9.9,2019,79401
G4879406,4879406,0,0,0,0,NA,NA,NA,2019,79406
G4879535,4879535,71,2,15,88,80.68,2.27,17.05,2019,79535
G4879537,4879537,18,0,4,22,81.82,0,18.18,2019,79537
G4879544,4879544,159,3,85,247,64.37,1.21,34.41,2019,79544
G4879602,4879602,6879,118,1352,8349,82.39,1.41,16.19,2019,79602
G4879713,4879713,142,0,42,184,77.17,0,22.83,2019,79713
G4879733,4879733,45,17,6,68,66.18,25,8.82,2019,79733
G4879738,4879738,63,0,15,78,80.77,0,19.23,2019,79738
G4879855,4879855,313,0,244,557,56.19,0,43.81,2019,79855
G1761849,1761849,651,38,104,793,82.09,4.79,13.11,2019,61849
G1761865,1761865,504,12,81,597,84.42,2.01,13.57,2019,61865
G1761878,1761878,482,25,66,573,84.12,4.36,11.52,2019,61878
G1761882,1761882,217,15,71,303,71.62,4.95,23.43,2019,61882
G1761883,1761883,1371,48,272,1691,81.08,2.84,16.09,2019,61883
G1761932,1761932,165,1,45,211,78.2,0.47,21.33,2019,61932
G1761957,1761957,559,17,176,752,74.34,2.26,23.4,2019,61957
G1761525,1761525,2931,12,129,3072,95.41,0.39,4.2,2019,61525
G1761528,1761528,938,52,51,1041,90.11,5,4.9,2019,61528
G1761540,1761540,781,25,240,1046,74.67,2.39,22.94,2019,61540
G1761543,1761543,47,1,15,63,74.6,1.59,23.81,2019,61543
G1761547,1761547,1275,31,170,1476,86.38,2.1,11.52,2019,61547
G1761564,1761564,327,7,44,378,86.51,1.85,11.64,2019,61564
G880222,880222,9414,292,1156,10862,86.67,2.69,10.64,2019,80222
G880223,880223,6622,254,1184,8060,82.16,3.15,14.69,2019,80223
G880234,880234,9403,199,904,10506,89.5,1.89,8.6,2019,80234
G880235,880235,3442,47,253,3742,91.98,1.26,6.76,2019,80235
G880239,880239,10229,204,2068,12501,81.83,1.63,16.54,2019,80239
G880294,880294,0,0,0,0,NA,NA,NA,2019,80294
G880435,880435,2080,84,166,2330,89.27,3.61,7.12,2019,80435
G880467,880467,873,13,93,979,89.17,1.33,9.5,2019,80467
G880469,880469,191,0,21,212,90.09,0,9.91,2019,80469
G880510,880510,113,0,13,126,89.68,0,10.32,2019,80510
G880516,880516,9277,108,256,9641,96.22,1.12,2.66,2019,80516
G880929,880929,26,0,36,62,41.94,0,58.06,2019,80929
G880643,880643,1141,20,86,1247,91.5,1.6,6.9,2019,80643
G880532,880532,40,0,30,70,57.14,0,42.86,2019,80532
G880631,880631,13182,880,3347,17409,75.72,5.05,19.23,2019,80631
G880640,880640,3293,38,241,3572,92.19,1.06,6.75,2019,80640
G880650,880650,464,14,87,565,82.12,2.48,15.4,2019,80650
G880705,880705,353,6,96,455,77.58,1.32,21.1,2019,80705
G880737,880737,504,42,125,671,75.11,6.26,18.63,2019,80737
G880741,880741,286,14,64,364,78.57,3.85,17.58,2019,80741
G880759,880759,1476,40,285,1801,81.95,2.22,15.82,2019,80759
G880813,880813,494,29,204,727,67.95,3.99,28.06,2019,80813
G880823,880823,48,0,9,57,84.21,0,15.79,2019,80823
G880833,880833,224,14,33,271,82.66,5.17,12.18,2019,80833
G880836,880836,347,24,66,437,79.41,5.49,15.1,2019,80836
G880840,880840,603,6,20,629,95.87,0.95,3.18,2019,80840
G880015,880015,21744,348,587,22679,95.88,1.53,2.59,2019,80015
G880016,880016,18496,313,394,19203,96.32,1.63,2.05,2019,80016
G880024,880024,37,8,29,74,50,10.81,39.19,2019,80024
G880025,880025,68,0,0,68,100,0,0,2019,80025
G880030,880030,4710,132,1179,6021,78.23,2.19,19.58,2019,80030
G880104,880104,10589,117,406,11112,95.29,1.05,3.65,2019,80104
G880136,880136,1610,54,125,1789,89.99,3.02,6.99,2019,80136
G880105,880105,390,27,77,494,78.95,5.47,15.59,2019,80105
G880111,880111,12117,291,397,12805,94.63,2.27,3.1,2019,80111
G880123,880123,18370,314,1071,19755,92.99,1.59,5.42,2019,80123
G880126,880126,14786,198,408,15392,96.06,1.29,2.65,2019,80126
G880133,880133,931,17,108,1056,88.16,1.61,10.23,2019,80133
G880215,880215,7350,245,715,8310,88.45,2.95,8.6,2019,80215
G880116,880116,1457,21,62,1540,94.61,1.36,4.03,2019,80116
G880120,880120,12291,474,1171,13936,88.2,3.4,8.4,2019,80120
G880205,880205,13407,242,1568,15217,88.11,1.59,10.3,2019,80205
G880219,880219,18105,535,3261,21901,82.67,2.44,14.89,2019,80219
G880220,880220,14228,494,1239,15961,89.14,3.1,7.76,2019,80220
G880228,880228,13477,291,626,14394,93.63,2.02,4.35,2019,80228
G880230,880230,3833,44,355,4232,90.57,1.04,8.39,2019,80230
G880236,880236,5817,43,662,6522,89.19,0.66,10.15,2019,80236
G880237,880237,9958,198,659,10815,92.08,1.83,6.09,2019,80237
G880241,880241,10822,210,478,11510,94.02,1.82,4.15,2019,80241
G880249,880249,9292,208,803,10303,90.19,2.02,7.79,2019,80249
G880260,880260,9229,283,2325,11837,77.97,2.39,19.64,2019,80260
G880264,880264,0,0,0,0,NA,NA,NA,2019,80264
G880293,880293,0,0,0,0,NA,NA,NA,2019,80293
G4984334,4984334,42,0,0,42,100,0,0,2019,84334
G4984336,4984336,29,0,13,42,69.05,0,30.95,2019,84336
G4984337,4984337,3568,115,324,4007,89.04,2.87,8.09,2019,84337
G4984338,4984338,133,6,7,146,91.1,4.11,4.79,2019,84338
G4984523,4984523,553,11,75,639,86.54,1.72,11.74,2019,84523
G4984539,4984539,67,0,23,90,74.44,0,25.56,2019,84539
G4876250,4876250,400,4,15,419,95.47,0.95,3.58,2019,76250
G4876943,4876943,935,118,299,1352,69.16,8.73,22.12,2019,76943
G4876108,4876108,13706,370,1305,15381,89.11,2.41,8.48,2019,76108
G4876061,4876061,19,0,0,19,100,0,0,2019,76061
G4876084,4876084,2046,124,299,2469,82.87,5.02,12.11,2019,76084
G4876114,4876114,7877,281,949,9107,86.49,3.09,10.42,2019,76114
G4876120,4876120,5643,244,1056,6943,81.28,3.51,15.21,2019,76120
G4876549,4876549,16457,410,1028,17895,91.96,2.29,5.74,2019,76549
G4875493,4875493,94,1,76,171,54.97,0.58,44.44,2019,75493
G4875640,4875640,1434,27,375,1836,78.1,1.47,20.42,2019,75640
G4875770,4875770,908,38,178,1124,80.78,3.38,15.84,2019,75770
G4875762,4875762,3907,307,266,4480,87.21,6.85,5.94,2019,75762
G4875844,4875844,1672,71,800,2543,65.75,2.79,31.46,2019,75844
G4875959,4875959,293,18,72,383,76.5,4.7,18.8,2019,75959
G4875801,4875801,3793,122,1939,5854,64.79,2.08,33.12,2019,75801
G4875783,4875783,2320,89,558,2967,78.19,3,18.81,2019,75783
G4875784,4875784,190,12,65,267,71.16,4.49,24.34,2019,75784
G4875792,4875792,782,2,214,998,78.36,0.2,21.44,2019,75792
G4875846,4875846,773,60,320,1153,67.04,5.2,27.75,2019,75846
G4875860,4875860,1240,28,531,1799,68.93,1.56,29.52,2019,75860
G4875931,4875931,678,25,247,950,71.37,2.63,26,2019,75931
G4875935,4875935,3360,159,1180,4699,71.5,3.38,25.11,2019,75935
G4875942,4875942,47,4,0,51,92.16,7.84,0,2019,75942
G4875951,4875951,3865,282,1551,5698,67.83,4.95,27.22,2019,75951
G4875978,4875978,42,0,6,48,87.5,0,12.5,2019,75978
G4875979,4875979,2417,268,990,3675,65.77,7.29,26.94,2019,75979
G4875938,4875938,728,26,243,997,73.02,2.61,24.37,2019,75938
G4875851,4875851,649,31,243,923,70.31,3.36,26.33,2019,75851
G4875949,4875949,2274,178,651,3103,73.28,5.74,20.98,2019,75949
G4875054,4875054,3444,17,25,3486,98.8,0.49,0.72,2019,75054
G4875071,4875071,16709,305,800,17814,93.8,1.71,4.49,2019,75071
G4875109,4875109,1460,9,234,1703,85.73,0.53,13.74,2019,75109
G4875156,4875156,4978,255,1497,6730,73.97,3.79,22.24,2019,75156
G4875157,4875157,54,2,42,98,55.1,2.04,42.86,2019,75157
G4875254,4875254,9922,234,1681,11837,83.82,1.98,14.2,2019,75254
G4875390,4875390,0,0,0,0,NA,NA,NA,2019,75390
G4875642,4875642,4,0,15,19,21.05,0,78.95,2019,75642
G4875645,4875645,3113,87,501,3701,84.11,2.35,13.54,2019,75645
G4875682,4875682,116,15,40,171,67.84,8.77,23.39,2019,75682
G4875752,4875752,2261,147,399,2807,80.55,5.24,14.21,2019,75752
G4875779,4875779,16,13,6,35,45.71,37.14,17.14,2019,75779
G4875780,4875780,54,0,0,54,100,0,0,2019,75780
G4875803,4875803,4371,96,1563,6030,72.49,1.59,25.92,2019,75803
G4875832,4875832,0,0,9,9,0,0,100,2019,75832
G4875962,4875962,0,0,0,0,NA,NA,NA,2019,75962
G4875438,4875438,295,13,65,373,79.09,3.49,17.43,2019,75438
G4875974,4875974,881,52,417,1350,65.26,3.85,30.89,2019,75974
G4875976,4875976,202,0,65,267,75.66,0,24.34,2019,75976
G4875965,4875965,6397,121,1086,7604,84.13,1.59,14.28,2019,75965
G4877480,4877480,2403,36,536,2975,80.77,1.21,18.02,2019,77480
G4877505,4877505,7710,57,410,8177,94.29,0.7,5.01,2019,77505
G4877515,4877515,8841,596,1394,10831,81.63,5.5,12.87,2019,77515
G4877519,4877519,247,19,138,404,61.14,4.7,34.16,2019,77519
