G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G3728072,3728072,496,6,52,554,89.53,1.08,9.39,2019,28072
G3728432,3728432,339,12,229,580,58.45,2.07,39.48,2019,28432
G3728394,3728394,1934,18,207,2159,89.58,0.83,9.59,2019,28394
G3728395,3728395,607,3,168,778,78.02,0.39,21.59,2019,28395
G3728411,3728411,13690,343,941,14974,91.43,2.29,6.28,2019,28411
G3728436,3728436,424,0,312,736,57.61,0,42.39,2019,28436
G3728441,3728441,840,20,245,1105,76.02,1.81,22.17,2019,28441
G3728443,3728443,7571,109,778,8458,89.51,1.29,9.2,2019,28443
G3728452,3728452,153,0,171,324,47.22,0,52.78,2019,28452
G3728458,3728458,1428,142,861,2431,58.74,5.84,35.42,2019,28458
G3728463,3728463,1914,105,1016,3035,63.06,3.46,33.48,2019,28463
G3728479,3728479,2185,0,478,2663,82.05,0,17.95,2019,28479
G3728510,3728510,526,30,179,735,71.56,4.08,24.35,2019,28510
G3728512,3728512,1372,53,188,1613,85.06,3.29,11.66,2019,28512
G3728515,3728515,607,4,318,929,65.34,0.43,34.23,2019,28515
G3728421,3728421,354,7,121,482,73.44,1.45,25.1,2019,28421
G3728422,3728422,2567,174,444,3185,80.6,5.46,13.94,2019,28422
G3728423,3728423,653,45,221,919,71.06,4.9,24.05,2019,28423
G3728430,3728430,534,12,263,809,66.01,1.48,32.51,2019,28430
G3728445,3728445,2587,83,261,2931,88.26,2.83,8.9,2019,28445
G3728448,3728448,406,0,57,463,87.69,0,12.31,2019,28448
G3728449,3728449,736,20,39,795,92.58,2.52,4.91,2019,28449
G3728468,3728468,2141,47,331,2519,84.99,1.87,13.14,2019,28468
G3728745,3728745,187,31,0,218,85.78,14.22,0,2019,28745
G3728751,3728751,1369,124,264,1757,77.92,7.06,15.03,2019,28751
G3728752,3728752,9183,313,2594,12090,75.96,2.59,21.46,2019,28752
G3728768,3728768,2534,74,516,3124,81.11,2.37,16.52,2019,28768
G3728805,3728805,7599,167,1505,9271,81.97,1.8,16.23,2019,28805
G3728906,3728906,6796,313,1811,8920,76.19,3.51,20.3,2019,28906
G3728077,3728077,132,5,78,215,61.4,2.33,36.28,2019,28077
G3728097,3728097,2132,33,297,2462,86.6,1.34,12.06,2019,28097
G3728103,3728103,3420,36,496,3952,86.54,0.91,12.55,2019,28103
G3728105,3728105,16157,339,1031,17527,92.18,1.93,5.88,2019,28105
G3728110,3728110,15970,371,1866,18207,87.71,2.04,10.25,2019,28110
G3728124,3728124,1939,51,259,2249,86.22,2.27,11.52,2019,28124
G4219140,4219140,11057,1166,6588,18811,58.78,6.2,35.02,2019,19140
G4217009,4217009,706,16,139,861,82,1.86,16.14,2019,17009
G4217010,4217010,77,0,0,77,100,0,0,2019,17010
G4217033,4217033,5603,326,563,6492,86.31,5.02,8.67,2019,17033
G4217044,4217044,6724,227,2151,9102,73.87,2.49,23.63,2019,17044
G4217829,4217829,59,3,17,79,74.68,3.8,21.52,2019,17829
G4217832,4217832,251,5,62,318,78.93,1.57,19.5,2019,17832
G4217835,4217835,101,0,19,120,84.17,0,15.83,2019,17835
G4217845,4217845,480,21,184,685,70.07,3.07,26.86,2019,17845
G4217861,4217861,46,0,18,64,71.88,0,28.12,2019,17861
G4217866,4217866,2333,72,1019,3424,68.14,2.1,29.76,2019,17866
G4217929,4217929,530,6,102,638,83.07,0.94,15.99,2019,17929
G4217002,4217002,92,10,139,241,38.17,4.15,57.68,2019,17002
G4217005,4217005,108,0,27,135,80,0,20,2019,17005
G4217006,4217006,240,4,114,358,67.04,1.12,31.84,2019,17006
G4217020,4217020,2928,68,614,3610,81.11,1.88,17.01,2019,17020
G4217035,4217035,278,4,95,377,73.74,1.06,25.2,2019,17035
G4217047,4217047,632,36,242,910,69.45,3.96,26.59,2019,17047
G4217061,4217061,2269,95,657,3021,75.11,3.14,21.75,2019,17061
G4217065,4217065,1360,57,237,1654,82.22,3.45,14.33,2019,17065
G4217087,4217087,744,19,183,946,78.65,2.01,19.34,2019,17087
G4217104,4217104,5718,417,1476,7611,75.13,5.48,19.39,2019,17104
G4217213,4217213,175,5,61,241,72.61,2.07,25.31,2019,17213
G4217214,4217214,241,0,150,391,61.64,0,38.36,2019,17214
G4217215,4217215,71,0,16,87,81.61,0,18.39,2019,17215
G4217222,4217222,3921,97,854,4872,80.48,1.99,17.53,2019,17222
G4217225,4217225,6352,142,939,7433,85.46,1.91,12.63,2019,17225
G4217302,4217302,718,46,259,1023,70.19,4.5,25.32,2019,17302
G4217340,4217340,3598,62,616,4276,84.14,1.45,14.41,2019,17340
G4217355,4217355,118,1,6,125,94.4,0.8,4.8,2019,17355
G4217403,4217403,11712,638,2541,14891,78.65,4.28,17.06,2019,17403
G4217516,4217516,1538,43,304,1885,81.59,2.28,16.13,2019,17516
G4217538,4217538,2062,111,295,2468,83.55,4.5,11.95,2019,17538
G4217554,4217554,2440,266,330,3036,80.37,8.76,10.87,2019,17554
G4217557,4217557,3881,299,1048,5228,74.23,5.72,20.05,2019,17557
G4217565,4217565,761,32,133,926,82.18,3.46,14.36,2019,17565
G4217569,4217569,1480,128,344,1952,75.82,6.56,17.62,2019,17569
G4217601,4217601,17771,1206,2021,20998,84.63,5.74,9.62,2019,17601
G4217602,4217602,15270,953,2786,19009,80.33,5.01,14.66,2019,17602
G4217721,4217721,526,23,121,670,78.51,3.43,18.06,2019,17721
G4217739,4217739,15,0,2,17,88.24,0,11.76,2019,17739
G4217758,4217758,322,31,71,424,75.94,7.31,16.75,2019,17758
G4217810,4217810,517,21,187,725,71.31,2.9,25.79,2019,17810
G4217823,4217823,379,17,91,487,77.82,3.49,18.69,2019,17823
G4217887,4217887,75,0,64,139,53.96,0,46.04,2019,17887
G4217921,4217921,2183,18,490,2691,81.12,0.67,18.21,2019,17921
G4217923,4217923,132,0,47,179,73.74,0,26.26,2019,17923
G4217933,4217933,46,0,0,46,100,0,0,2019,17933
G4217935,4217935,544,3,146,693,78.5,0.43,21.07,2019,17935
G4217959,4217959,400,11,186,597,67,1.84,31.16,2019,17959
G4217960,4217960,1471,5,235,1711,85.97,0.29,13.73,2019,17960
G4217972,4217972,3792,126,816,4734,80.1,2.66,17.24,2019,17972
G4217965,4217965,698,31,166,895,77.99,3.46,18.55,2019,17965
G4217978,4217978,89,2,24,115,77.39,1.74,20.87,2019,17978
G4217820,4217820,1796,56,444,2296,78.22,2.44,19.34,2019,17820
G4217776,4217776,101,3,37,141,71.63,2.13,26.24,2019,17776
G4217812,4217812,398,13,98,509,78.19,2.55,19.25,2019,17812
G4217311,4217311,52,0,51,103,50.49,0,49.51,2019,17311
G4217314,4217314,1657,93,313,2063,80.32,4.51,15.17,2019,17314
G1120012,1120012,5284,130,856,6270,84.27,2.07,13.65,2019,20012
G4217090,4217090,2059,28,321,2408,85.51,1.16,13.33,2019,17090
G4217265,4217265,230,3,37,270,85.19,1.11,13.7,2019,17265
G4217028,4217028,1297,4,249,1550,83.68,0.26,16.06,2019,17028
G4217067,4217067,4510,179,1093,5782,78,3.1,18.9,2019,17067
G4217228,4217228,330,15,77,422,78.2,3.55,18.25,2019,17228
G4217886,4217886,266,0,313,579,45.94,0,54.06,2019,17886
G4217964,4217964,220,8,88,316,69.62,2.53,27.85,2019,17964
G4217083,4217083,24,0,0,24,100,0,0,2019,17083
G4217221,4217221,132,41,69,242,54.55,16.94,28.51,2019,17221
G4217327,4217327,2350,69,413,2832,82.98,2.44,14.58,2019,17327
G4217509,4217509,826,50,428,1304,63.34,3.83,32.82,2019,17509
G4217762,4217762,154,0,22,176,87.5,0,12.5,2019,17762
G4217860,4217860,820,5,170,995,82.41,0.5,17.09,2019,17860
G4217764,4217764,695,44,191,930,74.73,4.73,20.54,2019,17764
G4217814,4217814,1531,13,376,1920,79.74,0.68,19.58,2019,17814
G4217830,4217830,589,8,197,794,74.18,1.01,24.81,2019,17830
G4217938,4217938,734,2,187,923,79.52,0.22,20.26,2019,17938
G4217985,4217985,415,30,100,545,76.15,5.5,18.35,2019,17985
G4217744,4217744,931,31,276,1238,75.2,2.5,22.29,2019,17744
G4217868,4217868,474,0,63,537,88.27,0,11.73,2019,17868
G4217980,4217980,1029,19,223,1271,80.96,1.49,17.55,2019,17980
G4217015,4217015,7196,131,952,8279,86.92,1.58,11.5,2019,17015
G4217030,4217030,199,5,106,310,64.19,1.61,34.19,2019,17030
G4217039,4217039,9,29,0,38,23.68,76.32,0,2019,17039
G4217050,4217050,13774,505,1082,15361,89.67,3.29,7.04,2019,17050
G4217056,4217056,13,0,10,23,56.52,0,43.48,2019,17056
G4217071,4217071,40,0,12,52,76.92,0,23.08,2019,17071
G4217120,4217120,0,0,0,0,NA,NA,NA,2019,17120
G4217202,4217202,9385,280,1369,11034,85.06,2.54,12.41,2019,17202
G4217210,4217210,85,0,0,85,100,0,0,2019,17210
G4217217,4217217,69,0,15,84,82.14,0,17.86,2019,17217
G4217246,4217246,39,0,55,94,41.49,0,58.51,2019,17246
G4217247,4217247,101,0,132,233,43.35,0,56.65,2019,17247
G4217250,4217250,0,0,34,34,0,0,100,2019,17250
G4217251,4217251,40,0,2,42,95.24,0,4.76,2019,17251
