"","NAME","FIPS","year","totUnits","occP","vacantP"
"57","Russell County, Alabama","01113",1990,19633,89.13,10.87
"58","St. Clair County, Alabama","01115",1990,20382,86.67,13.33
"59","Shelby County, Alabama","01117",1990,39201,91.8,8.2
"60","Sumter County, Alabama","01119",1990,6545,84.72,15.28
"61","Talladega County, Alabama","01121",1990,29861,88.57,11.43
"62","Tallapoosa County, Alabama","01123",1990,17312,84.91,15.09
"63","Tuscaloosa County, Alabama","01125",1990,58740,94.24,5.76
"64","Walker County, Alabama","01127",1990,28427,89.89,10.11
"65","Washington County, Alabama","01129",1990,6625,86.17,13.83
"66","Wilcox County, Alabama","01131",1990,5119,86.25,13.75
"67","Winston County, Alabama","01133",1990,10254,83.32,16.68
"68","Aleutians East Borough, Alaska","02013",1990,693,76.91,23.09
"69","Aleutians West Census Area, Alaska","02016",1990,2051,89.96,10.04
"70","Anchorage Municipality, Alaska","02020",1990,94153,87.84,12.16
"71","Bethel Census Area, Alaska","02050",1990,4362,82.65,17.35
"72","Bristol Bay Borough, Alaska","02060",1990,596,68.29,31.71
"73","Denali Borough, Alaska","02068",1990,971.9410242,56.09,43.91
"74","Dillingham Census Area, Alaska","02070",1990,1691,71.85,28.15
"75","Fairbanks North Star Borough, Alaska","02090",1990,31823,83.88,16.12
"76","Haines Borough, Alaska","02100",1990,1112,71.13,28.87
"77","Hoonah-Angoon Census Area, Alaska","02105",1990,1574.6647438,67.65,32.35
"78","Juneau City and Borough, Alaska","02110",1990,10638,93.08,6.92
"79","Kenai Peninsula Borough, Alaska","02122",1990,19364,73.59,26.41
"80","Ketchikan Gateway Borough, Alaska","02130",1990,5465.896354936,92.07,7.93
"81","Kodiak Island Borough, Alaska","02150",1990,4885,83.58,16.42
"82","Lake and Peninsula Borough, Alaska","02164",1990,991,51.36,48.64
"83","Matanuska-Susitna Borough, Alaska","02170",1990,20953,63.92,36.08
"84","Nome Census Area, Alaska","02180",1990,3684,64.36,35.64
"85","North Slope Borough, Alaska","02185",1990,2153,77.71,22.29
"86","Northwest Arctic Borough, Alaska","02188",1990,1998,76.38,23.62
"87","Petersburg Census Area, Alaska","02195",1990,1594.20246141229,83.66,16.34
"88","Prince of Wales-Hyder Census Area, Alaska","02198",1990,2527.276928531,81.05,18.95
"89","Sitka City and Borough, Alaska","02220",1990,3222,91.22,8.78
"90","Skagway Municipality, Alaska","02230",1990,527.3352562,67.65,32.35
"91","Southeast Fairbanks Census Area, Alaska","02240",1990,3149,60.62,39.38
"92","Valdez-Cordova Census Area, Alaska","02261",1990,5196,65.92,34.08
"93","Wade Hampton Census Area, Alaska","02270",1990,1882,72.69,27.31
"94","Wrangell City and Borough, Alaska","02275",1990,928.93183962071,83.62,16.38
"95","Yakutat City and Borough, Alaska","02282",1990,346.0377562,67.65,32.35
"96","Yukon-Koyukuk Census Area, Alaska","02290",1990,3927.0589758,56.09,43.91
"97","Apache County, Arizona","04001",1990,26731,59.78,40.22
"98","Cochise County, Arizona","04003",1990,40238,85.85,14.15
"99","Coconino County, Arizona","04005",1990,42914,69.72,30.28
"100","Gila County, Arizona","04007",1990,22961,67.24,32.76
"101","Graham County, Arizona","04009",1990,9112,87.03,12.97
"102","Greenlee County, Arizona","04011",1990,3582,78.42,21.58
"103","La Paz County, Arizona","04012",1990,10182,52.52,47.48
"104","Maricopa County, Arizona","04013",1990,952041,84.82,15.18
"105","Mohave County, Arizona","04015",1990,50822,72.41,27.59
"106","Navajo County, Arizona","04017",1990,38967,56.94,43.06
"107","Pima County, Arizona","04019",1990,298207,87.79,12.21
"108","Pinal County, Arizona","04021",1990,52732,74.25,25.75
"109","Santa Cruz County, Arizona","04023",1990,9595,91.8,8.2
"110","Yavapai County, Arizona","04025",1990,54805,81.7,18.3
"111","Yuma County, Arizona","04027",1990,46541,76.9,23.1
"112","Arkansas County, Arkansas","05001",1990,9575,87.61,12.39
"113","Ashley County, Arkansas","05003",1990,9820,90.53,9.47
"114","Baxter County, Arkansas","05005",1990,15549,86.73,13.27
"115","Benton County, Arkansas","05007",1990,41444,90.62,9.38
"116","Boone County, Arkansas","05009",1990,12380,89.91,10.09
"117","Bradley County, Arkansas","05011",1990,5092,89.26,10.74
"118","Calhoun County, Arkansas","05013",1990,2437,89.66,10.34
"119","Carroll County, Arkansas","05015",1990,8740,86.38,13.62
"120","Chicot County, Arkansas","05017",1990,6191,89.76,10.24
"121","Clark County, Arkansas","05019",1990,8807,89.78,10.22
"122","Clay County, Arkansas","05021",1990,8362,89.74,10.26
"123","Cleburne County, Arkansas","05023",1990,10802,73.38,26.62
"124","Cleveland County, Arkansas","05025",1990,3322,86.33,13.67
"125","Columbia County, Arkansas","05027",1990,10690,90.16,9.84
"126","Conway County, Arkansas","05029",1990,8009,89.64,10.36
"127","Craighead County, Arkansas","05031",1990,28434,92.44,7.56
"128","Crawford County, Arkansas","05033",1990,16711,91.26,8.74
"129","Crittenden County, Arkansas","05035",1990,18875,90.7,9.3
"130","Cross County, Arkansas","05037",1990,7254,93.11,6.89
"131","Dallas County, Arkansas","05039",1990,4049,88.91,11.09
"132","Desha County, Arkansas","05041",1990,6706,88.83,11.17
"133","Drew County, Arkansas","05043",1990,7159,88.59,11.41
"134","Faulkner County, Arkansas","05045",1990,23397,91.14,8.86
"135","Franklin County, Arkansas","05047",1990,6228,89.56,10.44
"136","Fulton County, Arkansas","05049",1990,4839,82.87,17.13
"137","Garland County, Arkansas","05051",1990,37966,81.22,18.78
"138","Grant County, Arkansas","05053",1990,5540,92.38,7.62
"139","Greene County, Arkansas","05055",1990,13216,93.26,6.74
"140","Hempstead County, Arkansas","05057",1990,9690,84.75,15.25
"141","Hot Spring County, Arkansas","05059",1990,11378,88.9,11.1
"142","Howard County, Arkansas","05061",1990,5600,88.84,11.16
"143","Independence County, Arkansas","05063",1990,12838,92.27,7.73
"144","Izard County, Arkansas","05065",1990,5535,84.63,15.37
"145","Jackson County, Arkansas","05067",1990,8086,91.03,8.97
"146","Jefferson County, Arkansas","05069",1990,33311,90.06,9.94
"147","Johnson County, Arkansas","05071",1990,7984,88.41,11.59
"148","Lafayette County, Arkansas","05073",1990,4523,79.24,20.76
"149","Lawrence County, Arkansas","05075",1990,7692,89.14,10.86
"150","Lee County, Arkansas","05077",1990,5085,90.03,9.97
"151","Lincoln County, Arkansas","05079",1990,4295,88.38,11.62
"152","Little River County, Arkansas","05081",1990,6171,83.45,16.55
"153","Logan County, Arkansas","05083",1990,8539,89.33,10.67
"154","Lonoke County, Arkansas","05085",1990,15009,92.38,7.62
"155","Madison County, Arkansas","05087",1990,5182,84.75,15.25
"156","Marion County, Arkansas","05089",1990,6139,80.96,19.04
"157","Miller County, Arkansas","05091",1990,16172,88.26,11.74
"158","Mississippi County, Arkansas","05093",1990,22232,91.85,8.15
"159","Monroe County, Arkansas","05095",1990,5063,86.13,13.87
"160","Montgomery County, Arkansas","05097",1990,4269,71.73,28.27
"161","Nevada County, Arkansas","05099",1990,4287,88.59,11.41
"162","Newton County, Arkansas","05101",1990,3439,81.94,18.06
"163","Ouachita County, Arkansas","05103",1990,13204,88.7,11.3
"164","Perry County, Arkansas","05105",1990,3702,82.52,17.48
"165","Phillips County, Arkansas","05107",1990,11094,91.79,8.21
"166","Pike County, Arkansas","05109",1990,4550,84.73,15.27
"167","Poinsett County, Arkansas","05111",1990,10271,91.21,8.79
"168","Polk County, Arkansas","05113",1990,7732,88.3,11.7
"169","Pope County, Arkansas","05115",1990,18430,91.31,8.69
"170","Prairie County, Arkansas","05117",1990,4340,84.35,15.65
"171","Pulaski County, Arkansas","05119",1990,151538,90.54,9.46
"172","Randolph County, Arkansas","05121",1990,7343,87.77,12.23
"173","St. Francis County, Arkansas","05123",1990,10958,90.87,9.13
"174","Saline County, Arkansas","05125",1990,24602,93.64,6.36
"175","Scott County, Arkansas","05127",1990,4485,88.23,11.77
"176","Searcy County, Arkansas","05129",1990,3739,83.36,16.64
"177","Sebastian County, Arkansas","05131",1990,43621,90.09,9.91
"178","Sevier County, Arkansas","05133",1990,5880,87.04,12.96
"179","Sharp County, Arkansas","05135",1990,7617,76.39,23.61
"180","Stone County, Arkansas","05137",1990,4548,85,15
"181","Union County, Arkansas","05139",1990,20276,87.88,12.12
"182","Van Buren County, Arkansas","05141",1990,7580,75.17,24.83
"183","Washington County, Arkansas","05143",1990,47349,91.6,8.4
"184","White County, Arkansas","05145",1990,21658,91.53,8.47
"185","Woodruff County, Arkansas","05147",1990,4169,87.07,12.93
"186","Yell County, Arkansas","05149",1990,7868,87.79,12.21
"187","Alameda County, California","06001",1990,504109,95.12,4.88
"188","Alpine County, California","06003",1990,1319,34.12,65.88
"189","Amador County, California","06005",1990,12814,82.08,17.92
"190","Butte County, California","06007",1990,76115,94.15,5.85
"191","Calaveras County, California","06009",1990,19153,66.04,33.96
"192","Colusa County, California","06011",1990,6295,89.15,10.85
"193","Contra Costa County, California","06013",1990,316170,94.98,5.02
"194","Del Norte County, California","06015",1990,9091,87.86,12.14
"195","El Dorado County, California","06017",1990,61451,76.23,23.77
"196","Fresno County, California","06019",1990,235563,93.79,6.21
"197","Glenn County, California","06021",1990,9329,94.55,5.45
"198","Humboldt County, California","06023",1990,51134,90.78,9.22
"199","Imperial County, California","06025",1990,36559,89.83,10.17
"200","Inyo County, California","06027",1990,8712,86.83,13.17
"201","Kern County, California","06029",1990,198636,91.36,8.64
"202","Kings County, California","06031",1990,30843,94.29,5.71
"203","Lake County, California","06033",1990,28822,72.18,27.82
"204","Lassen County, California","06035",1990,10358,82.48,17.52
"205","Los Angeles County, California","06037",1990,3163343,94.51,5.49
"206","Madera County, California","06039",1990,30831,92.02,7.98
"207","Marin County, California","06041",1990,99757,95.24,4.76
"208","Mariposa County, California","06043",1990,7700,72.78,27.22
"209","Mendocino County, California","06045",1990,33649,90.4,9.6
"210","Merced County, California","06047",1990,58410,94.73,5.27
"211","Modoc County, California","06049",1990,4672,79.43,20.57
"212","Mono County, California","06051",1990,10664,37.14,62.86
"213","Monterey County, California","06053",1990,121224,93.19,6.81
"214","Napa County, California","06055",1990,44199,93.47,6.53
"215","Nevada County, California","06057",1990,37352,82.35,17.65
"216","Orange County, California","06059",1990,875072,94.51,5.49
"217","Placer County, California","06061",1990,77879,82.31,17.69
"218","Plumas County, California","06063",1990,11942,68.04,31.96
"219","Riverside County, California","06065",1990,483847,83.1,16.9
"220","Sacramento County, California","06067",1990,417574,94.48,5.52
"221","San Benito County, California","06069",1990,12230,93.39,6.61
"222","San Bernardino County, California","06071",1990,542332,85.69,14.31
"223","San Diego County, California","06073",1990,946240,93.78,6.22
"224","San Francisco County, California","06075",1990,328471,93.03,6.97
"225","San Joaquin County, California","06077",1990,166274,95.12,4.88
"226","San Luis Obispo County, California","06079",1990,90200,89,11
"227","San Mateo County, California","06081",1990,251782,96.08,3.92
"228","Santa Barbara County, California","06083",1990,138149,93.96,6.04
"229","Santa Clara County, California","06085",1990,540240,96.29,3.71
"230","Santa Cruz County, California","06087",1990,91878,90.95,9.05
"231","Shasta County, California","06089",1990,60552,92.43,7.57
"232","Sierra County, California","06091",1990,2166,61.68,38.32
"233","Siskiyou County, California","06093",1990,20141,85.92,14.08
"234","Solano County, California","06095",1990,119533,94.89,5.11
"235","Sonoma County, California","06097",1990,161062,92.52,7.48
"236","Stanislaus County, California","06099",1990,132027,94.96,5.04
"237","Sutter County, California","06101",1990,24163,95.65,4.35
"238","Tehama County, California","06103",1990,20403,91.67,8.33
"239","Trinity County, California","06105",1990,7540,68.38,31.62
"240","Tulare County, California","06107",1990,105013,93.19,6.81
"241","Tuolumne County, California","06109",1990,25175,71.34,28.66
"242","Ventura County, California","06111",1990,228478,95.11,4.89
"243","Yolo County, California","06113",1990,53000,96.17,3.83
"244","Yuba County, California","06115",1990,21245,93.09,6.91
"245","Adams County, Colorado","08001",1990,102282.395801098,90.09,9.91
"246","Alamosa County, Colorado","08003",1990,5254,89.86,10.14
"247","Arapahoe County, Colorado","08005",1990,168665,91.73,8.27
"248","Archuleta County, Colorado","08007",1990,3951,50.87,49.13
"249","Baca County, Colorado","08009",1990,2434,76.91,23.09
"250","Bent County, Colorado","08011",1990,2332,79.97,20.03
"251","Boulder County, Colorado","08013",1990,87633.1153222927,93.43,6.57
"252","Broomfield County, Colorado","08014",1990,12256.9046587926,92.15,7.85
"253","Chaffee County, Colorado","08015",1990,6547,74.05,25.95
"254","Cheyenne County, Colorado","08017",1990,1083,83.47,16.53
"255","Clear Creek County, Colorado","08019",1990,4811,65.54,34.46
"256","Conejos County, Colorado","08021",1990,3574,69.73,30.27
"257","Costilla County, Colorado","08023",1990,1743,68.39,31.61
"258","Crowley County, Colorado","08025",1990,1415,82.33,17.67
"259","Custer County, Colorado","08027",1990,2216,34.75,65.25
"260","Delta County, Colorado","08029",1990,10082,83.04,16.96
"261","Denver County, Colorado","08031",1990,239636,88.03,11.97
"262","Dolores County, Colorado","08033",1990,947,61.35,38.65
"263","Douglas County, Colorado","08035",1990,22291,93.51,6.49
"264","Eagle County, Colorado","08037",1990,15226,54.87,45.13
"265","Elbert County, Colorado","08039",1990,3997,84.49,15.51
"266","El Paso County, Colorado","08041",1990,165056,89.04,10.96
"267","Fremont County, Colorado","08043",1990,13683,85.6,14.4
"268","Garfield County, Colorado","08045",1990,12517,90.01,9.99
"269","Gilpin County, Colorado","08047",1990,2438,53.65,46.35
"270","Grand County, Colorado","08049",1990,9985,31.73,68.27
"271","Gunnison County, Colorado","08051",1990,7294,52.85,47.15
"272","Hinsdale County, Colorado","08053",1990,1254,17.07,82.93
"273","Huerfano County, Colorado","08055",1990,3913,62.51,37.49
"274","Jackson County, Colorado","08057",1990,1326,47.66,52.34
"275","Jefferson County, Colorado","08059",1990,178026.085710057,93.24,6.76
"276","Kiowa County, Colorado","08061",1990,878,74.83,25.17
"277","Kit Carson County, Colorado","08063",1990,3224,86.38,13.62
"278","Lake County, Colorado","08065",1990,3527,67.54,32.46
"279","La Plata County, Colorado","08067",1990,15412,77.71,22.29
"280","Larimer County, Colorado","08069",1990,77811,90.57,9.43
"281","Las Animas County, Colorado","08071",1990,6975,77.72,22.28
"282","Lincoln County, Colorado","08073",1990,2204,82.44,17.56
"283","Logan County, Colorado","08075",1990,7824,89.19,10.81
"284","Mesa County, Colorado","08077",1990,39208,92.46,7.54
"285","Mineral County, Colorado","08079",1990,1201,20.57,79.43
"286","Moffat County, Colorado","08081",1990,5235,79.81,20.19
"287","Montezuma County, Colorado","08083",1990,8050,84,16
"288","Montrose County, Colorado","08085",1990,10353,90.84,9.16
"289","Morgan County, Colorado","08087",1990,9230,88.18,11.82
"290","Otero County, Colorado","08089",1990,8739,86.89,13.11
"291","Ouray County, Colorado","08091",1990,1507,62.84,37.16
"292","Park County, Colorado","08093",1990,7247,38.29,61.71
"293","Phillips County, Colorado","08095",1990,1960,87.35,12.65
"294","Pitkin County, Colorado","08097",1990,9837,59.74,40.26
"295","Prowers County, Colorado","08099",1990,5855,85.12,14.88
"296","Pueblo County, Colorado","08101",1990,50872,92.5,7.5
"297","Rio Blanco County, Colorado","08103",1990,2803,77.81,22.19
"298","Rio Grande County, Colorado","08105",1990,5277,74.47,25.53
"299","Routt County, Colorado","08107",1990,9252,59.26,40.74
"300","Saguache County, Colorado","08109",1990,2306,71.25,28.75
"301","San Juan County, Colorado","08111",1990,481,59.67,40.33
"302","San Miguel County, Colorado","08113",1990,2635,56.51,43.49
"303","Sedgwick County, Colorado","08115",1990,1414,80.69,19.31
"304","Summit County, Colorado","08117",1990,17091,30.98,69.02
"305","Teller County, Colorado","08119",1990,7565,62.39,37.61
"306","Washington County, Colorado","08121",1990,2307,83.01,16.99
"307","Weld County, Colorado","08123",1990,51118.4985077597,92.83,7.17
"308","Yuma County, Colorado","08125",1990,4082,85.06,14.94
"309","Fairfield County, Connecticut","09001",1990,324355,94.04,5.96
"310","Hartford County, Connecticut","09003",1990,341812,94.99,5.01
"311","Litchfield County, Connecticut","09005",1990,74274,89.36,10.64
"312","Middlesex County, Connecticut","09007",1990,61593,88.73,11.27
"313","New Haven County, Connecticut","09009",1990,327079,93.17,6.83
"314","New London County, Connecticut","09011",1990,104461,89.26,10.74
"315","Tolland County, Connecticut","09013",1990,46677,94.93,5.07
"316","Windham County, Connecticut","09015",1990,40599,92.3,7.7
"317","Kent County, Delaware","10001",1990,42106,94.18,5.82
"318","New Castle County, Delaware","10003",1990,173560,94.58,5.42
"319","Sussex County, Delaware","10005",1990,74253,58.83,41.17
"320","District of Columbia, District of Columbia","11001",1990,278489,89.64,10.36
"321","Alachua County, Florida","12001",1990,79022,90.17,9.83
"322","Baker County, Florida","12003",1990,5975,92.95,7.05
"323","Bay County, Florida","12005",1990,65999,74.15,25.85
"324","Bradford County, Florida","12007",1990,8099,88.81,11.19
"325","Brevard County, Florida","12009",1990,185150,87.15,12.85
"326","Broward County, Florida","12011",1990,628660,84.06,15.94
"327","Calhoun County, Florida","12013",1990,4468,84.89,15.11
"328","Charlotte County, Florida","12015",1990,64641,74.93,25.07
"329","Citrus County, Florida","12017",1990,49854,81.38,18.62
"330","Clay County, Florida","12019",1990,40249,91.09,8.91
"331","Collier County, Florida","12021",1990,94165,65.53,34.47
"332","Columbia County, Florida","12023",1990,17818,87.61,12.39
"333","DeSoto County, Florida","12027",1990,10310,79.75,20.25
"334","Dixie County, Florida","12029",1990,6445,60.76,39.24
"335","Duval County, Florida","12031",1990,284673,90.37,9.63
"336","Escambia County, Florida","12033",1990,112230,87.86,12.14
"337","Flagler County, Florida","12035",1990,15215,78.08,21.92
"338","Franklin County, Florida","12037",1990,5891,61.59,38.41
"339","Gadsden County, Florida","12039",1990,14859,90.21,9.79
"340","Gilchrist County, Florida","12041",1990,4071,80.67,19.33
"341","Glades County, Florida","12043",1990,4624,62.39,37.61
"342","Gulf County, Florida","12045",1990,6339,68.21,31.79
"343","Hamilton County, Florida","12047",1990,4119,84.68,15.32
"344","Hardee County, Florida","12049",1990,7941,80.48,19.52
"345","Hendry County, Florida","12051",1990,9945,84.48,15.52
"346","Hernando County, Florida","12053",1990,50018,84.57,15.43
"347","Highlands County, Florida","12055",1990,40114,73.65,26.35
"348","Hillsborough County, Florida","12057",1990,367740,88.34,11.66
"349","Holmes County, Florida","12059",1990,6785,85.48,14.52
"350","Indian River County, Florida","12061",1990,47128,80.75,19.25
"351","Jackson County, Florida","12063",1990,16320,88.63,11.37
"352","Jefferson County, Florida","12065",1990,4395,90.6,9.4
"353","Lafayette County, Florida","12067",1990,2266,75.95,24.05
"354","Lake County, Florida","12069",1990,75707,84.03,15.97
"355","Lee County, Florida","12071",1990,189051,74.12,25.88
"356","Leon County, Florida","12073",1990,81325,92.01,7.99
"357","Levy County, Florida","12075",1990,12307,81.9,18.1
"358","Liberty County, Florida","12077",1990,2157,79.09,20.91
"359","Madison County, Florida","12079",1990,6275,88,12
"360","Manatee County, Florida","12081",1990,115245,79.01,20.99
"361","Marion County, Florida","12083",1990,94567,82.67,17.33
"362","Martin County, Florida","12085",1990,54199,79.38,20.62
"363","Miami-Dade County, Florida","12086",1990,771288,89.77,10.23
"364","Monroe County, Florida","12087",1990,46215,72.67,27.33
"365","Nassau County, Florida","12089",1990,18726,86.47,13.53
"366","Okaloosa County, Florida","12091",1990,62569,85.21,14.79
"367","Okeechobee County, Florida","12093",1990,13266,76.99,23.01
"368","Orange County, Florida","12095",1990,282686,90.15,9.85
"369","Osceola County, Florida","12097",1990,47959,81.63,18.37
"370","Palm Beach County, Florida","12099",1990,461665,79.18,20.82
"371","Pasco County, Florida","12101",1990,148965,81.68,18.32
"372","Pinellas County, Florida","12103",1990,458341,83.05,16.95
"373","Polk County, Florida","12105",1990,186225,83.75,16.25
"374","Putnam County, Florida","12107",1990,31840,78.74,21.26
"375","St. Johns County, Florida","12109",1990,40712,82.1,17.9
"376","St. Lucie County, Florida","12111",1990,73843,78.78,21.22
"377","Santa Rosa County, Florida","12113",1990,32831,91.07,8.93
"378","Sarasota County, Florida","12115",1990,157055,79.9,20.1
"379","Seminole County, Florida","12117",1990,117845,91.35,8.65
"380","Sumter County, Florida","12119",1990,15298,79.22,20.78
"381","Suwannee County, Florida","12121",1990,11699,85.77,14.23
"382","Taylor County, Florida","12123",1990,7908,80.94,19.06
"383","Union County, Florida","12125",1990,2975,89.34,10.66
"384","Volusia County, Florida","12127",1990,180972,84.77,15.23
"385","Wakulla County, Florida","12129",1990,6587,79.1,20.9
"386","Walton County, Florida","12131",1990,18728,60.31,39.69
"387","Washington County, Florida","12133",1990,7703,83.64,16.36
"388","Appling County, Georgia","13001",1990,6629,88.01,11.99
"389","Atkinson County, Georgia","13003",1990,2449,90.24,9.76
"390","Bacon County, Georgia","13005",1990,3859,89.19,10.81
"391","Baker County, Georgia","13007",1990,1499,86.72,13.28
"392","Baldwin County, Georgia","13009",1990,14200,85.67,14.33
"393","Banks County, Georgia","13011",1990,4193,90.03,9.97
"394","Barrow County, Georgia","13013",1990,11812,90.38,9.62
"395","Bartow County, Georgia","13015",1990,21757,92.34,7.66
"396","Ben Hill County, Georgia","13017",1990,6875,86.87,13.13
"397","Berrien County, Georgia","13019",1990,5858,87.9,12.1
"398","Bibb County, Georgia","13021",1990,61462,91.61,8.39
"399","Bleckley County, Georgia","13023",1990,4268,89.41,10.59
"400","Brantley County, Georgia","13025",1990,4404,86.53,13.47
"401","Brooks County, Georgia","13027",1990,5972,90.29,9.71
"402","Bryan County, Georgia","13029",1990,5549,91.37,8.63
"403","Bulloch County, Georgia","13031",1990,16541,90.59,9.41
"404","Burke County, Georgia","13033",1990,8329,84.49,15.51
"405","Butts County, Georgia","13035",1990,5536,84.83,15.17
"406","Calhoun County, Georgia","13037",1990,2061,87.05,12.95
"407","Camden County, Georgia","13039",1990,10885,86.9,13.1
"408","Candler County, Georgia","13043",1990,3203,88.29,11.71
"409","Carroll County, Georgia","13045",1990,27736,91.47,8.53
"410","Catoosa County, Georgia","13047",1990,16762,93.93,6.07
"411","Charlton County, Georgia","13049",1990,3222,90.35,9.65
"412","Chatham County, Georgia","13051",1990,91178,88.96,11.04
"413","Chattahoochee County, Georgia","13053",1990,3108,92.79,7.21
"414","Chattooga County, Georgia","13055",1990,9142,92.62,7.38
"415","Cherokee County, Georgia","13057",1990,33840,92.52,7.48
"416","Clarke County, Georgia","13059",1990,35971,92.21,7.79
"417","Clay County, Georgia","13061",1990,1586,76.29,23.71
"418","Clayton County, Georgia","13063",1990,71926,91.1,8.9
"419","Clinch County, Georgia","13065",1990,2423,89.68,10.32
"420","Cobb County, Georgia","13067",1990,189872,90.21,9.79
"421","Coffee County, Georgia","13069",1990,11650,90.48,9.52
"422","Colquitt County, Georgia","13071",1990,14350,90.45,9.55
"423","Columbia County, Georgia","13073",1990,23745,91.98,8.02
"424","Cook County, Georgia","13075",1990,5340,90.36,9.64
"425","Coweta County, Georgia","13077",1990,20413,92.74,7.26
"426","Crawford County, Georgia","13079",1990,3279,93.6,6.4
"427","Crisp County, Georgia","13081",1990,8318,87.61,12.39
"428","Dade County, Georgia","13083",1990,4998,93.26,6.74
"429","Dawson County, Georgia","13085",1990,4321,77.76,22.24
"430","Decatur County, Georgia","13087",1990,10120,88.56,11.44
"431","DeKalb County, Georgia","13089",1990,231520,90.14,9.86
"432","Dodge County, Georgia","13091",1990,7094,90.03,9.97
"433","Dooly County, Georgia","13093",1990,4003,88.86,11.14
"434","Dougherty County, Georgia","13095",1990,37373,91.41,8.59
"435","Douglas County, Georgia","13097",1990,26495,91.63,8.37
"436","Early County, Georgia","13099",1990,4714,90.43,9.57
"437","Echols County, Georgia","13101",1990,942,86.62,13.38
"438","Effingham County, Georgia","13103",1990,9492,92.28,7.72
"439","Elbert County, Georgia","13105",1990,7891,90.17,9.83
"440","Emanuel County, Georgia","13107",1990,8344,88.93,11.07
"441","Evans County, Georgia","13109",1990,3512,89.52,10.48
"442","Fannin County, Georgia","13111",1990,8363,75.74,24.26
"443","Fayette County, Georgia","13113",1990,22428,93.87,6.13
"444","Floyd County, Georgia","13115",1990,32821,92.98,7.02
"445","Forsyth County, Georgia","13117",1990,17869,89.19,10.81
"446","Franklin County, Georgia","13119",1990,7613,83.61,16.39
"447","Fulton County, Georgia","13121",1990,297503,86.43,13.57
