G_COUNTYFP,COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G09003,09003,224,224,5.53357142857143,1
G09005,09005,51,47,13.4501960784314,0.92
G09007,09007,37,37,6.66432432432432,1
G09009,09009,190,190,4.92563157894737,1
G09011,09011,66,66,7.70075757575758,1
G09013,09013,29,29,9.65103448275862,1
G09015,09015,25,25,8.2448,1
G10001,10001,33,33,11.5936363636364,1
G10003,10003,131,131,8.42603053435115,1
G10005,10005,54,53,14.5981481481481,0.98
G11001,11001,179,179,2.16972067039106,1
G12001,12001,56,56,11.6423214285714,1
G12003,12003,4,0,41.885,0
G12005,12005,44,43,13.1038636363636,0.98
G12007,12007,4,4,12.9275,1
G12009,12009,114,112,11.8177192982456,0.98
G12011,12011,362,361,9.72325966850829,1
G12013,12013,3,3,18.1366666666667,1
G12015,12015,39,38,12.7471794871795,0.97
G12017,12017,28,28,14.6939285714286,1
G12019,12019,30,28,16.146,0.93
G12021,12021,74,68,10.8204054054054,0.92
G12023,12023,12,11,17.9383333333333,0.92
G12027,12027,9,9,12.1955555555556,1
G12029,12029,4,3,16.8675,0.75
G12031,12031,174,173,10.5476436781609,0.99
G12033,12033,72,70,10.6368055555556,0.97
G12035,12035,21,21,15.8433333333333,1
G12037,12037,6,5,16.2916666666667,0.83
G12039,12039,9,8,13.5177777777778,0.89
G12041,12041,5,5,11.824,1
G12043,12043,4,4,14.3025,1
G12045,12045,4,3,14.4975,0.75
G12047,12047,3,1,28.3733333333333,0.33
G12049,12049,6,6,11.93,1
G12051,12051,7,6,12.59,0.86
G12053,12053,45,45,13.1771111111111,1
G12055,12055,27,16,27.7481481481481,0.59
G12057,12057,321,321,8.95417445482866,1
G12059,12059,4,3,18.565,0.75
G12061,12061,31,31,6.23129032258065,1
G12063,12063,11,10,17.7772727272727,0.91
G12065,12065,4,0,36.0375,0
G12067,12067,2,2,14.77,1
G12069,12069,56,54,13.1396428571429,0.96
G12071,12071,167,163,10.8200598802395,0.98
G12073,12073,68,67,10.7517647058824,0.99
G12075,12075,10,8,22.088,0.8
G12077,12077,2,2,13.1,1
G12079,12079,5,5,13.882,1
G12081,12081,79,79,6.95696202531646,1
G12083,12083,63,55,15.6926984126984,0.87
G12085,12085,36,36,12.9880555555556,1
G12086,12086,519,517,3.63761078998073,1
G12087,12087,31,NA,NA,NA
G12089,12089,13,5,34.2461538461538,0.38
G12091,12091,43,42,13.3344186046512,0.98
G12093,12093,12,11,13.9266666666667,0.92
G12095,12095,207,207,9.06371980676328,1
G12097,12097,41,39,10.9436585365854,0.95
G12099,12099,338,334,10.3887573964497,0.99
G12101,12101,134,134,10.579328358209,1
G12103,12103,246,246,7.77926829268293,1
G12105,12105,154,150,12.2637662337662,0.97
G12107,12107,17,17,13.3058823529412,1
G12109,12109,41,39,15.2392682926829,0.95
G12111,12111,45,45,9.39266666666667,1
G12113,12113,26,18,20.8853846153846,0.69
G12115,12115,95,95,10.2223157894737,1
G12117,12117,86,86,10.91,1
G12119,12119,19,17,22.3273684210526,0.89
G12121,12121,7,6,15.7314285714286,0.86
G12123,12123,5,3,21.74,0.6
G12125,12125,3,3,10.54,1
G12127,12127,114,106,14.2491228070175,0.93
G12129,12129,5,4,21.484,0.8
G12131,12131,12,11,16.0933333333333,0.92
G12133,12133,7,5,23.0028571428571,0.71
G13001,13001,5,5,14.872,1
G13003,13003,3,3,12.3266666666667,1
G13005,13005,3,3,12.9733333333333,1
G13007,13007,2,2,14.9,1
G13009,13009,9,9,7.08111111111111,1
G13011,13011,4,4,6.785,1
G13013,13013,18,18,10.8288888888889,1
G13015,13015,15,14,17.7786666666667,0.93
G13017,13017,5,5,8.236,1
G13019,13019,6,6,17.8083333333333,1
G13021,13021,44,44,8.49909090909091,1
G13023,13023,3,3,6.96333333333333,1
G13025,13025,3,3,12.6533333333333,1
G13027,13027,5,4,15.03,0.8
G13029,13029,7,5,25.7371428571429,0.71
G13031,13031,12,11,14.8216666666667,0.92
G13033,13033,6,4,16.66,0.67
G13035,13035,3,3,8.23333333333333,1
G13037,13037,2,2,9.315,1
G13039,13039,11,8,18.3336363636364,0.73
G13043,13043,3,3,8.47666666666667,1
G13045,13045,17,14,19.1694117647059,0.82
G13047,13047,11,11,10.8554545454545,1
G13049,13049,2,1,23.6,0.5
G13051,13051,72,72,7.75486111111111,1
G13053,13053,5,5,14.278,1
G13055,13055,6,6,12.0883333333333,1
G13057,13057,26,26,19.585,1
G13059,13059,30,30,6.93,1
G13061,13061,1,1,29.22,1
G13063,13063,50,50,9.9488,1
G13065,13065,2,0,47.235,0
G13067,13067,120,120,13.841,1
G13069,13069,9,8,14.9822222222222,0.89
G13071,13071,10,10,7.821,1
G13073,13073,20,19,18.571,0.95
G13075,13075,4,4,14.755,1
G13077,13077,20,14,24.5955,0.7
G13079,13079,3,2,17.3,0.67
G13081,13081,6,6,7.335,1
G13083,13083,4,3,16.1,0.75
G13085,13085,3,3,12.9966666666667,1
G13087,13087,7,6,13.5914285714286,0.86
G13089,13089,145,145,7.96068965517241,1
G13091,13091,6,5,18.415,0.83
G13093,13093,3,3,6.89,1
G13095,13095,27,27,5.16592592592593,1
G13097,13097,20,20,14.1465,1
G13099,13099,5,5,15.168,1
G13101,13101,2,2,13.12,1
G13103,13103,10,3,38.09,0.3
G13105,13105,5,3,20.946,0.6
G13107,13107,6,6,12.8616666666667,1
G13109,13109,3,3,12.6933333333333,1
G13111,13111,5,5,15.156,1
G13113,13113,20,20,19.1285,1
G13115,13115,20,12,29.163,0.6
G13117,13117,45,45,18.1768888888889,1
G13119,13119,5,4,19.962,0.8
G13121,13121,204,202,8.91759803921569,0.99
G13123,13123,5,5,12.916,1
G13125,13125,1,1,0,1
G13127,13127,16,16,11.249375,1
G13129,13129,9,0,39.4811111111111,0
G13131,13131,6,3,31.72,0.5
G13133,13133,7,7,11.4285714285714,1
G13135,13135,113,113,14.7088495575221,1
G13137,13137,8,8,11.90625,1
G13139,13139,36,35,17.1572222222222,0.97
G13141,13141,2,2,12.875,1
G13143,13143,5,1,34.138,0.2
G13145,13145,5,5,21.238,1
G13147,13147,5,5,13.56,1
G13149,13149,3,0,41.38,0
G13151,13151,25,23,21.9592,0.92
G13153,13153,23,23,7.37652173913043,1
G13155,13155,2,2,8.59,1
G13157,13157,11,11,13.81,1
G13159,13159,3,2,33.1133333333333,0.67
G13161,13161,3,1,32.6966666666667,0.33
G13163,13163,4,4,9.2425,1
G13165,13165,2,2,7.955,1
G13167,13167,3,3,15.4166666666667,1
G13169,13169,6,6,11.13,1
G13171,13171,3,3,9.04666666666667,1
G13173,13173,2,0,31.72,0
G13175,13175,13,12,15.1715384615385,0.92
G13177,13177,5,5,10.54,1
G13179,13179,15,13,15.386,0.87
G13181,13181,2,0,35.985,0
G13183,13183,3,1,22.2233333333333,0.33
G13185,13185,25,25,11.3052,1
G13187,13187,4,2,21.405,0.5
G13189,13189,5,3,25.67,0.6
G13191,13191,5,4,20.042,0.8
G13193,13193,4,3,14.49,0.75
G13195,13195,6,6,14.7466666666667,1
G13197,13197,2,1,29.94,0.5
G13199,13199,4,3,12.5225,0.75
G13201,13201,3,2,29.3033333333333,0.67
G13205,13205,5,3,28.398,0.6
G13207,13207,5,5,12.48,1
G13209,13209,3,3,13.6166666666667,1
G13211,13211,5,4,27.04,0.8
G13213,13213,8,8,13.8825,1
G13215,13215,53,53,10.8856603773585,1
G13217,13217,13,12,22.1684615384615,0.92
G13219,13219,6,6,20.47,1
G13221,13221,4,4,17.4075,1
G13223,13223,19,11,27.4794736842105,0.58
G13225,13225,6,6,10.05,1
G13227,13227,6,6,15.94,1
G13229,13229,4,2,27.5575,0.5
G13231,13231,4,4,16.135,1
G13233,13233,7,7,13.8114285714286,1
G13235,13235,3,3,8.88,1
G13237,13237,5,3,27.064,0.6
G13239,13239,1,1,0,1
G13241,13241,5,4,21.176,0.8
G13243,13243,2,1,26.825,0.5
G13245,13245,47,47,9.13191489361702,1
G13247,13247,15,15,10.7193333333333,1
G13249,13249,2,2,0,1
G13251,13251,5,4,16.974,0.8
G13253,13253,3,3,15.0566666666667,1
G13255,13255,12,12,8.93416666666667,1
G13257,13257,5,5,24.494,1
G13259,13259,2,2,10.665,1
G13261,13261,8,8,10.8025,1
G13263,13263,3,3,12.7366666666667,1
G13265,13265,1,1,0,1
G13267,13267,5,3,18.792,0.6
G13269,13269,3,3,11.5333333333333,1
G13271,13271,3,1,28.7033333333333,0.33
G13273,13273,4,4,4.4075,1
G13275,13275,11,11,11.6109090909091,1
G13277,13277,9,9,8.33444444444445,1
G13279,13279,6,6,12.93,1
G13281,13281,3,0,41.7833333333333,0
G13283,13283,2,2,7.19,1
G13285,13285,14,8,30.7942857142857,0.57
G13287,13287,2,2,6.04,1
G13289,13289,2,1,15.77,0.5
G13291,13291,6,1,38.5633333333333,0.17
G13293,13293,7,7,11.3185714285714,1
G13295,13295,13,13,13.5476923076923,1
G13297,13297,15,15,17.5846666666667,1
G13299,13299,9,9,10.2211111111111,1
G13301,13301,2,2,6.41,1
G13303,13303,5,5,10.268,1
G13305,13305,6,6,17.7233333333333,1
G13307,13307,2,2,18.845,1
G13309,13309,2,2,6.85,1
G13311,13311,5,4,21.794,0.8
G13313,13313,18,18,21.6433333333333,1
G13315,13315,4,4,15.1375,1
G13317,13317,4,0,44.4375,0
G13319,13319,3,3,4.22333333333333,1
G13321,13321,5,4,27.194,0.8
G15001,15001,50,47,12.7208,0.94
G15003,15003,244,NA,NA,NA
G15005,15005,2,2,9.56,1
G15007,15007,17,15,17.6764705882353,0.88
G15009,15009,38,38,15.5557894736842,1
G16001,16001,59,59,6.38,1
G16003,16003,2,1,19.62,0.5
G16005,16005,22,22,5.10818181818182,1
G16007,16007,2,2,8.375,1
G16009,16009,2,2,0,1
G16011,16011,8,7,10.9675,0.88
G16013,16013,4,0,75.435,0
G16015,16015,1,0,97.72,0
G16017,16017,9,6,19.2833333333333,0.67
G16019,16019,21,20,9.6552380952381,0.95
G16021,16021,2,1,16.06,0.5
G16023,16023,1,0,100.86,0
G16025,16025,1,1,0,1
G16027,16027,29,29,4.31379310344828,1
G16029,16029,2,0,57.225,0
G16031,16031,6,4,15.2933333333333,0.67
G16033,16033,1,0,47.32,0
G16035,16035,2,0,102.68,0
G16037,16037,1,1,0,1
G16039,16039,5,5,8.836,1
G16041,16041,2,2,8.48,1
G16043,16043,3,2,21.88,0.67
G16045,16045,3,3,12.55,1
G16047,16047,2,1,32.755,0.5
G16049,16049,5,0,119.19,0
G16051,16051,4,4,16.845,1
G16053,16053,5,5,12.846,1
G16055,16055,25,23,9.0512,0.92
G16057,16057,7,4,18.2214285714286,0.57
G16059,16059,3,0,149.936666666667,0
G16061,16061,3,0,83.5,0
G16063,16063,1,0,97.58,0
G16065,16065,6,6,7.01833333333333,1
G16067,16067,5,5,11.642,1
G16069,16069,10,8,16.676,0.8
