origin,count within 60,count within 30,minutes
2893,20,20,0.0
2895,34,34,0.0
2896,6,6,0.0
2903,122,45,0.0
2904,64,12,0.0
2905,81,19,0.0
2906,129,29,0.0
2907,78,5,0.0
2908,113,20,0.0
2909,93,4,0.0
2910,46,5,0.0
2911,35,3,0.0
2912,127,74,16.86
2914,34,5,0.0
2915,10,10,0.0
2916,6,0,43.56
2917,2,2,0.0
2919,23,19,0.0
2920,22,17,0.0
2921,1,1,0.0
3031,1,1,0.0
3038,1,1,0.0
3045,2,2,0.0
3049,2,2,0.0
3051,1,1,0.0
3052,1,1,0.0
3053,2,2,0.0
3054,7,7,0.0
3060,32,25,0.0
3062,28,3,0.0
3063,10,6,0.0
3064,35,4,0.0
3077,2,2,0.0
3079,7,7,0.0
3101,52,9,0.0
3102,39,14,0.0
3103,39,13,0.0
3104,52,16,0.0
3109,14,1,0.0
3110,12,12,0.0
3220,3,3,0.0
3224,2,2,0.0
3229,1,1,0.0
3235,4,4,0.0
3244,1,1,0.0
3246,12,12,0.0
3249,3,3,0.0
3253,1,1,0.0
3254,1,1,0.0
3256,1,1,0.0
3257,3,3,0.0
3264,4,4,0.0
3276,1,1,0.0
3281,1,1,0.0
3287,1,1,0.0
3301,33,33,0.0
3431,16,16,0.0
3440,1,1,0.0
3446,2,2,0.0
3451,1,1,0.0
3452,1,1,0.0
3461,1,1,0.0
3561,6,6,0.0
3570,10,10,0.0
3580,1,1,0.0
3581,1,1,0.0
3584,4,4,0.0
3598,1,1,0.0
3603,1,1,0.0
3609,2,2,29.58
3743,10,10,0.0
3753,1,1,0.0
3755,6,6,0.0
3766,36,36,0.0
3774,2,2,0.0
3777,1,1,0.0
3785,1,1,0.0
3801,29,29,0.0
3818,4,4,0.0
3819,1,1,0.0
3820,14,14,0.0
3824,1,1,0.0
3826,1,0,59.66
3833,3,3,0.0
3841,6,6,0.0
3842,3,3,0.0
3844,2,2,0.0
3847,7,0,48.33
3849,1,1,0.0
3854,1,1,0.0
3857,1,1,0.0
3860,7,7,0.0
3867,5,5,0.0
3868,5,0,53.0
3870,2,2,0.0
3872,1,1,0.0
3878,18,18,0.0
3882,2,2,0.0
3886,1,1,0.0
3894,2,2,0.0
3901,1,1,0.0
3908,1,1,0.0
3909,5,5,0.0
3911,5,0,50.44
4005,12,10,0.0
4009,4,4,0.0
4011,8,8,0.0
4015,1,1,0.0
4030,1,1,0.0
4032,3,3,0.0
4037,1,1,0.0
4038,4,4,0.0
4039,2,2,0.0
4041,1,1,0.0
4043,4,4,0.0
4046,1,1,0.0
4062,5,5,0.0
4063,1,0,34.1
4064,1,1,0.0
4068,3,3,0.0
4071,1,1,0.0
4072,12,2,0.0
4073,3,3,0.0
4074,10,10,0.0
4083,8,8,0.0
4090,1,1,0.0
4092,6,6,0.0
4097,1,1,0.0
4101,58,18,0.0
4102,51,24,0.0
4103,33,9,0.0
4105,9,9,0.0
4106,34,16,0.0
4107,2,2,0.0
4108,18,0,45.8
4109,18,0,40.66
4210,2,2,0.0
4234,1,0,53.67
4240,19,19,0.0
4254,6,6,0.0
4259,1,1,0.0
4263,1,1,0.0
4276,3,3,0.0
