origin,count within 60,count within 30,minutes
2666,5,0,39.05
2667,5,5,0.0
2668,29,0,30.53
2669,4,0,31.67
2670,32,4,13.36
2671,7,2,7.34
2672,30,27,17.02
2673,31,28,18.19
2675,31,3,0.0
2702,49,0,48.62
2703,88,19,0.0
2715,17,1,0.0
2717,8,0,37.41
2718,19,0,32.53
2719,75,57,19.48
2720,66,63,0.0
2721,68,62,0.0
2723,68,62,11.79
2724,66,63,0.0
2725,73,36,0.0
2726,66,34,26.23
2738,15,2,0.0
2739,60,1,0.0
2740,77,74,0.0
2743,74,6,20.03
2744,75,57,0.0
2745,75,55,0.0
2746,75,57,0.0
2747,76,70,0.0
2748,74,52,0.0
2760,45,0,32.65
2762,37,0,46.49
2763,57,19,22.06
2764,16,1,22.81
2766,56,19,0.0
2767,18,15,0.0
2769,38,0,30.74
2770,3,0,46.71
2771,198,6,0.0
2777,75,3,0.0
2779,18,0,39.02
2780,32,15,0.0
2790,85,2,0.0
2791,3,1,0.0
2802,77,5,23.69
2804,4,0,36.99
2806,28,17,0.0
2807,7,0,55.67
2808,4,0,39.61
2809,11,2,0.0
2812,1,0,51.86
2814,8,0,38.77
2815,1,0,30.12
2816,47,22,0.0
2817,2,0,48.76
2818,53,4,0.0
2822,8,1,0.0
2825,2,1,0.0
2826,55,0,38.76
2827,1,0,46.66
2828,110,0,31.83
2830,14,0,34.06
2831,60,2,26.41
2832,1,0,58.99
2833,4,0,44.31
2836,13,0,38.83
2837,1,0,50.64
2838,77,34,20.32
2839,13,0,30.93
2840,7,7,0.0
2841,7,7,15.98
2842,7,7,20.2
2852,13,6,0.0
2857,21,1,0.0
2858,13,7,29.78
2859,8,7,0.0
2860,238,128,0.0
2861,361,55,15.42
2863,211,63,10.36
2864,88,1,0.0
2865,202,34,0.0
2871,23,0,46.92
2872,2,0,56.54
2874,8,2,0.0
2875,13,0,41.53
2876,56,6,25.9
2878,65,14,0.0
2879,13,12,0.0
2881,13,12,23.04
2882,14,12,22.83
2885,55,9,23.22
2886,107,41,0.0
2888,189,32,0.0
2889,143,28,0.0
2891,6,3,0.0
2892,14,1,0.0
2893,70,42,0.0
2895,46,40,0.0
2896,42,40,0.0
2898,1,0,48.3
2903,227,165,0.0
2904,216,135,0.0
2905,231,151,0.0
2906,244,157,0.0
2907,247,144,0.0
2908,226,155,0.0
2909,216,178,0.0
2910,250,102,0.0
2911,208,105,0.0
2912,226,157,7.09
2914,223,90,0.0
2915,140,22,0.0
2916,243,98,14.84
2917,167,5,0.0
2919,205,46,0.0
2920,250,32,0.0
2921,180,18,0.0
3031,8,1,0.0
3032,53,0,45.63
3033,2,0,42.09
3034,2,0,47.42
3036,10,0,44.84
3038,10,1,0.0
3042,3,0,51.51
3044,3,1,29.72
3045,66,2,0.0
3046,2,0,53.96
3049,40,2,0.0
3051,43,30,0.0
3052,33,1,0.0
3053,19,2,0.0
3054,30,7,0.0
3055,1,0,32.14
3057,1,0,35.13
3060,43,33,0.0
3062,42,28,0.0
3063,48,35,0.0
3064,50,36,0.0
3070,3,0,51.73
3076,58,0,44.19
3077,2,2,0.0
3079,100,7,0.0
3087,11,0,43.02
3101,67,53,0.0
3102,67,52,0.0
3103,69,53,0.0
3104,67,53,0.0
3106,53,0,30.12
3109,68,39,0.0
3110,74,12,0.0
3216,1,0,43.1
3217,5,0,40.8
3220,16,3,0.0
3223,4,0,43.67
3224,2,2,0.0
3226,1,1,25.32
3229,1,1,0.0
3231,4,0,49.49
3233,4,4,20.03
3235,5,5,0.0
3237,3,0,45.72
3242,2,0,49.1
3244,2,1,0.0
3245,4,0,34.47
3246,19,15,0.0
3249,15,15,0.0
3253,14,1,0.0
3254,1,1,0.0
3255,3,0,56.95
3256,2,1,0.0
3257,4,3,0.0
3260,4,0,36.51
3264,4,4,0.0
3268,4,0,56.55
3269,1,0,54.21
3275,33,0,50.76
3276,8,5,0.0
3278,1,0,56.85
3281,1,1,0.0
3284,4,0,47.15
3287,4,1,0.0
3301,33,33,0.0
3303,35,0,53.55
3304,33,0,39.1
3307,2,0,52.8
3431,18,16,0.0
3440,2,1,0.0
3441,1,0,34.01
3442,1,0,30.94
3443,1,0,50.33
3444,1,0,46.57
3445,16,0,51.42
3446,18,2,0.0
3447,1,0,56.09
3448,16,0,58.27
3449,1,0,41.2
3451,16,1,0.0
3452,2,1,0.0
3455,18,0,49.96
3458,1,0,49.94
3461,2,1,0.0
3462,16,0,57.79
3465,1,0,58.95
3466,16,0,51.27
3561,6,6,0.0
3570,10,10,0.0
3574,7,0,40.88
3580,1,1,0.0
3581,1,1,0.0
3583,4,0,55.04
3584,4,4,0.0
3586,7,1,25.23
3595,1,0,51.28
3598,1,1,0.0
3602,2,0,58.74
3603,16,1,0.0
3604,2,0,38.48
3608,2,0,41.58
3609,2,2,11.78
3740,4,0,37.06
3743,11,10,0.0
3745,2,0,41.8
3748,36,0,58.07
3750,42,0,30.78
3751,4,0,34.71
3753,1,1,0.0
3755,50,6,0.0
3765,7,0,33.67
3766,50,36,0.0
3768,1,0,57.97
3770,36,0,58.23
3774,6,3,0.0
3777,1,1,0.0
3779,4,0,38.93
3780,2,0,40.3
3782,3,0,57.48
3784,50,0,35.05
3785,6,3,0.0
3801,32,30,0.0
3811,26,6,28.11
3813,1,0,42.54
3814,3,0,51.29
3816,2,0,52.22
3817,2,1,22.31
3818,12,4,0.0
3819,7,1,0.0
3820,35,14,0.0
3823,16,15,24.37
3824,16,1,0.0
3825,5,0,58.59
3826,19,7,20.3
3827,8,0,32.82
3830,1,0,45.27
3832,5,0,49.61
3833,5,3,0.0
3835,5,0,55.8
3838,7,0,56.27
3839,37,5,22.44
3840,36,0,33.03
3841,15,6,0.0
3842,7,5,0.0
3844,10,5,0.0
3845,7,0,30.67
3847,11,7,17.28
3848,10,1,26.73
3849,5,1,0.0
3852,1,0,41.39
3853,2,0,48.14
3854,32,30,0.0
3856,4,0,35.98
3857,2,1,0.0
3858,15,0,40.67
3860,11,7,0.0
3861,16,0,36.21
3862,5,0,34.44
3864,2,0,49.73
3865,19,12,26.5
3867,24,5,0.0
3868,24,5,18.35
3869,34,33,25.88
3870,35,2,0.0
3871,35,2,20.5
3872,1,1,0.0
3873,8,0,35.26
3874,12,2,27.01
3875,2,0,36.63
3878,39,19,0.0
3882,2,2,0.0
3883,1,1,28.47
3885,40,0,40.99
3886,1,1,0.0
3887,1,0,55.0
3890,1,0,34.12
3894,2,2,0.0
3901,39,19,0.0
3902,5,0,35.68
3903,50,0,49.34
3904,37,29,29.2
3905,35,0,41.87
3906,23,0,45.26
